Episode,DQN_win,DQN_lose,Draw,DQN_win_rate,DQN_lose_rate,Draw_rate
999,13,83,4,0.13,0.83,0.04
1999,13,86,1,0.13,0.86,0.01
2999,10,89,1,0.1,0.89,0.01
3999,21,75,4,0.21,0.75,0.04
4999,18,75,7,0.18,0.75,0.07
5999,18,76,6,0.18,0.76,0.06
6999,14,83,3,0.14,0.83,0.03
7999,21,72,7,0.21,0.72,0.07
8999,15,83,2,0.15,0.83,0.02
9999,12,85,3,0.12,0.85,0.03
10999,15,83,2,0.15,0.83,0.02
11999,26,73,1,0.26,0.73,0.01
12999,14,84,2,0.14,0.84,0.02
13999,12,82,6,0.12,0.82,0.06
14999,18,81,1,0.18,0.81,0.01
15999,6,92,2,0.06,0.92,0.02
16999,14,86,0,0.14,0.86,0.0
17999,12,88,0,0.12,0.88,0.0
18999,9,85,6,0.09,0.85,0.06
19999,10,89,1,0.1,0.89,0.01
20999,13,84,3,0.13,0.84,0.03
21999,18,78,4,0.18,0.78,0.04
22999,14,84,2,0.14,0.84,0.02
23999,20,73,7,0.2,0.73,0.07
24999,13,82,5,0.13,0.82,0.05
25999,20,77,3,0.2,0.77,0.03
26999,16,79,5,0.16,0.79,0.05
27999,14,86,0,0.14,0.86,0.0
28999,14,84,2,0.14,0.84,0.02
29999,11,88,1,0.11,0.88,0.01
30999,6,94,0,0.06,0.94,0.0
31999,17,81,2,0.17,0.81,0.02
32999,23,71,6,0.23,0.71,0.06
33999,13,82,5,0.13,0.82,0.05
34999,5,95,0,0.05,0.95,0.0
35999,18,76,6,0.18,0.76,0.06
36999,10,89,1,0.1,0.89,0.01
37999,17,80,3,0.17,0.8,0.03
38999,17,79,4,0.17,0.79,0.04
39999,11,88,1,0.11,0.88,0.01
40999,18,75,7,0.18,0.75,0.07
41999,15,85,0,0.15,0.85,0.0
42999,13,84,3,0.13,0.84,0.03
43999,14,82,4,0.14,0.82,0.04
44999,19,79,2,0.19,0.79,0.02
45999,12,85,3,0.12,0.85,0.03
46999,13,85,2,0.13,0.85,0.02
47999,24,74,2,0.24,0.74,0.02
48999,14,83,3,0.14,0.83,0.03
49999,10,87,3,0.1,0.87,0.03
50999,9,87,4,0.09,0.87,0.04
51999,27,70,3,0.27,0.7,0.03
52999,12,82,6,0.12,0.82,0.06
53999,9,90,1,0.09,0.9,0.01
54999,18,82,0,0.18,0.82,0.0
55999,17,79,4,0.17,0.79,0.04
56999,12,87,1,0.12,0.87,0.01
57999,23,73,4,0.23,0.73,0.04
58999,19,78,3,0.19,0.78,0.03
59999,16,77,7,0.16,0.77,0.07
60999,13,84,3,0.13,0.84,0.03
61999,19,77,4,0.19,0.77,0.04
62999,9,91,0,0.09,0.91,0.0
63999,12,87,1,0.12,0.87,0.01
64999,8,91,1,0.08,0.91,0.01
65999,15,82,3,0.15,0.82,0.03
66999,14,80,6,0.14,0.8,0.06
67999,16,81,3,0.16,0.81,0.03
68999,17,83,0,0.17,0.83,0.0
69999,15,83,2,0.15,0.83,0.02
70999,13,83,4,0.13,0.83,0.04
71999,9,89,2,0.09,0.89,0.02
72999,19,78,3,0.19,0.78,0.03
73999,9,90,1,0.09,0.9,0.01
74999,17,82,1,0.17,0.82,0.01
75999,10,89,1,0.1,0.89,0.01
76999,7,90,3,0.07,0.9,0.03
77999,9,91,0,0.09,0.91,0.0
78999,8,90,2,0.08,0.9,0.02
79999,8,89,3,0.08,0.89,0.03
80999,12,87,1,0.12,0.87,0.01
81999,17,80,3,0.17,0.8,0.03
82999,7,92,1,0.07,0.92,0.01
83999,18,78,4,0.18,0.78,0.04
84999,10,86,4,0.1,0.86,0.04
85999,9,85,6,0.09,0.85,0.06
86999,10,87,3,0.1,0.87,0.03
87999,6,92,2,0.06,0.92,0.02
88999,11,85,4,0.11,0.85,0.04
89999,10,89,1,0.1,0.89,0.01
90999,18,77,5,0.18,0.77,0.05
91999,14,84,2,0.14,0.84,0.02
92999,17,82,1,0.17,0.82,0.01
93999,12,88,0,0.12,0.88,0.0
