Episode,DQN_win,DQN_lose,Draw,DQN_win_rate,DQN_lose_rate,Draw_rate
0,12,82,6,0.12,0.82,0.06
100,14,82,4,0.14,0.82,0.04
200,22,76,2,0.22,0.76,0.02
300,20,76,4,0.2,0.76,0.04
400,12,85,3,0.12,0.85,0.03
500,17,78,5,0.17,0.78,0.05
600,16,79,5,0.16,0.79,0.05
700,21,78,1,0.21,0.78,0.01
800,24,72,4,0.24,0.72,0.04
900,17,78,5,0.17,0.78,0.05
1000,17,81,2,0.17,0.81,0.02
1100,19,77,4,0.19,0.77,0.04
1200,20,77,3,0.2,0.77,0.03
1300,22,74,4,0.22,0.74,0.04
1400,27,70,3,0.27,0.7,0.03
1500,14,84,2,0.14,0.84,0.02
1600,20,75,5,0.2,0.75,0.05
1700,11,84,5,0.11,0.84,0.05
1800,18,80,2,0.18,0.8,0.02
1900,13,83,4,0.13,0.83,0.04
2000,16,79,5,0.16,0.79,0.05
2100,15,81,4,0.15,0.81,0.04
2200,17,77,6,0.17,0.77,0.06
2300,18,82,0,0.18,0.82,0.0
2400,15,81,4,0.15,0.81,0.04
2500,18,81,1,0.18,0.81,0.01
2600,18,79,3,0.18,0.79,0.03
2700,20,77,3,0.2,0.77,0.03
2800,13,84,3,0.13,0.84,0.03
2900,19,75,6,0.19,0.75,0.06
3000,15,81,4,0.15,0.81,0.04
3100,14,83,3,0.14,0.83,0.03
3200,14,79,7,0.14,0.79,0.07
3300,17,79,4,0.17,0.79,0.04
3400,16,80,4,0.16,0.8,0.04
3500,20,80,0,0.2,0.8,0.0
3600,19,78,3,0.19,0.78,0.03
3700,11,85,4,0.11,0.85,0.04
3800,20,74,6,0.2,0.74,0.06
3900,14,84,2,0.14,0.84,0.02
4000,17,79,4,0.17,0.79,0.04
4100,14,82,4,0.14,0.82,0.04
4200,20,73,7,0.2,0.73,0.07
4300,22,77,1,0.22,0.77,0.01
4400,19,74,7,0.19,0.74,0.07
4500,13,80,7,0.13,0.8,0.07
4600,17,81,2,0.17,0.81,0.02
4700,19,78,3,0.19,0.78,0.03
4800,14,82,4,0.14,0.82,0.04
4900,17,82,1,0.17,0.82,0.01
5000,12,85,3,0.12,0.85,0.03
5100,20,78,2,0.2,0.78,0.02
5200,18,79,3,0.18,0.79,0.03
5300,19,78,3,0.19,0.78,0.03
5400,21,74,5,0.21,0.74,0.05
5500,21,77,2,0.21,0.77,0.02
5600,19,78,3,0.19,0.78,0.03
5700,11,87,2,0.11,0.87,0.02
5800,17,78,5,0.17,0.78,0.05
5900,23,77,0,0.23,0.77,0.0
6000,18,81,1,0.18,0.81,0.01
6100,21,73,6,0.21,0.73,0.06
6200,22,76,2,0.22,0.76,0.02
6300,23,75,2,0.23,0.75,0.02
6400,17,79,4,0.17,0.79,0.04
6500,18,77,5,0.18,0.77,0.05
6600,17,79,4,0.17,0.79,0.04
6700,14,83,3,0.14,0.83,0.03
6800,22,74,4,0.22,0.74,0.04
6900,18,77,5,0.18,0.77,0.05
7000,16,80,4,0.16,0.8,0.04
7100,11,86,3,0.11,0.86,0.03
7200,26,73,1,0.26,0.73,0.01
7300,14,80,6,0.14,0.8,0.06
7400,18,80,2,0.18,0.8,0.02
7500,8,87,5,0.08,0.87,0.05
7600,25,72,3,0.25,0.72,0.03
7700,20,75,5,0.2,0.75,0.05
7800,12,85,3,0.12,0.85,0.03
7900,22,76,2,0.22,0.76,0.02
8000,19,77,4,0.19,0.77,0.04
8100,24,76,0,0.24,0.76,0.0
8200,19,76,5,0.19,0.76,0.05
8300,15,82,3,0.15,0.82,0.03
8400,21,76,3,0.21,0.76,0.03
8500,18,79,3,0.18,0.79,0.03
8600,18,78,4,0.18,0.78,0.04
8700,21,79,0,0.21,0.79,0.0
8800,16,82,2,0.16,0.82,0.02
8900,10,88,2,0.1,0.88,0.02
9000,23,76,1,0.23,0.76,0.01
9100,19,79,2,0.19,0.79,0.02
9200,17,80,3,0.17,0.8,0.03
9300,25,73,2,0.25,0.73,0.02
9400,16,81,3,0.16,0.81,0.03
9500,24,75,1,0.24,0.75,0.01
9600,20,76,4,0.2,0.76,0.04
9700,15,84,1,0.15,0.84,0.01
9800,14,82,4,0.14,0.82,0.04
9900,16,82,2,0.16,0.82,0.02
10000,21,77,2,0.21,0.77,0.02
10100,18,79,3,0.18,0.79,0.03
10200,21,76,3,0.21,0.76,0.03
10300,21,78,1,0.21,0.78,0.01
10400,15,83,2,0.15,0.83,0.02
10500,16,82,2,0.16,0.82,0.02
10600,24,74,2,0.24,0.74,0.02
10700,29,68,3,0.29,0.68,0.03
10800,26,70,4,0.26,0.7,0.04
10900,27,72,1,0.27,0.72,0.01
11000,22,74,4,0.22,0.74,0.04
11100,23,72,5,0.23,0.72,0.05
11200,17,79,4,0.17,0.79,0.04
11300,16,78,6,0.16,0.78,0.06
11400,10,87,3,0.1,0.87,0.03
11500,18,80,2,0.18,0.8,0.02
11600,23,74,3,0.23,0.74,0.03
11700,18,79,3,0.18,0.79,0.03
11800,28,71,1,0.28,0.71,0.01
11900,22,72,6,0.22,0.72,0.06
12000,17,79,4,0.17,0.79,0.04
12100,20,76,4,0.2,0.76,0.04
12200,22,74,4,0.22,0.74,0.04
12300,27,71,2,0.27,0.71,0.02
12400,20,77,3,0.2,0.77,0.03
12500,21,78,1,0.21,0.78,0.01
12600,16,81,3,0.16,0.81,0.03
12700,26,73,1,0.26,0.73,0.01
12800,19,76,5,0.19,0.76,0.05
12900,21,74,5,0.21,0.74,0.05
13000,12,87,1,0.12,0.87,0.01
13100,18,80,2,0.18,0.8,0.02
13200,18,77,5,0.18,0.77,0.05
13300,19,79,2,0.19,0.79,0.02
13400,28,69,3,0.28,0.69,0.03
13500,16,79,5,0.16,0.79,0.05
13600,23,72,5,0.23,0.72,0.05
13700,21,77,2,0.21,0.77,0.02
13800,16,80,4,0.16,0.8,0.04
13900,21,76,3,0.21,0.76,0.03
14000,21,78,1,0.21,0.78,0.01
14100,20,73,7,0.2,0.73,0.07
14200,26,72,2,0.26,0.72,0.02
14300,19,74,7,0.19,0.74,0.07
14400,18,80,2,0.18,0.8,0.02
14500,25,69,6,0.25,0.69,0.06
14600,20,77,3,0.2,0.77,0.03
14700,17,81,2,0.17,0.81,0.02
14800,19,75,6,0.19,0.75,0.06
14900,19,77,4,0.19,0.77,0.04
15000,21,69,10,0.21,0.69,0.1
15100,22,72,6,0.22,0.72,0.06
15200,15,82,3,0.15,0.82,0.03
15300,18,78,4,0.18,0.78,0.04
15400,21,77,2,0.21,0.77,0.02
15500,16,80,4,0.16,0.8,0.04
15600,17,80,3,0.17,0.8,0.03
15700,28,68,4,0.28,0.68,0.04
15800,19,78,3,0.19,0.78,0.03
15900,25,71,4,0.25,0.71,0.04
16000,16,81,3,0.16,0.81,0.03
16100,19,78,3,0.19,0.78,0.03
16200,26,72,2,0.26,0.72,0.02
16300,15,78,7,0.15,0.78,0.07
16400,19,76,5,0.19,0.76,0.05
16500,21,76,3,0.21,0.76,0.03
16600,25,69,6,0.25,0.69,0.06
16700,18,81,1,0.18,0.81,0.01
16800,16,79,5,0.16,0.79,0.05
16900,20,75,5,0.2,0.75,0.05
17000,26,72,2,0.26,0.72,0.02
17100,18,77,5,0.18,0.77,0.05
17200,23,74,3,0.23,0.74,0.03
17300,13,81,6,0.13,0.81,0.06
17400,18,78,4,0.18,0.78,0.04
17500,24,75,1,0.24,0.75,0.01
17600,15,82,3,0.15,0.82,0.03
17700,30,67,3,0.3,0.67,0.03
17800,12,82,6,0.12,0.82,0.06
17900,18,76,6,0.18,0.76,0.06
18000,18,79,3,0.18,0.79,0.03
18100,17,79,4,0.17,0.79,0.04
18200,23,73,4,0.23,0.73,0.04
18300,23,73,4,0.23,0.73,0.04
18400,21,75,4,0.21,0.75,0.04
18500,24,74,2,0.24,0.74,0.02
18600,26,70,4,0.26,0.7,0.04
18700,15,83,2,0.15,0.83,0.02
18800,22,73,5,0.22,0.73,0.05
18900,20,76,4,0.2,0.76,0.04
19000,27,68,5,0.27,0.68,0.05
19100,23,70,7,0.23,0.7,0.07
19200,20,76,4,0.2,0.76,0.04
19300,18,81,1,0.18,0.81,0.01
19400,30,66,4,0.3,0.66,0.04
19500,24,73,3,0.24,0.73,0.03
19600,18,76,6,0.18,0.76,0.06
19700,19,75,6,0.19,0.75,0.06
19800,21,74,5,0.21,0.74,0.05
19900,21,77,2,0.21,0.77,0.02
20000,17,77,6,0.17,0.77,0.06
20100,13,83,4,0.13,0.83,0.04
20200,16,79,5,0.16,0.79,0.05
20300,23,76,1,0.23,0.76,0.01
20400,21,71,8,0.21,0.71,0.08
20500,17,79,4,0.17,0.79,0.04
20600,23,73,4,0.23,0.73,0.04
20700,15,82,3,0.15,0.82,0.03
20800,24,72,4,0.24,0.72,0.04
20900,19,74,7,0.19,0.74,0.07
21000,14,82,4,0.14,0.82,0.04
21100,20,74,6,0.2,0.74,0.06
21200,26,69,5,0.26,0.69,0.05
21300,17,74,9,0.17,0.74,0.09
21400,18,80,2,0.18,0.8,0.02
21500,22,73,5,0.22,0.73,0.05
21600,22,75,3,0.22,0.75,0.03
21700,20,77,3,0.2,0.77,0.03
21800,20,77,3,0.2,0.77,0.03
21900,25,72,3,0.25,0.72,0.03
22000,27,71,2,0.27,0.71,0.02
22100,27,72,1,0.27,0.72,0.01
22200,19,79,2,0.19,0.79,0.02
22300,19,77,4,0.19,0.77,0.04
22400,23,76,1,0.23,0.76,0.01
22500,19,79,2,0.19,0.79,0.02
