Episode,DQN_win,DQN_lose,Draw,DQN_win_rate,DQN_lose_rate,Draw_rate
0,35,61,4,0.35,0.61,0.04
1000,36,60,4,0.36,0.6,0.04
2000,34,62,4,0.34,0.62,0.04
3000,17,78,5,0.17,0.78,0.05
4000,37,63,0,0.37,0.63,0.0
5000,31,65,4,0.31,0.65,0.04
6000,42,55,3,0.42,0.55,0.03
7000,38,59,3,0.38,0.59,0.03
8000,30,67,3,0.3,0.67,0.03
9000,27,69,4,0.27,0.69,0.04
10000,33,63,4,0.33,0.63,0.04
11000,34,63,3,0.34,0.63,0.03
12000,26,70,4,0.26,0.7,0.04
13000,39,58,3,0.39,0.58,0.03
14000,36,61,3,0.36,0.61,0.03
15000,34,62,4,0.34,0.62,0.04
16000,40,56,4,0.4,0.56,0.04
17000,39,54,7,0.39,0.54,0.07
18000,28,66,6,0.28,0.66,0.06
19000,42,53,5,0.42,0.53,0.05
20000,16,83,1,0.16,0.83,0.01
21000,31,65,4,0.31,0.65,0.04
22000,37,60,3,0.37,0.6,0.03
23000,52,45,3,0.52,0.45,0.03
24000,35,61,4,0.35,0.61,0.04
25000,45,54,1,0.45,0.54,0.01
26000,40,58,2,0.4,0.58,0.02
27000,20,78,2,0.2,0.78,0.02
28000,27,70,3,0.27,0.7,0.03
29000,31,66,3,0.31,0.66,0.03
30000,42,55,3,0.42,0.55,0.03
31000,50,49,1,0.5,0.49,0.01
32000,30,65,5,0.3,0.65,0.05
33000,37,57,6,0.37,0.57,0.06
34000,30,67,3,0.3,0.67,0.03
35000,34,62,4,0.34,0.62,0.04
36000,20,76,4,0.2,0.76,0.04
