Episode,DQN_win,DQN_lose,Draw,DQN_win_rate,DQN_lose_rate,Draw_rate
0,38,55,7,0.38,0.55,0.07
100,33,64,3,0.33,0.64,0.03
200,39,55,6,0.39,0.55,0.06
300,42,56,2,0.42,0.56,0.02
400,35,60,5,0.35,0.6,0.05
500,36,62,2,0.36,0.62,0.02
600,49,48,3,0.49,0.48,0.03
700,42,55,3,0.42,0.55,0.03
800,29,67,4,0.29,0.67,0.04
900,33,62,5,0.33,0.62,0.05
1000,47,49,4,0.47,0.49,0.04
1100,35,59,6,0.35,0.59,0.06
1200,29,70,1,0.29,0.7,0.01
1300,44,54,2,0.44,0.54,0.02
1400,39,59,2,0.39,0.59,0.02
1500,44,54,2,0.44,0.54,0.02
1600,19,74,7,0.19,0.74,0.07
1700,40,55,5,0.4,0.55,0.05
1800,34,62,4,0.34,0.62,0.04
1900,36,60,4,0.36,0.6,0.04
2000,39,59,2,0.39,0.59,0.02
2100,44,54,2,0.44,0.54,0.02
2200,49,50,1,0.49,0.5,0.01
2300,39,55,6,0.39,0.55,0.06
2400,31,65,4,0.31,0.65,0.04
2500,47,46,7,0.47,0.46,0.07
2600,35,64,1,0.35,0.64,0.01
2700,42,52,6,0.42,0.52,0.06
2800,43,57,0,0.43,0.57,0.0
2900,48,48,4,0.48,0.48,0.04
3000,37,58,5,0.37,0.58,0.05
3100,24,72,4,0.24,0.72,0.04
3200,45,51,4,0.45,0.51,0.04
3300,39,56,5,0.39,0.56,0.05
3400,47,49,4,0.47,0.49,0.04
3500,42,55,3,0.42,0.55,0.03
3600,29,67,4,0.29,0.67,0.04
3700,28,65,7,0.28,0.65,0.07
3800,45,52,3,0.45,0.52,0.03
3900,38,56,6,0.38,0.56,0.06
4000,40,54,6,0.4,0.54,0.06
4100,31,66,3,0.31,0.66,0.03
4200,34,61,5,0.34,0.61,0.05
4300,34,62,4,0.34,0.62,0.04
4400,27,69,4,0.27,0.69,0.04
4500,35,60,5,0.35,0.6,0.05
4600,31,61,8,0.31,0.61,0.08
4700,40,51,9,0.4,0.51,0.09
4800,29,65,6,0.29,0.65,0.06
4900,27,71,2,0.27,0.71,0.02
5000,54,41,5,0.54,0.41,0.05
5100,35,62,3,0.35,0.62,0.03
5200,46,49,5,0.46,0.49,0.05
5300,39,57,4,0.39,0.57,0.04
5400,40,57,3,0.4,0.57,0.03
5500,35,61,4,0.35,0.61,0.04
5600,30,60,10,0.3,0.6,0.1
