Board,Game Time,Move Time,Action List,Action List Count,Score,Winner
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",01:26,"[[0.106, 0.186, 0.253, 0.497, 0.88, 1.055, 0.896, 0.913, 1.388, 1.786, 1.489, 1.03, 0.634, 1.155, 0.841, 1.078, 1.296, 1.033, 0.625, 0.318, 0.251, 0.002, 0.183, 0.0, 0.127, 0.039, 0.0, 0.009, 0.002, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 9.095, 4.789, 4.428, 5.492, 8.763, 6.086, 6.137, 3.654, 5.793, 3.021, 3.522, 1.71, 1.403, 1.363, 0.703, 0.854, 0.002, 0.491, 0.318, 0.181, 0.056, 0.022, 0.008, 0.001, 0.0]]","[[[4, 6], [6, 3], [3, 3], [3, 5], [3, 6], [5, 2], [5, 3], [3, 1], [2, 6], [1, 4], [2, 4], [6, 7], [6, 8], [4, 8], [6, 6], [7, 3], [5, 1], [7, 6], [8, 6], [2, 8], [8, 3], [8, 1], [7, 1], [1, 1], [2, 3], [8, 4], [8, 8], [1, 7], [1, 2], [7, 7]], [[3, 4], [6, 4], [5, 6], [4, 3], [6, 5], [4, 2], [3, 2], [2, 5], [4, 1], [6, 1], [7, 4], [5, 7], [5, 8], [4, 7], [3, 7], [8, 2], [6, 2], [7, 5], [8, 5], [2, 1], [3, 8], [1, 8], [7, 8], [1, 6], [8, 7], [1, 3], [1, 5], [2, 7], [2, 2], [7, 2]]]","[30, 30]","[32, 32, 0]",0
"[-1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0]",00:45,"[[0.092, 0.138, 0.359, 0.453, 0.35, 0.255, 0.319, 0.261, 0.465, 0.44, 0.938, 0.641, 0.433, 0.781, 0.967, 1.031, 0.655, 0.354, 0.211, 0.364, 0.322, 0.191, 0.07, 0.048, 0.0, 0.033, 0.002, 0.001, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.024, 1.653, 2.952, 2.568, 2.845, 3.953, 5.06, 3.476, 2.866, 2.786, 1.544, 1.199, 1.02, 0.565, 0.332, 0.001, 0.124, 0.0, 0.037, 0.006, 0.001, 0.0, 0.0]]","[[[6, 5], [3, 3], [6, 3], [6, 7], [6, 1], [3, 1], [3, 4], [1, 3], [8, 4], [6, 4], [8, 5], [4, 6], [2, 6], [8, 6], [3, 7], [8, 2], [4, 8], [5, 7], [1, 5], [4, 1], [1, 7], [3, 5], [7, 7], [2, 8], [8, 1], [7, 8], [4, 2], [1, 1], [1, 2]], [[5, 3], [3, 6], [4, 3], [6, 6], [6, 2], [3, 2], [2, 3], [2, 5], [7, 3], [7, 5], [7, 6], [7, 4], [5, 2], [5, 6], [4, 7], [8, 3], [3, 8], [5, 8], [1, 6], [6, 8], [7, 2], [5, 1], [2, 7], [1, 8], [2, 4], [8, 8], [1, 4], [2, 2], [2, 1], [8, 7], [7, 1]]]","[29, 31]","[34, 30, 4]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:46,"[[0.153, 0.115, 0.302, 0.427, 0.487, 0.374, 0.349, 0.924, 0.811, 0.358, 1.157, 0.787, 0.603, 0.512, 0.549, 0.601, 0.48, 0.313, 0.278, 0.225, 0.157, 0.161, 0.073, 0.077, 0.016, 0.007, 0.011, 0.005, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 3.265, 1.257, 1.325, 3.391, 2.683, 4.257, 4.907, 3.13, 1.959, 1.015, 2.132, 2.3, 1.705, 0.733, 0.735, 0.295, 0.346, 0.182, 0.059, 0.051, 0.039, 0.0, 0.012, 0.0, 0.0, 0.0]]","[[[3, 5], [6, 3], [3, 6], [4, 6], [6, 7], [2, 4], [1, 5], [4, 3], [3, 3], [2, 6], [6, 6], [3, 8], [6, 8], [6, 5], [7, 6], [5, 3], [3, 2], [3, 1], [8, 6], [5, 1], [1, 3], [4, 8], [8, 4], [2, 3], [7, 7], [2, 7], [7, 2], [7, 1], [2, 2], [8, 2]], [[5, 6], [3, 4], [2, 5], [6, 4], [7, 8], [1, 4], [1, 6], [4, 7], [5, 7], [5, 2], [7, 4], [4, 2], [5, 8], [7, 5], [1, 7], [8, 7], [2, 1], [4, 1], [8, 5], [6, 1], [1, 2], [2, 8], [8, 3], [3, 7], [6, 2], [8, 8], [7, 3], [8, 1], [1, 8], [1, 1]]]","[30, 30]","[24, 40, 16]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0]",00:37,"[[0.132, 0.195, 0.417, 0.678, 0.323, 0.141, 0.52, 0.416, 0.387, 0.232, 0.201, 0.516, 0.586, 0.669, 0.94, 0.763, 0.805, 0.386, 0.391, 0.425, 0.131, 0.071, 0.001, 0.001, 0.033, 0.001, 0.005, 0.005, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.646, 1.454, 1.088, 0.75, 1.848, 3.68, 3.539, 2.722, 2.493, 2.873, 1.323, 1.739, 1.115, 0.459, 0.272, 0.245, 0.146, 0.059, 0.034, 0.013, 0.001, 0.0, 0.0]]","[[[6, 5], [3, 3], [6, 3], [6, 7], [6, 1], [3, 1], [3, 4], [1, 3], [8, 4], [8, 6], [5, 8], [3, 5], [1, 5], [2, 6], [5, 2], [4, 7], [3, 8], [5, 7], [7, 4], [4, 1], [5, 6], [1, 6], [1, 8], [1, 1], [7, 8], [8, 8], [7, 5], [7, 2], [8, 1]], [[5, 3], [3, 6], [4, 3], [6, 6], [6, 2], [3, 2], [2, 3], [2, 5], [7, 3], [7, 6], [6, 8], [4, 8], [2, 4], [1, 4], [1, 7], [8, 3], [3, 7], [4, 6], [2, 8], [5, 1], [4, 2], [6, 4], [1, 2], [2, 2], [2, 7], [7, 7], [2, 1], [8, 5], [7, 1], [8, 2], [8, 7]]]","[29, 31]","[36, 28, 8]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",01:08,"[[0.105, 0.149, 0.228, 0.457, 1.02, 0.807, 0.956, 1.645, 0.753, 1.161, 1.191, 0.62, 0.241, 0.348, 1.18, 0.827, 0.687, 0.291, 0.335, 0.24, 0.129, 0.137, 0.115, 0.061, 0.026, 0.035, 0.011, 0.009, 0.002, 0.0], [0.0, 0.0, 0.0, 0.0, 4.568, 6.478, 5.103, 2.119, 3.201, 3.63, 3.385, 5.838, 2.319, 1.774, 3.778, 3.724, 3.808, 1.952, 1.038, 0.781, 0.001, 0.373, 0.253, 0.223, 0.0, 0.05, 0.0, 0.003, 0.001, 0.0]]","[[[6, 4], [3, 6], [3, 3], [5, 3], [6, 3], [2, 5], [3, 5], [1, 4], [1, 3], [1, 6], [2, 6], [7, 5], [4, 8], [2, 8], [6, 6], [5, 7], [3, 2], [5, 1], [8, 3], [2, 7], [8, 4], [8, 6], [4, 2], [6, 8], [2, 1], [2, 2], [7, 2], [7, 4], [8, 2], [7, 7]], [[4, 3], [4, 6], [6, 5], [3, 4], [5, 6], [2, 4], [2, 3], [1, 5], [1, 2], [1, 7], [4, 7], [3, 7], [3, 8], [6, 2], [7, 3], [5, 2], [3, 1], [4, 1], [6, 1], [8, 5], [1, 8], [5, 8], [6, 7], [7, 8], [1, 1], [7, 6], [8, 1], [7, 1], [8, 7], [8, 8]]]","[30, 30]","[18, 46, 28]",-1
"[-1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0]",00:50,"[[0.133, 0.191, 0.305, 0.922, 1.057, 0.878, 0.655, 0.659, 1.052, 0.71, 0.693, 0.629, 0.413, 0.304, 0.339, 0.647, 0.638, 0.448, 0.43, 0.168, 0.0, 0.187, 0.0, 0.077, 0.024, 0.007, 0.005, 0.002, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 3.044, 3.596, 1.86, 3.524, 2.667, 3.057, 1.548, 1.223, 2.402, 1.724, 1.891, 2.435, 2.122, 1.474, 1.536, 1.309, 1.879, 0.662, 0.606, 0.231, 0.064, 0.042, 0.0, 0.0, 0.0]]","[[[6, 5], [4, 3], [5, 2], [7, 3], [6, 1], [3, 2], [2, 3], [4, 1], [7, 6], [6, 7], [8, 3], [8, 6], [3, 5], [5, 8], [3, 7], [2, 5], [4, 6], [1, 3], [1, 5], [5, 6], [1, 1], [2, 1], [8, 1], [7, 2], [1, 4], [3, 8], [2, 7], [7, 7], [8, 7], [1, 7]], [[5, 3], [3, 6], [6, 3], [6, 6], [6, 2], [3, 3], [4, 2], [5, 1], [6, 4], [7, 5], [7, 4], [8, 4], [8, 5], [6, 8], [4, 8], [3, 4], [2, 4], [1, 6], [2, 2], [3, 1], [7, 1], [5, 7], [1, 2], [8, 2], [7, 8], [4, 7], [2, 8], [1, 8], [8, 8], [2, 6]]]","[30, 30]","[35, 29, 6]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0]",00:57,"[[0.105, 0.154, 0.395, 0.507, 0.95, 0.982, 1.177, 1.194, 0.556, 0.835, 0.929, 0.999, 0.382, 0.333, 0.229, 0.292, 0.248, 0.342, 0.218, 0.114, 0.144, 0.021, 0.033, 0.029, 0.004, 0.003, 0.0, 0.001, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 6.608, 6.798, 6.793, 4.142, 3.852, 2.396, 2.713, 2.287, 2.155, 2.374, 1.259, 0.002, 1.981, 0.835, 1.149, 0.511, 0.001, 0.218, 0.132, 0.025, 0.02, 0.005, 0.001, 0.002, 0.0, 0.0]]","[[[4, 6], [6, 3], [3, 3], [3, 5], [3, 6], [5, 2], [5, 3], [4, 1], [3, 1], [6, 1], [6, 2], [5, 7], [8, 4], [8, 2], [6, 6], [7, 2], [8, 5], [2, 5], [1, 5], [1, 3], [1, 7], [7, 7], [2, 3], [7, 8], [4, 8], [2, 6], [1, 1], [8, 7], [2, 2]], [[3, 4], [6, 4], [5, 6], [4, 3], [6, 5], [4, 2], [3, 2], [5, 1], [2, 1], [7, 1], [7, 4], [7, 3], [8, 3], [7, 5], [8, 6], [2, 4], [8, 1], [1, 6], [1, 4], [7, 6], [6, 7], [8, 8], [6, 8], [5, 8], [4, 7], [3, 7], [3, 8], [1, 2], [2, 7], [1, 8], [2, 8]]]","[29, 31]","[17, 47, 30]",-1
"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0]",01:16,"[[0.118, 0.212, 0.243, 0.772, 0.941, 0.717, 0.688, 0.813, 1.289, 0.634, 0.932, 1.231, 1.673, 0.623, 0.365, 1.588, 0.832, 0.256, 0.515, 0.226, 0.001, 0.2, 0.075, 0.115, 0.053, 0.013, 0.0, 0.003, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 3.329, 1.598, 1.696, 4.247, 7.748, 0.001, 4.185, 8.227, 5.664, 4.981, 2.855, 4.754, 2.838, 2.817, 2.397, 0.721, 1.184, 0.486, 0.374, 0.242, 0.077, 0.031, 0.012, 0.002, 0.0]]","[[[6, 5], [4, 3], [5, 2], [7, 3], [6, 1], [3, 5], [7, 6], [6, 7], [2, 7], [8, 6], [4, 6], [2, 4], [1, 3], [3, 1], [5, 1], [2, 8], [5, 7], [4, 8], [1, 6], [2, 6], [8, 8], [1, 5], [5, 8], [8, 3], [2, 1], [8, 5], [8, 1], [7, 2], [1, 1], [7, 8]], [[5, 3], [3, 6], [6, 3], [6, 6], [6, 2], [7, 5], [3, 4], [3, 3], [6, 4], [3, 7], [1, 8], [5, 6], [2, 3], [4, 2], [4, 1], [3, 2], [4, 7], [2, 5], [3, 8], [7, 7], [7, 4], [1, 4], [1, 7], [1, 2], [8, 7], [8, 4], [7, 1], [8, 2], [2, 2], [6, 8]]]","[30, 30]","[28, 36, 8]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:37,"[[0.14, 0.128, 0.224, 0.261, 0.669, 0.313, 0.558, 0.564, 0.815, 0.574, 1.308, 1.082, 0.941, 0.608, 0.411, 0.615, 0.496, 0.468, 0.485, 0.233, 0.055, 0.001, 0.142, 0.046, 0.027, 0.0, 0.005, 0.004, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.878, 2.599, 2.393, 0.828, 1.826, 1.037, 1.973, 0.997, 2.109, 0.685, 0.597, 0.346, 0.49, 0.2, 0.001, 0.123, 0.055, 0.01, 0.003, 0.0]]","[[[3, 5], [6, 3], [3, 6], [4, 6], [6, 7], [2, 4], [1, 5], [4, 3], [3, 3], [2, 6], [1, 3], [2, 3], [3, 7], [3, 8], [3, 2], [5, 1], [7, 5], [7, 6], [8, 4], [4, 1], [5, 8], [1, 8], [6, 2], [2, 2], [8, 3], [8, 1], [2, 1], [8, 5], [8, 8], [7, 7]], [[5, 6], [3, 4], [2, 5], [6, 4], [7, 8], [1, 4], [1, 6], [4, 7], [5, 7], [5, 2], [1, 2], [4, 2], [2, 8], [4, 8], [5, 3], [7, 4], [6, 5], [6, 6], [2, 7], [7, 3], [3, 1], [6, 1], [7, 1], [8, 2], [1, 1], [1, 7], [7, 2], [8, 6], [8, 7], [6, 8]]]","[30, 30]","[35, 29, 6]",1
"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]",01:09,"[[0.149, 0.206, 0.274, 0.789, 0.542, 0.74, 0.787, 1.023, 1.295, 0.602, 1.188, 1.271, 0.807, 0.51, 1.146, 1.707, 0.588, 0.501, 0.223, 0.343, 0.073, 0.048, 0.0, 0.042, 0.03, 0.021, 0.012, 0.001, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 2.217, 2.056, 1.838, 3.895, 6.977, 0.003, 3.12, 7.09, 6.317, 5.556, 2.442, 3.412, 3.48, 1.456, 1.634, 1.175, 0.457, 0.5, 0.256, 0.226, 0.001, 0.0, 0.026, 0.003, 0.0]]","[[[6, 5], [4, 3], [5, 2], [7, 3], [6, 1], [3, 5], [7, 6], [6, 7], [2, 7], [8, 6], [4, 6], [2, 4], [1, 3], [3, 1], [5, 1], [2, 8], [5, 7], [1, 4], [4, 8], [1, 6], [2, 2], [2, 6], [1, 1], [7, 7], [8, 2], [7, 4], [8, 7], [6, 8], [8, 5], [7, 1]], [[5, 3], [3, 6], [6, 3], [6, 6], [6, 2], [7, 5], [3, 4], [3, 3], [6, 4], [3, 7], [1, 8], [5, 6], [2, 3], [4, 2], [4, 1], [3, 2], [4, 7], [1, 5], [2, 5], [1, 2], [1, 7], [3, 8], [2, 1], [7, 8], [8, 3], [8, 1], [8, 8], [5, 8], [8, 4], [7, 2]]]","[30, 30]","[21, 43, 22]",-1
