Board,Game Time,Move Time,Action List,Action List Count,Score,Winner
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0]",00:15,"[[0.112, 0.185, 0.597, 0.726, 0.831, 0.95, 1.867, 0.722, 0.889, 0.506, 0.476, 0.001, 0.649, 0.003, 0.403, 0.34, 0.383, 0.325, 0.001, 0.183, 0.172, 0.269, 0.274, 0.219, 0.082, 0.024, 0.023, 0.002, 0.001, 0.0], [0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[3, 5], [4, 6], [4, 7], [6, 6], [2, 3], [6, 7], [6, 3], [4, 3], [2, 4], [2, 6], [1, 4], [1, 1], [3, 7], [1, 8], [6, 2], [3, 8], [3, 1], [5, 1], [8, 1], [1, 6], [7, 4], [6, 1], [5, 2], [8, 2], [8, 4], [2, 2], [8, 7], [8, 5], [7, 8], [7, 7]], [[3, 6], [5, 6], [3, 4], [5, 8], [5, 7], [6, 5], [6, 8], [1, 2], [1, 3], [2, 5], [4, 2], [5, 3], [2, 7], [2, 8], [3, 3], [1, 5], [4, 1], [7, 2], [7, 1], [6, 4], [7, 3], [7, 6], [8, 3], [1, 7], [3, 2], [4, 8], [8, 6], [7, 5], [2, 1], [8, 8]]]","[30, 30]","[40, 24, 16]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:08,"[[0.129, 0.243, 0.425, 0.495, 0.38, 0.505, 0.356, 0.003, 0.321, 0.433, 0.759, 0.412, 0.422, 0.002, 0.486, 0.412, 0.375, 0.264, 0.363, 0.103, 0.129, 0.111, 0.001, 0.035, 0.056, 0.03, 0.012, 0.0, 0.004, 0.0], [0.0, 0.001, 0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[6, 5], [7, 5], [5, 3], [5, 2], [6, 3], [7, 4], [8, 3], [8, 1], [4, 3], [3, 3], [6, 2], [3, 5], [5, 6], [1, 1], [3, 7], [8, 6], [1, 3], [3, 4], [2, 4], [2, 1], [8, 2], [7, 7], [8, 8], [6, 8], [1, 5], [8, 7], [1, 7], [1, 8], [5, 8], [4, 8]], [[6, 4], [6, 6], [8, 4], [4, 2], [4, 6], [7, 3], [7, 2], [5, 1], [7, 6], [3, 2], [8, 5], [6, 1], [2, 2], [7, 1], [2, 6], [3, 6], [1, 2], [2, 8], [2, 5], [1, 4], [3, 1], [4, 1], [7, 8], [2, 3], [6, 7], [1, 6], [2, 7], [4, 7], [3, 8], [5, 7]]]","[30, 30]","[38, 26, 12]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:16,"[[0.089, 0.188, 0.11, 0.708, 0.573, 0.779, 0.002, 0.415, 0.702, 0.733, 0.602, 0.807, 1.295, 1.299, 1.016, 2.001, 0.713, 1.88, 0.004, 0.714, 0.192, 0.153, 0.08, 0.057, 0.073, 0.034, 0.026, 0.017, 0.016, 0.0, 0.001, 0.001, 0.0, 0.0], [0.0, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[4, 6], [6, 6], [3, 5], [3, 3], [2, 4], [2, 5], [1, 1], [1, 5], [4, 3], [6, 4], [6, 2], [6, 5], [6, 3], [7, 5], [8, 3], [6, 8], [8, 5], [8, 7], [8, 8], [7, 7], [4, 8], [2, 7], [5, 8], [2, 8], [4, 7], [1, 7], [1, 2], [8, 2], [2, 3], [8, 1], [2, 1], [4, 1], [5, 1], [6, 1]], [[5, 6], [3, 6], [3, 4], [5, 3], [2, 6], [2, 2], [1, 6], [6, 7], [3, 2], [5, 7], [5, 2], [7, 3], [7, 4], [1, 3], [3, 1], [8, 4], [8, 6], [7, 8], [1, 4], [7, 6], [7, 1], [3, 7], [1, 8], [3, 8], [7, 2], [4, 2]]]","[34, 26]","[58, 6, 52]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:12,"[[0.084, 0.159, 0.302, 0.432, 0.309, 1.17, 0.73, 0.73, 0.419, 1.855, 0.552, 0.005, 0.813, 0.605, 0.288, 0.388, 0.362, 0.322, 0.296, 0.289, 0.233, 0.176, 0.003, 0.141, 0.0, 0.036, 0.01, 0.001, 0.006, 0.0], [0.001, 0.001, 0.001, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[6, 5], [7, 5], [5, 3], [5, 6], [5, 7], [7, 4], [3, 4], [7, 7], [3, 3], [7, 6], [8, 5], [8, 8], [8, 2], [6, 8], [4, 2], [4, 1], [4, 8], [8, 6], [6, 1], [3, 8], [2, 1], [2, 8], [1, 1], [7, 1], [8, 1], [3, 6], [1, 7], [1, 8], [1, 3], [1, 5]], [[6, 4], [6, 6], [8, 4], [3, 5], [4, 6], [4, 3], [5, 8], [2, 5], [6, 2], [8, 3], [2, 3], [7, 8], [6, 3], [7, 3], [6, 7], [3, 1], [3, 2], [8, 7], [4, 7], [5, 2], [5, 1], [3, 7], [2, 2], [2, 4], [7, 2], [1, 2], [2, 6], [2, 7], [1, 4], [1, 6]]]","[30, 30]","[51, 13, 38]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:13,"[[0.14, 0.072, 0.383, 0.715, 1.011, 0.704, 0.748, 1.163, 0.715, 0.723, 0.62, 0.609, 0.002, 0.913, 0.002, 0.616, 0.81, 0.361, 0.251, 0.419, 0.366, 0.22, 0.003, 0.183, 0.225, 0.064, 0.0, 0.022, 0.002, 0.001, 0.0], [0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[5, 3], [6, 4], [5, 2], [3, 2], [3, 3], [3, 4], [3, 5], [1, 4], [6, 2], [2, 6], [4, 7], [3, 1], [1, 1], [3, 7], [1, 8], [5, 1], [3, 8], [1, 3], [5, 6], [5, 8], [7, 1], [1, 7], [8, 1], [6, 7], [8, 6], [6, 8], [8, 8], [8, 7], [7, 7], [8, 5], [8, 4]], [[6, 3], [4, 3], [6, 1], [4, 2], [2, 4], [2, 3], [2, 1], [2, 5], [3, 6], [1, 6], [7, 3], [2, 7], [2, 2], [6, 6], [1, 5], [4, 8], [7, 5], [1, 2], [4, 1], [4, 6], [6, 5], [7, 2], [7, 4], [5, 7], [7, 8], [2, 8], [7, 6], [8, 2], [8, 3]]]","[31, 29]","[49, 15, 34]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:10,"[[0.105, 0.226, 0.408, 0.297, 0.789, 0.689, 0.655, 0.956, 0.496, 0.903, 0.622, 0.759, 0.5, 0.372, 0.003, 0.195, 0.086, 0.027, 0.033, 0.097, 0.202, 0.153, 0.148, 0.109, 0.047, 0.064, 0.037, 0.034, 0.005, 0.001, 0.0], [0.0, 0.001, 0.001, 0.001, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[6, 5], [7, 5], [5, 3], [5, 6], [8, 5], [4, 3], [3, 4], [2, 6], [3, 6], [7, 6], [4, 7], [5, 7], [4, 8], [7, 7], [8, 8], [2, 2], [7, 2], [6, 8], [2, 8], [8, 3], [2, 7], [8, 2], [1, 7], [6, 1], [1, 4], [6, 2], [3, 1], [1, 3], [3, 2], [5, 2], [2, 3]], [[6, 4], [6, 6], [8, 6], [3, 5], [6, 3], [4, 6], [3, 3], [8, 4], [7, 4], [1, 6], [2, 5], [6, 7], [3, 8], [3, 7], [7, 8], [8, 7], [1, 1], [8, 1], [5, 8], [7, 3], [1, 8], [7, 1], [5, 1], [4, 2], [2, 4], [1, 5], [4, 1], [2, 1], [1, 2]]]","[31, 29]","[36, 28, 8]",1
"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:15,"[[0.133, 0.066, 0.432, 1.175, 0.927, 0.963, 2.281, 1.643, 1.616, 0.84, 0.763, 0.003, 0.308, 0.448, 0.433, 0.271, 0.2, 0.138, 0.234, 0.108, 0.094, 0.089, 0.087, 0.073, 0.044, 0.002, 0.042, 0.033, 0.029, 0.014, 0.008, 0.001, 0.0], [0.001, 0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[4, 6], [3, 5], [4, 7], [6, 7], [3, 4], [2, 3], [2, 4], [5, 3], [1, 4], [2, 6], [1, 6], [1, 8], [2, 2], [3, 2], [1, 2], [2, 7], [5, 1], [4, 1], [3, 7], [2, 1], [6, 4], [5, 8], [5, 2], [7, 1], [6, 8], [8, 8], [7, 7], [7, 6], [8, 6], [7, 5], [8, 5], [8, 2], [8, 4]], [[3, 6], [5, 6], [3, 3], [2, 5], [4, 3], [1, 3], [1, 5], [4, 8], [6, 5], [1, 7], [6, 2], [7, 8], [1, 1], [4, 2], [2, 8], [3, 1], [6, 1], [3, 8], [7, 3], [6, 3], [5, 7], [8, 1], [8, 7], [6, 6], [7, 4], [8, 3], [7, 2]]]","[33, 27]","[50, 14, 36]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0]",00:14,"[[0.083, 0.333, 0.277, 0.484, 0.945, 1.542, 0.893, 1.208, 0.751, 0.794, 1.217, 1.34, 0.616, 0.002, 0.668, 0.501, 0.483, 0.254, 0.174, 0.135, 0.193, 0.101, 0.001, 0.082, 0.044, 0.035, 0.027, 0.01, 0.01, 0.004, 0.002, 0.0, 0.0], [0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[5, 6], [3, 4], [7, 5], [6, 6], [4, 3], [5, 7], [7, 4], [3, 6], [8, 5], [6, 3], [8, 7], [7, 3], [8, 2], [8, 1], [6, 2], [3, 3], [7, 1], [5, 1], [7, 6], [2, 3], [7, 7], [3, 1], [1, 1], [2, 2], [1, 5], [7, 8], [1, 3], [1, 7], [4, 8], [2, 5], [2, 6], [1, 8], [2, 8]], [[4, 6], [6, 5], [4, 7], [6, 4], [2, 4], [8, 6], [4, 2], [5, 3], [5, 8], [6, 7], [3, 7], [8, 3], [8, 4], [7, 2], [5, 2], [6, 1], [3, 5], [3, 2], [4, 1], [1, 4], [2, 1], [1, 2], [8, 8], [1, 6], [6, 8], [3, 8], [2, 7]]]","[33, 27]","[49, 15, 34]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:23,"[[0.193, 0.123, 0.722, 0.652, 1.544, 0.853, 1.328, 1.609, 1.07, 0.004, 1.637, 3.382, 3.045, 1.048, 0.85, 0.742, 0.876, 0.725, 0.6, 0.001, 0.002, 0.345, 0.383, 0.329, 0.001, 0.071, 0.06, 0.005, 0.001, 0.0, 0.0], [0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[4, 6], [3, 5], [6, 3], [2, 5], [6, 4], [6, 6], [3, 3], [5, 2], [2, 3], [1, 1], [6, 7], [7, 4], [6, 8], [1, 5], [1, 7], [3, 2], [8, 3], [3, 8], [5, 8], [1, 8], [8, 1], [8, 2], [8, 6], [6, 2], [8, 8], [6, 1], [1, 4], [8, 5], [2, 1], [1, 2], [7, 7]], [[3, 6], [5, 6], [2, 4], [5, 3], [7, 3], [4, 3], [7, 6], [2, 2], [3, 4], [1, 6], [5, 7], [4, 2], [6, 5], [7, 5], [2, 6], [4, 8], [3, 7], [4, 1], [2, 8], [7, 2], [7, 1], [1, 3], [2, 7], [8, 7], [4, 7], [3, 1], [8, 4], [7, 8], [5, 1]]]","[31, 29]","[51, 13, 38]",1
"[1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:11,"[[0.138, 0.191, 0.27, 0.583, 0.425, 0.94, 0.804, 0.461, 0.512, 1.137, 0.598, 0.876, 0.498, 0.312, 0.228, 0.299, 0.005, 0.144, 0.253, 0.192, 0.143, 0.064, 0.114, 0.049, 0.04, 0.001, 0.037, 0.017, 0.005, 0.001, 0.0], [0.001, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[6, 5], [7, 5], [5, 3], [5, 2], [5, 6], [3, 3], [3, 4], [6, 3], [3, 6], [2, 5], [2, 4], [1, 4], [6, 2], [2, 2], [7, 3], [8, 3], [8, 1], [2, 7], [1, 6], [2, 1], [7, 1], [3, 1], [1, 2], [7, 6], [8, 7], [8, 8], [6, 7], [7, 8], [2, 8], [8, 5], [4, 8]], [[6, 4], [6, 6], [8, 4], [4, 2], [3, 5], [4, 3], [5, 1], [3, 2], [4, 6], [2, 6], [1, 5], [1, 3], [2, 3], [6, 1], [1, 1], [8, 2], [7, 4], [7, 2], [3, 7], [1, 8], [4, 1], [1, 7], [8, 6], [7, 7], [5, 7], [5, 8], [6, 8], [3, 8], [4, 7]]]","[31, 29]","[43, 21, 22]",1
