Board,Game Time,Move Time,Action List,Action List Count,Score,Winner
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",01:04,"[[0.124, 0.109, 0.655, 0.462, 0.43, 0.581, 1.336, 0.934, 0.867, 1.442, 0.887, 0.725, 1.216, 0.562, 0.595, 0.357, 0.006, 0.193, 0.33, 0.16, 0.294, 0.002, 0.001, 0.112, 0.041, 0.028, 0.001, 0.0, 0.009, 0.001, 0.0, 0.0], [2.216, 2.248, 2.658, 2.432, 2.93, 2.816, 2.398, 2.575, 2.595, 2.339, 2.506, 2.652, 2.093, 1.889, 2.064, 2.135, 1.778, 1.55, 1.578, 1.306, 1.267, 1.206, 1.034, 0.759, 0.842, 0.88, 0.685, 0.0]]","[[[5, 3], [6, 4], [4, 6], [4, 3], [7, 6], [5, 6], [4, 2], [5, 1], [3, 1], [7, 4], [7, 5], [6, 2], [8, 4], [7, 3], [5, 7], [5, 8], [8, 1], [3, 8], [8, 2], [8, 7], [7, 8], [1, 1], [8, 8], [2, 2], [1, 3], [1, 4], [1, 6], [2, 4], [2, 7], [3, 5], [1, 7], [2, 8]], [[6, 3], [6, 5], [3, 3], [3, 6], [3, 4], [5, 2], [3, 2], [6, 1], [6, 7], [8, 3], [6, 6], [4, 7], [8, 6], [8, 5], [4, 8], [7, 1], [7, 2], [6, 8], [3, 7], [4, 1], [2, 1], [7, 7], [2, 3], [1, 2], [1, 5], [2, 6], [2, 5], [1, 8]]]","[32, 28]","[55, 9, 46]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:53,"[[0.142, 0.267, 0.326, 0.227, 0.505, 0.53, 0.003, 0.503, 0.341, 0.007, 0.668, 0.27, 0.292, 0.152, 0.262, 0.198, 0.212, 0.252, 0.287, 0.114, 0.0, 0.114, 0.114, 0.06, 0.0, 0.0, 0.0, 0.017, 0.0], [2.596, 2.573, 2.446, 2.624, 3.001, 2.937, 2.577, 2.279, 2.313, 2.329, 2.423, 1.809, 1.82, 1.765, 1.491, 1.57, 1.676, 1.822, 1.592, 1.638, 0.982, 1.128, 1.126, 0.0, 0.787]]","[[[3, 4], [5, 6], [6, 4], [6, 6], [6, 8], [3, 5], [8, 8], [3, 3], [1, 3], [1, 1], [1, 2], [7, 7], [8, 6], [7, 5], [8, 4], [5, 8], [2, 6], [7, 4], [3, 1], [4, 7], [3, 8], [1, 4], [2, 8], [2, 7], [1, 7], [3, 2], [4, 1], [6, 2], [8, 1]], [[4, 6], [6, 3], [3, 6], [7, 3], [6, 7], [2, 3], [7, 8], [7, 6], [2, 4], [2, 2], [4, 2], [4, 3], [2, 5], [8, 5], [8, 7], [6, 5], [2, 1], [3, 7], [5, 7], [1, 6], [4, 8], [5, 3], [1, 5], [1, 8], [7, 2]]]","[29, 25]","[57, 1, 56]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:49,"[[0.114, 0.073, 0.705, 0.436, 0.655, 0.561, 0.296, 0.292, 0.382, 0.166, 0.129, 0.001, 0.104, 0.226, 0.219, 0.408, 0.138, 0.251, 0.001, 0.083, 0.082, 0.199, 0.098, 0.099, 0.089, 0.127, 0.051, 0.0, 0.008, 0.002, 0.0], [2.135, 2.11, 2.471, 2.296, 1.943, 2.15, 2.268, 1.855, 2.134, 1.86, 1.447, 1.907, 1.434, 1.543, 1.517, 1.502, 1.169, 1.392, 1.493, 1.571, 1.152, 1.271, 1.138, 0.955, 0.871, 0.692, 0.0, 0.751]]","[[[4, 6], [3, 5], [6, 5], [4, 7], [4, 8], [2, 8], [6, 6], [6, 8], [2, 6], [8, 5], [8, 7], [8, 8], [3, 4], [1, 5], [1, 3], [2, 3], [1, 4], [1, 7], [1, 1], [6, 3], [5, 2], [7, 5], [5, 3], [2, 1], [8, 4], [2, 2], [8, 2], [1, 8], [4, 1], [5, 1], [6, 1]], [[3, 6], [5, 6], [7, 6], [3, 8], [2, 5], [3, 3], [5, 8], [6, 7], [1, 6], [8, 6], [7, 8], [2, 4], [5, 7], [7, 7], [4, 3], [3, 7], [1, 2], [6, 4], [6, 2], [4, 2], [3, 2], [7, 4], [7, 3], [3, 1], [2, 7], [8, 3], [8, 1], [7, 1]]]","[31, 28]","[49, 14, 35]",1
"[-1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0]",01:06,"[[0.136, 0.145, 0.17, 0.278, 0.507, 0.545, 0.002, 0.837, 1.032, 0.972, 0.562, 0.004, 1.515, 1.065, 0.445, 0.844, 0.634, 0.65, 0.298, 0.252, 0.146, 0.199, 0.002, 0.041, 0.043, 0.017, 0.016, 0.007, 0.001, 0.0], [2.558, 2.443, 2.497, 2.521, 2.186, 2.598, 2.122, 2.407, 2.714, 2.757, 2.493, 3.081, 2.149, 2.551, 2.241, 0.0, 1.84, 2.061, 1.499, 1.423, 1.631, 1.306, 1.107, 1.067, 1.069, 0.811, 0.947, 0.825, 0.917, 0.708]]","[[[3, 4], [6, 6], [6, 4], [3, 3], [1, 3], [3, 5], [1, 1], [5, 7], [6, 7], [4, 7], [7, 2], [8, 8], [3, 8], [7, 6], [6, 5], [5, 8], [8, 2], [7, 8], [8, 4], [3, 6], [8, 5], [2, 4], [1, 8], [1, 6], [1, 4], [7, 1], [3, 1], [6, 2], [5, 2], [4, 1]], [[4, 6], [2, 3], [6, 3], [4, 3], [7, 3], [5, 3], [2, 2], [5, 6], [3, 7], [2, 6], [3, 2], [7, 7], [7, 5], [1, 2], [4, 8], [8, 1], [6, 8], [7, 4], [8, 6], [8, 3], [2, 5], [8, 7], [2, 7], [1, 7], [1, 5], [2, 8], [6, 1], [2, 1], [4, 2], [5, 1]]]","[30, 30]","[35, 29, 6]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]",00:52,"[[0.119, 0.066, 0.504, 0.415, 0.507, 0.39, 0.359, 0.296, 0.197, 0.524, 1.026, 0.325, 0.695, 0.53, 0.217, 0.382, 0.408, 0.207, 0.001, 0.15, 0.137, 0.123, 0.001, 0.004, 0.074, 0.077, 0.03, 0.015, 0.0, 0.003, 0.0, 0.0], [2.089, 2.149, 2.387, 2.25, 1.833, 2.28, 1.957, 1.992, 1.744, 2.3, 2.104, 1.995, 1.722, 1.656, 1.485, 1.865, 1.656, 1.33, 1.463, 1.365, 1.128, 1.01, 0.95, 0.857, 0.795, 0.83, 0.706]]","[[[4, 6], [3, 5], [6, 5], [4, 7], [4, 8], [2, 8], [6, 6], [2, 6], [7, 4], [5, 3], [7, 8], [5, 8], [3, 7], [7, 5], [2, 4], [1, 5], [1, 7], [1, 4], [1, 3], [7, 3], [8, 3], [1, 2], [1, 8], [1, 1], [3, 1], [4, 1], [4, 2], [8, 7], [8, 1], [7, 2], [7, 7], [7, 1]], [[3, 6], [5, 6], [7, 6], [3, 8], [2, 5], [3, 3], [6, 7], [1, 6], [6, 4], [6, 2], [6, 8], [4, 3], [8, 4], [8, 5], [3, 4], [5, 7], [2, 3], [2, 7], [6, 3], [8, 2], [2, 2], [3, 2], [2, 1], [5, 1], [5, 2], [8, 6], [6, 1]]]","[32, 27]","[55, 8, 47]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",01:04,"[[0.141, 0.293, 0.434, 0.478, 0.586, 0.689, 0.533, 0.704, 1.462, 0.79, 1.088, 0.782, 0.745, 0.746, 0.007, 0.611, 0.223, 0.002, 0.121, 0.001, 0.0, 0.001, 0.002, 0.065, 0.001, 0.057, 0.034, 0.002, 0.015, 0.0, 0.003, 0.0], [2.564, 2.449, 2.452, 2.688, 2.845, 2.422, 3.532, 3.166, 2.818, 2.485, 2.545, 2.52, 2.474, 2.538, 2.134, 2.116, 1.754, 1.637, 1.339, 1.269, 1.272, 0.815, 0.843, 0.814, 0.867, 0.874, 0.677, 0.0]]","[[[4, 3], [6, 5], [5, 6], [7, 5], [3, 5], [2, 3], [3, 3], [3, 7], [2, 6], [6, 3], [1, 3], [3, 1], [4, 2], [2, 4], [1, 1], [4, 6], [1, 6], [1, 8], [1, 5], [2, 8], [5, 1], [3, 8], [5, 8], [7, 3], [5, 7], [6, 1], [7, 2], [8, 1], [8, 6], [8, 8], [8, 4], [7, 8]], [[6, 4], [3, 4], [6, 6], [3, 2], [6, 7], [7, 6], [3, 6], [7, 4], [2, 5], [1, 4], [5, 2], [5, 3], [2, 2], [1, 7], [1, 2], [4, 8], [4, 1], [4, 7], [2, 7], [2, 1], [8, 3], [6, 2], [7, 1], [8, 2], [8, 7], [8, 5], [7, 7], [6, 8]]]","[32, 28]","[54, 10, 44]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:50,"[[0.092, 0.137, 0.492, 0.479, 0.537, 0.553, 0.774, 0.75, 0.655, 0.432, 0.007, 0.584, 0.357, 0.242, 0.215, 0.22, 0.001, 0.002, 0.086, 0.004, 0.001, 0.067, 0.001, 0.002, 0.037, 0.0, 0.014, 0.025, 0.01, 0.0, 0.002, 0.0], [2.286, 2.254, 2.601, 2.515, 2.475, 2.548, 2.66, 2.105, 2.113, 2.067, 1.938, 1.898, 1.97, 1.958, 1.772, 1.553, 1.539, 1.296, 1.238, 0.98, 0.811, 0.835, 0.746, 0.726]]","[[[5, 3], [6, 4], [5, 6], [7, 4], [8, 4], [6, 6], [7, 5], [8, 2], [7, 3], [8, 7], [8, 8], [6, 8], [6, 2], [4, 6], [7, 8], [4, 8], [3, 8], [2, 8], [4, 1], [8, 1], [5, 1], [3, 1], [2, 2], [3, 6], [3, 3], [4, 3], [2, 3], [1, 4], [1, 2], [1, 1], [1, 5], [2, 6]], [[6, 3], [6, 5], [6, 7], [8, 3], [5, 2], [7, 6], [3, 5], [8, 6], [8, 5], [7, 7], [5, 7], [5, 8], [6, 1], [7, 2], [3, 7], [4, 7], [4, 2], [7, 1], [3, 2], [3, 4], [2, 4], [1, 3], [2, 1], [2, 5]]]","[32, 24]","[59, 1, 58]",1
"[-1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0]",01:09,"[[0.129, 0.198, 0.166, 0.533, 0.425, 0.364, 0.498, 0.416, 1.332, 0.91, 1.777, 0.448, 0.347, 0.204, 0.301, 0.181, 0.19, 0.242, 0.002, 0.224, 0.002, 0.08, 0.1, 0.048, 0.0, 0.051, 0.016, 0.009, 0.0], [2.566, 2.345, 2.522, 2.44, 3.357, 2.525, 2.113, 3.06, 2.778, 3.388, 3.357, 3.305, 2.067, 2.027, 2.203, 2.029, 2.125, 1.888, 1.707, 2.045, 1.883, 1.713, 1.284, 0.0, 1.379, 1.017, 1.154, 1.01, 1.001, 0.0, 0.0]]","[[[3, 4], [6, 6], [6, 4], [7, 4], [8, 4], [3, 7], [6, 2], [3, 3], [1, 3], [5, 7], [7, 5], [6, 8], [1, 5], [4, 1], [2, 4], [5, 2], [5, 6], [3, 8], [1, 8], [7, 1], [8, 8], [1, 6], [8, 2], [3, 1], [1, 1], [1, 7], [3, 6], [2, 2], [7, 6]], [[4, 6], [2, 3], [6, 3], [6, 5], [8, 5], [8, 3], [4, 7], [4, 3], [7, 3], [3, 2], [6, 7], [6, 1], [1, 4], [2, 8], [2, 1], [8, 6], [4, 8], [5, 3], [2, 5], [5, 1], [7, 7], [3, 5], [4, 2], [8, 1], [2, 7], [1, 2], [2, 6], [5, 8], [7, 2], [7, 8], [8, 7]]]","[29, 31]","[40, 24, 16]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",01:03,"[[0.113, 0.162, 0.538, 0.646, 0.491, 0.937, 1.089, 1.055, 0.583, 0.77, 1.045, 0.704, 0.691, 0.367, 0.007, 0.42, 0.151, 0.0, 0.18, 0.168, 0.005, 0.3, 0.213, 0.127, 0.038, 0.043, 0.001, 0.012, 0.003, 0.0, 0.0], [2.381, 2.079, 2.647, 2.678, 2.669, 2.666, 2.76, 2.261, 2.317, 2.495, 2.147, 2.238, 1.992, 2.08, 1.785, 1.455, 1.393, 1.397, 1.483, 1.371, 1.717, 1.385, 1.449, 1.45, 1.054, 0.938, 0.884, 0.642]]","[[[3, 5], [4, 6], [5, 3], [5, 6], [7, 6], [3, 3], [2, 3], [6, 8], [4, 3], [4, 8], [3, 2], [4, 7], [2, 4], [4, 2], [1, 1], [2, 1], [4, 1], [6, 1], [3, 8], [7, 4], [1, 8], [1, 4], [6, 4], [1, 6], [8, 3], [1, 7], [8, 8], [8, 7], [7, 7], [8, 1], [7, 2]], [[3, 6], [3, 4], [6, 6], [6, 7], [6, 3], [6, 2], [5, 7], [8, 6], [5, 8], [2, 2], [3, 1], [1, 3], [3, 7], [2, 5], [1, 2], [5, 1], [5, 2], [2, 6], [2, 7], [6, 5], [1, 5], [8, 4], [7, 3], [2, 8], [7, 8], [7, 5], [8, 5], [8, 2]]]","[31, 28]","[56, 7, 49]",1
"[-1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",01:09,"[[0.14, 0.256, 0.254, 0.443, 0.866, 0.771, 1.121, 1.307, 1.157, 0.672, 0.706, 0.792, 0.005, 0.551, 0.352, 0.353, 0.379, 0.432, 0.22, 0.357, 0.24, 0.003, 0.17, 0.002, 0.06, 0.001, 0.018, 0.0, 0.002, 0.0], [2.448, 2.345, 2.525, 2.861, 2.79, 2.936, 2.334, 2.443, 3.032, 2.474, 2.524, 2.508, 2.177, 2.078, 1.775, 1.794, 1.841, 1.903, 2.14, 1.511, 1.358, 1.721, 1.339, 1.45, 1.112, 1.054, 0.98, 0.791, 0.675, 0.0]]","[[[4, 3], [6, 5], [5, 6], [3, 3], [7, 3], [6, 6], [3, 2], [5, 3], [3, 1], [2, 4], [8, 3], [6, 3], [8, 1], [5, 1], [3, 6], [3, 7], [1, 6], [5, 7], [2, 1], [3, 8], [8, 6], [1, 8], [5, 8], [8, 8], [6, 8], [1, 1], [1, 2], [8, 7], [6, 1], [1, 4]], [[6, 4], [3, 4], [4, 6], [6, 7], [7, 4], [7, 2], [5, 2], [4, 2], [7, 6], [4, 1], [2, 5], [2, 3], [8, 5], [6, 2], [8, 2], [2, 6], [3, 5], [8, 4], [4, 7], [2, 8], [4, 8], [1, 7], [2, 7], [7, 7], [7, 5], [2, 2], [7, 8], [1, 3], [7, 1], [1, 5]]]","[30, 30]","[46, 18, 28]",1
