Board,Game Time,Move Time,Action List,Action List Count,Score,Winner
"[1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0]",00:07,"[[0.013, 0.013, 0.023, 0.022, 0.038, 0.03, 0.029, 0.031, 0.055, 0.031, 0.025, 0.027, 0.038, 0.014, 0.003, 0.002, 0.014, 0.013, 0.017, 0.012, 0.017, 0.016, 0.008, 0.01, 0.014, 0.004, 0.002, 0.003, 0.002, 0.0], [0.062, 0.141, 0.13, 0.197, 0.234, 0.353, 0.685, 1.074, 0.56, 0.319, 0.232, 0.378, 0.337, 0.204, 0.0, 0.253, 0.175, 0.159, 0.263, 0.199, 0.172, 0.145, 0.115, 0.083, 0.047, 0.02, 0.006, 0.003, 0.0, 0.0]]","[[[4, 6], [6, 5], [7, 5], [8, 3], [3, 7], [3, 3], [3, 8], [5, 8], [2, 8], [6, 8], [6, 4], [6, 7], [8, 5], [8, 6], [1, 1], [8, 8], [7, 7], [5, 3], [4, 2], [3, 1], [1, 3], [1, 6], [6, 3], [1, 4], [1, 2], [3, 2], [4, 1], [7, 3], [7, 1], [8, 2]], [[5, 6], [7, 4], [3, 4], [4, 7], [3, 6], [4, 3], [4, 8], [2, 7], [5, 7], [2, 2], [6, 6], [7, 6], [8, 7], [7, 8], [1, 8], [2, 3], [2, 6], [3, 5], [5, 1], [2, 1], [2, 4], [8, 4], [6, 2], [1, 5], [1, 7], [2, 5], [5, 2], [7, 2], [8, 1], [6, 1]]]","[30, 30]","[30, 34, 4]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:07,"[[0.009, 0.019, 0.028, 0.041, 0.015, 0.034, 0.027, 0.04, 0.019, 0.031, 0.019, 0.019, 0.039, 0.036, 0.037, 0.032, 0.017, 0.011, 0.011, 0.019, 0.012, 0.016, 0.013, 0.007, 0.006, 0.002, 0.001, 0.001, 0.0], [0.076, 0.083, 0.39, 0.443, 0.41, 0.0, 0.359, 0.504, 0.532, 0.354, 0.38, 0.472, 0.0, 0.44, 0.372, 0.379, 0.222, 0.172, 0.091, 0.095, 0.096, 0.133, 0.133, 0.114, 0.061, 0.0, 0.015, 0.0, 0.002, 0.002, 0.0]]","[[[6, 3], [4, 3], [6, 6], [2, 7], [3, 3], [7, 3], [5, 7], [7, 6], [2, 5], [3, 5], [7, 7], [1, 6], [3, 8], [1, 3], [2, 4], [1, 2], [5, 2], [6, 1], [8, 7], [7, 8], [8, 5], [3, 1], [4, 6], [2, 6], [4, 2], [4, 8], [8, 2], [7, 2], [2, 2]], [[5, 3], [6, 4], [3, 6], [5, 6], [3, 4], [1, 8], [6, 5], [4, 7], [5, 8], [1, 4], [8, 6], [7, 5], [8, 8], [1, 5], [2, 3], [6, 2], [8, 3], [5, 1], [7, 1], [7, 4], [3, 2], [8, 4], [6, 8], [6, 7], [1, 7], [1, 1], [2, 8], [8, 1], [3, 7], [4, 1], [2, 1]]]","[29, 31]","[7, 57, 50]",-1
"[1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0]",00:06,"[[0.013, 0.015, 0.021, 0.023, 0.024, 0.033, 0.023, 0.029, 0.026, 0.024, 0.019, 0.023, 0.033, 0.02, 0.003, 0.002, 0.015, 0.016, 0.012, 0.01, 0.011, 0.01, 0.015, 0.012, 0.007, 0.01, 0.002, 0.001, 0.002, 0.0], [0.06, 0.122, 0.147, 0.146, 0.226, 0.42, 0.614, 0.601, 0.417, 0.294, 0.278, 0.343, 0.334, 0.218, 0.0, 0.215, 0.175, 0.189, 0.256, 0.165, 0.157, 0.169, 0.126, 0.092, 0.06, 0.018, 0.008, 0.003, 0.0, 0.0]]","[[[4, 6], [6, 5], [7, 5], [8, 3], [3, 7], [3, 3], [3, 8], [5, 8], [2, 8], [6, 8], [6, 4], [6, 7], [8, 5], [8, 6], [1, 1], [8, 8], [7, 7], [5, 3], [4, 2], [3, 1], [1, 3], [1, 6], [6, 3], [1, 4], [1, 2], [3, 2], [4, 1], [7, 3], [7, 1], [8, 2]], [[5, 6], [7, 4], [3, 4], [4, 7], [3, 6], [4, 3], [4, 8], [2, 7], [5, 7], [2, 2], [6, 6], [7, 6], [8, 7], [7, 8], [1, 8], [2, 3], [2, 6], [3, 5], [5, 1], [2, 1], [2, 4], [8, 4], [6, 2], [1, 5], [1, 7], [2, 5], [5, 2], [7, 2], [8, 1], [6, 1]]]","[30, 30]","[30, 34, 4]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0]",00:08,"[[0.007, 0.012, 0.027, 0.027, 0.027, 0.023, 0.031, 0.021, 0.045, 0.027, 0.029, 0.042, 0.043, 0.017, 0.016, 0.009, 0.028, 0.021, 0.018, 0.013, 0.017, 0.015, 0.013, 0.007, 0.008, 0.004, 0.003, 0.0, 0.0], [0.052, 0.083, 0.339, 0.389, 0.375, 0.0, 0.357, 0.419, 0.573, 0.351, 0.533, 0.456, 0.959, 0.001, 0.47, 0.487, 0.316, 0.28, 0.207, 0.197, 0.156, 0.061, 0.141, 0.086, 0.028, 0.0, 0.0, 0.013, 0.001, 0.001, 0.0]]","[[[6, 3], [4, 3], [6, 6], [2, 7], [3, 3], [7, 3], [5, 7], [7, 6], [2, 4], [1, 3], [1, 5], [7, 7], [2, 5], [8, 7], [8, 4], [8, 2], [5, 1], [7, 1], [4, 2], [3, 2], [2, 1], [6, 7], [3, 5], [7, 8], [4, 8], [3, 7], [4, 6], [1, 7], [2, 8]], [[5, 3], [6, 4], [3, 6], [5, 6], [3, 4], [1, 8], [6, 5], [4, 7], [5, 8], [2, 3], [1, 4], [8, 6], [7, 5], [8, 8], [7, 4], [8, 3], [6, 2], [6, 1], [5, 2], [3, 1], [4, 1], [1, 6], [1, 2], [6, 8], [8, 5], [8, 1], [1, 1], [2, 2], [2, 6], [7, 2], [3, 8]]]","[29, 31]","[12, 52, 40]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:07,"[[0.02, 0.02, 0.033, 0.038, 0.036, 0.047, 0.03, 0.027, 0.028, 0.02, 0.017, 0.04, 0.03, 0.033, 0.003, 0.002, 0.01, 0.021, 0.02, 0.017, 0.02, 0.009, 0.002, 0.013, 0.005, 0.007, 0.002, 0.001, 0.0, 0.0], [0.066, 0.14, 0.16, 0.166, 0.256, 0.492, 0.695, 0.729, 0.493, 0.308, 0.258, 0.372, 0.347, 0.209, 0.133, 0.12, 0.127, 0.135, 0.213, 0.247, 0.198, 0.162, 0.109, 0.079, 0.027, 0.029, 0.014, 0.005, 0.003, 0.0]]","[[[5, 3], [3, 4], [2, 4], [1, 6], [6, 2], [6, 6], [6, 1], [4, 1], [7, 1], [3, 1], [3, 5], [3, 2], [1, 4], [1, 3], [1, 1], [8, 8], [4, 6], [2, 6], [6, 4], [8, 5], [8, 4], [6, 8], [8, 1], [8, 7], [8, 2], [3, 6], [3, 8], [3, 7], [1, 8], [2, 7]], [[4, 3], [2, 5], [6, 5], [5, 2], [6, 3], [5, 6], [5, 1], [7, 2], [4, 2], [7, 7], [3, 3], [2, 3], [1, 2], [2, 1], [2, 2], [6, 7], [1, 5], [4, 7], [7, 4], [7, 3], [8, 3], [8, 6], [7, 6], [7, 5], [7, 8], [5, 7], [4, 8], [5, 8], [1, 7], [2, 8]]]","[30, 30]","[46, 18, 28]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:09,"[[0.01, 0.014, 0.027, 0.032, 0.021, 0.034, 0.041, 0.044, 0.027, 0.034, 0.03, 0.022, 0.025, 0.06, 0.023, 0.019, 0.016, 0.014, 0.011, 0.007, 0.011, 0.007, 0.007, 0.004, 0.007, 0.003, 0.002, 0.001], [0.057, 0.095, 0.386, 0.382, 0.4, 0.001, 0.348, 0.54, 0.6, 0.367, 0.621, 0.559, 0.461, 0.508, 0.599, 0.644, 0.435, 0.487, 0.333, 0.226, 0.0, 0.094, 0.082, 0.0, 0.064, 0.044, 0.018, 0.006, 0.004, 0.001, 0.0, 0.0]]","[[[3, 6], [5, 6], [3, 3], [7, 2], [6, 6], [2, 6], [4, 2], [2, 3], [7, 5], [1, 4], [1, 5], [2, 4], [3, 1], [3, 8], [6, 1], [8, 3], [7, 3], [6, 4], [2, 2], [2, 7], [2, 8], [4, 7], [7, 6], [8, 6], [1, 7], [2, 1], [6, 7], [7, 7]], [[3, 5], [4, 6], [6, 3], [4, 3], [6, 5], [8, 1], [3, 4], [5, 2], [4, 1], [2, 5], [1, 6], [3, 2], [1, 3], [3, 7], [5, 3], [5, 1], [7, 1], [6, 2], [8, 2], [8, 4], [1, 8], [4, 8], [8, 5], [1, 1], [5, 8], [1, 2], [5, 7], [7, 4], [8, 7], [6, 8], [8, 8], [7, 8]]]","[28, 32]","[14, 50, 36]",-1
"[1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0]",00:07,"[[0.014, 0.02, 0.041, 0.031, 0.029, 0.027, 0.034, 0.043, 0.039, 0.032, 0.032, 0.019, 0.033, 0.023, 0.002, 0.004, 0.019, 0.018, 0.021, 0.015, 0.016, 0.013, 0.012, 0.015, 0.012, 0.005, 0.002, 0.002, 0.001, 0.0], [0.058, 0.131, 0.124, 0.188, 0.222, 0.443, 0.832, 0.7, 0.499, 0.32, 0.29, 0.406, 0.388, 0.202, 0.0, 0.229, 0.217, 0.19, 0.22, 0.22, 0.164, 0.186, 0.14, 0.085, 0.059, 0.014, 0.012, 0.002, 0.0, 0.0]]","[[[4, 6], [6, 5], [7, 5], [8, 3], [3, 7], [3, 3], [3, 8], [5, 8], [2, 8], [6, 8], [6, 4], [6, 7], [8, 5], [8, 6], [1, 1], [8, 8], [7, 7], [5, 3], [4, 2], [3, 1], [1, 3], [1, 6], [6, 3], [1, 4], [1, 2], [3, 2], [4, 1], [7, 3], [7, 1], [8, 2]], [[5, 6], [7, 4], [3, 4], [4, 7], [3, 6], [4, 3], [4, 8], [2, 7], [5, 7], [2, 2], [6, 6], [7, 6], [8, 7], [7, 8], [1, 8], [2, 3], [2, 6], [3, 5], [5, 1], [2, 1], [2, 4], [8, 4], [6, 2], [1, 5], [1, 7], [2, 5], [5, 2], [7, 2], [8, 1], [6, 1]]]","[30, 30]","[30, 34, 4]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0]",00:07,"[[0.021, 0.016, 0.046, 0.034, 0.022, 0.03, 0.022, 0.031, 0.035, 0.023, 0.014, 0.042, 0.031, 0.019, 0.019, 0.014, 0.029, 0.025, 0.025, 0.02, 0.019, 0.015, 0.016, 0.011, 0.005, 0.004, 0.001, 0.001, 0.0], [0.057, 0.107, 0.424, 0.449, 0.348, 0.0, 0.383, 0.556, 0.527, 0.394, 0.558, 0.424, 0.497, 0.001, 0.349, 0.4, 0.297, 0.282, 0.184, 0.214, 0.14, 0.07, 0.132, 0.078, 0.034, 0.0, 0.0, 0.006, 0.001, 0.0, 0.0]]","[[[6, 3], [4, 3], [6, 6], [2, 7], [3, 3], [7, 3], [5, 7], [7, 6], [2, 4], [1, 3], [1, 5], [7, 7], [2, 5], [8, 7], [8, 4], [8, 2], [5, 1], [7, 1], [4, 2], [3, 2], [2, 1], [6, 7], [3, 5], [7, 8], [4, 8], [3, 7], [4, 6], [1, 7], [2, 8]], [[5, 3], [6, 4], [3, 6], [5, 6], [3, 4], [1, 8], [6, 5], [4, 7], [5, 8], [2, 3], [1, 4], [8, 6], [7, 5], [8, 8], [7, 4], [8, 3], [6, 2], [6, 1], [5, 2], [3, 1], [4, 1], [1, 6], [1, 2], [6, 8], [8, 5], [8, 1], [1, 1], [2, 2], [2, 6], [7, 2], [3, 8]]]","[29, 31]","[12, 52, 40]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:07,"[[0.02, 0.017, 0.031, 0.029, 0.031, 0.041, 0.032, 0.033, 0.031, 0.023, 0.021, 0.023, 0.026, 0.015, 0.003, 0.004, 0.012, 0.017, 0.021, 0.018, 0.013, 0.011, 0.002, 0.018, 0.003, 0.009, 0.004, 0.001, 0.0, 0.0], [0.07, 0.137, 0.14, 0.176, 0.174, 0.459, 0.727, 0.626, 0.482, 0.261, 0.278, 0.377, 0.407, 0.267, 0.154, 0.121, 0.108, 0.153, 0.198, 0.239, 0.176, 0.131, 0.104, 0.066, 0.019, 0.012, 0.007, 0.002, 0.001, 0.0]]","[[[4, 6], [6, 5], [7, 5], [8, 3], [3, 7], [3, 3], [3, 8], [5, 8], [2, 8], [6, 8], [6, 4], [6, 7], [8, 5], [8, 6], [8, 8], [1, 1], [5, 3], [7, 3], [3, 5], [1, 4], [1, 5], [3, 1], [1, 8], [1, 2], [1, 7], [6, 3], [6, 1], [6, 2], [8, 1], [7, 2]], [[5, 6], [7, 4], [3, 4], [4, 7], [3, 6], [4, 3], [4, 8], [2, 7], [5, 7], [2, 2], [6, 6], [7, 6], [8, 7], [7, 8], [7, 7], [3, 2], [8, 4], [5, 2], [2, 5], [2, 6], [1, 6], [1, 3], [2, 3], [2, 4], [2, 1], [4, 2], [5, 1], [4, 1], [8, 2], [7, 1]]]","[30, 30]","[46, 18, 28]",1
"[1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:08,"[[0.017, 0.022, 0.035, 0.036, 0.018, 0.032, 0.027, 0.033, 0.029, 0.022, 0.028, 0.02, 0.035, 0.019, 0.013, 0.024, 0.03, 0.016, 0.014, 0.022, 0.02, 0.007, 0.008, 0.009, 0.002, 0.002, 0.002, 0.002, 0.001, 0.0], [0.064, 0.073, 0.393, 0.428, 0.393, 0.001, 0.354, 0.535, 0.52, 0.408, 0.518, 0.538, 0.0, 0.476, 0.433, 0.525, 0.457, 0.388, 0.253, 0.232, 0.199, 0.202, 0.084, 0.0, 0.071, 0.048, 0.02, 0.004, 0.001, 0.0]]","[[[3, 6], [3, 4], [6, 6], [7, 2], [3, 3], [3, 7], [7, 5], [6, 7], [5, 2], [5, 3], [7, 7], [6, 1], [8, 3], [7, 3], [6, 4], [7, 8], [4, 8], [5, 8], [3, 1], [8, 7], [8, 2], [7, 6], [2, 8], [1, 6], [2, 4], [1, 7], [1, 3], [1, 2], [2, 2], [1, 4]], [[3, 5], [4, 6], [6, 3], [6, 5], [4, 3], [8, 1], [5, 6], [7, 4], [8, 5], [4, 1], [6, 8], [5, 7], [8, 8], [5, 1], [7, 1], [6, 2], [4, 7], [4, 2], [3, 2], [3, 8], [2, 6], [8, 4], [8, 6], [1, 8], [2, 1], [2, 7], [1, 5], [2, 3], [2, 5], [1, 1]]]","[30, 30]","[19, 45, 26]",-1
