Board,Game Time,Move Time,Action List,Action List Count,Score,Winner
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0]",00:04,"[[0.019, 0.064, 0.125, 0.087, 0.186, 0.131, 0.143, 0.153, 0.197, 0.439, 0.603, 0.435, 0.47, 0.37, 0.104, 0.162, 0.098, 0.071, 0.183, 0.089, 0.075, 0.03, 0.035, 0.044, 0.008, 0.013, 0.008, 0.0, 0.001, 0.0], [0.0, 0.0, 0.0, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[3, 5], [4, 3], [4, 6], [4, 7], [2, 4], [2, 5], [1, 4], [5, 8], [6, 4], [2, 8], [7, 2], [1, 6], [2, 7], [1, 2], [3, 2], [5, 2], [6, 2], [6, 1], [8, 3], [2, 3], [2, 1], [7, 5], [7, 4], [7, 6], [7, 3], [6, 7], [8, 6], [8, 8], [1, 7], [7, 1]], [[3, 4], [5, 6], [3, 6], [5, 3], [4, 8], [1, 3], [3, 3], [3, 8], [6, 5], [6, 3], [1, 5], [2, 6], [3, 7], [8, 1], [1, 8], [6, 8], [4, 1], [5, 1], [3, 1], [4, 2], [8, 2], [6, 6], [8, 5], [8, 4], [5, 7], [8, 7], [7, 7], [7, 8], [1, 1], [2, 2]]]","[30, 30]","[34, 30, 4]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0]",00:04,"[[0.037, 0.059, 0.109, 0.115, 0.267, 0.227, 0.288, 0.336, 0.485, 0.269, 0.183, 0.188, 0.315, 0.263, 0.176, 0.149, 0.134, 0.002, 0.06, 0.117, 0.093, 0.061, 0.075, 0.041, 0.02, 0.011, 0.008, 0.004, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[6, 5], [3, 5], [5, 3], [4, 3], [3, 6], [6, 3], [5, 7], [4, 7], [7, 4], [8, 5], [8, 2], [7, 3], [6, 8], [2, 8], [6, 7], [1, 5], [1, 7], [8, 8], [4, 2], [7, 2], [6, 2], [7, 6], [2, 7], [7, 1], [6, 1], [2, 2], [2, 1], [1, 2], [2, 3], [8, 7]], [[6, 4], [4, 6], [5, 6], [3, 4], [6, 6], [3, 2], [2, 4], [4, 8], [3, 8], [8, 3], [8, 4], [2, 5], [5, 2], [5, 8], [7, 5], [3, 7], [1, 6], [7, 8], [2, 6], [3, 3], [8, 1], [8, 6], [3, 1], [1, 8], [5, 1], [4, 1], [1, 1], [1, 4], [1, 3], [7, 7]]]","[30, 30]","[37, 27, 10]",1
"[0.0, 0.0, 0.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:02,"[[0.02, 0.048, 0.111, 0.134, 0.233, 0.248, 0.267, 0.194, 0.125, 0.319, 0.21, 0.119, 0.085, 0.063, 0.117, 0.037], [0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[4, 6], [6, 5], [3, 5], [2, 5], [5, 7], [2, 6], [6, 6], [7, 6], [7, 5], [7, 7], [8, 5], [8, 7], [8, 3], [1, 5], [4, 7], [3, 7]], [[5, 6], [3, 4], [3, 6], [6, 4], [1, 6], [5, 8], [6, 7], [8, 6], [8, 4], [8, 8], [2, 4], [7, 4], [8, 2], [1, 4], [4, 8], [3, 8]]]","[16, 16]","[0, 36, 36]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0]",00:03,"[[0.046, 0.065, 0.067, 0.108, 0.071, 0.143, 0.163, 0.342, 0.196, 0.191, 0.005, 0.133, 0.087, 0.095, 0.134, 0.145, 0.203, 0.112, 0.143, 0.112, 0.114, 0.094, 0.084, 0.058, 0.024, 0.014, 0.017, 0.003, 0.0, 0.0, 0.0], [0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0]]","[[[6, 5], [3, 5], [5, 3], [6, 3], [3, 2], [3, 4], [3, 6], [4, 2], [7, 7], [2, 2], [1, 1], [2, 7], [7, 2], [1, 4], [4, 7], [2, 5], [1, 2], [6, 2], [8, 3], [5, 1], [1, 7], [2, 8], [8, 2], [2, 3], [2, 1], [6, 7], [8, 7], [8, 5], [7, 6], [7, 8], [5, 8]], [[6, 4], [4, 6], [5, 6], [4, 3], [7, 3], [3, 3], [6, 6], [2, 6], [4, 1], [3, 1], [1, 3], [2, 4], [8, 8], [3, 7], [1, 8], [8, 1], [3, 8], [1, 6], [1, 5], [6, 1], [5, 7], [5, 2], [8, 4], [7, 5], [7, 4], [7, 1], [6, 8], [8, 6], [4, 8]]]","[31, 29]","[52, 12, 40]",1
"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:04,"[[0.03, 0.056, 0.121, 0.102, 0.245, 0.219, 0.235, 0.29, 0.264, 0.17, 0.333, 0.296, 0.189, 0.156, 0.158, 0.179, 0.171, 0.102, 0.101, 0.048, 0.021, 0.054, 0.081, 0.037, 0.02, 0.013, 0.005, 0.003, 0.001, 0.0], [0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[3, 5], [4, 3], [4, 6], [4, 7], [2, 4], [3, 7], [6, 3], [6, 2], [4, 8], [4, 2], [2, 2], [3, 1], [2, 5], [2, 7], [3, 2], [1, 6], [2, 6], [2, 8], [1, 3], [7, 1], [6, 8], [7, 4], [7, 6], [1, 2], [5, 2], [8, 6], [8, 4], [7, 3], [8, 2], [7, 7]], [[3, 4], [5, 6], [3, 6], [5, 3], [3, 3], [1, 4], [6, 5], [3, 8], [5, 8], [5, 1], [1, 1], [4, 1], [6, 4], [1, 8], [1, 5], [6, 1], [2, 3], [5, 7], [1, 7], [2, 1], [8, 1], [6, 6], [8, 5], [7, 8], [6, 7], [7, 5], [8, 3], [7, 2], [8, 7], [8, 8]]]","[30, 30]","[27, 37, 10]",-1
"[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:03,"[[0.032, 0.045, 0.084, 0.09, 0.096, 0.122, 0.223, 0.272, 0.187, 0.131, 0.152, 0.353, 0.235, 0.458, 0.005, 0.134, 0.156, 0.212, 0.002, 0.001, 0.0, 0.088, 0.06, 0.085, 0.041, 0.02, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[5, 6], [5, 3], [3, 5], [3, 4], [5, 2], [4, 7], [7, 7], [7, 5], [2, 2], [7, 3], [2, 5], [8, 4], [7, 4], [5, 7], [8, 8], [1, 5], [1, 3], [1, 7], [2, 3], [8, 7], [8, 2], [3, 1], [3, 8], [7, 8], [2, 8], [7, 6], [1, 8], [1, 2], [7, 2], [2, 6], [6, 2], [4, 2], [3, 2]], [[4, 6], [6, 4], [6, 5], [4, 3], [3, 6], [6, 6], [5, 1], [5, 8], [3, 3], [8, 5], [6, 3], [8, 3], [1, 4], [8, 6], [6, 8], [4, 8], [1, 1], [1, 6], [2, 4], [2, 1], [4, 1], [3, 7], [6, 7], [2, 7]]]","[33, 24]","[54, 7, 47]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0]",00:05,"[[0.021, 0.069, 0.076, 0.081, 0.144, 0.114, 0.224, 0.332, 0.264, 0.558, 0.613, 0.339, 0.448, 0.005, 0.279, 0.583, 0.287, 0.192, 0.178, 0.122, 0.109, 0.165, 0.086, 0.062, 0.039, 0.004, 0.002, 0.001, 0.0, 0.0], [0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[3, 5], [6, 5], [4, 3], [4, 6], [6, 6], [6, 4], [2, 5], [2, 6], [6, 3], [7, 4], [2, 2], [7, 7], [7, 2], [8, 1], [1, 5], [1, 7], [8, 5], [1, 3], [8, 2], [3, 1], [4, 1], [7, 1], [5, 8], [3, 2], [7, 8], [3, 7], [6, 7], [8, 7], [2, 7], [2, 1]], [[5, 6], [3, 4], [5, 3], [3, 3], [3, 6], [4, 7], [1, 6], [5, 7], [7, 3], [8, 3], [7, 6], [2, 4], [6, 1], [4, 2], [1, 1], [8, 8], [1, 4], [8, 4], [2, 3], [5, 2], [5, 1], [7, 5], [6, 8], [3, 8], [4, 8], [8, 6], [6, 2], [2, 8], [1, 8], [1, 2]]]","[30, 30]","[34, 30, 4]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0]",00:03,"[[0.037, 0.05, 0.115, 0.166, 0.222, 0.172, 0.27, 0.251, 0.138, 0.122, 0.161, 0.141, 0.092, 0.027, 0.062, 0.131, 0.005, 0.108, 0.078, 0.079, 0.083, 0.093, 0.058, 0.043, 0.019, 0.0, 0.009, 0.001, 0.0, 0.0], [0.001, 0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[6, 5], [3, 5], [4, 3], [6, 7], [5, 7], [6, 6], [7, 5], [8, 5], [5, 2], [2, 5], [4, 7], [3, 8], [6, 3], [7, 8], [4, 2], [7, 3], [8, 8], [7, 6], [2, 2], [2, 3], [6, 1], [4, 1], [2, 4], [1, 5], [1, 2], [8, 1], [2, 7], [8, 2], [1, 7], [2, 8]], [[6, 4], [4, 6], [5, 6], [5, 3], [3, 4], [5, 8], [6, 8], [8, 6], [8, 4], [5, 1], [1, 6], [4, 8], [3, 6], [6, 2], [7, 7], [3, 3], [8, 3], [7, 4], [3, 7], [3, 2], [1, 1], [1, 3], [3, 1], [1, 4], [2, 6], [7, 2], [2, 1], [7, 1], [8, 7], [1, 8]]]","[30, 30]","[32, 32, 0]",0
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:07,"[[0.036, 0.034, 0.138, 0.089, 0.298, 0.305, 0.247, 0.358, 0.931, 0.487, 0.534, 0.286, 0.181, 0.279, 0.344, 0.51, 0.343, 0.298, 0.29, 0.233, 0.109, 0.088, 0.066, 0.061, 0.023, 0.013, 0.002, 0.002, 0.0, 0.0, 0.0], [0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[3, 5], [4, 3], [4, 6], [4, 7], [2, 4], [3, 7], [6, 3], [6, 2], [7, 2], [7, 1], [6, 7], [1, 3], [4, 2], [7, 5], [5, 8], [2, 7], [2, 8], [8, 5], [8, 7], [7, 7], [3, 2], [7, 3], [1, 6], [8, 2], [2, 5], [7, 6], [4, 1], [7, 8], [1, 2], [1, 1], [1, 7]], [[3, 4], [5, 6], [3, 6], [5, 3], [1, 4], [3, 3], [6, 4], [6, 1], [6, 5], [8, 1], [4, 8], [6, 6], [3, 1], [8, 6], [3, 8], [1, 8], [1, 5], [6, 8], [8, 4], [8, 8], [2, 3], [5, 1], [7, 4], [8, 3], [2, 6], [5, 2], [5, 7], [2, 2], [2, 1]]]","[31, 29]","[30, 34, 4]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:04,"[[0.034, 0.051, 0.147, 0.114, 0.113, 0.281, 0.312, 0.301, 0.285, 0.007, 0.271, 0.327, 0.323, 0.25, 0.229, 0.28, 0.16, 0.103, 0.001, 0.066, 0.001, 0.061, 0.002, 0.028, 0.002, 0.033, 0.02, 0.008, 0.004, 0.001, 0.0], [0.001, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[5, 6], [5, 3], [3, 4], [3, 5], [6, 6], [7, 4], [8, 4], [7, 6], [7, 7], [8, 8], [8, 7], [4, 2], [8, 2], [6, 2], [5, 7], [3, 1], [6, 7], [7, 1], [5, 8], [3, 2], [1, 1], [7, 3], [3, 8], [2, 4], [8, 1], [1, 2], [2, 2], [1, 5], [2, 7], [2, 6], [1, 8]], [[4, 6], [6, 4], [6, 5], [4, 3], [6, 3], [4, 7], [8, 5], [8, 3], [8, 6], [6, 8], [7, 8], [3, 3], [4, 1], [3, 6], [6, 1], [4, 8], [5, 1], [5, 2], [7, 5], [2, 1], [7, 2], [2, 3], [1, 4], [1, 3], [2, 5], [1, 6], [3, 7], [1, 7], [2, 8]]]","[31, 29]","[52, 12, 40]",1
