Board,Game Time,Move Time,Action List,Action List Count,Score,Winner
"[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0]",01:39,"[[0.146, 0.289, 0.477, 0.401, 0.732, 0.859, 1.563, 0.827, 1.064, 1.006, 2.125, 1.778, 0.004, 0.681, 0.003, 1.008, 0.752, 1.149, 0.931, 0.417, 0.594, 0.341, 0.284, 0.131, 0.103, 0.001, 0.031, 0.007, 0.001, 0.0], [0.359, 0.934, 1.601, 2.987, 3.842, 5.241, 8.196, 8.196, 5.758, 6.227, 5.178, 2.828, 2.704, 3.766, 1.843, 2.953, 3.114, 4.207, 4.358, 3.743, 1.13, 0.814, 0.616, 0.423, 0.221, 0.167, 0.039, 0.004, 0.0, 0.0]]","[[[5, 3], [3, 4], [3, 3], [5, 6], [6, 6], [3, 6], [1, 6], [1, 4], [6, 1], [2, 3], [4, 6], [3, 7], [1, 8], [6, 4], [8, 8], [4, 1], [6, 3], [8, 6], [8, 4], [7, 4], [7, 5], [1, 3], [2, 8], [5, 8], [8, 3], [1, 1], [4, 7], [2, 1], [8, 1], [7, 8]], [[4, 3], [6, 5], [5, 2], [3, 5], [4, 2], [2, 6], [2, 5], [2, 4], [3, 2], [5, 1], [2, 7], [7, 7], [7, 1], [6, 7], [7, 6], [3, 1], [1, 5], [8, 5], [8, 7], [6, 2], [1, 7], [3, 8], [4, 8], [7, 3], [2, 2], [5, 7], [1, 2], [7, 2], [8, 2], [6, 8]]]","[30, 30]","[38, 26, 12]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",01:21,"[[0.163, 0.261, 0.529, 0.545, 0.799, 0.979, 0.85, 0.949, 1.117, 0.003, 0.928, 1.204, 0.003, 0.548, 0.542, 0.501, 0.555, 0.417, 0.387, 0.499, 0.359, 0.186, 0.001, 0.066, 0.06, 0.021, 0.001, 0.0, 0.003, 0.0], [0.478, 0.708, 1.096, 2.439, 3.547, 3.13, 3.26, 6.509, 6.903, 5.604, 7.523, 4.268, 2.151, 1.714, 3.212, 0.781, 2.501, 1.874, 3.438, 3.776, 1.312, 0.74, 0.627, 0.288, 0.17, 0.042, 0.011, 0.005, 0.0, 0.0]]","[[[4, 3], [6, 5], [3, 3], [6, 6], [6, 2], [8, 4], [7, 4], [7, 3], [2, 4], [1, 1], [7, 6], [5, 2], [8, 1], [1, 5], [8, 6], [3, 7], [2, 6], [3, 6], [1, 2], [5, 8], [5, 7], [3, 8], [1, 8], [1, 7], [2, 1], [3, 2], [8, 8], [7, 1], [4, 1], [7, 7]], [[6, 4], [3, 4], [5, 6], [4, 6], [5, 3], [7, 5], [6, 7], [6, 3], [2, 2], [3, 5], [1, 3], [7, 2], [8, 7], [3, 1], [8, 5], [8, 3], [4, 7], [1, 4], [2, 5], [6, 1], [2, 8], [1, 6], [2, 3], [4, 8], [4, 2], [2, 7], [8, 2], [6, 8], [5, 1], [7, 8]]]","[30, 30]","[48, 16, 32]",1
"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:46,"[[0.149, 0.232, 0.377, 0.818, 0.334, 1.18, 0.005, 0.439, 0.709, 0.693, 0.397, 0.512, 0.381, 0.489, 0.487, 0.533, 0.002, 0.278, 0.348, 0.312, 0.259, 0.002, 0.142, 0.137, 0.063, 0.014, 0.017, 0.009, 0.002, 0.0], [0.474, 0.555, 2.277, 1.638, 1.704, 1.438, 3.008, 2.858, 5.431, 3.236, 2.101, 1.22, 0.68, 1.04, 1.525, 0.642, 1.005, 1.259, 0.876, 0.678, 0.656, 1.491, 0.321, 0.367, 0.183, 0.095, 0.022, 0.0, 0.0, 0.0]]","[[[6, 4], [5, 6], [6, 6], [8, 6], [4, 6], [5, 7], [8, 8], [3, 8], [7, 4], [7, 8], [6, 7], [8, 4], [3, 7], [3, 6], [1, 6], [2, 5], [1, 8], [7, 3], [6, 2], [5, 3], [1, 5], [8, 1], [7, 2], [4, 1], [3, 3], [5, 2], [2, 3], [2, 1], [1, 2], [7, 1]], [[6, 5], [4, 3], [7, 5], [4, 7], [7, 7], [8, 5], [8, 7], [6, 8], [7, 6], [5, 8], [4, 8], [6, 3], [2, 6], [3, 5], [2, 7], [2, 8], [2, 4], [1, 4], [1, 7], [8, 2], [8, 3], [3, 4], [4, 2], [3, 1], [5, 1], [1, 3], [3, 2], [1, 1], [2, 2], [6, 1]]]","[30, 30]","[38, 26, 12]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0]",01:14,"[[0.146, 0.313, 0.431, 0.556, 1.112, 1.197, 1.703, 1.29, 0.003, 1.31, 0.882, 1.128, 0.005, 1.204, 0.905, 1.049, 0.624, 0.304, 0.136, 0.25, 0.266, 0.145, 0.14, 0.002, 0.094, 0.05, 0.018, 0.001, 0.001, 0.0], [0.526, 0.69, 1.037, 1.789, 3.127, 4.425, 2.849, 6.637, 4.049, 3.413, 3.761, 3.109, 3.987, 4.69, 3.815, 4.477, 2.757, 0.614, 0.614, 0.325, 0.401, 0.306, 0.175, 0.293, 0.266, 0.098, 0.038, 0.006, 0.001, 0.0]]","[[[4, 3], [6, 5], [3, 3], [6, 6], [6, 2], [6, 3], [8, 5], [4, 8], [8, 8], [3, 7], [7, 3], [7, 4], [8, 1], [8, 7], [3, 8], [7, 8], [5, 8], [5, 2], [3, 2], [8, 3], [7, 1], [4, 1], [2, 5], [1, 8], [1, 7], [1, 2], [3, 1], [1, 1], [1, 6], [1, 3]], [[6, 4], [3, 4], [5, 6], [4, 6], [5, 3], [7, 5], [5, 7], [7, 6], [7, 7], [6, 8], [7, 2], [6, 1], [6, 7], [4, 7], [3, 5], [4, 2], [8, 2], [8, 4], [5, 1], [2, 4], [8, 6], [2, 1], [3, 6], [2, 8], [2, 7], [2, 3], [1, 4], [2, 6], [2, 2], [1, 5]]]","[30, 30]","[52, 12, 40]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",01:29,"[[0.179, 0.306, 0.411, 0.512, 0.665, 0.764, 1.392, 2.211, 1.241, 1.862, 1.131, 1.078, 1.26, 1.836, 1.144, 0.516, 0.007, 0.966, 0.004, 0.474, 0.52, 0.645, 0.004, 0.003, 0.0, 0.001, 0.044, 0.037, 0.015, 0.001, 0.0], [0.501, 1.008, 1.058, 1.729, 2.447, 4.182, 7.09, 8.366, 4.997, 5.733, 5.267, 4.152, 4.042, 2.969, 2.003, 3.727, 2.757, 1.068, 0.66, 3.752, 1.508, 0.519, 0.345, 0.254, 0.053, 0.016, 0.007, 0.0, 0.0]]","[[[4, 6], [6, 5], [3, 3], [6, 6], [3, 8], [3, 6], [3, 5], [5, 8], [7, 3], [8, 3], [6, 3], [2, 5], [5, 3], [8, 5], [6, 8], [1, 3], [1, 8], [1, 5], [8, 8], [8, 6], [1, 7], [8, 7], [8, 1], [1, 1], [7, 2], [7, 7], [2, 2], [3, 2], [6, 1], [4, 1], [3, 1]], [[5, 6], [3, 4], [4, 3], [4, 7], [6, 4], [3, 7], [4, 8], [2, 6], [7, 4], [2, 4], [4, 2], [8, 4], [5, 7], [7, 5], [7, 6], [2, 7], [2, 8], [7, 8], [1, 6], [6, 2], [1, 4], [8, 2], [1, 2], [6, 7], [2, 3], [5, 2], [5, 1], [7, 1], [2, 1]]]","[31, 29]","[55, 9, 46]",1
"[1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",01:44,"[[0.196, 0.358, 0.474, 0.524, 0.767, 0.933, 1.502, 1.075, 0.004, 1.11, 0.756, 1.113, 1.298, 1.048, 1.736, 1.374, 0.681, 0.241, 0.504, 0.453, 0.613, 0.481, 0.435, 0.193, 0.045, 0.024, 0.005, 0.003, 0.0, 0.0], [0.56, 0.947, 1.428, 1.929, 4.493, 7.13, 5.254, 9.964, 5.468, 2.864, 5.725, 3.437, 5.943, 4.75, 5.67, 5.041, 4.544, 2.04, 2.038, 3.322, 1.899, 0.003, 0.852, 0.538, 0.003, 0.157, 0.037, 0.013, 0.0, 0.001]]","[[[5, 6], [3, 4], [6, 6], [3, 3], [3, 6], [2, 3], [1, 3], [6, 2], [8, 8], [7, 8], [7, 6], [5, 7], [3, 7], [6, 1], [4, 1], [2, 1], [7, 3], [8, 2], [8, 5], [5, 8], [8, 7], [2, 6], [2, 8], [7, 5], [7, 4], [2, 2], [8, 4], [2, 7], [1, 7], [1, 5]], [[3, 5], [6, 5], [4, 3], [5, 3], [4, 6], [2, 4], [4, 2], [7, 7], [5, 2], [6, 7], [7, 2], [6, 8], [4, 7], [4, 8], [5, 1], [3, 1], [3, 2], [6, 4], [8, 6], [2, 5], [6, 3], [8, 1], [3, 8], [7, 1], [1, 1], [8, 3], [1, 2], [1, 6], [1, 8], [1, 4]]]","[30, 30]","[33, 31, 2]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0]",01:11,"[[0.145, 0.266, 0.32, 0.866, 0.696, 0.819, 0.732, 1.221, 0.991, 1.273, 1.07, 0.964, 1.012, 0.421, 0.544, 0.337, 0.275, 0.638, 0.001, 0.351, 0.001, 0.001, 0.02, 0.007, 0.005, 0.002, 0.0, 0.0], [0.403, 0.765, 1.336, 2.033, 1.797, 4.265, 4.442, 5.661, 4.379, 6.264, 3.837, 4.001, 3.302, 2.966, 2.289, 2.893, 2.874, 1.797, 1.785, 0.001, 0.568, 0.002, 0.0, 0.0, 0.414, 0.0, 0.1, 0.0, 0.05, 0.008, 0.003, 0.0]]","[[[4, 6], [6, 5], [3, 3], [6, 6], [3, 8], [6, 3], [4, 8], [8, 6], [8, 3], [6, 7], [2, 4], [3, 7], [3, 5], [6, 2], [4, 1], [8, 4], [6, 1], [4, 2], [8, 8], [1, 5], [8, 1], [1, 8], [1, 7], [3, 1], [1, 4], [1, 2], [1, 1], [2, 2]], [[5, 6], [3, 4], [4, 3], [4, 7], [6, 4], [5, 7], [7, 5], [7, 4], [6, 8], [7, 8], [5, 3], [3, 6], [7, 6], [5, 2], [8, 5], [5, 1], [2, 5], [7, 7], [8, 7], [5, 8], [7, 2], [8, 2], [7, 3], [7, 1], [2, 7], [2, 8], [1, 6], [2, 6], [3, 2], [1, 3], [2, 3], [2, 1]]]","[28, 32]","[28, 36, 8]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0]",01:35,"[[0.122, 0.254, 0.484, 0.747, 0.526, 1.236, 0.84, 1.009, 0.005, 0.985, 0.597, 0.914, 0.681, 0.796, 1.041, 0.004, 0.005, 0.975, 0.679, 0.549, 0.383, 0.456, 0.274, 0.002, 0.168, 0.065, 0.053, 0.005, 0.0, 0.0], [0.474, 0.911, 1.035, 2.168, 3.825, 7.52, 3.002, 12.624, 3.518, 5.507, 4.572, 3.436, 3.368, 4.143, 2.983, 2.627, 1.816, 3.185, 4.153, 2.547, 3.148, 2.134, 0.887, 0.745, 0.871, 0.239, 0.127, 0.032, 0.005, 0.001]]","[[[4, 3], [6, 5], [3, 3], [6, 6], [6, 3], [7, 6], [8, 6], [3, 7], [1, 1], [2, 1], [2, 3], [4, 1], [5, 2], [6, 7], [3, 6], [8, 8], [1, 8], [6, 8], [6, 1], [3, 8], [1, 2], [1, 4], [8, 3], [8, 1], [5, 8], [2, 8], [1, 6], [8, 5], [7, 4], [1, 5]], [[6, 4], [3, 4], [5, 6], [4, 6], [5, 3], [7, 5], [5, 7], [2, 2], [4, 7], [3, 2], [2, 7], [3, 1], [4, 2], [1, 3], [7, 8], [7, 7], [3, 5], [2, 6], [6, 2], [8, 7], [5, 1], [7, 3], [8, 4], [7, 2], [7, 1], [4, 8], [2, 4], [1, 7], [8, 2], [2, 5]]]","[30, 30]","[34, 30, 4]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",01:48,"[[0.167, 0.259, 0.407, 0.592, 0.935, 0.764, 1.725, 2.461, 1.199, 1.753, 1.521, 1.494, 0.003, 1.593, 0.871, 1.27, 0.768, 0.264, 0.274, 0.183, 0.004, 0.169, 0.002, 0.144, 0.002, 0.045, 0.043, 0.013, 0.003, 0.0], [0.639, 0.796, 1.594, 2.949, 3.181, 8.751, 9.835, 6.92, 5.241, 4.909, 8.734, 2.942, 14.373, 4.858, 4.735, 3.046, 2.594, 0.835, 0.663, 0.34, 0.297, 0.209, 0.581, 0.212, 0.137, 0.134, 0.025, 0.01, 0.001, 0.0]]","[[[6, 4], [5, 6], [6, 6], [3, 4], [3, 3], [4, 7], [2, 6], [1, 5], [8, 3], [8, 5], [3, 5], [6, 7], [8, 8], [8, 7], [2, 3], [1, 7], [1, 4], [7, 3], [5, 8], [4, 8], [8, 1], [5, 3], [1, 8], [1, 3], [1, 1], [6, 1], [2, 1], [7, 2], [3, 1], [6, 2]], [[6, 5], [4, 3], [7, 4], [4, 6], [7, 5], [3, 6], [2, 4], [3, 2], [8, 4], [5, 7], [7, 7], [8, 6], [7, 6], [2, 5], [1, 6], [1, 2], [2, 7], [3, 8], [3, 7], [8, 2], [7, 8], [6, 8], [2, 8], [5, 2], [2, 2], [6, 3], [4, 1], [4, 2], [5, 1], [7, 1]]]","[30, 30]","[33, 31, 2]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",02:17,"[[0.135, 0.193, 0.595, 0.671, 0.575, 1.457, 1.371, 4.494, 2.365, 2.651, 2.502, 0.003, 1.662, 1.142, 0.91, 0.381, 0.004, 0.32, 0.004, 0.457, 0.298, 0.222, 0.129, 0.119, 0.054, 0.038, 0.016, 0.003, 0.0, 0.0], [0.559, 0.931, 0.955, 1.778, 4.767, 4.735, 5.834, 11.779, 10.055, 15.722, 10.03, 12.97, 12.973, 6.892, 4.45, 2.614, 1.089, 1.359, 1.31, 0.55, 0.985, 0.675, 0.399, 0.228, 0.067, 0.075, 0.041, 0.01, 0.001, 0.0]]","[[[4, 3], [6, 5], [3, 3], [6, 6], [6, 2], [6, 3], [4, 7], [2, 3], [7, 4], [5, 8], [6, 7], [8, 8], [7, 8], [8, 7], [8, 5], [5, 2], [8, 1], [4, 2], [1, 1], [8, 3], [1, 3], [1, 5], [3, 8], [3, 6], [6, 1], [2, 8], [2, 1], [1, 7], [1, 8], [5, 1]], [[6, 4], [3, 4], [5, 6], [4, 6], [5, 3], [7, 5], [5, 7], [7, 6], [3, 5], [8, 4], [6, 8], [7, 7], [8, 6], [7, 2], [2, 4], [1, 2], [7, 1], [8, 2], [2, 2], [4, 8], [7, 3], [1, 4], [3, 1], [2, 5], [3, 7], [2, 6], [3, 2], [1, 6], [2, 7], [4, 1]]]","[30, 30]","[57, 7, 50]",1
