Board,Game Time,Move Time,Action List,Action List Count,Score,Winner
"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",0:11,"[[0.098, 0.193, 0.401, 0.404, 0.342, 0.53, 0.292, 0.355, 0.363, 0.512, 0.561, 0.254, 0.55, 0.293, 0.002, 0.183, 0.0, 0.11, 0.202, 0.163, 0.12, 0.067, 0.09, 0.063, 0.036, 0.014, 0.012, 0.007, 0.0, 0.0, 0.0], [3.123, 0.068, 0.061, 0.075, 0.052, 0.057, 0.058, 0.0, 0.056, 0.076, 0.054, 0.064, 0.059, 0.049, 0.056, 0.049, 0.058, 0.055, 0.067, 0.049, 0.053, 0.05, 0.052, 0.052, 0.051, 0.051, 0.05, 0.054, 0.0]]","[[[5, 3], [3, 4], [2, 4], [1, 6], [6, 6], [6, 2], [7, 7], [3, 3], [6, 1], [4, 1], [4, 2], [1, 5], [2, 1], [1, 2], [8, 1], [3, 2], [7, 3], [4, 6], [5, 7], [7, 8], [4, 7], [8, 6], [5, 8], [8, 5], [6, 3], [7, 4], [1, 7], [7, 2], [8, 2], [1, 8], [2, 2]], [[4, 3], [2, 5], [6, 5], [5, 2], [6, 7], [5, 6], [7, 6], [8, 8], [5, 1], [3, 5], [1, 3], [3, 1], [1, 4], [7, 1], [2, 6], [2, 3], [3, 6], [4, 8], [6, 8], [3, 8], [3, 7], [8, 7], [7, 5], [6, 4], [8, 4], [8, 3], [2, 7], [2, 8], [1, 1]]]","[31, 29]","[30, 34, 4]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, 0.0, -1.0, 0.0, -1.0, 1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",0:07,"[[0.095, 0.247, 0.432, 0.255, 0.394, 0.253, 0.43, 0.953, 0.485, 0.367, 0.002, 0.719, 0.23, 0.001, 0.001, 0.226, 0.001, 0.096, 0.196, 0.149, 0.001, 0.001, 0.116, 0.001, 0.0, 0.032, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.056, 0.058, 0.059, 0.06, 0.058, 0.073, 0.0, 0.059, 0.062, 0.05, 0.055, 0.066, 0.049, 0.058, 0.053, 0.048, 0.068, 0.053, 0.055, 0.05, 0.062]]","[[[5, 6], [3, 5], [3, 7], [7, 2], [3, 6], [3, 8], [6, 4], [6, 2], [5, 3], [1, 6], [1, 8], [5, 8], [1, 4], [4, 7], [2, 5], [3, 4], [5, 7], [3, 3], [6, 7], [1, 3], [7, 8], [1, 2], [7, 6], [1, 1], [8, 5], [3, 2], [3, 1], [4, 1], [5, 2], [7, 4], [7, 1], [5, 1], [8, 3], [8, 6], [8, 8]], [[4, 6], [6, 3], [2, 6], [4, 8], [6, 5], [4, 3], [8, 1], [2, 8], [6, 1], [2, 7], [1, 5], [1, 7], [4, 2], [6, 6], [2, 3], [2, 2], [2, 4], [6, 8], [8, 7], [2, 1], [8, 4]]]","[35, 21]","[59, 1, 58]",1
"[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",0:08,"[[0.111, 0.128, 0.219, 0.212, 0.298, 0.303, 0.304, 0.586, 0.683, 0.268, 0.272, 0.248, 0.336, 0.559, 0.385, 0.432, 0.278, 0.255, 0.302, 0.143, 0.049, 0.106, 0.087, 0.055, 0.001, 0.021, 0.01, 0.001, 0.0], [0.054, 0.053, 0.052, 0.058, 0.054, 0.053, 0.0, 0.057, 0.064, 0.073, 0.065, 0.072, 0.059, 0.059, 0.057, 0.055, 0.06, 0.056, 0.052, 0.064, 0.058, 0.061, 0.053, 0.053, 0.054, 0.0, 0.05, 0.0, 0.0, 0.056, 0.0]]","[[[3, 5], [6, 3], [3, 6], [2, 6], [6, 6], [2, 7], [1, 7], [3, 7], [1, 4], [2, 8], [5, 8], [4, 8], [3, 3], [5, 7], [5, 2], [5, 3], [7, 5], [6, 5], [8, 3], [8, 7], [8, 4], [2, 3], [7, 7], [6, 1], [8, 1], [3, 1], [7, 8], [4, 1], [1, 1]], [[5, 6], [2, 5], [4, 7], [1, 6], [7, 6], [4, 6], [1, 8], [4, 3], [6, 4], [3, 8], [3, 4], [6, 8], [1, 5], [6, 7], [1, 3], [2, 4], [7, 3], [8, 5], [7, 4], [8, 6], [3, 2], [1, 2], [5, 1], [7, 2], [4, 2], [8, 8], [8, 2], [7, 1], [6, 2], [2, 2], [2, 1]]]","[29, 31]","[18, 46, 28]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, 0.0, 0.0, -1.0]",0:07,"[[0.096, 0.18, 0.356, 0.364, 0.006, 0.547, 0.775, 0.591, 0.002, 0.35, 0.267, 0.674, 0.57, 0.323, 0.142, 0.001, 0.001, 0.002, 0.001, 0.1, 0.18, 0.168, 0.001, 0.067, 0.108, 0.0, 0.001, 0.044, 0.001, 0.013, 0.004, 0.0], [0.058, 0.056, 0.071, 0.064, 0.078, 0.063, 0.052, 0.052, 0.057, 0.052, 0.063, 0.06, 0.059, 0.059, 0.05, 0.058, 0.099, 0.063, 0.06, 0.051, 0.055, 0.048, 0.052, 0.051, 0.055]]","[[[3, 6], [5, 6], [3, 3], [3, 4], [1, 1], [3, 2], [1, 6], [3, 5], [1, 8], [1, 3], [1, 5], [3, 7], [1, 2], [4, 8], [3, 8], [1, 7], [3, 1], [6, 8], [5, 7], [6, 6], [6, 7], [7, 7], [8, 8], [5, 1], [5, 2], [7, 1], [5, 3], [6, 2], [8, 1], [8, 4], [8, 5], [8, 2]], [[4, 6], [2, 6], [6, 3], [4, 3], [2, 2], [2, 3], [2, 1], [2, 7], [2, 4], [4, 2], [1, 4], [4, 7], [2, 5], [6, 5], [2, 8], [5, 8], [7, 6], [6, 4], [7, 8], [4, 1], [6, 1], [7, 2], [7, 4], [7, 5], [7, 3]]]","[32, 25]","[61, 0, 61]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0]",0:07,"[[0.113, 0.132, 0.227, 0.299, 0.207, 0.3, 0.397, 0.285, 0.421, 0.222, 0.05, 0.001, 0.002, 0.165, 0.095, 0.126, 0.001, 0.273, 0.365, 0.295, 0.326, 0.369, 0.147, 0.214, 0.179, 0.083, 0.063, 0.016, 0.002, 0.0], [0.052, 0.059, 0.052, 0.061, 0.078, 0.073, 0.069, 0.055, 0.066, 0.07, 0.054, 0.0, 0.057, 0.059, 0.054, 0.059, 0.061, 0.071, 0.072, 0.0, 0.051, 0.063, 0.057, 0.052, 0.059, 0.052, 0.0, 0.0, 0.053, 0.0]]","[[[3, 5], [6, 3], [3, 6], [5, 7], [3, 8], [6, 5], [3, 3], [7, 4], [5, 8], [7, 8], [8, 5], [8, 7], [8, 3], [7, 2], [6, 1], [5, 2], [1, 1], [2, 6], [3, 7], [6, 6], [2, 3], [4, 1], [8, 2], [8, 6], [1, 4], [1, 2], [1, 7], [3, 2], [4, 2], [2, 7]], [[5, 6], [2, 5], [4, 7], [6, 7], [5, 3], [7, 6], [3, 4], [7, 5], [7, 3], [2, 2], [7, 7], [8, 1], [7, 1], [5, 1], [6, 4], [4, 3], [4, 6], [8, 4], [1, 3], [8, 8], [3, 1], [2, 4], [1, 5], [1, 6], [6, 2], [4, 8], [6, 8], [2, 1], [2, 8], [1, 8]]]","[30, 30]","[28, 36, 8]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0]",0:08,"[[0.117, 0.2, 0.347, 0.414, 0.442, 0.442, 0.003, 0.633, 0.737, 0.363, 0.506, 0.381, 0.493, 0.287, 0.31, 0.204, 0.202, 0.119, 0.001, 0.001, 0.0, 0.0, 0.001, 0.061, 0.029, 0.0, 0.0, 0.001, 0.028, 0.0, 0.004, 0.001, 0.0, 0.0, 0.0], [0.082, 0.059, 0.067, 0.067, 0.057, 0.065, 0.062, 0.056, 0.067, 0.059, 0.053, 0.064, 0.0, 0.06, 0.061, 0.056, 0.056, 0.068, 0.071, 0.061, 0.076, 0.055, 0.049, 0.051, 0.055]]","[[[3, 6], [5, 6], [3, 7], [3, 4], [2, 3], [3, 3], [1, 1], [1, 4], [1, 5], [3, 1], [5, 3], [7, 2], [4, 2], [3, 8], [5, 2], [7, 1], [5, 1], [1, 2], [1, 6], [1, 3], [8, 3], [3, 5], [1, 7], [7, 4], [7, 5], [8, 6], [8, 5], [6, 5], [7, 8], [7, 7], [8, 2], [5, 7], [8, 8], [1, 8], [2, 7]], [[4, 6], [2, 6], [6, 3], [4, 8], [2, 4], [2, 2], [4, 3], [2, 1], [2, 5], [3, 2], [4, 7], [6, 2], [8, 1], [4, 1], [2, 8], [6, 1], [5, 8], [6, 7], [6, 4], [7, 3], [7, 6], [6, 6], [8, 4], [8, 7], [6, 8]]]","[35, 25]","[52, 12, 40]",1
"[1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0:09,"[[0.117, 0.253, 0.315, 0.4, 0.575, 0.65, 0.81, 0.635, 0.712, 0.376, 0.856, 0.401, 0.722, 0.003, 0.003, 0.217, 0.205, 0.178, 0.094, 0.001, 0.0, 0.0, 0.061, 0.0, 0.085, 0.002, 0.014, 0.023, 0.012, 0.007, 0.0, 0.001, 0.0], [0.057, 0.072, 0.059, 0.063, 0.064, 0.059, 0.06, 0.062, 0.061, 0.067, 0.06, 0.054, 0.067, 0.064, 0.063, 0.059, 0.051, 0.057, 0.062, 0.049, 0.055, 0.06, 0.054, 0.056, 0.064, 0.053, 0.061]]","[[[5, 3], [3, 4], [2, 4], [6, 6], [4, 6], [3, 6], [1, 6], [1, 4], [2, 6], [6, 2], [3, 7], [5, 6], [2, 3], [1, 1], [1, 8], [4, 8], [2, 2], [4, 2], [3, 2], [3, 1], [2, 7], [4, 1], [7, 8], [2, 8], [7, 1], [8, 1], [7, 3], [8, 2], [7, 4], [8, 7], [8, 8], [8, 4], [8, 5]], [[4, 3], [2, 5], [6, 5], [6, 7], [3, 5], [4, 7], [1, 3], [5, 2], [3, 3], [6, 3], [6, 1], [3, 8], [1, 2], [1, 7], [1, 5], [5, 8], [5, 7], [5, 1], [2, 1], [6, 8], [7, 2], [6, 4], [8, 3], [7, 5], [7, 6], [7, 7], [8, 6]]]","[33, 27]","[56, 8, 48]",1
"[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",0:08,"[[0.115, 0.129, 0.236, 0.358, 0.404, 0.282, 0.348, 0.688, 0.453, 0.624, 0.187, 0.127, 0.188, 0.55, 0.497, 0.354, 0.3, 0.203, 0.288, 0.12, 0.043, 0.111, 0.081, 0.07, 0.001, 0.025, 0.011, 0.003, 0.0], [0.064, 0.059, 0.074, 0.059, 0.066, 0.058, 0.0, 0.056, 0.057, 0.065, 0.052, 0.053, 0.064, 0.057, 0.055, 0.058, 0.059, 0.058, 0.063, 0.053, 0.073, 0.054, 0.057, 0.06, 0.055, 0.0, 0.053, 0.0, 0.0, 0.062, 0.0]]","[[[3, 5], [6, 3], [3, 6], [2, 6], [6, 6], [2, 7], [1, 7], [3, 7], [1, 4], [2, 8], [5, 8], [4, 8], [3, 3], [5, 7], [5, 2], [5, 3], [7, 5], [6, 5], [8, 3], [8, 7], [8, 4], [2, 3], [7, 7], [6, 1], [8, 1], [3, 1], [7, 8], [4, 1], [1, 1]], [[5, 6], [2, 5], [4, 7], [1, 6], [7, 6], [4, 6], [1, 8], [4, 3], [6, 4], [3, 8], [3, 4], [6, 8], [1, 5], [6, 7], [1, 3], [2, 4], [7, 3], [8, 5], [7, 4], [8, 6], [3, 2], [1, 2], [5, 1], [7, 2], [4, 2], [8, 8], [8, 2], [7, 1], [6, 2], [2, 2], [2, 1]]]","[29, 31]","[18, 46, 28]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0:14,"[[0.139, 0.115, 0.349, 0.69, 0.872, 0.86, 1.104, 0.781, 0.553, 1.153, 0.752, 0.765, 0.551, 0.004, 0.939, 0.644, 0.542, 0.671, 0.385, 0.171, 0.002, 0.11, 0.103, 0.002, 0.035, 0.028, 0.014, 0.002, 0.0, 0.0, 0.0], [0.073, 0.076, 0.069, 0.061, 0.056, 0.067, 0.071, 0.063, 0.063, 0.063, 0.055, 0.055, 0.072, 0.054, 0.071, 0.066, 0.068, 0.062, 0.06, 0.061, 0.053, 0.062, 0.062, 0.081, 0.054, 0.053, 0.051, 0.057, 0.061]]","[[[6, 4], [3, 6], [3, 5], [3, 4], [1, 4], [2, 4], [1, 2], [5, 6], [3, 3], [7, 4], [6, 6], [8, 6], [5, 2], [8, 8], [7, 8], [8, 5], [6, 8], [3, 7], [5, 7], [3, 8], [1, 1], [1, 5], [4, 1], [1, 8], [8, 3], [6, 1], [2, 6], [2, 1], [8, 1], [8, 2], [2, 8]], [[4, 3], [4, 6], [6, 5], [2, 5], [1, 6], [1, 3], [4, 7], [5, 3], [7, 5], [7, 6], [7, 3], [6, 7], [7, 7], [8, 7], [5, 8], [8, 4], [6, 3], [5, 1], [4, 8], [2, 2], [2, 7], [4, 2], [3, 1], [2, 3], [6, 2], [7, 1], [3, 2], [7, 2], [1, 7]]]","[31, 29]","[51, 13, 38]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0]",0:07,"[[0.127, 0.265, 0.532, 0.408, 0.232, 0.405, 0.764, 0.004, 0.302, 0.374, 0.0, 0.214, 0.186, 0.27, 0.16, 0.188, 0.273, 0.004, 0.13, 0.104, 0.161, 0.131, 0.108, 0.111, 0.038, 0.001, 0.012, 0.0, 0.005, 0.0, 0.0], [0.071, 0.066, 0.059, 0.066, 0.065, 0.061, 0.001, 0.064, 0.075, 0.055, 0.049, 0.053, 0.061, 0.064, 0.061, 0.057, 0.076, 0.056, 0.063, 0.056, 0.065, 0.053, 0.079, 0.055, 0.056, 0.051, 0.053, 0.062, 0.0]]","[[[5, 6], [3, 5], [3, 7], [7, 2], [3, 6], [3, 8], [5, 8], [1, 8], [3, 4], [4, 7], [1, 6], [6, 7], [6, 4], [7, 8], [1, 5], [2, 5], [7, 5], [8, 8], [8, 3], [8, 6], [1, 3], [2, 3], [5, 2], [7, 6], [3, 3], [1, 1], [1, 2], [3, 1], [4, 1], [7, 1], [7, 3]], [[4, 6], [6, 3], [2, 6], [4, 8], [6, 5], [4, 3], [8, 1], [2, 8], [2, 7], [2, 4], [6, 6], [6, 8], [7, 4], [5, 7], [7, 7], [1, 7], [1, 4], [8, 5], [8, 4], [8, 7], [8, 2], [2, 2], [3, 2], [6, 1], [5, 3], [2, 1], [4, 2], [5, 1], [6, 2]]]","[31, 29]","[41, 23, 18]",1
