Board,Game Time,Move Time,Action List,Action List Count,Score,Winner
"[-1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",01:16,"[[0.175, 0.307, 0.527, 0.475, 0.473, 0.473, 0.571, 0.558, 0.915, 0.009, 0.932, 0.853, 0.467, 0.51, 0.454, 0.398, 0.274, 0.377, 0.308, 0.279, 0.425, 0.001, 0.185, 0.116, 0.071, 0.0, 0.032, 0.0, 0.014, 0.0, 0.001, 0.0], [2.871, 3.14, 3.601, 3.158, 3.048, 3.279, 3.093, 3.312, 4.085, 3.282, 2.847, 2.669, 2.97, 2.181, 2.62, 3.233, 2.189, 1.948, 2.179, 1.633, 0.0, 1.584, 1.916, 1.126, 1.124, 0.907, 0.777, 0.938]]","[[[6, 4], [5, 6], [7, 5], [5, 3], [8, 7], [6, 6], [8, 5], [8, 3], [7, 3], [8, 1], [4, 3], [6, 1], [5, 1], [5, 2], [3, 6], [2, 3], [3, 4], [4, 1], [2, 4], [3, 1], [1, 2], [2, 1], [5, 8], [7, 8], [5, 7], [8, 8], [3, 8], [4, 8], [2, 8], [1, 8], [1, 6], [1, 4]], [[6, 5], [6, 3], [7, 6], [6, 7], [7, 4], [8, 6], [8, 4], [3, 3], [8, 2], [4, 2], [7, 2], [6, 2], [3, 2], [7, 1], [4, 6], [1, 3], [2, 6], [3, 5], [2, 5], [2, 2], [1, 1], [6, 8], [4, 7], [7, 7], [3, 7], [2, 7], [1, 7], [1, 5]]]","[32, 28]","[46, 18, 28]",1
"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",01:28,"[[0.181, 0.246, 0.732, 0.567, 0.776, 1.537, 1.426, 0.003, 0.439, 1.136, 0.005, 0.738, 0.594, 0.497, 0.693, 0.368, 0.281, 0.293, 0.297, 0.213, 0.297, 0.241, 0.226, 0.071, 0.049, 0.001, 0.022, 0.01, 0.002, 0.0], [3.346, 3.429, 3.873, 4.138, 3.237, 3.627, 3.678, 3.493, 3.275, 3.804, 3.079, 2.89, 3.239, 3.095, 2.744, 2.352, 2.249, 2.105, 2.116, 1.864, 0.0, 2.145, 1.858, 2.005, 1.681, 1.622, 1.498, 1.357, 1.148, 0.881]]","[[[3, 6], [3, 4], [6, 6], [4, 7], [3, 2], [1, 6], [3, 7], [1, 8], [5, 6], [1, 5], [1, 1], [5, 7], [1, 3], [2, 3], [7, 8], [6, 8], [3, 1], [5, 1], [5, 2], [2, 8], [7, 5], [7, 7], [7, 4], [7, 3], [8, 7], [8, 1], [8, 3], [7, 1], [4, 2], [6, 2]], [[4, 6], [3, 5], [6, 3], [6, 4], [3, 3], [2, 6], [2, 7], [4, 8], [2, 5], [1, 7], [2, 2], [4, 3], [2, 4], [1, 4], [6, 7], [1, 2], [4, 1], [6, 5], [7, 6], [5, 8], [8, 8], [8, 5], [2, 1], [8, 4], [8, 6], [7, 2], [6, 1], [3, 8], [8, 2], [5, 3]]]","[30, 30]","[26, 38, 12]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",01:20,"[[0.175, 0.191, 0.741, 0.283, 0.533, 0.9, 1.711, 0.914, 1.963, 1.051, 1.05, 1.054, 0.926, 1.174, 0.295, 0.278, 0.381, 0.542, 0.332, 0.003, 0.188, 0.221, 0.003, 0.134, 0.001, 0.001, 0.002, 0.024, 0.006, 0.001, 0.0, 0.0], [3.032, 3.183, 3.344, 3.436, 3.361, 3.483, 3.305, 3.278, 3.196, 2.682, 2.785, 2.846, 2.851, 2.206, 1.937, 2.045, 2.102, 1.805, 1.959, 2.228, 1.85, 1.802, 1.45, 1.154, 1.011, 1.164, 0.826, 0.744]]","[[[5, 3], [6, 4], [3, 4], [6, 6], [3, 5], [4, 6], [5, 7], [4, 7], [6, 5], [5, 8], [2, 4], [3, 3], [6, 7], [7, 8], [8, 4], [8, 5], [2, 5], [1, 4], [4, 2], [1, 8], [1, 7], [1, 2], [8, 8], [2, 8], [4, 8], [8, 2], [1, 1], [6, 1], [5, 1], [7, 3], [8, 1], [7, 1]], [[6, 3], [4, 3], [5, 6], [7, 6], [3, 6], [7, 4], [3, 7], [2, 6], [6, 8], [7, 5], [2, 3], [1, 3], [3, 8], [3, 2], [8, 6], [8, 3], [1, 6], [2, 7], [3, 1], [1, 5], [8, 7], [7, 7], [5, 2], [2, 2], [2, 1], [4, 1], [6, 2], [7, 2]]]","[32, 28]","[55, 9, 46]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 1.0, 0.0, -1.0]",01:21,"[[0.198, 0.273, 0.518, 0.676, 1.634, 1.01, 1.318, 0.895, 0.407, 0.537, 0.005, 0.565, 0.468, 0.486, 0.685, 0.377, 0.273, 0.524, 0.005, 0.239, 0.452, 0.172, 0.132, 0.108, 0.002, 0.029, 0.014, 0.0, 0.0], [3.245, 3.04, 2.761, 3.72, 3.044, 3.524, 3.736, 3.178, 2.622, 3.705, 2.875, 2.798, 2.889, 2.57, 2.581, 2.102, 2.131, 2.027, 1.832, 1.723, 2.23, 1.771, 1.392, 1.605, 1.78, 1.666, 1.153, 1.148]]","[[[3, 4], [3, 6], [3, 2], [5, 6], [2, 5], [1, 3], [2, 3], [5, 1], [6, 4], [4, 3], [1, 1], [6, 5], [2, 2], [6, 7], [1, 5], [6, 2], [6, 1], [2, 1], [8, 1], [6, 8], [8, 2], [4, 8], [1, 7], [8, 4], [8, 8], [8, 3], [3, 8], [2, 8], [7, 7]], [[3, 5], [3, 3], [4, 6], [2, 6], [2, 4], [4, 2], [6, 3], [6, 6], [3, 1], [5, 3], [1, 2], [1, 6], [7, 6], [7, 3], [5, 8], [5, 7], [5, 2], [4, 1], [7, 2], [7, 1], [7, 5], [7, 4], [1, 4], [3, 7], [7, 8], [8, 6], [4, 7], [2, 7]]]","[29, 28]","[58, 3, 55]",1
"[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",01:15,"[[0.196, 0.134, 0.807, 0.416, 0.688, 0.86, 0.979, 0.706, 0.692, 1.189, 0.807, 2.176, 0.998, 0.746, 0.376, 0.455, 0.244, 0.239, 0.361, 0.1, 0.125, 0.156, 0.113, 0.0, 0.055, 0.034, 0.0, 0.001, 0.01, 0.002, 0.0, 0.0], [3.08, 2.946, 4.225, 3.515, 3.784, 3.007, 3.39, 3.423, 2.67, 2.754, 2.739, 2.603, 2.464, 2.054, 1.94, 2.003, 1.875, 1.656, 1.556, 1.749, 1.49, 1.344, 1.418, 0.0, 1.012, 1.014, 0.95, 0.796]]","[[[5, 3], [6, 4], [4, 6], [6, 6], [3, 6], [5, 6], [4, 7], [5, 7], [6, 8], [4, 3], [3, 4], [2, 8], [2, 3], [2, 5], [1, 4], [5, 2], [4, 2], [3, 1], [7, 8], [7, 6], [4, 1], [7, 1], [8, 5], [8, 8], [1, 7], [7, 5], [8, 4], [8, 1], [2, 1], [2, 2], [1, 1], [8, 3]], [[6, 3], [6, 5], [3, 7], [3, 5], [2, 6], [6, 7], [3, 8], [4, 8], [3, 3], [6, 2], [5, 8], [2, 4], [1, 3], [1, 6], [1, 5], [6, 1], [5, 1], [3, 2], [2, 7], [8, 7], [7, 7], [7, 2], [8, 6], [1, 8], [7, 4], [7, 3], [8, 2], [1, 2]]]","[32, 28]","[49, 15, 34]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",01:23,"[[0.184, 0.42, 0.688, 1.164, 0.779, 0.666, 0.794, 0.906, 1.698, 0.757, 1.177, 0.668, 0.664, 0.004, 0.003, 0.54, 0.388, 0.006, 0.245, 0.166, 0.002, 0.001, 0.004, 0.097, 0.143, 0.096, 0.066, 0.035, 0.016, 0.003, 0.0], [3.584, 3.54, 3.305, 4.126, 4.444, 3.883, 4.112, 3.313, 4.083, 4.339, 3.624, 3.106, 2.767, 2.54, 2.218, 1.885, 1.955, 1.712, 1.544, 1.475, 1.607, 1.841, 1.566, 1.418, 1.348, 1.194, 0.0, 0.0, 0.0]]","[[[6, 5], [6, 3], [8, 3], [6, 7], [4, 6], [6, 8], [5, 3], [7, 6], [4, 8], [7, 5], [8, 5], [4, 7], [8, 7], [3, 8], [7, 8], [3, 5], [3, 6], [1, 8], [2, 7], [8, 2], [1, 6], [8, 8], [8, 1], [4, 1], [2, 4], [1, 4], [7, 1], [4, 2], [2, 1], [2, 2], [1, 2]], [[6, 4], [5, 6], [7, 3], [7, 4], [4, 3], [5, 7], [3, 4], [6, 2], [5, 8], [3, 7], [8, 6], [6, 6], [8, 4], [7, 7], [2, 5], [2, 8], [2, 6], [1, 7], [7, 2], [5, 2], [5, 1], [1, 3], [2, 3], [6, 1], [3, 2], [3, 1], [1, 1], [3, 3], [1, 5]]]","[31, 29]","[34, 30, 4]",1
"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",01:18,"[[0.148, 0.098, 0.837, 0.366, 0.294, 1.1, 0.888, 0.917, 0.547, 0.783, 1.557, 1.27, 0.629, 1.209, 1.042, 0.585, 0.457, 0.567, 0.224, 0.004, 0.399, 0.188, 0.094, 0.004, 0.049, 0.042, 0.014, 0.0, 0.004, 0.0, 0.0], [2.985, 3.063, 3.374, 3.622, 3.052, 2.81, 3.019, 3.216, 3.157, 3.002, 3.211, 2.823, 2.512, 2.335, 2.193, 1.867, 2.158, 2.044, 1.95, 0.0, 1.705, 1.497, 1.276, 1.398, 1.51, 1.378, 1.012, 1.071, 0.732]]","[[[5, 3], [6, 4], [3, 6], [5, 6], [3, 3], [6, 2], [7, 6], [4, 2], [5, 1], [4, 1], [6, 5], [2, 5], [2, 4], [2, 1], [1, 5], [1, 4], [8, 4], [7, 3], [8, 3], [8, 1], [8, 7], [1, 2], [7, 2], [8, 8], [7, 8], [3, 8], [4, 8], [5, 8], [3, 7], [1, 8], [2, 7]], [[6, 3], [4, 3], [6, 6], [7, 4], [2, 3], [6, 1], [5, 2], [3, 2], [3, 5], [4, 6], [2, 6], [8, 6], [3, 4], [1, 3], [1, 6], [7, 5], [8, 5], [8, 2], [3, 1], [1, 1], [7, 1], [2, 2], [7, 7], [6, 7], [4, 7], [5, 7], [6, 8], [1, 7], [2, 8]]]","[31, 29]","[47, 17, 30]",1
"[0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:59,"[[0.201, 0.368, 0.292, 0.298, 0.198, 0.416, 0.683, 0.985, 0.626, 0.008, 0.38, 0.435, 0.001, 0.003, 0.232, 0.339, 0.002, 0.001, 0.199, 0.002, 0.003, 0.154, 0.212, 0.002, 0.079, 0.025, 0.001, 0.001, 0.0], [3.399, 3.237, 3.511, 3.299, 3.225, 3.39, 3.466, 3.276, 3.678, 3.567, 3.034, 3.026, 2.505, 2.067, 2.164, 0.0, 1.908, 1.63, 1.627, 1.39]]","[[[4, 3], [6, 3], [3, 1], [5, 1], [6, 5], [6, 6], [6, 7], [8, 5], [8, 6], [8, 8], [5, 6], [8, 4], [7, 8], [6, 8], [4, 8], [3, 7], [2, 8], [8, 3], [2, 7], [2, 5], [1, 6], [7, 3], [7, 1], [8, 1], [7, 2], [3, 5], [2, 4], [5, 2], [3, 2]], [[5, 3], [3, 6], [4, 2], [4, 1], [6, 4], [7, 5], [5, 7], [7, 6], [8, 7], [7, 7], [7, 4], [6, 2], [4, 7], [5, 8], [3, 8], [1, 8], [6, 1], [8, 2], [4, 6], [3, 4]]]","[29, 20]","[52, 1, 51]",1
"[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",01:11,"[[0.136, 0.227, 0.696, 0.631, 0.507, 1.088, 0.785, 1.172, 0.985, 1.437, 0.542, 0.939, 0.678, 0.474, 0.532, 0.454, 0.32, 0.006, 0.369, 0.262, 0.219, 0.001, 0.001, 0.073, 0.001, 0.0, 0.034, 0.075, 0.001, 0.019, 0.003, 0.0], [2.978, 3.02, 3.511, 3.4, 3.603, 3.357, 2.985, 3.028, 2.924, 2.321, 2.328, 2.194, 2.149, 2.234, 1.89, 1.846, 2.001, 1.937, 1.865, 1.631, 0.0, 1.231, 1.237, 1.47, 1.242, 0.925, 0.991, 0.0]]","[[[5, 3], [6, 4], [4, 6], [5, 6], [5, 7], [3, 7], [3, 4], [3, 3], [5, 8], [7, 8], [2, 3], [4, 7], [2, 4], [1, 6], [1, 5], [2, 8], [7, 5], [8, 8], [8, 4], [8, 5], [1, 7], [7, 6], [8, 3], [7, 3], [8, 1], [7, 2], [4, 2], [3, 1], [1, 1], [2, 1], [7, 1], [6, 1]], [[6, 3], [6, 5], [3, 5], [6, 7], [6, 8], [4, 3], [3, 6], [3, 8], [3, 2], [6, 6], [1, 3], [2, 5], [2, 6], [1, 4], [4, 8], [7, 7], [8, 6], [8, 7], [7, 4], [2, 7], [1, 8], [8, 2], [6, 2], [2, 2], [4, 1], [5, 2], [5, 1], [1, 2]]]","[32, 28]","[43, 21, 22]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",01:15,"[[0.171, 0.244, 0.612, 0.496, 0.717, 1.12, 0.006, 0.923, 1.182, 0.746, 0.728, 0.005, 0.433, 0.228, 0.22, 0.2, 0.002, 0.003, 0.002, 0.002, 0.124, 0.096, 0.136, 0.134, 0.003, 0.07, 0.025, 0.012, 0.008, 0.004, 0.0, 0.0], [3.196, 3.34, 3.417, 3.535, 3.964, 3.921, 4.075, 3.38, 3.365, 3.481, 3.147, 2.875, 2.39, 2.34, 1.941, 2.122, 1.746, 1.549, 1.527, 1.722, 1.38, 1.267, 1.305, 1.09, 1.236, 1.242, 1.186, 0.881]]","[[[5, 6], [3, 6], [6, 5], [6, 8], [7, 5], [5, 7], [8, 8], [8, 3], [3, 8], [5, 8], [2, 6], [1, 8], [3, 7], [7, 6], [8, 4], [8, 6], [8, 1], [6, 4], [1, 7], [6, 3], [1, 5], [3, 3], [3, 2], [5, 2], [1, 1], [7, 1], [4, 1], [1, 4], [2, 3], [5, 1], [1, 2], [3, 1]], [[4, 6], [6, 7], [6, 6], [5, 3], [7, 4], [7, 7], [7, 8], [4, 7], [3, 5], [8, 5], [2, 7], [7, 3], [4, 8], [1, 6], [8, 7], [8, 2], [2, 8], [2, 5], [4, 3], [7, 2], [2, 2], [6, 2], [4, 2], [3, 4], [2, 4], [6, 1], [1, 3], [2, 1]]]","[32, 28]","[53, 11, 42]",1
