Board,Game Time,Move Time,Action List,Action List Count,Score,Winner
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:08,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.087, 0.157, 0.299, 0.378, 0.511, 0.386, 0.592, 0.389, 0.361, 0.296, 0.177, 0.137, 0.148, 0.241, 0.673, 0.265, 0.41, 0.258, 0.136, 0.107, 0.105, 0.101, 0.114, 0.036, 0.03, 0.004, 0.003, 0.001, 0.0]]","[[[5, 3], [3, 3], [3, 2], [2, 3], [3, 4], [5, 2], [1, 5], [6, 2], [4, 1], [1, 3], [7, 1], [1, 6], [6, 3], [2, 6], [6, 6], [3, 6], [8, 3], [8, 1], [1, 8], [1, 1], [8, 2], [6, 1], [1, 2], [3, 8], [5, 8], [4, 7], [8, 7], [8, 8], [6, 8], [8, 6], [8, 5]], [[4, 3], [4, 2], [2, 4], [6, 5], [2, 1], [6, 4], [5, 1], [2, 5], [1, 4], [7, 3], [3, 1], [3, 5], [7, 4], [2, 7], [5, 6], [7, 2], [4, 6], [1, 7], [2, 2], [8, 4], [3, 7], [7, 5], [2, 8], [4, 8], [5, 7], [7, 6], [7, 7], [6, 7], [7, 8]]]","[31, 29]","[59, 5, 54]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:11,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.111, 0.117, 0.134, 0.494, 1.402, 0.853, 0.813, 0.81, 0.391, 0.713, 0.702, 0.559, 0.002, 0.543, 0.198, 0.001, 0.153, 0.315, 0.204, 0.191, 0.284, 0.137, 0.179, 0.032, 0.015, 0.004, 0.007, 0.001, 0.0]]","[[[6, 5], [3, 5], [4, 3], [4, 6], [5, 7], [6, 4], [3, 8], [7, 7], [7, 5], [6, 2], [5, 1], [8, 6], [6, 8], [7, 4], [7, 2], [8, 3], [4, 1], [4, 2], [3, 2], [7, 1], [4, 8], [1, 1], [2, 1], [1, 3], [7, 8], [1, 8], [1, 4], [2, 4], [1, 5], [1, 7], [2, 7]], [[5, 3], [3, 6], [5, 6], [3, 4], [5, 2], [6, 3], [4, 7], [6, 7], [6, 6], [7, 6], [7, 3], [8, 5], [8, 8], [3, 3], [8, 4], [8, 1], [6, 1], [8, 2], [3, 1], [3, 7], [8, 7], [2, 2], [2, 3], [1, 2], [5, 8], [2, 8], [2, 5], [1, 6], [2, 6]]]","[31, 29]","[44, 20, 24]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0]",00:07,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.081, 0.145, 0.32, 0.407, 0.543, 0.607, 0.359, 0.18, 0.094, 0.085, 0.126, 0.516, 0.52, 0.435, 0.433, 0.301, 0.151, 0.094, 0.105, 0.194, 0.225, 0.19, 0.091, 0.037, 0.029, 0.009, 0.007, 0.002, 0.0, 0.0]]","[[[5, 3], [3, 3], [3, 2], [2, 3], [3, 4], [2, 5], [1, 5], [1, 3], [5, 1], [6, 1], [6, 3], [6, 6], [1, 1], [3, 5], [8, 1], [7, 3], [8, 4], [3, 6], [8, 2], [1, 7], [6, 7], [8, 6], [4, 6], [6, 2], [7, 6], [7, 7], [1, 8], [5, 8], [3, 8], [7, 8]], [[4, 3], [4, 2], [2, 4], [6, 5], [1, 2], [5, 2], [1, 4], [1, 6], [3, 1], [2, 2], [6, 4], [7, 4], [7, 2], [4, 1], [7, 1], [2, 1], [2, 6], [8, 3], [3, 7], [5, 6], [8, 5], [6, 8], [5, 7], [4, 7], [7, 5], [2, 7], [2, 8], [4, 8], [8, 8], [8, 7]]]","[30, 30]","[39, 25, 14]",1
"[1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:52,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.855, 6.458, 3.535, 4.147, 4.589, 1.949, 1.878, 0.812, 0.714, 0.687, 0.002, 1.94, 0.273, 0.001, 0.208, 0.133, 0.054, 0.015, 0.009, 0.003, 0.0, 0.0], [0.095, 0.155, 0.34, 0.523, 0.742, 1.902, 1.799, 2.378, 1.993, 1.731, 1.795, 0.894, 1.446, 1.315, 0.564, 0.5, 0.363, 0.34, 0.975, 0.235, 0.358, 0.14, 0.075, 0.139, 0.052, 0.0, 0.0, 0.001, 0.0]]","[[[5, 6], [3, 4], [2, 5], [6, 4], [5, 3], [6, 6], [3, 7], [1, 5], [2, 4], [6, 7], [7, 3], [7, 4], [4, 2], [8, 5], [8, 7], [4, 7], [8, 3], [5, 8], [5, 7], [8, 8], [6, 1], [5, 2], [8, 1], [2, 8], [2, 7], [2, 2], [1, 2], [2, 6], [2, 1], [7, 1], [5, 1]], [[3, 5], [6, 3], [3, 6], [4, 6], [4, 3], [6, 5], [3, 3], [1, 6], [1, 4], [7, 6], [1, 3], [3, 8], [7, 5], [2, 3], [8, 6], [6, 8], [8, 4], [7, 7], [3, 2], [6, 2], [7, 8], [7, 2], [4, 8], [3, 1], [8, 2], [1, 8], [1, 1], [1, 7], [4, 1]]]","[31, 29]","[39, 25, 14]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:08,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.089, 0.217, 0.222, 0.322, 0.5, 0.556, 0.379, 0.387, 0.106, 0.11, 0.226, 0.417, 0.968, 0.332, 0.547, 0.404, 0.233, 0.112, 0.199, 0.201, 0.105, 0.121, 0.08, 0.049, 0.025, 0.018, 0.007, 0.003, 0.001, 0.0]]","[[[5, 3], [3, 3], [3, 2], [2, 3], [3, 4], [2, 5], [1, 5], [1, 3], [5, 1], [6, 1], [6, 3], [6, 6], [1, 1], [3, 5], [8, 1], [7, 1], [8, 3], [8, 4], [4, 1], [1, 7], [3, 6], [6, 7], [8, 5], [5, 8], [7, 6], [8, 6], [8, 8], [7, 8], [1, 8], [3, 8]], [[4, 3], [4, 2], [2, 4], [6, 5], [1, 2], [5, 2], [1, 4], [1, 6], [3, 1], [2, 2], [6, 4], [7, 4], [7, 2], [6, 2], [2, 1], [7, 3], [2, 6], [4, 6], [7, 5], [8, 2], [5, 6], [6, 8], [5, 7], [4, 8], [8, 7], [4, 7], [7, 7], [2, 7], [2, 8], [3, 7]]]","[30, 30]","[42, 22, 20]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:28,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.105, 0.162, 0.393, 0.751, 0.93, 1.211, 1.345, 4.461, 2.181, 3.321, 2.838, 1.801, 1.54, 1.008, 1.3, 0.87, 0.603, 0.464, 0.363, 0.441, 0.44, 0.099, 0.056, 0.046, 0.017, 0.004, 0.002, 0.0, 0.0]]","[[[6, 5], [3, 5], [5, 2], [4, 3], [5, 7], [3, 4], [7, 4], [7, 1], [5, 6], [8, 5], [1, 7], [2, 5], [1, 6], [4, 1], [2, 1], [3, 7], [6, 1], [3, 8], [1, 8], [5, 8], [4, 7], [2, 4], [8, 2], [7, 3], [8, 1], [1, 1], [1, 3], [8, 6], [6, 8], [7, 7], [8, 8]], [[5, 3], [3, 6], [4, 6], [6, 3], [3, 3], [6, 4], [2, 3], [6, 2], [6, 6], [7, 5], [2, 6], [4, 8], [1, 4], [4, 2], [3, 1], [6, 7], [5, 1], [2, 8], [2, 7], [8, 3], [3, 2], [1, 5], [8, 4], [2, 2], [7, 2], [1, 2], [7, 6], [8, 7], [7, 8]]]","[31, 29]","[53, 11, 42]",1
"[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:08,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0], [0.116, 0.221, 0.288, 0.446, 0.592, 0.688, 0.304, 0.44, 0.392, 0.198, 0.155, 0.164, 0.228, 0.135, 0.432, 0.399, 0.268, 0.251, 0.293, 0.16, 0.156, 0.189, 0.065, 0.033, 0.026, 0.034, 0.009, 0.006, 0.001, 0.0]]","[[[5, 3], [3, 3], [3, 2], [2, 3], [3, 4], [5, 2], [1, 5], [6, 2], [4, 1], [1, 3], [7, 1], [1, 6], [6, 3], [2, 6], [6, 6], [3, 6], [8, 3], [1, 8], [8, 1], [6, 1], [1, 1], [8, 5], [8, 6], [2, 2], [7, 6], [8, 8], [8, 7], [4, 8], [3, 8], [6, 8]], [[4, 3], [4, 2], [2, 4], [6, 5], [2, 1], [6, 4], [5, 1], [2, 5], [1, 4], [7, 3], [3, 1], [3, 5], [7, 4], [2, 7], [5, 6], [7, 2], [8, 4], [8, 2], [3, 7], [1, 7], [4, 6], [7, 5], [1, 2], [6, 7], [7, 7], [7, 8], [5, 7], [4, 7], [2, 8], [5, 8]]]","[30, 30]","[44, 20, 24]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0]",00:46,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.588, 4.185, 6.519, 5.414, 3.607, 3.011, 1.902, 1.459, 0.955, 1.132, 0.821, 1.017, 0.706, 0.379, 0.157, 0.073, 0.038, 0.0, 0.002, 0.001, 0.0], [0.108, 0.166, 0.227, 0.455, 0.254, 0.313, 0.001, 0.715, 0.873, 0.454, 0.881, 1.065, 0.814, 0.948, 1.008, 0.868, 0.355, 0.136, 0.001, 0.21, 0.318, 0.332, 0.133, 0.085, 0.026, 0.006, 0.006, 0.001, 0.001, 0.0]]","[[[4, 3], [4, 6], [6, 5], [2, 7], [5, 3], [3, 4], [2, 6], [2, 4], [5, 7], [3, 8], [4, 7], [1, 2], [5, 2], [1, 7], [2, 5], [6, 2], [1, 4], [4, 1], [2, 1], [6, 6], [8, 7], [5, 1], [8, 5], [8, 3], [2, 2], [8, 2], [8, 1], [5, 8], [7, 8], [7, 7]], [[6, 4], [3, 6], [3, 3], [4, 2], [7, 6], [3, 5], [1, 8], [2, 3], [3, 7], [5, 6], [1, 6], [2, 8], [4, 8], [3, 2], [6, 3], [6, 8], [1, 5], [1, 3], [1, 1], [3, 1], [7, 4], [6, 1], [8, 6], [8, 4], [7, 3], [7, 5], [7, 2], [7, 1], [6, 7], [8, 8]]]","[30, 30]","[32, 32, 0]",0
"[1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:08,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.001, 0.0, 0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.087, 0.181, 0.343, 0.477, 0.511, 0.847, 0.463, 0.246, 0.208, 0.293, 0.165, 0.126, 0.261, 0.196, 0.588, 0.454, 0.192, 0.123, 0.17, 0.137, 0.156, 0.114, 0.043, 0.06, 0.042, 0.01, 0.003, 0.004, 0.0]]","[[[5, 3], [3, 3], [3, 2], [2, 3], [3, 4], [5, 2], [1, 5], [6, 2], [4, 1], [1, 3], [7, 1], [1, 6], [6, 3], [2, 6], [6, 6], [3, 6], [8, 3], [8, 1], [1, 8], [6, 1], [1, 1], [8, 5], [2, 2], [8, 8], [3, 8], [4, 6], [4, 8], [8, 6], [7, 8], [6, 8], [4, 7]], [[4, 3], [4, 2], [2, 4], [6, 5], [2, 1], [6, 4], [5, 1], [2, 5], [1, 4], [7, 3], [3, 1], [3, 5], [7, 4], [2, 7], [5, 6], [7, 2], [7, 7], [1, 7], [8, 4], [2, 8], [8, 2], [7, 5], [1, 2], [6, 7], [8, 7], [3, 7], [7, 6], [5, 7], [5, 8]]]","[31, 29]","[58, 6, 52]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:17,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.091, 0.149, 0.437, 0.453, 0.809, 1.919, 2.032, 2.017, 1.057, 0.607, 1.01, 0.656, 0.712, 0.753, 1.221, 0.847, 0.309, 0.278, 0.314, 0.116, 0.236, 0.063, 0.052, 0.022, 0.024, 0.012, 0.005, 0.004, 0.001, 0.0]]","[[[5, 6], [3, 4], [2, 5], [6, 4], [5, 3], [6, 6], [3, 7], [2, 4], [4, 7], [7, 8], [4, 8], [1, 6], [5, 7], [7, 4], [8, 4], [7, 3], [7, 6], [8, 6], [5, 2], [8, 1], [8, 2], [8, 8], [6, 1], [2, 7], [1, 8], [4, 1], [1, 3], [3, 1], [1, 1], [1, 2]], [[3, 5], [6, 3], [3, 6], [4, 6], [4, 3], [6, 5], [3, 3], [1, 4], [2, 8], [6, 7], [5, 8], [3, 8], [2, 3], [1, 5], [7, 5], [1, 7], [8, 5], [6, 2], [7, 2], [8, 3], [8, 7], [7, 7], [7, 1], [5, 1], [2, 6], [6, 8], [4, 2], [3, 2], [2, 1], [2, 2]]]","[30, 30]","[39, 25, 14]",1
