Board,Game Time,Move Time,Action List,Action List Count,Score,Winner
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0]",01:42,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 2.666, 2.267, 2.054, 5.651, 4.34, 6.93, 5.033, 2.805, 2.168, 2.06, 0.002, 2.234, 1.847, 1.178, 0.967, 0.821, 0.002, 0.652, 0.23, 0.118, 0.086, 0.031, 0.023, 0.0, 0.001, 0.0], [2.141, 2.407, 2.564, 2.657, 2.614, 2.832, 2.958, 2.958, 2.649, 3.891, 2.592, 2.63, 2.663, 2.549, 2.416, 2.46, 2.027, 1.556, 1.861, 1.166, 1.37, 1.132, 1.123, 1.181, 0.92, 0.817, 0.61, 0.689]]","[[[5, 3], [6, 4], [7, 3], [6, 6], [6, 2], [8, 1], [3, 6], [5, 6], [5, 2], [7, 5], [4, 6], [2, 5], [7, 4], [2, 3], [8, 6], [1, 3], [1, 1], [8, 3], [5, 1], [3, 1], [6, 1], [6, 8], [8, 8], [7, 8], [3, 8], [5, 8], [2, 1], [4, 8], [2, 7], [1, 8], [2, 4], [1, 5]], [[6, 3], [6, 5], [3, 3], [7, 2], [7, 6], [6, 7], [8, 2], [4, 3], [3, 5], [8, 5], [5, 7], [3, 4], [8, 4], [2, 6], [1, 2], [4, 1], [1, 6], [4, 2], [2, 2], [7, 1], [7, 7], [8, 7], [4, 7], [3, 7], [3, 2], [2, 8], [1, 7], [1, 4]]]","[32, 28]","[55, 9, 46]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",01:28,"[[0.0, 0.0, 0.0, 0.0, 1.525, 1.211, 1.33, 0.001, 2.289, 2.39, 5.426, 1.551, 1.228, 1.292, 0.75, 1.538, 1.002, 1.666, 1.849, 1.554, 0.84, 0.001, 0.536, 0.192, 0.0, 0.054, 0.016, 0.0, 0.001, 0.0], [2.693, 2.865, 2.432, 2.42, 2.669, 2.32, 2.342, 2.769, 2.255, 2.1, 2.09, 2.735, 2.487, 2.234, 2.311, 2.117, 2.44, 2.434, 1.836, 1.652, 1.932, 2.099, 1.966, 1.526, 1.294, 0.991, 1.071, 0.827, 0.592, 0.0]]","[[[5, 6], [7, 4], [5, 2], [4, 7], [3, 8], [2, 7], [3, 6], [1, 8], [1, 6], [5, 8], [8, 5], [8, 3], [2, 4], [1, 4], [3, 4], [6, 4], [5, 3], [8, 6], [2, 3], [6, 1], [4, 1], [8, 1], [7, 1], [3, 1], [1, 1], [7, 6], [1, 5], [8, 8], [1, 2], [7, 8]], [[3, 5], [6, 5], [6, 3], [5, 7], [3, 7], [7, 5], [1, 7], [2, 5], [4, 3], [7, 3], [4, 6], [4, 8], [2, 8], [6, 6], [2, 6], [3, 3], [4, 2], [6, 2], [1, 3], [3, 2], [5, 1], [8, 2], [7, 2], [2, 1], [2, 2], [8, 4], [6, 7], [8, 7], [6, 8], [7, 7]]]","[30, 30]","[53, 11, 42]",1
"[1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",02:03,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.344, 4.428, 7.118, 3.166, 4.171, 6.144, 4.88, 8.684, 7.449, 4.906, 5.279, 1.612, 1.853, 0.002, 0.909, 0.917, 0.436, 0.264, 0.004, 0.0, 0.079, 0.001, 0.002, 0.0, 0.0], [2.386, 2.356, 2.873, 2.745, 2.652, 2.676, 2.437, 2.607, 2.531, 2.429, 2.737, 2.368, 2.431, 2.622, 2.199, 2.532, 1.897, 1.622, 1.803, 1.637, 1.408, 1.263, 1.006, 0.912, 1.035, 1.059, 1.118, 0.888, 0.684]]","[[[5, 3], [6, 4], [7, 3], [6, 6], [4, 1], [5, 6], [3, 6], [7, 5], [4, 7], [5, 7], [3, 7], [3, 5], [2, 5], [1, 3], [7, 4], [4, 2], [6, 2], [8, 4], [8, 6], [8, 8], [3, 8], [2, 8], [7, 1], [3, 2], [1, 1], [1, 8], [8, 2], [8, 1], [1, 6], [3, 1], [2, 1]], [[6, 3], [6, 5], [3, 3], [5, 2], [7, 6], [6, 7], [4, 6], [2, 6], [5, 8], [6, 8], [4, 8], [2, 4], [4, 3], [6, 1], [3, 4], [2, 3], [8, 5], [7, 7], [8, 7], [7, 8], [8, 3], [5, 1], [2, 7], [2, 2], [1, 2], [1, 7], [7, 2], [1, 4], [1, 5]]]","[31, 29]","[49, 15, 34]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0]",01:42,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.229, 6.631, 3.595, 4.164, 5.621, 3.788, 4.754, 1.139, 3.046, 0.002, 2.907, 3.306, 0.001, 1.941, 1.62, 0.619, 0.781, 0.292, 0.001, 0.101, 0.045, 0.0, 0.002, 0.0, 0.0], [2.606, 2.493, 1.999, 2.39, 1.707, 2.041, 2.647, 2.892, 2.834, 3.073, 2.366, 2.337, 2.3, 2.063, 1.812, 1.907, 1.701, 2.307, 2.07, 2.036, 2.177, 2.073, 1.452, 1.054, 0.896, 0.813, 0.712, 0.73, 0.626]]","[[[3, 4], [2, 4], [1, 2], [4, 2], [3, 5], [6, 6], [6, 4], [7, 6], [1, 6], [2, 6], [3, 6], [7, 5], [7, 8], [5, 8], [3, 1], [1, 8], [7, 4], [8, 5], [8, 8], [5, 2], [1, 7], [6, 1], [4, 3], [2, 1], [1, 1], [4, 8], [7, 1], [8, 1], [8, 3], [1, 5], [1, 3]], [[4, 6], [2, 3], [3, 3], [6, 3], [1, 4], [2, 5], [5, 6], [6, 5], [6, 7], [8, 7], [3, 2], [5, 1], [8, 6], [6, 8], [4, 7], [2, 7], [5, 3], [4, 1], [5, 7], [7, 3], [3, 7], [7, 7], [6, 2], [2, 8], [2, 2], [3, 8], [7, 2], [8, 2], [8, 4]]]","[31, 29]","[46, 18, 28]",1
"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0]",01:28,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 2.575, 2.728, 3.877, 0.004, 5.118, 4.821, 2.975, 1.532, 1.603, 3.009, 3.256, 1.693, 2.324, 2.318, 0.787, 0.302, 0.319, 0.181, 0.202, 0.151, 0.059, 0.039, 0.033, 0.017, 0.002, 0.001, 0.0], [2.149, 2.331, 2.952, 2.894, 2.395, 2.592, 2.159, 2.075, 2.54, 2.309, 2.992, 2.871, 2.238, 2.004, 2.072, 1.894, 2.044, 1.764, 1.708, 1.313, 1.058, 0.0, 0.0, 0.705, 0.779, 0.664, 0.0]]","[[[5, 3], [6, 4], [6, 2], [3, 3], [7, 3], [8, 1], [3, 6], [3, 7], [5, 6], [1, 8], [2, 1], [2, 8], [4, 8], [4, 1], [8, 3], [5, 2], [2, 6], [1, 3], [1, 5], [1, 7], [1, 4], [6, 1], [2, 5], [1, 2], [3, 4], [4, 7], [7, 7], [5, 7], [7, 8], [8, 7], [8, 5], [7, 6], [7, 4]], [[6, 3], [4, 3], [6, 6], [7, 2], [3, 2], [2, 3], [4, 6], [6, 5], [2, 7], [3, 5], [3, 8], [8, 2], [3, 1], [4, 2], [6, 7], [7, 1], [1, 6], [2, 4], [2, 2], [8, 4], [5, 1], [1, 1], [8, 8], [6, 8], [8, 6], [7, 5], [5, 8]]]","[33, 27]","[49, 15, 34]",1
"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0]",01:41,"[[0.0, 0.0, 0.0, 0.0, 2.483, 3.334, 9.589, 6.614, 6.183, 2.018, 3.424, 2.587, 2.746, 1.33, 1.421, 2.614, 2.22, 0.667, 0.756, 0.889, 0.482, 0.389, 0.138, 0.105, 0.001, 0.0, 0.035, 0.008, 0.002, 0.0], [2.502, 2.273, 2.553, 2.223, 2.417, 2.531, 2.886, 2.307, 2.308, 2.123, 2.076, 1.976, 0.0, 1.528, 1.682, 1.872, 1.635, 1.515, 1.673, 1.727, 2.108, 1.735, 1.716, 1.323, 1.238, 1.057, 0.911, 0.0, 0.802, 0.783]]","[[[3, 4], [5, 6], [5, 3], [4, 3], [6, 3], [6, 5], [3, 5], [7, 4], [8, 2], [5, 2], [4, 1], [8, 3], [7, 2], [2, 5], [1, 3], [1, 6], [1, 4], [4, 7], [6, 8], [6, 7], [2, 2], [1, 7], [7, 7], [8, 6], [1, 1], [8, 8], [5, 8], [2, 8], [8, 5], [3, 8]], [[4, 6], [3, 3], [6, 4], [6, 2], [5, 7], [7, 3], [2, 3], [2, 6], [3, 6], [6, 6], [6, 1], [8, 4], [8, 1], [7, 1], [3, 2], [1, 5], [5, 1], [3, 1], [2, 4], [4, 2], [4, 8], [3, 7], [7, 5], [7, 6], [2, 1], [7, 8], [1, 2], [1, 8], [8, 7], [2, 7]]]","[30, 30]","[25, 39, 14]",-1
"[1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",01:28,"[[0.0, 0.0, 0.0, 0.0, 0.0, 2.897, 2.729, 2.781, 0.003, 3.484, 0.002, 4.585, 6.782, 4.88, 2.254, 3.018, 1.825, 0.002, 2.462, 1.582, 1.526, 0.348, 0.424, 0.27, 0.19, 0.082, 0.033, 0.005, 0.02, 0.004, 0.001], [2.303, 2.31, 2.941, 2.698, 2.521, 2.622, 2.477, 2.506, 2.202, 2.187, 2.105, 1.821, 1.833, 1.835, 1.562, 1.726, 1.518, 1.624, 1.278, 1.313, 1.031, 0.955, 1.241, 0.934, 0.713]]","[[[5, 3], [6, 4], [6, 2], [3, 3], [5, 2], [7, 3], [8, 3], [6, 1], [8, 1], [5, 6], [1, 1], [3, 4], [8, 5], [7, 4], [3, 1], [7, 6], [8, 6], [8, 8], [8, 7], [6, 8], [7, 2], [4, 1], [2, 1], [3, 6], [1, 7], [2, 8], [1, 3], [4, 7], [2, 7], [4, 8], [1, 6]], [[6, 3], [4, 3], [6, 6], [7, 1], [6, 5], [8, 4], [3, 2], [2, 2], [4, 2], [6, 7], [4, 6], [2, 3], [2, 4], [1, 2], [8, 2], [7, 5], [7, 7], [5, 7], [7, 8], [5, 8], [5, 1], [3, 5], [2, 6], [3, 7], [2, 5]]]","[31, 25]","[59, 1, 58]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 1.0, 1.0, 1.0, 1.0]",01:29,"[[0.0, 0.0, 0.0, 4.631, 4.012, 2.593, 8.115, 4.192, 9.411, 2.03, 2.458, 0.002, 0.978, 1.82, 1.184, 0.002, 1.046, 0.65, 0.702, 0.821, 0.586, 0.668, 0.685, 0.412, 0.255, 0.137, 0.092, 0.001, 0.027, 0.024, 0.001, 0.001, 0.0, 0.0], [2.461, 2.244, 2.392, 2.826, 2.554, 2.363, 2.311, 2.435, 2.05, 2.006, 1.762, 1.627, 1.706, 1.475, 1.419, 1.326, 1.271, 1.349, 1.182, 1.084, 1.135, 0.938, 0.77, 0.731, 0.0]]","[[[3, 4], [5, 6], [4, 3], [2, 4], [1, 4], [1, 6], [4, 2], [5, 1], [1, 2], [3, 2], [2, 1], [1, 1], [3, 6], [2, 6], [5, 2], [1, 8], [2, 7], [6, 2], [7, 2], [8, 2], [7, 4], [4, 8], [2, 8], [4, 7], [7, 6], [8, 7], [8, 3], [8, 1], [6, 4], [7, 8], [6, 1], [6, 8], [6, 6], [8, 6]], [[4, 6], [3, 3], [3, 5], [5, 3], [1, 5], [6, 5], [6, 7], [3, 1], [1, 3], [2, 3], [4, 1], [2, 2], [2, 5], [3, 7], [1, 7], [7, 1], [7, 3], [7, 5], [3, 8], [5, 7], [8, 5], [7, 7], [6, 3], [5, 8], [8, 8]]]","[34, 25]","[58, 5, 53]",1
"[1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",01:52,"[[0.0, 0.0, 0.0, 0.0, 0.0, 4.517, 3.878, 7.295, 9.169, 6.313, 6.03, 3.847, 4.052, 1.299, 0.002, 2.625, 0.002, 1.233, 0.965, 1.285, 1.673, 0.002, 0.516, 0.413, 0.164, 0.144, 0.026, 0.006, 0.0, 0.0], [2.235, 2.284, 2.853, 2.923, 2.66, 2.954, 3.017, 2.731, 2.469, 2.768, 2.53, 2.738, 2.598, 2.159, 2.008, 2.03, 2.125, 1.634, 1.171, 1.314, 1.483, 1.253, 1.227, 0.97, 1.103, 1.04, 0.86, 0.0, 0.891, 0.703]]","[[[5, 3], [6, 4], [7, 3], [3, 6], [7, 4], [5, 2], [3, 5], [4, 2], [7, 6], [6, 6], [3, 1], [2, 5], [8, 6], [6, 1], [8, 1], [4, 1], [8, 8], [8, 2], [8, 3], [4, 7], [5, 7], [1, 1], [5, 8], [7, 8], [3, 8], [1, 2], [1, 4], [1, 6], [1, 8], [2, 7]], [[6, 3], [6, 5], [6, 2], [3, 3], [4, 6], [4, 3], [2, 4], [3, 7], [7, 5], [5, 1], [8, 4], [7, 2], [1, 5], [3, 4], [3, 2], [8, 7], [5, 6], [8, 5], [7, 1], [6, 7], [2, 1], [7, 7], [4, 8], [6, 8], [2, 2], [2, 3], [2, 6], [1, 3], [2, 8], [1, 7]]]","[30, 30]","[48, 16, 32]",1
"[-1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:53,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 1.237, 1.085, 1.512, 0.852, 0.974, 0.358, 0.286, 0.307, 0.546, 0.961, 0.697, 0.754, 0.254, 0.277, 0.267, 0.591, 0.001, 0.216, 0.001, 0.249, 0.123, 0.088, 0.035, 0.035, 0.006, 0.003, 0.002, 0.001, 0.0], [2.291, 2.627, 2.548, 2.4, 2.272, 2.332, 2.264, 2.373, 2.203, 2.114, 1.722, 1.563, 1.857, 0.001, 1.427, 1.738, 1.516, 1.342, 1.116, 1.337, 0.895, 0.9, 0.813, 0.882, 0.62]]","[[[5, 6], [5, 7], [7, 8], [7, 5], [6, 5], [8, 8], [5, 8], [4, 7], [2, 8], [8, 6], [3, 7], [8, 4], [4, 6], [6, 4], [5, 3], [7, 2], [7, 3], [7, 1], [6, 1], [3, 6], [3, 3], [4, 3], [1, 8], [2, 2], [1, 1], [2, 6], [1, 6], [2, 5], [1, 3], [3, 1], [3, 4], [1, 4], [1, 2], [3, 2], [4, 1]], [[3, 5], [6, 7], [6, 6], [6, 3], [7, 7], [8, 5], [6, 8], [4, 8], [3, 8], [8, 7], [7, 6], [7, 4], [6, 2], [8, 1], [8, 3], [8, 2], [5, 1], [5, 2], [2, 7], [2, 3], [2, 1], [1, 7], [2, 4], [4, 2], [1, 5]]]","[35, 25]","[52, 12, 40]",1
