Board,Game Time,Move Time,Action List,Action List Count,Score,Winner
"[-1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:08,"[[0.001, 0.0, 0.0, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.109, 0.235, 0.51, 0.633, 1.335, 1.277, 1.001, 0.689, 0.003, 0.316, 0.43, 0.004, 0.003, 0.001, 0.318, 0.001, 0.003, 0.123, 0.15, 0.176, 0.239, 0.291, 0.171, 0.0, 0.0, 0.001, 0.067, 0.041, 0.028, 0.014, 0.003, 0.001, 0.0]]","[[[5, 3], [4, 6], [4, 3], [5, 6], [6, 6], [3, 6], [4, 8], [5, 8], [7, 8], [6, 3], [2, 3], [2, 8], [8, 7], [8, 5], [7, 6], [1, 6], [3, 4], [8, 1], [8, 3], [2, 5], [7, 1], [5, 1], [4, 2], [4, 1], [2, 2], [1, 2], [3, 1]], [[6, 5], [3, 3], [3, 7], [6, 4], [6, 7], [4, 7], [3, 8], [6, 8], [8, 8], [5, 7], [7, 7], [1, 8], [8, 6], [2, 7], [7, 5], [2, 6], [8, 4], [7, 4], [7, 3], [7, 2], [1, 5], [3, 5], [1, 7], [1, 4], [8, 2], [2, 4], [6, 1], [6, 2], [1, 3], [5, 2], [3, 2], [1, 1], [2, 1]]]","[27, 33]","[16, 48, 32]",-1
"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:10,"[[0.001, 0.001, 0.0, 0.001, 0.0, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.103, 0.217, 0.488, 0.395, 0.806, 0.666, 0.371, 0.261, 1.085, 0.973, 0.634, 0.349, 1.058, 0.924, 0.407, 0.244, 0.228, 0.006, 0.003, 0.154, 0.138, 0.002, 0.001, 0.001, 0.098, 0.074, 0.044, 0.063, 0.009, 0.0, 0.005, 0.001, 0.0]]","[[[5, 6], [3, 4], [7, 5], [5, 3], [3, 6], [8, 6], [5, 7], [1, 4], [1, 6], [6, 8], [4, 8], [4, 3], [6, 3], [6, 1], [2, 4], [8, 3], [7, 8], [7, 7], [3, 8], [1, 8], [3, 3], [1, 3], [4, 1], [5, 2], [8, 1], [1, 1], [3, 1]], [[4, 6], [6, 5], [6, 6], [6, 4], [3, 5], [8, 5], [8, 7], [2, 5], [1, 5], [6, 7], [4, 7], [6, 2], [7, 6], [5, 8], [8, 4], [7, 4], [8, 2], [8, 8], [7, 3], [3, 7], [2, 7], [2, 8], [1, 7], [2, 6], [2, 3], [3, 2], [5, 1], [4, 2], [7, 2], [7, 1], [2, 2], [1, 2], [2, 1]]]","[27, 33]","[12, 52, 40]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:13,"[[0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.141, 0.214, 0.392, 0.548, 0.629, 1.639, 1.479, 1.253, 1.0, 1.075, 0.795, 0.468, 0.835, 0.803, 0.328, 0.382, 0.353, 0.15, 0.175, 0.001, 0.001, 0.119, 0.002, 0.061, 0.001, 0.037, 0.001, 0.01, 0.003, 0.0, 0.0]]","[[[4, 6], [4, 3], [6, 5], [3, 5], [5, 3], [6, 4], [8, 4], [2, 3], [6, 3], [8, 3], [4, 1], [6, 1], [5, 7], [1, 6], [3, 1], [1, 4], [5, 8], [7, 5], [8, 6], [2, 4], [2, 2], [2, 1], [7, 2], [8, 2], [1, 8], [4, 7], [8, 8], [7, 8], [2, 8]], [[3, 4], [5, 6], [3, 3], [7, 4], [6, 6], [2, 6], [3, 6], [6, 2], [7, 3], [5, 2], [5, 1], [4, 2], [3, 2], [1, 3], [4, 8], [1, 5], [6, 8], [7, 6], [2, 5], [1, 7], [8, 5], [1, 2], [1, 1], [7, 1], [8, 1], [2, 7], [3, 8], [6, 7], [8, 7], [3, 7], [7, 7]]]","[29, 31]","[29, 35, 6]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:07,"[[0.0, 0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.136, 0.262, 0.511, 0.967, 0.926, 0.537, 0.591, 0.675, 0.854, 0.276, 0.341, 0.001, 0.22, 0.002, 0.002, 0.002, 0.001, 0.13, 0.08, 0.002, 0.002, 0.091, 0.181, 0.178, 0.167, 0.054, 0.117, 0.012, 0.001, 0.0, 0.0, 0.0, 0.0, 0.002, 0.0]]","[[[6, 5], [4, 3], [6, 7], [3, 4], [3, 2], [5, 8], [7, 5], [1, 1], [6, 3], [3, 8], [7, 8], [8, 7], [8, 5], [8, 3], [3, 6], [5, 1], [5, 2], [4, 1], [2, 4], [1, 5], [7, 2], [2, 6], [1, 2], [1, 7]], [[6, 4], [5, 6], [6, 6], [3, 3], [6, 8], [5, 7], [2, 2], [5, 3], [4, 8], [4, 7], [2, 8], [8, 8], [7, 7], [8, 6], [7, 6], [3, 7], [4, 6], [8, 4], [7, 4], [8, 2], [7, 3], [3, 5], [4, 2], [6, 2], [3, 1], [6, 1], [1, 4], [1, 6], [8, 1], [2, 5], [7, 1], [2, 3], [2, 7], [1, 3], [2, 1]]]","[24, 35]","[9, 54, 45]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0]",00:14,"[[0.0, 0.0, 0.001, 0.001, 0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.154, 0.2, 0.387, 0.863, 0.917, 1.633, 0.914, 1.278, 1.23, 0.868, 0.97, 0.642, 0.39, 0.443, 0.433, 0.463, 0.328, 0.493, 0.465, 0.215, 0.003, 0.148, 0.045, 0.002, 0.052, 0.024, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[4, 6], [4, 3], [6, 5], [3, 5], [5, 3], [6, 4], [8, 4], [2, 3], [6, 3], [8, 3], [5, 1], [6, 1], [4, 1], [1, 4], [3, 7], [8, 5], [1, 6], [8, 6], [2, 5], [2, 2], [2, 7], [4, 7], [3, 8], [4, 8], [6, 8], [5, 7], [7, 2], [8, 2]], [[3, 4], [5, 6], [3, 3], [7, 4], [6, 6], [2, 6], [3, 6], [6, 2], [7, 3], [5, 2], [4, 2], [3, 2], [1, 3], [1, 5], [7, 5], [7, 6], [3, 1], [2, 4], [1, 7], [7, 1], [1, 8], [5, 8], [2, 8], [1, 1], [2, 1], [1, 2], [6, 7], [7, 8], [8, 1], [7, 7], [8, 7]]]","[28, 31]","[6, 57, 51]",-1
"[1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:10,"[[0.0, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.15, 0.271, 0.538, 0.616, 0.479, 0.578, 0.576, 1.23, 1.259, 0.438, 1.226, 0.418, 0.519, 0.266, 0.19, 0.004, 0.312, 0.388, 0.0, 0.0, 0.128, 0.127, 0.0, 0.001, 0.061, 0.0, 0.001, 0.02, 0.0, 0.012, 0.011, 0.0, 0.0, 0.0]]","[[[6, 5], [4, 3], [3, 4], [7, 4], [4, 6], [8, 4], [3, 7], [3, 5], [3, 2], [1, 3], [3, 1], [6, 1], [7, 6], [7, 3], [7, 1], [4, 2], [8, 2], [8, 7], [6, 8], [7, 8], [3, 8], [1, 7], [2, 4], [1, 6], [2, 2], [1, 2]], [[6, 4], [5, 6], [3, 3], [6, 6], [8, 3], [3, 6], [8, 5], [2, 3], [5, 2], [4, 1], [6, 3], [5, 3], [5, 1], [7, 5], [6, 2], [8, 1], [8, 6], [7, 2], [8, 8], [7, 7], [6, 7], [5, 7], [5, 8], [4, 7], [2, 8], [4, 8], [2, 7], [2, 6], [1, 5], [2, 5], [2, 1], [1, 8], [1, 4], [1, 1]]]","[26, 34]","[9, 55, 46]",-1
"[-1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:11,"[[0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.13, 0.202, 0.205, 0.24, 0.867, 0.799, 0.899, 0.638, 0.375, 0.596, 0.832, 0.813, 1.002, 0.658, 0.493, 0.365, 0.449, 0.347, 0.2, 0.163, 0.122, 0.001, 0.1, 0.002, 0.0, 0.04, 0.001, 0.013, 0.003, 0.0, 0.0]]","[[[6, 4], [3, 5], [5, 3], [4, 6], [3, 4], [7, 3], [8, 6], [6, 3], [8, 3], [5, 1], [3, 2], [6, 1], [3, 7], [3, 1], [1, 5], [1, 6], [4, 8], [6, 7], [7, 6], [4, 7], [2, 4], [1, 7], [7, 8], [7, 7], [7, 2], [7, 1], [1, 3], [2, 2], [1, 2]], [[4, 3], [6, 6], [3, 3], [6, 2], [7, 5], [8, 4], [6, 5], [8, 5], [5, 6], [7, 4], [5, 2], [3, 6], [4, 2], [2, 6], [2, 5], [3, 8], [5, 8], [2, 8], [5, 7], [2, 7], [4, 1], [1, 8], [6, 8], [8, 8], [8, 7], [8, 2], [8, 1], [1, 4], [2, 3], [1, 1], [2, 1]]]","[29, 31]","[16, 48, 32]",-1
"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:13,"[[0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.131, 0.158, 0.335, 0.386, 0.696, 0.734, 0.64, 1.449, 2.494, 0.973, 0.285, 0.321, 0.705, 0.971, 0.533, 0.477, 0.715, 0.455, 0.179, 0.145, 0.145, 0.002, 0.001, 0.0, 0.058, 0.0, 0.018, 0.0, 0.007, 0.004, 0.0, 0.0]]","[[[4, 3], [6, 5], [4, 6], [6, 2], [8, 3], [7, 6], [3, 4], [5, 6], [8, 5], [8, 4], [8, 6], [2, 3], [3, 8], [5, 8], [6, 7], [7, 8], [6, 1], [5, 7], [4, 2], [7, 2], [3, 2], [1, 4], [2, 5], [2, 2], [2, 6], [2, 7], [2, 8]], [[6, 4], [3, 6], [6, 3], [3, 3], [7, 3], [6, 6], [7, 5], [3, 7], [8, 7], [7, 4], [5, 3], [8, 2], [3, 5], [4, 7], [4, 8], [6, 8], [5, 1], [7, 1], [5, 2], [4, 1], [1, 3], [8, 1], [1, 5], [3, 1], [2, 4], [7, 7], [2, 1], [1, 2], [1, 6], [1, 7], [1, 8], [8, 8]]]","[27, 32]","[11, 52, 41]",-1
"[1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:09,"[[0.001, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.131, 0.273, 0.464, 0.541, 0.502, 0.447, 1.389, 0.485, 0.462, 0.666, 0.582, 0.373, 0.251, 0.761, 0.004, 0.003, 0.5, 0.007, 0.284, 0.184, 0.108, 0.11, 0.1, 0.001, 0.0, 0.058, 0.041, 0.0, 0.0, 0.011, 0.0, 0.001, 0.0]]","[[[3, 5], [6, 5], [5, 3], [3, 3], [5, 1], [3, 6], [3, 1], [5, 7], [3, 2], [6, 4], [5, 8], [6, 6], [6, 2], [3, 8], [7, 8], [3, 7], [7, 2], [7, 3], [8, 3], [8, 4], [8, 5], [7, 6], [1, 1], [2, 6], [1, 7], [2, 4], [1, 3]], [[5, 6], [3, 4], [4, 3], [4, 2], [4, 1], [6, 1], [2, 1], [4, 6], [6, 3], [6, 8], [6, 7], [4, 8], [4, 7], [2, 8], [8, 8], [5, 2], [7, 1], [8, 1], [8, 2], [7, 4], [7, 5], [8, 6], [2, 2], [8, 7], [7, 7], [2, 7], [1, 6], [1, 8], [1, 5], [2, 5], [1, 4], [1, 2], [2, 3]]]","[27, 33]","[5, 59, 54]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0]",00:09,"[[0.0, 0.001, 0.0, 0.001, 0.001, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.122, 0.299, 0.51, 0.653, 1.055, 0.592, 0.765, 0.313, 0.412, 0.003, 0.337, 0.297, 0.004, 0.632, 0.628, 0.411, 0.453, 0.5, 0.003, 0.22, 0.301, 0.315, 0.165, 0.178, 0.067, 0.026, 0.003, 0.0, 0.0, 0.0]]","[[[6, 5], [4, 3], [7, 5], [8, 5], [6, 3], [5, 7], [5, 8], [8, 3], [6, 7], [3, 6], [7, 8], [4, 7], [5, 3], [4, 1], [5, 2], [5, 1], [7, 1], [2, 2], [3, 7], [3, 4], [2, 6], [2, 5], [1, 5], [3, 3], [1, 3], [1, 1], [1, 7], [7, 2], [2, 7], [8, 7]], [[6, 4], [5, 6], [6, 6], [8, 6], [8, 4], [7, 4], [4, 8], [6, 8], [8, 2], [7, 3], [4, 6], [7, 6], [8, 8], [3, 2], [4, 2], [3, 1], [6, 2], [6, 1], [8, 1], [3, 8], [3, 5], [1, 2], [1, 6], [1, 4], [2, 4], [2, 3], [7, 7], [2, 1], [1, 8], [2, 8]]]","[30, 30]","[15, 49, 34]",-1
