Board,Game Time,Move Time,Action List,Action List Count,Score,Winner
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:33,"[[0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 3.718, 3.713, 12.239, 1.765, 0.95, 0.694, 0.002, 0.987, 1.569, 1.38, 0.769, 0.947, 1.634, 0.62, 0.797, 0.001, 0.734, 0.297, 0.143, 0.158, 0.001, 0.079, 0.079, 0.017, 0.008, 0.002, 0.0]]","[[[6, 4], [3, 5], [5, 3], [4, 1], [6, 3], [6, 5], [8, 3], [6, 1], [8, 4], [7, 3], [7, 2], [3, 2], [3, 4], [8, 6], [6, 7], [6, 8], [2, 2], [1, 4], [2, 3], [1, 2], [2, 5], [2, 6], [1, 7], [2, 8], [4, 6], [7, 7], [5, 6]], [[4, 3], [7, 4], [4, 2], [3, 1], [5, 1], [5, 2], [8, 5], [7, 1], [8, 2], [6, 2], [3, 3], [8, 1], [7, 5], [8, 7], [7, 6], [6, 6], [5, 8], [7, 8], [2, 1], [2, 4], [1, 1], [1, 3], [1, 5], [1, 6], [2, 7], [1, 8], [3, 8], [3, 7], [3, 6], [4, 7], [5, 7], [8, 8]]]","[27, 32]","[9, 54, 45]",-1
"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0]",01:18,"[[0.001, 0.001, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.757, 10.507, 8.648, 12.824, 8.395, 9.216, 8.221, 6.903, 1.605, 1.554, 0.851, 0.583, 0.338, 0.078, 0.711, 0.76, 0.601, 0.509, 0.346, 0.165, 0.096, 0.033, 0.02, 0.004, 0.004, 0.0]]","[[[4, 3], [6, 5], [3, 5], [6, 3], [2, 5], [7, 5], [6, 2], [4, 7], [1, 6], [8, 6], [8, 4], [5, 1], [4, 2], [3, 2], [8, 2], [8, 1], [3, 1], [1, 8], [1, 3], [1, 4], [8, 8], [3, 8], [6, 8], [5, 7], [5, 8], [1, 1], [2, 2]], [[5, 3], [3, 3], [3, 6], [2, 6], [7, 6], [6, 6], [4, 6], [3, 4], [5, 6], [6, 4], [7, 3], [6, 1], [8, 3], [4, 1], [7, 4], [7, 2], [7, 1], [2, 7], [2, 3], [2, 4], [1, 5], [5, 2], [7, 7], [8, 7], [1, 7], [2, 8], [7, 8], [6, 7], [3, 7], [8, 5], [4, 8], [2, 1], [1, 2]]]","[27, 33]","[33, 31, 2]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:42,"[[0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 4.395, 10.495, 3.988, 3.568, 3.145, 3.067, 2.687, 0.002, 1.474, 1.299, 1.018, 1.658, 1.364, 0.526, 0.527, 0.842, 0.987, 0.759, 0.001, 0.385, 0.128, 0.063, 0.015, 0.009, 0.003, 0.0]]","[[[3, 5], [6, 4], [4, 6], [1, 5], [5, 8], [3, 4], [3, 3], [3, 6], [6, 3], [1, 3], [2, 6], [3, 8], [2, 8], [1, 7], [1, 1], [4, 1], [3, 1], [5, 1], [3, 2], [6, 1], [6, 5], [8, 3], [8, 6], [7, 4], [8, 5], [8, 2], [6, 6], [7, 8], [7, 7]], [[5, 6], [2, 5], [5, 7], [2, 4], [4, 3], [5, 3], [1, 6], [1, 4], [2, 3], [1, 2], [3, 7], [4, 8], [1, 8], [4, 7], [2, 7], [5, 2], [2, 2], [4, 2], [2, 1], [6, 8], [6, 2], [7, 5], [7, 2], [8, 1], [7, 1], [8, 4], [7, 3], [8, 7], [6, 7], [7, 6], [8, 8]]]","[29, 31]","[24, 40, 16]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0]",00:49,"[[0.0, 0.001, 0.0, 0.001, 0.0, 0.001, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 4.58, 6.634, 6.54, 4.844, 3.112, 3.237, 1.978, 2.587, 0.004, 3.278, 2.306, 1.868, 2.676, 1.2, 1.018, 0.831, 0.34, 0.393, 0.495, 0.441, 0.111, 0.127, 0.052, 0.027, 0.0, 0.002, 0.0]]","[[[6, 5], [4, 3], [4, 6], [6, 4], [6, 6], [8, 4], [4, 2], [8, 6], [8, 3], [4, 1], [2, 6], [2, 3], [2, 1], [5, 2], [6, 1], [1, 3], [2, 2], [2, 4], [8, 1], [2, 5], [8, 8], [6, 8], [6, 7], [3, 7], [5, 8], [2, 7], [2, 8]], [[5, 3], [3, 6], [6, 3], [5, 6], [7, 4], [3, 3], [7, 3], [8, 5], [3, 1], [7, 6], [5, 1], [7, 5], [3, 2], [1, 1], [6, 2], [7, 1], [1, 4], [1, 2], [3, 4], [7, 2], [1, 5], [8, 2], [7, 7], [7, 8], [3, 5], [8, 7], [1, 6], [5, 7], [4, 7], [1, 8], [1, 7], [3, 8]]]","[27, 32]","[11, 52, 41]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0]",00:43,"[[0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 3.107, 8.353, 4.171, 7.043, 4.301, 2.052, 1.729, 1.32, 1.679, 0.824, 1.102, 1.308, 1.139, 0.003, 1.354, 1.101, 0.003, 0.005, 0.676, 0.766, 0.272, 0.15, 0.065, 0.0, 0.004, 0.0]]","[[[4, 6], [4, 3], [6, 4], [5, 3], [6, 6], [3, 3], [5, 1], [3, 6], [3, 1], [4, 2], [1, 3], [1, 4], [2, 3], [2, 6], [6, 2], [2, 2], [3, 8], [2, 7], [7, 2], [5, 7], [7, 5], [6, 8], [4, 8], [2, 8], [8, 2], [7, 4], [7, 7], [7, 6], [8, 4], [8, 7]], [[3, 4], [5, 2], [6, 5], [5, 6], [3, 5], [3, 2], [6, 1], [4, 1], [2, 1], [2, 4], [1, 5], [1, 2], [2, 5], [6, 3], [1, 6], [3, 7], [7, 1], [1, 1], [1, 7], [6, 7], [1, 8], [8, 1], [5, 8], [4, 7], [7, 8], [8, 3], [7, 3], [8, 8], [8, 6], [8, 5]]]","[30, 30]","[15, 49, 34]",-1
"[1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:51,"[[0.0, 0.001, 0.001, 0.0, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.832, 2.087, 3.819, 1.111, 1.768, 2.963, 1.692, 3.872, 6.009, 5.3, 5.135, 6.64, 4.116, 1.762, 1.739, 0.002, 0.599, 0.339, 0.227, 0.177, 0.091, 0.001, 0.006, 0.0, 0.001]]","[[[6, 5], [3, 5], [4, 3], [5, 6], [6, 7], [3, 2], [2, 3], [4, 1], [2, 6], [3, 7], [4, 6], [1, 8], [5, 2], [6, 1], [2, 4], [6, 8], [4, 8], [1, 5], [2, 5], [7, 2], [7, 3], [8, 4], [8, 3], [7, 5], [7, 6], [7, 7], [7, 8], [2, 2], [1, 2], [1, 4]], [[5, 3], [3, 6], [6, 6], [3, 3], [3, 4], [6, 3], [4, 2], [3, 1], [5, 1], [1, 6], [2, 7], [3, 8], [6, 4], [6, 2], [7, 1], [5, 7], [4, 7], [2, 8], [1, 7], [5, 8], [8, 1], [8, 2], [7, 4], [8, 5], [8, 6], [8, 7], [8, 8], [2, 1], [1, 1], [1, 3]]]","[30, 30]","[24, 40, 16]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:31,"[[0.001, 0.001, 0.001, 0.001, 0.0, 0.001, 0.001, 0.001, 0.0, 0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 2.396, 3.15, 13.158, 1.545, 1.595, 1.617, 0.904, 0.001, 1.283, 1.246, 1.155, 0.694, 0.615, 0.001, 0.586, 0.002, 0.31, 0.109, 0.127, 0.11, 0.179, 0.039, 0.01, 0.01, 0.008, 0.0, 0.0]]","[[[5, 3], [4, 6], [6, 4], [8, 5], [6, 3], [4, 3], [6, 1], [8, 3], [5, 1], [7, 3], [7, 6], [7, 2], [3, 4], [4, 2], [2, 3], [3, 5], [1, 4], [2, 2], [2, 5], [2, 1], [8, 7], [7, 8], [5, 6], [5, 7], [4, 8], [2, 6], [2, 7], [2, 8]], [[6, 5], [5, 2], [7, 5], [8, 6], [8, 4], [7, 4], [4, 1], [8, 2], [7, 1], [6, 2], [7, 7], [3, 3], [8, 1], [3, 1], [2, 4], [3, 2], [1, 3], [1, 5], [1, 1], [1, 2], [8, 8], [6, 7], [6, 6], [6, 8], [4, 7], [5, 8], [3, 8], [3, 7], [3, 6], [1, 7], [1, 8], [1, 6]]]","[28, 32]","[4, 60, 56]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",01:07,"[[0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 3.774, 4.295, 5.769, 9.827, 5.751, 4.798, 5.481, 5.404, 4.636, 2.532, 5.206, 2.896, 0.005, 1.612, 0.003, 1.597, 1.051, 0.564, 0.767, 0.375, 0.251, 0.322, 0.136, 0.089, 0.037, 0.008, 0.002, 0.0]]","[[[6, 5], [4, 3], [3, 5], [6, 7], [3, 3], [4, 1], [6, 4], [8, 3], [6, 1], [3, 1], [1, 3], [5, 6], [4, 8], [5, 8], [8, 6], [2, 6], [7, 8], [8, 5], [2, 1], [8, 7], [1, 8], [8, 1], [3, 7], [8, 4], [2, 4], [1, 6], [2, 5]], [[5, 3], [3, 6], [6, 3], [6, 6], [4, 2], [3, 4], [2, 3], [7, 4], [6, 2], [5, 1], [5, 2], [4, 6], [5, 7], [6, 8], [7, 5], [3, 8], [7, 6], [8, 8], [3, 2], [1, 1], [7, 1], [7, 7], [2, 7], [7, 2], [4, 7], [7, 3], [8, 2], [2, 8], [2, 2], [1, 2], [1, 5], [1, 4], [1, 7]]]","[27, 33]","[17, 47, 30]",-1
"[-1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:50,"[[0.001, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 2.438, 4.173, 2.398, 4.727, 7.209, 3.692, 2.142, 2.43, 3.472, 3.15, 4.091, 3.251, 3.106, 1.242, 0.004, 0.805, 0.001, 0.595, 0.863, 0.369, 0.001, 0.096, 0.028, 0.008, 0.0, 0.0]]","[[[5, 3], [4, 6], [6, 4], [5, 1], [3, 3], [5, 6], [8, 5], [4, 3], [6, 3], [1, 4], [4, 1], [8, 4], [3, 6], [3, 8], [1, 6], [1, 3], [8, 6], [2, 5], [7, 2], [6, 2], [7, 7], [6, 7], [7, 8], [3, 2], [2, 2], [1, 2], [5, 8], [4, 8], [2, 7], [2, 8]], [[6, 5], [5, 2], [7, 5], [4, 2], [3, 7], [3, 1], [3, 4], [3, 5], [2, 4], [6, 6], [7, 4], [6, 1], [2, 6], [8, 3], [2, 3], [7, 6], [8, 7], [7, 3], [8, 1], [8, 2], [8, 8], [1, 5], [7, 1], [2, 1], [1, 1], [6, 8], [5, 7], [4, 7], [1, 8], [1, 7]]]","[30, 30]","[17, 47, 30]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",01:18,"[[0.0, 0.001, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.849, 3.375, 6.224, 7.683, 6.887, 5.057, 10.453, 7.191, 9.299, 4.273, 3.584, 2.518, 1.901, 1.635, 1.15, 0.841, 0.003, 0.475, 0.104, 0.001, 0.083, 0.001, 0.008, 0.0, 0.001]]","[[[4, 3], [6, 5], [3, 5], [6, 3], [5, 2], [3, 4], [8, 3], [5, 6], [5, 1], [8, 6], [4, 2], [1, 6], [1, 5], [1, 4], [3, 1], [3, 8], [4, 8], [5, 8], [6, 7], [7, 4], [2, 2], [8, 5], [7, 5], [2, 1], [2, 7], [7, 7], [8, 7], [7, 1], [7, 2]], [[5, 3], [3, 3], [3, 6], [2, 6], [7, 6], [6, 2], [7, 3], [6, 6], [6, 4], [2, 4], [3, 2], [4, 6], [3, 7], [1, 3], [2, 3], [2, 5], [5, 7], [6, 8], [4, 7], [1, 7], [2, 8], [8, 4], [1, 1], [1, 2], [4, 1], [1, 8], [7, 8], [8, 8], [6, 1], [8, 1], [8, 2]]]","[29, 31]","[17, 47, 30]",-1
