Board,Game Time,Move Time,Action List,Action List Count,Score,Winner
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:59,"[[0.001, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [2.487, 2.284, 0.001, 3.144, 2.777, 2.995, 0.001, 3.005, 3.216, 2.623, 3.106, 3.011, 2.629, 0.0, 3.026, 2.82, 2.489, 2.541, 2.577, 2.134, 0.0, 2.532, 2.338, 1.932, 0.001, 0.001, 1.724, 1.407, 1.103, 0.774]]","[[[3, 5], [4, 6], [2, 7], [6, 4], [5, 3], [6, 5], [7, 2], [6, 2], [8, 2], [2, 6], [8, 6], [2, 3], [7, 7], [2, 1], [5, 8], [7, 8], [5, 7], [1, 5], [7, 4], [3, 4], [2, 2], [2, 4], [2, 8], [3, 7], [4, 2], [3, 1], [1, 2], [6, 1], [7, 1], [1, 7]], [[3, 6], [5, 6], [1, 8], [3, 3], [6, 3], [7, 6], [8, 1], [6, 6], [2, 5], [4, 3], [6, 7], [3, 2], [1, 3], [8, 8], [4, 1], [7, 5], [8, 7], [8, 5], [4, 8], [8, 4], [1, 1], [7, 3], [4, 7], [6, 8], [3, 8], [8, 3], [1, 4], [5, 2], [1, 6], [5, 1]]]","[30, 30]","[23, 41, 18]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",01:06,"[[0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0], [3.049, 3.011, 2.777, 3.07, 0.0, 2.9, 2.893, 3.135, 3.05, 0.0, 0.0, 2.616, 2.793, 2.716, 2.883, 3.075, 3.124, 3.118, 3.258, 3.085, 2.821, 2.632, 2.324, 0.0, 1.935, 1.643, 1.539, 1.298, 1.007, 0.0, 0.0]]","[[[3, 6], [3, 4], [6, 5], [2, 7], [4, 3], [4, 7], [2, 3], [7, 7], [7, 2], [4, 8], [7, 5], [6, 7], [2, 8], [6, 2], [2, 5], [8, 7], [6, 1], [8, 3], [2, 1], [6, 8], [8, 5], [8, 4], [1, 5], [1, 3], [2, 2], [4, 1], [3, 5], [5, 3], [5, 1]], [[4, 6], [2, 6], [3, 3], [6, 4], [1, 8], [6, 3], [6, 6], [5, 8], [3, 7], [8, 1], [8, 8], [5, 7], [3, 8], [3, 2], [5, 2], [1, 7], [8, 6], [7, 6], [1, 6], [1, 4], [2, 4], [7, 3], [3, 1], [1, 1], [1, 2], [4, 2], [5, 6], [8, 2], [7, 4], [7, 1], [7, 8]]]","[29, 31]","[16, 48, 32]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",01:02,"[[0.001, 0.0, 0.001, 0.001, 0.001, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [2.872, 3.349, 3.173, 0.001, 2.854, 3.561, 3.444, 3.202, 3.117, 0.001, 3.082, 2.618, 2.722, 2.52, 2.422, 0.0, 2.925, 2.358, 2.35, 2.041, 2.045, 2.076, 2.049, 2.055, 1.9, 0.0, 1.364, 1.235, 0.0, 0.852]]","[[[6, 4], [3, 5], [7, 2], [7, 4], [7, 6], [7, 3], [7, 1], [6, 1], [5, 6], [8, 7], [4, 6], [6, 7], [1, 6], [5, 2], [5, 8], [2, 7], [8, 3], [4, 3], [2, 3], [2, 8], [7, 5], [5, 1], [2, 5], [3, 2], [2, 4], [2, 2], [1, 2], [7, 8], [8, 2], [2, 1]], [[6, 3], [6, 5], [6, 2], [8, 1], [6, 6], [3, 3], [8, 6], [5, 3], [3, 6], [8, 8], [2, 6], [4, 7], [3, 7], [5, 7], [1, 5], [1, 8], [1, 7], [3, 8], [8, 5], [4, 8], [4, 2], [6, 8], [4, 1], [3, 4], [1, 4], [1, 1], [1, 3], [8, 4], [7, 7], [3, 1]]]","[30, 30]","[19, 45, 26]",-1
"[-1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",01:15,"[[0.0, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [3.124, 2.913, 3.042, 3.091, 3.309, 3.103, 3.274, 3.754, 3.632, 3.053, 3.431, 3.419, 3.029, 3.393, 2.863, 3.196, 3.205, 2.627, 2.385, 2.567, 0.0, 2.378, 2.461, 0.0, 1.827, 1.579, 1.285, 1.184, 1.011, 0.694]]","[[[3, 4], [5, 6], [3, 3], [3, 5], [7, 5], [5, 7], [2, 3], [6, 3], [5, 3], [1, 3], [1, 1], [4, 2], [1, 6], [3, 1], [2, 6], [6, 1], [4, 8], [8, 1], [6, 6], [7, 8], [5, 1], [8, 4], [1, 7], [8, 6], [4, 1], [8, 3], [2, 1], [5, 8], [2, 8], [7, 1]], [[4, 6], [4, 3], [2, 5], [6, 5], [2, 4], [6, 7], [6, 4], [1, 2], [3, 2], [4, 7], [6, 2], [7, 2], [7, 4], [1, 5], [5, 2], [1, 4], [2, 2], [8, 5], [3, 8], [6, 8], [8, 8], [3, 6], [3, 7], [1, 8], [2, 7], [7, 3], [8, 2], [8, 7], [7, 6], [7, 7]]]","[30, 30]","[34, 30, 4]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",01:04,"[[0.0, 0.001, 0.001, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [2.759, 3.154, 3.02, 2.917, 3.002, 3.755, 2.964, 3.171, 3.257, 3.252, 2.837, 2.946, 2.675, 0.0, 0.0, 2.71, 2.524, 2.714, 2.542, 2.331, 2.199, 2.008, 0.0, 2.234, 0.0, 1.675, 1.408, 1.278, 1.079, 0.0]]","[[[6, 4], [6, 2], [4, 6], [3, 3], [2, 6], [2, 4], [6, 6], [1, 6], [7, 4], [4, 3], [1, 3], [2, 1], [8, 4], [7, 7], [5, 3], [7, 6], [6, 8], [3, 8], [8, 2], [8, 6], [5, 8], [7, 5], [5, 1], [2, 2], [2, 7], [4, 1], [7, 2], [7, 1], [2, 8], [5, 2]], [[6, 3], [6, 5], [3, 4], [3, 5], [3, 6], [6, 1], [2, 5], [2, 3], [3, 2], [6, 7], [8, 3], [5, 7], [3, 1], [8, 8], [1, 1], [7, 3], [3, 7], [5, 6], [1, 2], [7, 8], [1, 7], [8, 5], [8, 1], [4, 8], [1, 8], [4, 2], [1, 5], [8, 7], [1, 4], [4, 7]]]","[30, 30]","[16, 48, 32]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0]",01:12,"[[0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [3.018, 3.093, 3.088, 3.596, 3.279, 2.942, 3.241, 2.692, 0.001, 3.063, 3.476, 3.298, 3.031, 3.034, 2.456, 2.825, 3.174, 3.393, 2.798, 0.0, 2.296, 2.245, 2.043, 1.97, 1.891, 1.838, 1.498, 1.014, 0.783, 0.832]]","[[[3, 4], [6, 6], [3, 3], [1, 3], [8, 8], [5, 6], [7, 4], [2, 1], [3, 1], [6, 3], [2, 5], [4, 7], [1, 6], [1, 4], [7, 3], [6, 1], [6, 5], [5, 1], [8, 2], [3, 2], [5, 2], [3, 8], [8, 6], [1, 8], [8, 5], [8, 7], [4, 8], [2, 6], [5, 8], [6, 7]], [[3, 5], [2, 3], [5, 3], [6, 4], [7, 7], [4, 6], [2, 2], [4, 3], [1, 1], [2, 4], [8, 4], [1, 5], [4, 1], [6, 2], [3, 7], [4, 2], [3, 6], [8, 3], [7, 1], [8, 1], [7, 2], [7, 6], [2, 8], [7, 5], [2, 7], [7, 8], [5, 7], [1, 2], [1, 7], [6, 8]]]","[30, 30]","[26, 38, 12]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:58,"[[0.001, 0.0, 0.0, 0.001, 0.001, 0.001, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [2.774, 3.249, 2.926, 0.0, 3.312, 2.957, 2.749, 2.713, 0.005, 0.003, 2.328, 2.669, 0.0, 2.704, 0.0, 2.47, 2.49, 2.74, 2.812, 2.598, 0.0, 2.361, 2.275, 2.173, 2.226, 1.825, 1.541, 1.517, 1.25, 0.836]]","[[[5, 3], [4, 6], [7, 2], [7, 4], [4, 2], [7, 1], [2, 2], [1, 3], [5, 1], [5, 2], [2, 7], [2, 6], [2, 8], [2, 1], [3, 4], [6, 7], [4, 8], [7, 6], [7, 8], [6, 4], [7, 7], [1, 5], [2, 5], [1, 4], [5, 8], [3, 7], [7, 5], [8, 5], [8, 2]], [[6, 3], [4, 3], [7, 3], [8, 1], [3, 1], [3, 3], [2, 3], [6, 1], [8, 3], [4, 1], [3, 6], [3, 2], [1, 8], [5, 6], [1, 1], [4, 7], [3, 5], [6, 6], [6, 8], [2, 4], [8, 8], [6, 5], [6, 2], [5, 7], [1, 6], [1, 2], [3, 8], [8, 7], [8, 4], [8, 6]]]","[29, 30]","[11, 52, 41]",-1
"[-1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0]",01:17,"[[0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [3.158, 3.422, 2.968, 3.52, 4.17, 3.138, 0.001, 3.118, 3.114, 2.598, 3.251, 3.21, 2.93, 2.922, 3.342, 2.98, 2.799, 2.638, 2.741, 2.949, 2.89, 2.586, 2.277, 1.995, 2.029, 1.824, 1.744, 1.489, 0.0, 0.0, 0.845]]","[[[6, 3], [5, 2], [2, 6], [6, 5], [2, 7], [5, 6], [3, 3], [4, 7], [8, 5], [2, 4], [3, 7], [2, 8], [1, 3], [6, 6], [6, 8], [1, 1], [4, 8], [4, 1], [8, 8], [7, 8], [3, 1], [8, 1], [7, 6], [1, 7], [8, 3], [2, 1], [6, 2], [1, 5], [5, 1]], [[5, 3], [3, 5], [6, 4], [4, 3], [3, 6], [4, 6], [1, 8], [6, 7], [7, 5], [3, 4], [2, 5], [5, 8], [2, 3], [3, 8], [1, 2], [3, 2], [6, 1], [5, 7], [7, 7], [8, 7], [7, 2], [2, 2], [7, 4], [7, 3], [8, 6], [4, 2], [1, 6], [8, 2], [8, 4], [1, 4], [7, 1]]]","[29, 31]","[27, 37, 10]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0]",01:05,"[[0.001, 0.0, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [2.829, 3.0, 3.057, 3.761, 3.281, 2.987, 3.433, 0.0, 3.3, 2.917, 3.184, 3.272, 3.397, 3.215, 2.767, 2.632, 2.754, 2.548, 2.753, 2.54, 2.204, 0.0, 1.578, 1.409, 0.0, 1.38, 1.172, 0.0, 0.0, 0.0, 0.0]]","[[[5, 3], [6, 4], [4, 2], [3, 3], [4, 6], [6, 5], [2, 8], [7, 5], [2, 6], [6, 7], [4, 8], [1, 3], [8, 3], [5, 2], [6, 1], [1, 5], [4, 1], [2, 2], [5, 7], [2, 5], [5, 6], [8, 4], [1, 2], [2, 1], [7, 2], [2, 7], [8, 5], [7, 7], [8, 7]], [[6, 3], [4, 3], [6, 6], [7, 4], [3, 7], [3, 6], [3, 8], [1, 8], [3, 2], [2, 3], [3, 4], [6, 2], [3, 1], [2, 4], [1, 4], [5, 8], [4, 7], [7, 6], [6, 8], [5, 1], [7, 3], [1, 1], [1, 6], [7, 1], [8, 1], [8, 6], [8, 2], [8, 8], [3, 5], [7, 8], [1, 7]]]","[29, 31]","[8, 56, 48]",-1
"[1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",01:15,"[[0.001, 0.0, 0.0, 0.001, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [2.883, 3.459, 2.937, 2.499, 2.996, 3.599, 3.091, 3.698, 3.349, 3.671, 3.107, 3.433, 2.531, 3.372, 2.644, 3.267, 2.885, 2.602, 2.202, 2.658, 2.285, 2.111, 2.095, 0.0, 1.896, 1.657, 1.642, 1.118, 0.0, 0.96, 0.0]]","[[[6, 3], [3, 6], [4, 3], [3, 4], [3, 2], [1, 8], [6, 6], [1, 4], [6, 4], [2, 5], [6, 5], [1, 7], [6, 7], [3, 7], [8, 3], [7, 4], [8, 2], [4, 1], [8, 6], [8, 4], [5, 8], [8, 8], [6, 2], [4, 8], [1, 5], [2, 3], [7, 1], [2, 1], [1, 3]], [[5, 3], [3, 5], [7, 3], [3, 3], [4, 6], [2, 7], [2, 4], [5, 6], [2, 6], [7, 7], [1, 6], [2, 8], [7, 5], [6, 8], [3, 8], [4, 2], [7, 2], [7, 6], [5, 7], [3, 1], [8, 7], [8, 5], [7, 8], [8, 1], [4, 7], [5, 1], [5, 2], [6, 1], [1, 1], [2, 2], [1, 2]]]","[29, 31]","[27, 37, 10]",-1
