Board,Game Time,Move Time,Action List,Action List Count,Score,Winner
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",01:31,"[[0.0, 0.0, 0.001, 0.001, 0.001, 0.0, 0.0, 0.001, 0.0, 0.001, 0.001, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.289, 0.979, 2.216, 4.606, 8.033, 12.696, 0.001, 10.764, 9.447, 8.179, 8.08, 4.807, 4.797, 5.737, 3.968, 0.001, 1.565, 1.338, 0.0, 0.824, 0.72, 0.609, 0.451, 0.312, 0.249, 0.22, 0.09, 0.037, 0.009, 0.006, 0.0, 0.0, 0.0]]","[[[6, 4], [5, 6], [6, 6], [4, 6], [5, 3], [4, 7], [8, 7], [3, 3], [3, 7], [3, 4], [3, 5], [8, 4], [4, 8], [7, 5], [7, 3], [2, 8], [7, 8], [8, 2], [7, 1], [2, 6], [6, 1], [4, 1], [1, 7], [1, 4], [2, 4], [1, 2], [3, 2]], [[6, 5], [4, 3], [5, 7], [6, 7], [7, 7], [3, 6], [8, 8], [8, 6], [6, 8], [7, 4], [5, 8], [3, 8], [8, 3], [8, 5], [7, 6], [1, 8], [2, 7], [7, 2], [8, 1], [6, 2], [6, 3], [5, 2], [5, 1], [4, 2], [3, 1], [1, 6], [1, 5], [2, 5], [1, 3], [2, 3], [1, 1], [2, 1], [2, 2]]]","[27, 33]","[5, 59, 54]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",02:14,"[[0.0, 0.0, 0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.302, 0.794, 1.026, 4.738, 5.424, 13.822, 17.041, 0.0, 21.248, 15.725, 0.001, 8.218, 6.462, 8.273, 7.404, 5.613, 0.0, 5.943, 4.798, 2.524, 1.35, 0.83, 0.733, 0.668, 0.359, 0.232, 0.061, 0.035, 0.006, 0.0, 0.0]]","[[[3, 4], [5, 6], [2, 4], [5, 2], [4, 6], [5, 3], [7, 2], [1, 3], [7, 7], [2, 5], [5, 1], [3, 2], [1, 5], [3, 7], [6, 2], [2, 2], [7, 8], [7, 3], [8, 7], [7, 1], [6, 5], [7, 5], [3, 6], [4, 8], [7, 6], [8, 3], [2, 7], [4, 7], [2, 8]], [[3, 5], [3, 3], [6, 6], [4, 3], [4, 2], [6, 3], [2, 3], [8, 1], [6, 4], [2, 6], [8, 8], [3, 1], [1, 4], [1, 6], [6, 7], [1, 2], [1, 1], [2, 1], [4, 1], [6, 1], [8, 2], [8, 6], [6, 8], [8, 5], [3, 8], [5, 8], [8, 4], [7, 4], [1, 7], [1, 8], [5, 7]]]","[29, 31]","[11, 53, 42]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",01:07,"[[0.001, 0.001, 0.001, 0.001, 0.0, 0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.382, 0.603, 1.249, 3.058, 1.246, 5.137, 1.231, 6.09, 6.004, 5.602, 8.444, 7.266, 0.001, 4.944, 4.001, 2.615, 2.445, 2.334, 0.001, 1.321, 0.0, 1.31, 0.816, 0.587, 0.391, 0.237, 0.076, 0.034, 0.0, 0.001, 0.0]]","[[[3, 5], [5, 3], [2, 3], [2, 6], [6, 7], [4, 3], [7, 6], [1, 4], [4, 7], [4, 8], [7, 4], [7, 7], [1, 3], [6, 3], [8, 7], [3, 7], [2, 7], [1, 6], [1, 7], [2, 2], [2, 1], [4, 2], [8, 5], [4, 1], [7, 5], [8, 3], [7, 2], [5, 2], [6, 1]], [[3, 4], [3, 6], [3, 3], [5, 6], [6, 6], [4, 6], [2, 5], [5, 7], [6, 8], [6, 5], [6, 4], [2, 4], [8, 8], [5, 8], [7, 8], [3, 8], [2, 8], [1, 5], [1, 8], [1, 2], [1, 1], [3, 2], [3, 1], [8, 6], [5, 1], [8, 4], [6, 2], [7, 3], [8, 1], [8, 2], [7, 1]]]","[29, 31]","[14, 50, 36]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",02:08,"[[0.0, 0.001, 0.001, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001, 0.001, 0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.276, 0.839, 2.146, 5.104, 5.349, 9.831, 11.552, 9.766, 12.32, 11.205, 8.932, 18.341, 14.758, 0.002, 6.681, 0.001, 2.911, 2.395, 1.748, 1.272, 1.188, 0.78, 0.0, 0.438, 0.309, 0.116, 0.052, 0.015, 0.009, 0.0, 0.0, 0.0]]","[[[4, 3], [4, 2], [6, 5], [6, 3], [2, 3], [5, 6], [8, 7], [4, 1], [5, 1], [2, 5], [7, 4], [7, 2], [1, 5], [8, 2], [7, 7], [6, 7], [3, 6], [8, 4], [1, 3], [8, 6], [2, 2], [1, 2], [2, 6], [7, 8], [5, 8], [4, 7], [2, 7], [2, 8]], [[5, 3], [3, 3], [3, 2], [3, 4], [7, 6], [6, 6], [6, 4], [3, 5], [5, 2], [6, 2], [2, 4], [6, 1], [7, 3], [8, 1], [7, 1], [8, 8], [4, 6], [8, 3], [1, 4], [7, 5], [8, 5], [3, 1], [1, 1], [1, 6], [2, 1], [6, 8], [5, 7], [4, 8], [1, 7], [1, 8], [3, 8], [3, 7]]]","[28, 32]","[8, 56, 48]",-1
"[-1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",02:58,"[[0.001, 0.0, 0.0, 0.001, 0.001, 0.001, 0.001, 0.0, 0.0, 0.001, 0.0, 0.001, 0.0, 0.001, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.363, 1.245, 2.34, 3.724, 6.13, 12.841, 13.787, 12.809, 16.83, 18.777, 19.891, 0.001, 18.659, 17.409, 10.269, 5.563, 3.158, 2.598, 4.582, 0.0, 3.34, 1.6, 1.199, 0.526, 0.0, 0.167, 0.042, 0.0, 0.001]]","[[[6, 4], [5, 6], [7, 5], [3, 5], [3, 2], [4, 7], [6, 8], [2, 5], [2, 6], [6, 3], [7, 2], [8, 5], [5, 1], [3, 1], [3, 8], [3, 3], [3, 7], [6, 6], [2, 2], [7, 1], [6, 2], [8, 3], [1, 4], [8, 6], [2, 7], [2, 3], [1, 7], [7, 8], [5, 8], [1, 5], [1, 2]], [[6, 5], [4, 3], [5, 7], [4, 6], [5, 3], [3, 4], [7, 4], [3, 6], [4, 2], [5, 2], [4, 8], [8, 1], [6, 1], [4, 1], [2, 8], [2, 1], [6, 7], [2, 4], [7, 3], [1, 1], [8, 2], [8, 4], [7, 6], [8, 7], [1, 8], [1, 3], [7, 7], [8, 8], [1, 6]]]","[31, 29]","[24, 40, 16]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",02:31,"[[0.001, 0.001, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.0, 0.001, 0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.318, 0.767, 2.117, 2.761, 4.889, 11.997, 6.638, 8.291, 4.505, 4.596, 13.133, 17.042, 20.007, 13.731, 14.89, 0.0, 0.0, 7.014, 6.866, 4.534, 2.966, 2.377, 0.0, 1.218, 0.478, 0.217, 0.065, 0.0, 0.001, 0.0, 0.0]]","[[[5, 6], [3, 4], [3, 3], [6, 4], [6, 2], [8, 3], [3, 1], [4, 6], [2, 5], [5, 2], [7, 6], [2, 1], [8, 4], [2, 7], [2, 8], [5, 7], [6, 8], [4, 7], [1, 2], [1, 3], [1, 7], [8, 7], [1, 5], [8, 5], [5, 1], [2, 6], [7, 1], [7, 7], [7, 2]], [[3, 5], [6, 3], [3, 6], [5, 3], [4, 3], [7, 3], [4, 2], [6, 6], [3, 2], [6, 5], [7, 4], [3, 7], [7, 5], [6, 7], [4, 1], [1, 8], [1, 1], [2, 4], [2, 3], [1, 4], [3, 8], [8, 6], [8, 8], [1, 6], [8, 2], [2, 2], [6, 1], [8, 1], [4, 8], [5, 8], [7, 8]]]","[29, 31]","[12, 52, 40]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",01:25,"[[0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.346, 1.404, 2.038, 4.218, 2.066, 2.397, 11.158, 8.509, 11.715, 9.04, 6.043, 4.871, 0.001, 3.475, 4.104, 2.724, 2.608, 2.264, 1.42, 1.064, 1.297, 0.0, 0.55, 0.378, 0.232, 0.158, 0.097, 0.12, 0.093, 0.059, 0.026, 0.011, 0.001, 0.001]]","[[[5, 3], [3, 6], [3, 3], [7, 5], [2, 4], [6, 6], [3, 5], [4, 7], [6, 8], [7, 3], [4, 8], [6, 7], [2, 8], [2, 6], [1, 7], [8, 8], [8, 7], [1, 4], [1, 2], [8, 5], [8, 3], [2, 1], [5, 2], [6, 1], [8, 2]], [[4, 3], [6, 4], [3, 4], [4, 6], [6, 5], [6, 3], [5, 6], [5, 7], [5, 8], [3, 8], [7, 8], [3, 7], [1, 8], [2, 7], [1, 5], [1, 6], [7, 7], [7, 6], [2, 5], [1, 3], [2, 3], [1, 1], [2, 2], [8, 6], [8, 4], [7, 4], [3, 2], [4, 1], [3, 1], [4, 2], [5, 1], [6, 2], [7, 1], [7, 2]]]","[25, 34]","[11, 52, 41]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0]",03:24,"[[0.001, 0.001, 0.0, 0.001, 0.0, 0.001, 0.001, 0.0, 0.001, 0.0, 0.0, 0.001, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.272, 0.61, 3.242, 4.612, 5.222, 8.281, 0.0, 9.124, 12.67, 11.145, 20.194, 15.05, 29.782, 33.817, 23.392, 8.527, 9.709, 0.0, 2.366, 1.46, 1.109, 0.848, 0.617, 0.952, 0.35, 0.173, 0.098, 0.0, 0.041, 0.017, 0.002, 0.0, 0.0]]","[[[6, 3], [4, 3], [3, 5], [6, 5], [5, 6], [2, 2], [4, 6], [7, 4], [8, 6], [2, 5], [5, 1], [2, 3], [3, 1], [6, 8], [1, 6], [2, 4], [7, 1], [5, 7], [1, 2], [8, 3], [7, 5], [7, 2], [7, 8], [8, 7], [4, 8], [4, 7], [2, 7]], [[5, 3], [6, 4], [3, 3], [3, 4], [6, 6], [4, 2], [1, 1], [7, 6], [5, 2], [3, 6], [2, 6], [6, 7], [3, 2], [4, 1], [2, 1], [6, 2], [6, 1], [8, 1], [1, 4], [1, 3], [1, 5], [1, 7], [8, 4], [8, 2], [7, 3], [8, 5], [7, 7], [8, 8], [5, 8], [3, 8], [3, 7], [1, 8], [2, 8]]]","[27, 33]","[17, 47, 30]",-1
"[1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",01:15,"[[0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.347, 0.549, 2.138, 2.275, 5.83, 7.269, 7.56, 9.456, 7.203, 6.621, 5.182, 4.702, 1.279, 3.823, 0.0, 0.145, 2.435, 0.316, 0.497, 1.755, 1.97, 1.655, 0.867, 0.601, 0.135, 0.032, 0.0, 0.006, 0.0, 0.0]]","[[[5, 3], [3, 3], [5, 1], [4, 6], [2, 3], [1, 5], [2, 5], [7, 4], [6, 6], [6, 1], [3, 6], [5, 2], [6, 8], [7, 7], [4, 7], [8, 6], [7, 8], [1, 1], [1, 2], [1, 6], [3, 7], [4, 1], [7, 3], [8, 3], [2, 1], [3, 8], [7, 2], [7, 1], [2, 7], [2, 6]], [[4, 3], [4, 2], [6, 4], [3, 4], [2, 4], [5, 6], [6, 2], [3, 5], [6, 3], [6, 5], [7, 5], [6, 7], [5, 7], [7, 6], [8, 8], [2, 2], [1, 3], [5, 8], [1, 4], [8, 4], [3, 1], [4, 8], [8, 5], [8, 7], [3, 2], [8, 2], [8, 1], [2, 8], [1, 8], [1, 7]]]","[30, 30]","[21, 43, 22]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0]",02:59,"[[0.001, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.26, 0.574, 3.175, 2.087, 5.53, 4.527, 14.038, 10.694, 24.098, 21.68, 0.0, 17.042, 0.0, 22.379, 19.148, 11.733, 7.198, 5.287, 3.412, 0.0, 1.964, 0.809, 0.729, 0.792, 0.483, 0.612, 0.307, 0.102, 0.042, 0.009, 0.0, 0.0]]","[[[3, 6], [5, 6], [4, 3], [6, 5], [2, 5], [7, 6], [3, 8], [5, 2], [2, 2], [6, 8], [4, 2], [7, 2], [7, 3], [1, 3], [7, 1], [3, 7], [4, 8], [1, 5], [1, 7], [6, 4], [8, 8], [3, 1], [3, 2], [6, 1], [8, 3], [7, 4], [8, 6], [7, 7]], [[4, 6], [3, 5], [6, 6], [3, 3], [5, 3], [4, 7], [6, 3], [6, 7], [6, 2], [2, 3], [1, 1], [2, 4], [8, 1], [3, 4], [1, 2], [1, 4], [5, 7], [1, 6], [2, 6], [1, 8], [2, 7], [5, 8], [7, 8], [2, 8], [4, 1], [2, 1], [5, 1], [8, 2], [8, 4], [8, 5], [7, 5], [8, 7]]]","[28, 32]","[17, 47, 30]",-1
