Board,Game Time,Move Time,Action List,Action List Count,Score,Winner
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:53,"[[2.172, 2.233, 2.293, 2.466, 2.243, 1.99, 2.162, 2.432, 2.235, 2.033, 1.748, 1.563, 1.414, 1.729, 2.736, 1.506, 1.512, 1.418, 1.097, 1.363, 1.071, 0.97, 0.843, 0.785, 0.777, 0.707, 0.585], [0.139, 0.224, 0.23, 0.34, 0.491, 0.464, 0.55, 0.756, 0.851, 1.051, 0.269, 0.249, 0.002, 1.051, 0.426, 0.579, 0.297, 0.215, 0.293, 0.135, 0.131, 0.003, 0.094, 0.001, 0.001, 0.051, 0.001, 0.0, 0.006, 0.0, 0.0]]","[[[5, 3], [4, 6], [6, 4], [7, 6], [6, 7], [3, 4], [5, 2], [2, 5], [3, 1], [5, 1], [2, 3], [7, 3], [7, 1], [3, 2], [4, 7], [7, 2], [8, 5], [2, 8], [8, 4], [4, 8], [2, 6], [2, 2], [2, 4], [1, 3], [1, 7], [1, 5], [7, 7]], [[6, 5], [3, 3], [6, 6], [3, 7], [3, 5], [4, 3], [4, 2], [6, 1], [4, 1], [2, 1], [6, 3], [6, 2], [8, 1], [7, 4], [8, 3], [8, 2], [7, 5], [5, 6], [3, 8], [3, 6], [8, 6], [1, 1], [1, 4], [1, 2], [8, 7], [2, 7], [1, 8], [1, 6], [5, 7], [8, 8], [5, 8]]]","[27, 31]","[1, 61, 60]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:45,"[[1.886, 1.713, 2.519, 1.969, 1.922, 2.416, 1.592, 2.053, 1.919, 1.761, 1.862, 1.641, 1.647, 2.005, 1.381, 1.723, 1.048, 1.058, 0.967, 0.883, 1.047, 1.067, 0.606, 0.577, 0.746, 0.535], [0.141, 0.096, 0.487, 0.752, 0.175, 0.495, 0.423, 0.456, 0.429, 0.636, 0.587, 0.123, 0.467, 0.332, 0.224, 0.185, 0.275, 0.001, 0.003, 0.167, 0.0, 0.001, 0.0, 0.001, 0.072, 0.0, 0.0, 0.048, 0.0, 0.028, 0.018, 0.006, 0.001, 0.0]]","[[[3, 6], [3, 4], [5, 7], [6, 6], [4, 2], [6, 4], [3, 2], [1, 3], [7, 6], [3, 7], [6, 7], [6, 2], [4, 8], [5, 1], [2, 7], [1, 6], [2, 4], [2, 8], [7, 8], [2, 1], [7, 1], [7, 4], [7, 3], [8, 7], [8, 2], [8, 5]], [[3, 5], [4, 6], [5, 3], [2, 3], [4, 3], [3, 3], [5, 6], [4, 7], [6, 5], [6, 8], [6, 3], [5, 8], [5, 2], [3, 8], [2, 6], [2, 5], [1, 4], [1, 2], [1, 8], [1, 7], [8, 8], [1, 5], [7, 7], [2, 2], [3, 1], [1, 1], [4, 1], [6, 1], [8, 1], [7, 2], [8, 6], [8, 3], [7, 5], [8, 4]]]","[26, 34]","[8, 56, 48]",-1
"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:46,"[[2.302, 2.0, 2.238, 2.206, 2.282, 1.93, 2.144, 1.661, 2.041, 2.103, 1.499, 1.255, 1.492, 1.385, 0.0, 1.181, 1.314, 1.284, 1.161, 1.037, 0.875, 0.87, 0.774, 1.187, 0.917, 0.965, 0.758, 0.514, 0.0], [0.125, 0.176, 0.175, 0.307, 0.47, 0.264, 0.421, 0.411, 0.646, 0.638, 0.378, 0.557, 0.219, 0.206, 0.001, 0.129, 0.214, 0.215, 0.304, 0.13, 0.1, 0.002, 0.0, 0.079, 0.002, 0.037, 0.041, 0.017, 0.006, 0.0, 0.0]]","[[[4, 6], [4, 3], [2, 5], [6, 4], [2, 3], [6, 7], [6, 5], [3, 7], [5, 8], [6, 2], [1, 6], [5, 3], [1, 4], [2, 8], [1, 8], [6, 8], [7, 5], [8, 5], [8, 3], [8, 7], [7, 7], [7, 2], [7, 1], [5, 2], [1, 2], [4, 2], [2, 2], [2, 1], [5, 1]], [[3, 4], [5, 6], [3, 3], [6, 6], [3, 6], [3, 5], [2, 6], [4, 7], [6, 3], [1, 5], [2, 4], [3, 8], [4, 8], [2, 7], [1, 7], [5, 7], [7, 4], [7, 3], [8, 4], [7, 6], [8, 6], [8, 8], [7, 8], [8, 2], [8, 1], [1, 3], [3, 2], [4, 1], [3, 1], [1, 1], [6, 1]]]","[29, 31]","[29, 35, 6]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:48,"[[1.958, 1.842, 1.626, 1.757, 2.085, 1.942, 2.061, 1.7, 1.766, 1.629, 1.527, 1.495, 1.475, 1.766, 1.665, 1.559, 1.569, 1.41, 1.687, 1.445, 1.45, 1.424, 1.334, 1.364, 0.849, 0.678, 0.614], [0.101, 0.209, 0.371, 0.198, 0.272, 0.504, 0.46, 0.435, 0.002, 0.281, 0.262, 0.367, 0.272, 0.242, 0.658, 0.275, 0.42, 0.241, 0.186, 0.294, 0.287, 0.181, 0.11, 0.001, 0.055, 0.0, 0.0, 0.0, 0.0, 0.005, 0.0, 0.0, 0.0]]","[[[4, 3], [2, 3], [6, 3], [3, 5], [1, 3], [6, 5], [2, 7], [1, 4], [4, 2], [5, 7], [2, 5], [3, 7], [1, 7], [4, 7], [3, 1], [4, 1], [7, 7], [8, 6], [7, 5], [6, 4], [6, 7], [5, 6], [6, 2], [8, 3], [2, 2], [8, 2], [7, 2]], [[5, 3], [3, 4], [2, 4], [4, 6], [3, 3], [1, 5], [3, 6], [2, 6], [1, 8], [1, 2], [6, 8], [3, 2], [3, 8], [6, 6], [5, 1], [5, 2], [2, 1], [7, 6], [7, 3], [6, 1], [1, 6], [2, 8], [4, 8], [8, 8], [5, 8], [7, 8], [1, 1], [8, 7], [8, 5], [8, 4], [8, 1], [7, 1], [7, 4]]]","[27, 33]","[7, 57, 50]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0]",00:44,"[[2.007, 1.809, 2.098, 2.31, 1.952, 2.122, 1.743, 1.712, 2.161, 2.07, 2.131, 1.848, 1.467, 1.414, 1.13, 1.159, 1.189, 1.423, 1.228, 1.32, 1.115, 1.043, 0.868, 0.715, 0.622, 0.74, 0.614], [0.103, 0.123, 0.25, 0.187, 0.46, 0.309, 0.002, 0.342, 0.401, 0.549, 0.195, 0.229, 0.213, 0.18, 0.098, 0.002, 0.202, 0.123, 0.145, 0.108, 0.183, 0.067, 0.0, 0.0, 0.0, 0.007, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0]]","[[[6, 4], [3, 3], [4, 2], [3, 6], [3, 2], [5, 2], [2, 1], [4, 1], [2, 4], [7, 3], [7, 5], [7, 2], [2, 2], [6, 1], [1, 4], [8, 4], [1, 6], [8, 6], [7, 7], [6, 7], [8, 2], [1, 2], [2, 5], [4, 7], [2, 8], [4, 8], [5, 7]], [[4, 3], [2, 3], [5, 1], [5, 3], [3, 1], [6, 2], [1, 1], [3, 4], [6, 3], [7, 4], [8, 3], [1, 5], [1, 3], [7, 1], [8, 5], [8, 1], [7, 6], [6, 5], [5, 6], [3, 5], [8, 7], [1, 7], [4, 6], [6, 6], [7, 8], [2, 7], [3, 7], [5, 8], [2, 6], [1, 8], [3, 8], [6, 8]]]","[27, 32]","[3, 60, 57]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:48,"[[1.996, 1.846, 2.273, 2.274, 2.162, 2.044, 1.93, 2.28, 2.495, 2.815, 2.058, 1.774, 1.981, 1.799, 1.971, 1.604, 1.316, 1.398, 1.185, 0.0, 0.698, 0.696, 0.632, 0.613], [0.107, 0.126, 0.505, 0.523, 0.453, 0.419, 0.302, 0.492, 1.099, 1.054, 0.971, 0.005, 0.388, 0.513, 0.229, 0.423, 0.171, 0.162, 0.001, 0.123, 0.001, 0.0, 0.001, 0.0, 0.001, 0.0, 0.053, 0.001, 0.027, 0.0, 0.013, 0.003, 0.0, 0.0, 0.0]]","[[[3, 6], [3, 4], [5, 7], [5, 8], [6, 5], [6, 7], [4, 3], [7, 5], [7, 2], [8, 5], [2, 3], [7, 4], [8, 6], [3, 7], [7, 1], [7, 7], [5, 2], [7, 3], [3, 2], [1, 8], [2, 5], [2, 4], [2, 1], [1, 3]], [[4, 6], [3, 5], [6, 3], [4, 7], [6, 8], [5, 6], [3, 3], [6, 6], [7, 6], [6, 4], [6, 2], [8, 1], [8, 4], [5, 3], [8, 7], [4, 8], [3, 8], [7, 8], [8, 3], [4, 2], [8, 8], [2, 8], [8, 2], [6, 1], [5, 1], [4, 1], [2, 7], [1, 6], [2, 6], [1, 5], [3, 1], [1, 4], [1, 1], [1, 2], [2, 2]]]","[24, 35]","[5, 58, 53]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0]",01:10,"[[2.154, 2.189, 2.287, 3.03, 2.649, 2.719, 2.899, 2.448, 2.24, 2.287, 2.534, 1.871, 1.656, 2.031, 2.207, 1.991, 2.002, 2.289, 2.235, 2.257, 1.856, 2.275, 1.883, 0.0, 1.398, 1.371, 1.19, 1.128, 0.829, 0.0, 0.0], [0.14, 0.149, 0.357, 0.371, 0.396, 0.002, 0.278, 0.004, 1.044, 1.141, 0.432, 0.002, 1.086, 0.853, 0.801, 0.94, 0.509, 0.572, 0.928, 0.479, 0.288, 0.462, 0.32, 0.262, 0.064, 0.046, 0.019, 0.004, 0.0]]","[[[4, 6], [6, 3], [5, 6], [3, 7], [3, 3], [7, 7], [6, 5], [2, 8], [2, 3], [6, 7], [2, 6], [2, 2], [4, 3], [1, 2], [6, 4], [4, 2], [4, 1], [6, 1], [7, 6], [8, 4], [7, 4], [5, 7], [4, 8], [8, 1], [7, 5], [7, 8], [1, 4], [8, 5], [7, 1], [2, 1], [1, 7]], [[3, 4], [6, 6], [3, 6], [3, 8], [3, 2], [8, 8], [5, 3], [1, 8], [1, 3], [2, 4], [7, 3], [1, 1], [5, 2], [2, 5], [6, 8], [5, 1], [3, 5], [6, 2], [8, 6], [3, 1], [8, 3], [5, 8], [7, 2], [1, 6], [8, 2], [8, 7], [1, 5], [4, 7], [2, 7]]]","[31, 29]","[34, 30, 4]",1
"[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:51,"[[2.006, 1.836, 2.341, 2.181, 1.7, 2.214, 1.999, 1.909, 1.671, 1.356, 1.485, 1.82, 1.825, 1.818, 1.43, 1.204, 1.222, 1.29, 1.213, 1.01, 1.274, 1.361, 1.182, 1.443, 0.0, 1.391, 1.234, 0.994, 0.8, 0.582], [0.099, 0.177, 0.483, 0.307, 0.561, 0.602, 0.856, 0.54, 0.454, 0.307, 0.227, 0.006, 0.554, 0.324, 0.167, 0.202, 0.184, 0.175, 0.181, 0.116, 0.147, 0.001, 0.094, 0.122, 0.0, 0.017, 0.005, 0.0, 0.0, 0.0]]","[[[3, 6], [5, 6], [7, 4], [3, 8], [2, 5], [6, 7], [3, 3], [6, 3], [6, 8], [5, 8], [7, 7], [2, 7], [8, 5], [8, 6], [7, 6], [7, 3], [2, 6], [2, 3], [1, 6], [3, 4], [6, 2], [1, 7], [5, 2], [2, 2], [1, 2], [5, 1], [4, 2], [7, 1], [3, 2], [7, 2]], [[3, 5], [4, 6], [6, 5], [4, 7], [4, 8], [6, 6], [5, 7], [6, 4], [2, 8], [3, 7], [7, 8], [8, 8], [7, 5], [8, 4], [8, 7], [8, 3], [1, 4], [2, 4], [1, 5], [1, 3], [5, 3], [1, 8], [6, 1], [4, 3], [1, 1], [4, 1], [3, 1], [8, 1], [2, 1], [8, 2]]]","[30, 30]","[22, 42, 20]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:50,"[[2.199, 2.055, 2.073, 2.042, 1.992, 2.106, 1.813, 1.939, 2.448, 1.903, 1.962, 1.863, 1.521, 1.529, 1.859, 1.217, 1.358, 1.211, 1.068, 1.435, 1.302, 1.166, 1.165, 1.142, 1.204, 1.014, 0.723, 0.82, 0.675], [0.14, 0.107, 0.326, 0.153, 0.2, 0.279, 0.249, 0.546, 0.493, 0.276, 0.507, 0.399, 0.343, 0.23, 0.238, 0.002, 0.27, 0.108, 0.003, 0.144, 0.152, 0.002, 0.216, 0.064, 0.046, 0.001, 0.011, 0.008, 0.0, 0.0, 0.0]]","[[[4, 6], [3, 3], [2, 4], [6, 4], [1, 4], [3, 1], [3, 6], [5, 3], [6, 8], [6, 6], [7, 3], [2, 8], [6, 7], [8, 3], [7, 5], [4, 7], [8, 6], [4, 8], [7, 7], [6, 1], [2, 6], [1, 6], [2, 7], [7, 1], [4, 2], [7, 2], [2, 3], [1, 2], [8, 7]], [[3, 4], [3, 2], [1, 5], [3, 5], [1, 3], [5, 7], [4, 3], [6, 5], [3, 7], [6, 3], [5, 6], [5, 8], [7, 4], [8, 4], [8, 2], [7, 8], [7, 6], [3, 8], [1, 8], [5, 2], [2, 5], [8, 8], [1, 7], [6, 2], [5, 1], [8, 1], [4, 1], [2, 2], [1, 1], [2, 1], [8, 5]]]","[29, 31]","[14, 50, 36]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]",00:52,"[[2.023, 2.092, 2.517, 2.604, 2.09, 1.86, 2.032, 1.963, 2.08, 2.619, 2.205, 1.777, 1.829, 1.694, 1.628, 1.296, 1.294, 1.166, 1.074, 1.014, 0.965, 0.817, 0.883, 0.637, 0.622, 0.0], [0.097, 0.052, 0.402, 0.553, 0.332, 0.428, 0.458, 0.987, 0.958, 0.856, 1.853, 1.449, 0.891, 0.959, 0.354, 0.273, 0.204, 0.003, 0.178, 0.001, 0.001, 0.121, 0.086, 0.1, 0.049, 0.0, 0.0, 0.0, 0.01, 0.0, 0.002, 0.0, 0.0]]","[[[6, 3], [4, 3], [3, 6], [7, 4], [2, 6], [6, 6], [5, 6], [7, 6], [2, 3], [3, 8], [8, 6], [4, 2], [7, 3], [4, 1], [1, 5], [2, 5], [2, 1], [1, 2], [1, 7], [6, 2], [4, 7], [5, 7], [6, 8], [8, 4], [7, 1], [7, 2]], [[5, 3], [6, 4], [3, 5], [3, 3], [4, 6], [2, 4], [3, 7], [6, 5], [7, 5], [3, 2], [3, 4], [1, 3], [8, 3], [5, 1], [3, 1], [1, 4], [1, 6], [1, 1], [2, 2], [1, 8], [2, 7], [5, 2], [2, 8], [4, 8], [6, 7], [5, 8], [7, 8], [7, 7], [8, 5], [8, 7], [6, 1], [8, 1], [8, 2]]]","[26, 33]","[7, 56, 49]",-1
