Board,Game Time,Move Time,Action List,Action List Count,Score,Winner
"[1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0]",00:54,"[[2.337, 2.46, 2.355, 2.045, 2.032, 2.142, 2.092, 2.068, 2.294, 2.692, 3.276, 3.0, 2.306, 2.62, 2.381, 2.138, 2.334, 1.961, 1.653, 1.89, 0.0, 1.584, 1.597, 1.194, 0.95, 0.963, 0.0, 0.953, 0.61, 0.0], [0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[6, 4], [3, 2], [7, 6], [4, 2], [3, 4], [3, 5], [3, 1], [2, 3], [5, 6], [6, 2], [6, 7], [3, 7], [4, 7], [3, 8], [7, 4], [6, 8], [7, 3], [1, 6], [5, 1], [2, 4], [8, 8], [1, 3], [8, 7], [8, 2], [7, 7], [7, 2], [1, 8], [2, 2], [1, 7], [1, 1]], [[4, 3], [6, 5], [5, 3], [4, 1], [3, 3], [4, 6], [3, 6], [6, 3], [1, 4], [6, 6], [8, 6], [5, 8], [4, 8], [6, 1], [8, 5], [2, 6], [8, 4], [5, 7], [7, 5], [7, 8], [5, 2], [1, 5], [2, 5], [8, 3], [8, 1], [2, 8], [2, 7], [7, 1], [2, 1], [1, 2]]]","[30, 30]","[35, 29, 6]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:49,"[[2.179, 2.325, 2.136, 2.15, 2.612, 2.457, 2.301, 2.866, 2.223, 2.018, 2.313, 2.046, 1.967, 2.128, 2.022, 2.018, 1.916, 1.524, 0.0, 1.646, 1.88, 1.542, 1.318, 1.134, 1.143, 0.0, 0.897, 0.0, 0.584], [0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[6, 5], [6, 3], [3, 6], [6, 6], [2, 5], [4, 2], [3, 3], [6, 7], [8, 6], [2, 3], [4, 7], [2, 6], [3, 8], [3, 1], [6, 8], [3, 7], [6, 1], [1, 4], [8, 8], [7, 3], [1, 2], [8, 4], [2, 2], [5, 2], [8, 7], [1, 8], [8, 2], [8, 1], [2, 1]], [[6, 4], [4, 6], [7, 6], [3, 5], [5, 3], [5, 6], [3, 4], [1, 5], [4, 3], [4, 1], [1, 3], [4, 8], [1, 6], [5, 8], [5, 1], [7, 5], [2, 4], [5, 7], [7, 8], [8, 5], [8, 3], [1, 1], [3, 2], [7, 4], [6, 2], [2, 8], [2, 7], [7, 2], [7, 7], [1, 7], [7, 1]]]","[29, 31]","[31, 33, 2]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0]",00:56,"[[2.266, 2.874, 2.484, 2.156, 2.25, 2.306, 2.911, 2.477, 2.791, 2.603, 2.365, 2.473, 2.466, 2.269, 2.132, 1.901, 1.714, 1.861, 1.457, 1.465, 1.046, 1.591, 1.49, 1.3, 1.194, 1.131, 1.03, 1.061, 0.795, 0.58], [0.001, 0.001, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[6, 4], [3, 6], [4, 6], [3, 3], [3, 5], [5, 2], [7, 5], [6, 7], [7, 4], [6, 1], [7, 7], [8, 5], [3, 1], [5, 8], [8, 7], [7, 2], [7, 3], [3, 7], [7, 1], [7, 6], [8, 2], [2, 1], [2, 7], [1, 7], [2, 2], [2, 4], [2, 3], [2, 6], [2, 8], [4, 2]], [[6, 5], [5, 3], [3, 4], [5, 6], [4, 3], [6, 3], [4, 1], [6, 6], [8, 6], [6, 8], [5, 1], [8, 4], [5, 7], [8, 8], [4, 8], [4, 7], [6, 2], [8, 1], [3, 8], [8, 3], [3, 2], [1, 1], [1, 8], [1, 6], [1, 3], [1, 4], [2, 5], [1, 5], [7, 8], [1, 2]]]","[30, 30]","[32, 32, 0]",0
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:48,"[[1.977, 2.078, 2.192, 2.351, 2.263, 2.417, 2.37, 2.237, 3.052, 2.215, 2.031, 1.977, 1.956, 1.987, 2.178, 2.2, 2.123, 2.139, 1.999, 1.665, 0.0, 0.0, 1.42, 1.256, 1.058, 0.0, 0.0, 0.917, 0.0, 0.0, 0.0], [0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[3, 4], [3, 6], [5, 6], [6, 3], [4, 7], [6, 5], [2, 3], [3, 3], [4, 1], [3, 8], [6, 7], [6, 1], [3, 1], [6, 2], [8, 3], [5, 2], [7, 6], [8, 6], [8, 4], [3, 2], [8, 1], [1, 1], [3, 7], [1, 6], [7, 8], [8, 8], [1, 8], [1, 7], [1, 4], [1, 2], [8, 2]], [[3, 5], [5, 3], [2, 5], [4, 6], [6, 4], [4, 3], [5, 8], [6, 6], [4, 2], [2, 4], [4, 8], [5, 1], [1, 3], [7, 3], [7, 5], [6, 8], [7, 2], [8, 5], [5, 7], [7, 4], [2, 2], [7, 1], [2, 1], [2, 6], [1, 5], [8, 7], [2, 7], [2, 8], [7, 7]]]","[31, 29]","[47, 17, 30]",1
"[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:57,"[[2.094, 2.26, 2.111, 2.383, 2.595, 2.547, 3.022, 2.979, 3.591, 2.884, 2.184, 1.927, 2.233, 2.277, 2.158, 2.268, 2.161, 2.189, 2.171, 1.777, 0.0, 1.738, 0.0, 1.579, 1.68, 1.303, 1.301, 0.001, 0.939, 0.655], [0.0, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[6, 4], [3, 5], [6, 3], [5, 3], [6, 2], [5, 7], [7, 5], [2, 4], [8, 2], [7, 2], [1, 4], [8, 6], [5, 2], [6, 7], [7, 4], [8, 3], [7, 1], [4, 8], [2, 2], [7, 7], [1, 1], [2, 6], [8, 8], [4, 1], [2, 8], [4, 7], [8, 7], [2, 1], [2, 7], [3, 2]], [[4, 3], [6, 5], [4, 6], [7, 3], [3, 4], [3, 6], [5, 6], [5, 8], [1, 3], [8, 1], [8, 5], [1, 5], [5, 1], [8, 4], [3, 3], [6, 6], [6, 8], [6, 1], [3, 8], [3, 1], [7, 8], [7, 6], [1, 6], [2, 3], [2, 5], [3, 7], [4, 2], [1, 8], [1, 7], [1, 2]]]","[30, 30]","[39, 25, 14]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0]",00:51,"[[2.167, 2.369, 2.551, 2.325, 2.766, 2.888, 2.084, 1.832, 1.757, 2.585, 2.033, 1.923, 2.285, 1.983, 1.976, 1.882, 1.674, 1.581, 1.593, 1.256, 1.332, 1.503, 1.195, 1.211, 1.287, 1.091, 0.92, 0.854, 0.631, 0.0], [0.0, 0.0, 0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[6, 5], [6, 7], [6, 3], [3, 5], [2, 3], [5, 7], [5, 3], [4, 3], [4, 7], [7, 8], [8, 3], [7, 6], [7, 7], [2, 6], [1, 7], [1, 3], [7, 5], [8, 7], [1, 5], [7, 4], [3, 2], [5, 1], [6, 2], [5, 2], [2, 2], [7, 2], [7, 1], [2, 7], [2, 8], [2, 1]], [[6, 4], [5, 6], [4, 6], [6, 6], [3, 4], [6, 8], [5, 8], [3, 3], [3, 6], [7, 3], [8, 8], [2, 4], [8, 5], [8, 6], [1, 6], [1, 8], [4, 8], [1, 4], [8, 4], [2, 5], [4, 2], [3, 1], [4, 1], [6, 1], [1, 2], [1, 1], [8, 1], [3, 7], [3, 8], [8, 2]]]","[30, 30]","[31, 33, 2]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:45,"[[2.07, 2.301, 2.069, 2.019, 2.005, 2.218, 2.058, 1.978, 1.696, 2.232, 2.033, 1.963, 1.828, 1.626, 1.681, 1.833, 2.01, 1.813, 1.52, 1.625, 1.753, 1.386, 0.0, 1.153, 0.0, 0.0, 0.812, 0.796, 0.0, 0.609], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[4, 6], [6, 3], [3, 6], [6, 6], [2, 4], [2, 3], [1, 6], [3, 2], [4, 3], [2, 6], [6, 8], [5, 7], [7, 4], [7, 3], [6, 2], [8, 3], [5, 2], [4, 7], [3, 1], [8, 6], [1, 3], [3, 8], [8, 8], [8, 7], [8, 1], [1, 1], [8, 2], [2, 8], [1, 8], [1, 7]], [[3, 4], [5, 6], [5, 3], [3, 5], [1, 4], [2, 5], [3, 3], [1, 5], [4, 1], [6, 7], [4, 2], [6, 5], [6, 4], [5, 8], [8, 4], [6, 1], [5, 1], [4, 8], [8, 5], [7, 8], [7, 6], [3, 7], [7, 5], [7, 2], [1, 2], [7, 1], [7, 7], [2, 7], [2, 2], [2, 1]]]","[30, 30]","[36, 28, 8]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:51,"[[2.36, 1.966, 2.183, 1.873, 2.059, 2.252, 2.245, 2.724, 1.95, 2.209, 2.379, 2.093, 2.276, 2.292, 2.162, 1.935, 2.055, 1.95, 1.898, 1.786, 1.568, 1.302, 1.16, 1.302, 1.22, 0.0, 0.723, 0.62, 0.621], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[4, 3], [6, 3], [3, 1], [3, 3], [6, 5], [8, 3], [6, 6], [8, 5], [4, 7], [6, 1], [5, 1], [5, 2], [7, 6], [6, 8], [5, 7], [3, 7], [8, 7], [2, 6], [7, 5], [2, 3], [1, 6], [1, 4], [2, 8], [8, 2], [2, 7], [1, 1], [2, 2], [7, 2], [7, 1]], [[5, 3], [3, 5], [4, 2], [4, 1], [6, 4], [7, 4], [8, 4], [3, 4], [5, 6], [6, 2], [7, 3], [6, 7], [3, 8], [8, 6], [5, 8], [4, 6], [4, 8], [3, 6], [1, 5], [3, 2], [1, 3], [7, 8], [2, 4], [1, 8], [2, 5], [1, 2], [1, 7], [2, 1], [8, 1], [8, 8], [7, 7]]]","[29, 31]","[23, 41, 18]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:52,"[[2.246, 2.566, 2.106, 2.301, 2.358, 2.005, 2.432, 2.078, 2.395, 2.603, 2.682, 2.106, 2.335, 2.745, 2.434, 0.0, 1.972, 1.768, 1.832, 0.0, 1.764, 1.451, 1.565, 1.392, 1.202, 1.049, 0.92, 0.816, 0.785, 0.597], [0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[3, 5], [6, 5], [3, 3], [4, 7], [6, 7], [4, 6], [3, 6], [3, 8], [2, 4], [4, 2], [6, 8], [5, 8], [7, 5], [1, 6], [2, 5], [8, 8], [8, 4], [2, 2], [8, 6], [1, 1], [6, 2], [1, 2], [2, 7], [4, 1], [7, 4], [2, 8], [8, 7], [7, 1], [8, 2], [7, 2]], [[5, 6], [3, 4], [4, 3], [6, 6], [5, 7], [4, 8], [2, 3], [2, 6], [1, 5], [5, 3], [3, 1], [7, 6], [6, 4], [8, 5], [7, 8], [3, 7], [8, 3], [1, 4], [1, 3], [3, 2], [6, 3], [6, 1], [1, 8], [5, 1], [7, 3], [7, 7], [1, 7], [8, 1], [2, 1], [5, 2]]]","[30, 30]","[38, 26, 12]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0]",00:50,"[[1.999, 1.99, 2.24, 2.661, 2.487, 2.328, 2.705, 2.309, 2.12, 2.734, 2.546, 0.0, 2.075, 2.034, 2.138, 2.013, 1.779, 2.211, 1.999, 1.925, 1.596, 1.478, 1.26, 1.114, 1.041, 0.0, 0.0, 0.591, 0.61], [0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[3, 6], [5, 6], [6, 4], [6, 3], [6, 7], [3, 2], [3, 4], [7, 3], [7, 6], [8, 4], [7, 7], [8, 8], [2, 4], [1, 3], [6, 2], [6, 1], [2, 6], [5, 8], [4, 2], [4, 7], [2, 1], [1, 4], [3, 7], [7, 2], [1, 7], [1, 8], [1, 1], [1, 2], [7, 1]], [[3, 5], [4, 6], [6, 5], [4, 3], [6, 6], [5, 3], [3, 3], [7, 5], [6, 8], [8, 3], [8, 5], [8, 6], [2, 3], [1, 5], [3, 1], [5, 1], [2, 5], [1, 6], [4, 8], [4, 1], [5, 7], [7, 4], [3, 8], [5, 2], [7, 8], [2, 8], [2, 2], [2, 7], [8, 1], [8, 2], [8, 7]]]","[29, 31]","[33, 31, 2]",1
