Board,Game Time,Move Time,Action List,Action List Count,Score,Winner
"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",02:14,"[[3.849, 2.881, 3.584, 3.393, 2.989, 3.436, 3.325, 3.051, 3.614, 3.297, 3.096, 2.966, 2.304, 2.285, 2.863, 2.482, 2.734, 2.645, 2.564, 2.421, 2.293, 0.0, 1.901, 2.042, 1.789, 1.491, 0.0, 1.244, 1.103, 0.0, 0.0], [2.69, 2.638, 3.203, 3.151, 3.01, 3.58, 2.869, 3.224, 2.809, 2.887, 2.812, 0.0, 2.495, 2.541, 2.372, 2.53, 1.962, 1.843, 2.256, 2.062, 2.203, 1.86, 0.0, 1.835, 1.397, 1.445, 1.241, 1.206, 0.73]]","[[[5, 3], [6, 4], [3, 6], [7, 5], [7, 4], [5, 2], [3, 2], [5, 6], [2, 4], [4, 3], [8, 3], [2, 2], [6, 1], [2, 5], [2, 1], [4, 7], [4, 1], [1, 4], [3, 8], [6, 7], [1, 2], [8, 1], [2, 7], [2, 3], [8, 7], [7, 3], [8, 8], [4, 8], [5, 8], [8, 2], [1, 7]], [[6, 3], [6, 5], [4, 2], [8, 6], [6, 6], [3, 3], [6, 2], [8, 5], [3, 1], [5, 1], [3, 4], [1, 1], [7, 6], [5, 7], [4, 6], [1, 5], [3, 7], [2, 6], [1, 3], [6, 8], [7, 2], [8, 4], [1, 8], [7, 1], [3, 5], [7, 7], [2, 8], [7, 8], [1, 6]]]","[31, 29]","[44, 20, 24]",1
"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0]",02:11,"[[2.656, 2.587, 2.358, 2.551, 2.833, 2.687, 2.576, 2.813, 2.912, 2.745, 3.249, 2.807, 2.461, 2.546, 2.376, 1.946, 0.0, 2.416, 0.0, 2.671, 2.483, 2.147, 1.966, 1.757, 0.0, 1.617, 1.411, 0.977, 0.704], [2.767, 2.996, 2.612, 2.086, 3.116, 2.513, 2.62, 2.19, 2.889, 3.653, 3.92, 3.275, 3.131, 3.766, 3.121, 2.8, 2.682, 2.543, 2.55, 2.601, 2.265, 1.696, 1.69, 1.499, 1.525, 1.734, 1.323, 0.0, 1.174, 0.0, 0.0]]","[[[3, 6], [2, 5], [3, 4], [5, 6], [3, 8], [6, 3], [6, 5], [3, 3], [6, 1], [6, 6], [2, 3], [3, 2], [1, 6], [8, 4], [8, 3], [7, 6], [8, 8], [1, 3], [8, 1], [7, 2], [6, 8], [4, 3], [8, 5], [5, 2], [1, 1], [4, 1], [2, 7], [2, 8], [2, 1]], [[3, 5], [6, 4], [2, 6], [1, 5], [4, 7], [2, 4], [6, 2], [5, 8], [4, 6], [5, 3], [7, 3], [4, 2], [3, 1], [1, 4], [7, 4], [6, 7], [7, 7], [3, 7], [8, 2], [8, 6], [4, 8], [7, 1], [7, 5], [7, 8], [2, 2], [8, 7], [5, 1], [1, 8], [5, 7], [1, 7], [1, 2]]]","[29, 31]","[27, 37, 10]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",02:20,"[[2.723, 2.694, 3.747, 3.201, 3.007, 2.883, 2.613, 2.748, 3.52, 3.978, 3.88, 4.065, 4.268, 3.612, 3.473, 3.005, 2.543, 2.955, 2.614, 2.448, 1.593, 1.855, 1.894, 1.625, 1.598, 1.535, 1.39, 1.184, 1.091, 0.738], [2.895, 2.727, 0.001, 2.563, 2.629, 2.769, 2.527, 2.662, 2.843, 2.723, 2.743, 3.05, 2.869, 2.938, 2.592, 2.61, 2.725, 0.0, 2.431, 2.5, 2.721, 0.0, 2.075, 1.841, 1.645, 1.365, 0.975, 0.999, 0.817, 0.0]]","[[[6, 4], [5, 3], [7, 2], [3, 4], [4, 2], [6, 6], [2, 4], [3, 5], [3, 3], [3, 7], [7, 5], [6, 2], [1, 3], [4, 7], [6, 8], [4, 1], [4, 8], [2, 7], [8, 5], [1, 6], [8, 2], [1, 2], [2, 5], [5, 8], [1, 5], [7, 1], [7, 4], [2, 1], [2, 2], [7, 7]], [[6, 3], [4, 3], [8, 1], [2, 3], [6, 5], [3, 2], [6, 7], [3, 6], [3, 1], [4, 6], [7, 6], [2, 6], [3, 8], [8, 6], [5, 6], [5, 1], [5, 2], [1, 8], [2, 8], [8, 4], [1, 4], [1, 1], [5, 7], [7, 8], [7, 3], [8, 7], [8, 3], [1, 7], [6, 1], [8, 8]]]","[30, 30]","[11, 53, 42]",-1
"[1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0]",02:17,"[[2.87, 2.902, 2.955, 3.127, 3.551, 3.504, 3.235, 3.029, 2.808, 2.783, 2.315, 2.553, 2.378, 0.0, 2.781, 2.82, 2.446, 2.102, 2.013, 1.989, 2.216, 1.717, 1.599, 1.687, 1.511, 1.425, 1.207, 0.866, 0.927], [3.012, 2.909, 3.408, 2.941, 3.207, 3.632, 3.258, 3.15, 3.346, 0.001, 2.976, 2.922, 3.259, 3.863, 2.811, 3.177, 3.034, 2.612, 2.997, 2.513, 2.666, 2.158, 1.889, 1.657, 1.617, 1.167, 1.2, 0.0, 0.0, 0.0, 0.0]]","[[[6, 3], [4, 3], [5, 6], [3, 4], [3, 2], [2, 4], [7, 3], [2, 2], [2, 6], [5, 1], [3, 6], [3, 7], [5, 7], [1, 8], [6, 6], [6, 8], [1, 6], [6, 2], [8, 5], [7, 5], [6, 1], [3, 8], [2, 8], [2, 1], [1, 4], [7, 2], [7, 7], [8, 2], [8, 7]], [[6, 4], [5, 3], [3, 3], [4, 2], [2, 5], [3, 1], [5, 2], [3, 5], [4, 6], [1, 1], [6, 7], [6, 5], [1, 5], [2, 7], [1, 3], [8, 3], [2, 3], [7, 4], [5, 8], [8, 4], [4, 1], [4, 7], [1, 7], [7, 6], [7, 1], [8, 6], [1, 2], [8, 1], [8, 8], [7, 8], [4, 8]]]","[29, 31]","[20, 44, 24]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",02:19,"[[2.834, 3.308, 2.841, 3.415, 3.165, 3.171, 4.125, 3.559, 3.731, 3.448, 3.509, 3.634, 3.886, 3.228, 3.376, 2.974, 2.55, 2.871, 2.635, 2.259, 1.961, 2.134, 1.686, 2.108, 0.0, 1.679, 1.469, 0.0, 0.0, 1.052, 0.759], [2.673, 2.769, 2.742, 2.582, 2.895, 3.146, 3.268, 3.591, 3.083, 2.958, 2.962, 0.001, 3.106, 3.124, 2.433, 2.287, 2.457, 2.23, 1.929, 1.996, 0.0, 2.129, 1.864, 1.673, 1.494, 1.028, 0.728, 0.0, 0.0]]","[[[6, 4], [4, 6], [5, 3], [6, 2], [7, 6], [5, 6], [7, 4], [3, 8], [3, 5], [8, 5], [6, 1], [7, 2], [2, 6], [1, 3], [8, 3], [3, 1], [5, 7], [4, 3], [3, 4], [4, 8], [2, 8], [2, 7], [4, 1], [1, 4], [1, 1], [1, 5], [2, 1], [7, 1], [1, 7], [7, 7], [7, 8]], [[6, 3], [3, 6], [4, 7], [6, 5], [3, 3], [7, 5], [7, 3], [8, 6], [5, 1], [2, 4], [5, 8], [8, 1], [6, 7], [1, 6], [4, 2], [5, 2], [3, 2], [2, 5], [6, 8], [3, 7], [1, 8], [8, 2], [2, 3], [2, 2], [6, 6], [8, 4], [1, 2], [8, 8], [8, 7]]]","[31, 29]","[33, 31, 2]",1
"[-1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0]",02:06,"[[2.996, 3.029, 2.975, 3.164, 3.405, 2.792, 2.929, 3.508, 2.765, 2.979, 0.0, 2.574, 2.891, 2.615, 2.122, 2.504, 2.199, 0.0, 2.239, 1.598, 2.221, 2.162, 1.922, 2.018, 1.397, 1.531, 1.348, 1.153, 0.9, 0.0], [2.967, 2.934, 2.917, 2.987, 2.984, 2.513, 0.0, 2.913, 3.042, 2.401, 2.75, 2.441, 2.247, 2.104, 2.078, 2.201, 2.626, 2.672, 2.805, 2.525, 2.112, 1.787, 1.634, 1.587, 1.386, 0.0, 1.096, 0.81, 0.783, 0.652]]","[[[6, 3], [6, 5], [3, 4], [7, 2], [7, 4], [7, 6], [6, 1], [5, 6], [2, 3], [4, 3], [1, 1], [8, 2], [4, 2], [1, 2], [3, 6], [2, 5], [8, 6], [8, 8], [8, 5], [3, 1], [6, 7], [1, 5], [4, 1], [1, 3], [2, 7], [4, 6], [7, 8], [5, 7], [4, 8], [2, 8]], [[6, 4], [6, 2], [6, 6], [3, 3], [5, 3], [7, 3], [8, 1], [5, 1], [3, 5], [2, 4], [2, 2], [7, 1], [5, 2], [2, 1], [8, 3], [7, 5], [4, 7], [8, 7], [7, 7], [8, 4], [2, 6], [6, 8], [1, 6], [3, 2], [1, 4], [1, 8], [1, 7], [3, 7], [5, 8], [3, 8]]]","[30, 30]","[33, 31, 2]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",02:06,"[[2.698, 2.734, 2.743, 2.845, 2.761, 3.271, 3.016, 2.959, 2.932, 2.941, 3.261, 2.392, 2.796, 0.001, 2.897, 3.215, 2.674, 3.236, 2.805, 3.04, 2.079, 2.024, 2.175, 0.0, 1.659, 1.635, 1.573, 1.206, 0.001, 0.0, 0.0], [2.675, 2.62, 2.491, 2.53, 2.636, 2.59, 2.472, 2.729, 2.603, 2.377, 0.0, 2.437, 2.847, 2.64, 2.738, 2.431, 2.541, 2.56, 2.166, 2.002, 1.986, 1.844, 1.747, 1.612, 0.0, 1.387, 1.253, 0.759]]","[[[6, 4], [3, 5], [4, 6], [4, 2], [3, 4], [2, 5], [2, 7], [3, 2], [6, 3], [2, 3], [8, 6], [2, 4], [6, 5], [1, 1], [5, 1], [5, 7], [3, 8], [5, 6], [5, 2], [5, 8], [1, 7], [6, 1], [1, 2], [8, 8], [8, 3], [6, 8], [8, 7], [4, 1], [2, 8], [8, 4], [8, 2]], [[4, 3], [6, 6], [2, 6], [5, 3], [3, 1], [7, 5], [3, 3], [3, 7], [2, 2], [3, 6], [1, 8], [6, 2], [1, 6], [7, 6], [1, 5], [6, 7], [7, 3], [4, 8], [1, 4], [1, 3], [8, 5], [7, 2], [7, 7], [7, 8], [8, 1], [2, 1], [7, 4], [4, 7]]]","[31, 28]","[52, 11, 41]",1
"[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",01:54,"[[2.578, 2.627, 2.508, 2.692, 2.821, 0.001, 1.929, 2.826, 0.004, 1.896, 2.025, 2.821, 2.844, 2.743, 2.416, 2.667, 2.627, 2.215, 2.028, 1.932, 1.783, 1.891, 1.877, 1.685, 1.546, 0.0, 1.54, 1.377, 0.0, 0.0, 0.0, 0.0], [2.925, 2.462, 2.38, 3.36, 3.05, 3.089, 3.33, 2.807, 0.0, 2.149, 2.464, 2.574, 2.31, 2.628, 2.351, 2.096, 0.001, 2.319, 2.126, 1.624, 1.902, 1.968, 1.583, 1.707, 1.664, 1.362, 1.335, 0.811]]","[[[3, 6], [6, 3], [3, 4], [4, 3], [3, 7], [1, 8], [7, 2], [3, 8], [5, 8], [3, 2], [7, 1], [6, 6], [4, 6], [1, 3], [4, 2], [5, 7], [2, 1], [6, 7], [8, 6], [2, 5], [1, 4], [7, 4], [1, 7], [7, 3], [7, 8], [8, 8], [8, 5], [7, 7], [1, 5], [8, 3], [1, 2], [5, 1]], [[3, 5], [5, 3], [6, 4], [6, 2], [2, 7], [4, 7], [3, 3], [5, 6], [8, 1], [2, 3], [4, 1], [7, 6], [6, 1], [5, 2], [2, 8], [3, 1], [1, 1], [2, 4], [2, 2], [6, 8], [6, 5], [2, 6], [7, 5], [4, 8], [8, 7], [8, 2], [8, 4], [1, 6]]]","[32, 28]","[45, 19, 26]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",02:04,"[[2.982, 2.543, 3.252, 3.107, 3.434, 3.063, 2.781, 2.79, 3.201, 3.424, 3.192, 2.976, 3.342, 2.892, 2.574, 2.38, 2.35, 2.366, 2.866, 2.648, 2.017, 2.47, 1.799, 1.69, 1.573, 1.455, 1.225, 0.919, 0.0], [2.662, 2.73, 3.046, 3.263, 0.0, 2.832, 2.958, 3.21, 2.938, 0.0, 2.849, 2.406, 0.0, 2.251, 1.987, 1.788, 1.791, 1.762, 2.015, 0.0, 1.988, 1.844, 1.816, 1.657, 1.678, 1.54, 0.0, 0.001, 0.0, 1.101, 0.889]]","[[[3, 5], [4, 6], [6, 7], [6, 5], [2, 7], [6, 4], [2, 6], [1, 3], [6, 6], [7, 8], [7, 7], [5, 8], [2, 2], [4, 2], [3, 8], [4, 8], [3, 4], [1, 7], [8, 2], [8, 5], [3, 1], [7, 2], [1, 4], [1, 5], [8, 6], [8, 4], [5, 2], [4, 1], [6, 1]], [[3, 6], [5, 6], [5, 7], [2, 4], [1, 8], [6, 3], [7, 3], [7, 6], [6, 8], [8, 8], [7, 5], [3, 3], [1, 1], [3, 7], [2, 8], [1, 6], [2, 5], [4, 3], [8, 3], [8, 1], [7, 4], [4, 7], [2, 3], [1, 2], [5, 3], [8, 7], [7, 1], [2, 1], [3, 2], [6, 2], [5, 1]]]","[29, 31]","[20, 44, 24]",-1
"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",02:06,"[[2.428, 2.752, 2.702, 2.616, 2.853, 2.597, 2.702, 3.383, 2.881, 2.73, 2.799, 2.463, 2.725, 2.581, 2.613, 0.0, 2.578, 2.859, 0.0, 2.884, 2.315, 2.351, 2.146, 1.88, 1.892, 1.559, 1.182, 0.986, 0.878, 0.0], [2.695, 2.77, 2.896, 2.771, 2.369, 0.0, 2.733, 2.775, 2.783, 2.438, 2.705, 2.513, 2.826, 2.409, 2.371, 2.239, 2.395, 2.518, 2.538, 2.18, 1.826, 1.423, 1.482, 1.596, 1.234, 1.699, 0.96, 0.9, 0.961, 0.711]]","[[[3, 6], [6, 3], [5, 2], [2, 7], [1, 6], [6, 5], [7, 5], [3, 8], [6, 1], [8, 5], [4, 2], [8, 3], [4, 1], [6, 6], [6, 7], [8, 1], [2, 5], [1, 5], [8, 8], [4, 7], [5, 6], [8, 4], [4, 3], [2, 4], [6, 8], [5, 7], [1, 3], [3, 7], [2, 1], [1, 1]], [[3, 5], [5, 3], [4, 6], [2, 6], [6, 4], [1, 8], [7, 3], [6, 2], [5, 1], [8, 6], [1, 7], [7, 4], [7, 6], [2, 8], [4, 8], [7, 1], [3, 1], [1, 4], [8, 7], [5, 8], [7, 7], [7, 2], [3, 4], [2, 3], [3, 3], [7, 8], [3, 2], [1, 2], [8, 2], [2, 2]]]","[30, 30]","[36, 28, 8]",1
