Board,Game Time,Move Time,Action List,Action List Count,Score,Winner
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0]",00:49,"[[2.344, 2.201, 1.883, 2.299, 2.439, 2.055, 2.092, 0.0, 1.866, 1.848, 1.826, 2.211, 2.416, 2.127, 2.568, 1.968, 1.714, 1.508, 1.529, 1.539, 1.601, 1.63, 1.531, 1.876, 1.427, 0.0, 1.144, 0.985, 0.713, 0.0, 0.0], [0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[4, 6], [5, 3], [3, 5], [2, 3], [2, 7], [3, 7], [1, 2], [1, 1], [4, 8], [2, 6], [5, 6], [6, 3], [5, 2], [7, 6], [7, 2], [4, 2], [8, 2], [1, 4], [2, 5], [6, 8], [1, 6], [7, 4], [3, 1], [7, 8], [8, 3], [8, 8], [7, 5], [3, 8], [5, 8], [8, 6], [6, 1]], [[3, 4], [4, 7], [3, 6], [6, 2], [2, 4], [2, 2], [3, 3], [6, 4], [1, 8], [1, 7], [6, 5], [3, 2], [1, 3], [6, 6], [8, 1], [8, 7], [5, 1], [5, 7], [1, 5], [7, 1], [2, 1], [8, 5], [6, 7], [7, 3], [7, 7], [4, 3], [4, 1], [8, 4], [2, 8]]]","[31, 29]","[40, 24, 16]",1
"[-1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0]",00:48,"[[2.143, 2.078, 2.488, 2.495, 2.651, 2.489, 0.0, 2.462, 2.477, 2.003, 1.959, 2.411, 0.001, 2.226, 2.012, 0.0, 2.223, 2.175, 2.024, 1.765, 1.768, 0.0, 1.554, 1.426, 1.425, 1.172, 0.876, 0.915, 0.779], [0.0, 0.001, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[6, 3], [6, 5], [8, 3], [6, 6], [6, 2], [6, 1], [8, 1], [3, 3], [8, 6], [5, 6], [3, 6], [6, 8], [1, 8], [3, 4], [2, 3], [8, 8], [3, 1], [5, 7], [4, 2], [5, 2], [4, 1], [1, 1], [3, 8], [8, 4], [1, 6], [1, 4], [4, 3], [2, 1], [7, 8]], [[6, 4], [5, 3], [7, 4], [7, 6], [7, 3], [5, 1], [7, 2], [7, 1], [3, 5], [4, 6], [7, 5], [6, 7], [2, 7], [3, 7], [3, 2], [7, 7], [5, 8], [8, 2], [4, 8], [2, 4], [4, 7], [2, 2], [8, 7], [1, 7], [2, 6], [1, 5], [2, 8], [1, 2], [2, 5], [1, 3], [8, 5]]]","[29, 31]","[36, 28, 8]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0]",00:51,"[[2.368, 2.272, 2.778, 2.081, 2.605, 2.356, 2.593, 0.0, 2.666, 2.011, 2.409, 2.457, 2.257, 2.74, 1.968, 1.776, 0.0, 1.742, 1.625, 1.69, 1.558, 1.924, 1.548, 1.259, 1.307, 1.184, 0.861, 0.659, 0.0, 0.655], [0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[5, 3], [3, 6], [7, 6], [3, 4], [2, 2], [6, 2], [3, 2], [1, 8], [6, 6], [6, 1], [1, 5], [4, 7], [1, 3], [7, 4], [3, 1], [8, 6], [8, 8], [8, 4], [6, 4], [2, 6], [2, 5], [7, 3], [4, 6], [8, 3], [6, 8], [2, 8], [4, 8], [4, 1], [8, 1], [2, 1]], [[6, 5], [3, 3], [3, 5], [5, 2], [1, 1], [4, 3], [2, 7], [2, 4], [3, 7], [6, 3], [5, 6], [1, 4], [3, 8], [7, 5], [8, 7], [1, 6], [5, 1], [6, 7], [1, 2], [5, 8], [8, 5], [4, 2], [2, 3], [7, 7], [5, 7], [1, 7], [7, 1], [7, 2], [8, 2], [7, 8]]]","[30, 30]","[37, 27, 10]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:48,"[[2.246, 2.203, 2.132, 2.198, 2.12, 2.287, 2.417, 1.939, 0.0, 1.913, 2.337, 2.148, 0.0, 2.543, 2.361, 2.197, 2.151, 2.11, 0.0, 1.999, 1.688, 1.911, 1.682, 0.0, 1.6, 1.218, 0.989, 0.833, 0.817, 0.0], [0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[6, 3], [3, 6], [4, 3], [5, 6], [3, 4], [3, 2], [8, 3], [3, 1], [1, 1], [2, 6], [6, 6], [3, 8], [8, 1], [7, 6], [1, 6], [1, 4], [2, 5], [5, 7], [1, 8], [2, 7], [7, 5], [7, 1], [8, 7], [8, 8], [4, 1], [2, 3], [4, 6], [6, 8], [5, 1], [1, 2]], [[5, 3], [3, 5], [7, 3], [3, 3], [3, 7], [6, 5], [2, 4], [2, 1], [7, 2], [4, 2], [7, 4], [1, 5], [6, 7], [6, 2], [8, 6], [6, 4], [2, 2], [8, 2], [1, 7], [5, 8], [8, 4], [5, 2], [8, 5], [7, 7], [2, 8], [6, 1], [4, 7], [7, 8], [1, 3], [4, 8]]]","[30, 30]","[46, 18, 28]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0]",00:47,"[[2.306, 2.42, 2.017, 2.635, 2.1, 2.224, 2.088, 1.672, 1.644, 2.211, 1.985, 2.174, 2.419, 1.786, 0.0, 2.196, 2.005, 1.931, 2.007, 0.0, 0.0, 0.0, 1.924, 1.814, 1.266, 1.124, 0.957, 0.883, 0.795, 0.571], [0.0, 0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[6, 4], [3, 6], [7, 3], [5, 6], [3, 3], [4, 2], [8, 4], [2, 6], [3, 7], [6, 8], [6, 6], [5, 3], [7, 2], [3, 4], [1, 8], [7, 5], [1, 4], [3, 2], [8, 7], [8, 8], [8, 1], [1, 1], [1, 2], [5, 2], [4, 7], [3, 1], [2, 5], [8, 6], [8, 3], [6, 1]], [[4, 3], [7, 4], [4, 6], [2, 7], [5, 7], [4, 1], [2, 4], [1, 6], [3, 8], [6, 5], [8, 2], [7, 6], [6, 2], [5, 8], [1, 7], [7, 8], [3, 5], [1, 3], [7, 7], [6, 3], [2, 2], [1, 5], [2, 8], [2, 3], [4, 8], [6, 7], [5, 1], [8, 5], [7, 1], [2, 1]]]","[30, 30]","[36, 28, 8]",1
"[-1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0]",00:45,"[[2.018, 1.994, 1.977, 2.015, 2.244, 2.13, 0.0, 2.249, 2.517, 2.304, 0.0, 3.038, 2.369, 2.196, 0.0, 2.153, 1.889, 1.46, 1.755, 1.476, 1.219, 1.371, 1.465, 0.0, 1.306, 1.077, 1.023, 0.755, 0.695, 0.0], [0.001, 0.0, 0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[3, 4], [3, 6], [3, 3], [6, 3], [6, 5], [3, 2], [1, 1], [6, 7], [7, 6], [6, 2], [8, 8], [8, 3], [6, 1], [4, 7], [8, 1], [2, 6], [3, 8], [4, 1], [1, 6], [2, 5], [4, 3], [6, 8], [1, 4], [1, 8], [8, 6], [2, 7], [8, 5], [7, 1], [5, 8], [2, 1]], [[3, 5], [5, 3], [2, 4], [4, 6], [2, 2], [6, 6], [3, 7], [7, 3], [7, 5], [6, 4], [7, 7], [5, 1], [4, 2], [3, 1], [7, 2], [1, 3], [7, 8], [5, 6], [1, 7], [1, 5], [2, 3], [7, 4], [4, 8], [5, 7], [8, 2], [8, 4], [5, 2], [1, 2], [2, 8], [8, 7]]]","[30, 30]","[46, 18, 28]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:49,"[[2.309, 2.095, 2.309, 2.342, 2.303, 2.043, 0.0, 2.189, 1.989, 2.455, 2.506, 2.77, 2.459, 2.546, 0.0, 1.945, 2.095, 1.906, 1.71, 0.0, 1.802, 1.617, 1.421, 1.29, 1.172, 1.103, 1.049, 0.899, 0.79, 0.0, 0.0], [0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[3, 5], [6, 3], [6, 6], [7, 6], [2, 4], [4, 3], [8, 1], [1, 6], [1, 4], [4, 6], [3, 3], [1, 5], [6, 4], [1, 3], [1, 1], [2, 2], [8, 6], [4, 1], [4, 7], [8, 8], [4, 2], [7, 8], [8, 4], [2, 7], [6, 2], [1, 7], [5, 1], [8, 3], [2, 1], [3, 8], [7, 1]], [[5, 6], [3, 4], [6, 5], [7, 2], [2, 5], [2, 3], [7, 5], [2, 6], [5, 7], [5, 2], [3, 7], [8, 7], [6, 7], [1, 2], [7, 4], [3, 2], [8, 5], [3, 6], [7, 7], [6, 8], [4, 8], [5, 8], [7, 3], [1, 8], [3, 1], [8, 2], [5, 3], [6, 1], [2, 8]]]","[31, 29]","[52, 12, 40]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:48,"[[1.808, 2.234, 1.879, 2.353, 2.351, 2.282, 1.871, 2.551, 2.768, 2.523, 2.497, 1.995, 2.085, 2.028, 1.997, 1.727, 1.902, 0.0, 2.009, 2.112, 0.001, 1.75, 0.0, 1.679, 1.364, 0.941, 0.85, 0.698, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[3, 4], [5, 6], [2, 5], [4, 3], [6, 3], [3, 7], [6, 2], [6, 5], [8, 3], [4, 1], [7, 4], [2, 3], [2, 6], [4, 8], [6, 6], [4, 2], [3, 2], [1, 1], [1, 6], [4, 7], [1, 8], [8, 5], [8, 1], [1, 4], [7, 7], [5, 1], [6, 8], [2, 8], [8, 8], [1, 3]], [[3, 5], [3, 3], [6, 7], [3, 6], [5, 3], [7, 3], [6, 4], [5, 2], [3, 8], [7, 5], [1, 5], [8, 4], [6, 1], [1, 2], [8, 2], [7, 6], [2, 2], [2, 1], [2, 7], [1, 7], [2, 4], [5, 7], [7, 2], [8, 6], [4, 6], [3, 1], [5, 8], [7, 1], [8, 7], [7, 8]]]","[30, 30]","[42, 22, 20]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:51,"[[2.189, 1.942, 2.045, 2.302, 2.363, 3.073, 2.682, 2.915, 2.707, 0.0, 2.118, 2.295, 0.0, 1.736, 1.835, 2.034, 2.342, 0.0, 1.973, 1.911, 1.982, 1.826, 1.588, 1.556, 1.225, 1.276, 0.996, 0.951, 0.845, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[3, 5], [6, 4], [2, 6], [5, 6], [7, 5], [4, 3], [3, 3], [6, 2], [3, 2], [1, 1], [5, 3], [7, 3], [8, 1], [7, 6], [6, 6], [4, 7], [6, 7], [8, 8], [3, 1], [4, 8], [6, 1], [8, 6], [1, 3], [8, 4], [8, 3], [6, 8], [2, 8], [2, 7], [1, 7], [4, 1], [1, 5]], [[3, 6], [3, 4], [6, 5], [6, 3], [4, 6], [5, 7], [2, 2], [7, 4], [8, 5], [1, 6], [7, 2], [7, 1], [8, 2], [4, 2], [8, 7], [1, 2], [7, 7], [2, 3], [3, 8], [2, 1], [2, 4], [5, 1], [5, 8], [3, 7], [7, 8], [5, 2], [1, 4], [1, 8], [2, 5]]]","[31, 29]","[49, 15, 34]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0]",00:42,"[[2.004, 1.854, 2.11, 2.537, 2.486, 2.075, 2.083, 0.0, 1.801, 1.959, 1.876, 0.001, 1.616, 1.947, 2.093, 1.808, 1.904, 1.772, 0.0, 1.535, 1.462, 1.365, 1.223, 0.933, 0.923, 0.947, 0.806, 0.0, 0.677, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[3, 6], [5, 6], [3, 3], [4, 7], [1, 6], [5, 8], [3, 4], [1, 8], [6, 7], [8, 6], [6, 4], [8, 8], [1, 5], [5, 3], [7, 3], [8, 3], [6, 2], [1, 3], [8, 1], [4, 3], [3, 8], [7, 8], [8, 4], [7, 2], [5, 1], [1, 4], [3, 2], [1, 1], [2, 2], [4, 1]], [[3, 5], [4, 6], [5, 7], [2, 6], [6, 5], [4, 8], [6, 6], [2, 7], [6, 8], [7, 6], [3, 7], [7, 7], [2, 5], [6, 3], [2, 3], [7, 4], [5, 2], [8, 7], [8, 2], [1, 7], [7, 1], [7, 5], [2, 8], [8, 5], [2, 4], [6, 1], [4, 2], [1, 2], [3, 1], [2, 1]]]","[30, 30]","[42, 22, 20]",1
