Board,Game Time,Move Time,Action List,Action List Count,Score,Winner
"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:46,"[[2.588, 2.35, 2.025, 2.419, 2.195, 0.0, 2.232, 0.0, 2.285, 2.074, 2.468, 2.109, 2.074, 2.154, 2.096, 2.117, 0.002, 0.003, 1.889, 1.7, 1.513, 1.528, 1.26, 1.237, 0.0, 1.29, 1.184, 1.011, 1.057, 0.849, 0.707], [0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[5, 3], [3, 3], [3, 6], [6, 2], [4, 6], [1, 8], [6, 3], [8, 1], [4, 2], [6, 4], [6, 1], [8, 4], [8, 3], [2, 6], [1, 7], [1, 5], [7, 1], [4, 1], [2, 5], [7, 6], [5, 7], [3, 7], [8, 5], [8, 6], [8, 8], [2, 2], [1, 3], [3, 8], [1, 2], [6, 8], [7, 5]], [[4, 3], [6, 5], [5, 2], [2, 7], [5, 6], [7, 2], [3, 2], [8, 2], [3, 5], [3, 4], [7, 3], [7, 4], [3, 1], [1, 6], [2, 4], [5, 1], [2, 3], [1, 4], [4, 7], [8, 7], [6, 6], [5, 8], [6, 7], [1, 1], [2, 1], [4, 8], [2, 8], [7, 8], [7, 7]]]","[31, 29]","[37, 27, 10]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0]",00:44,"[[1.929, 1.872, 2.156, 2.035, 0.0, 2.016, 2.094, 0.0, 2.096, 2.044, 2.073, 1.993, 2.499, 0.0, 2.04, 1.949, 1.934, 1.902, 1.869, 0.0, 1.669, 1.547, 1.428, 1.78, 1.299, 1.162, 0.954, 0.703, 0.658, 0.0], [0.001, 0.0, 0.001, 0.001, 0.0, 0.001, 0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[3, 6], [3, 4], [3, 3], [5, 2], [1, 8], [5, 6], [1, 3], [1, 1], [6, 3], [7, 4], [6, 6], [6, 7], [8, 5], [8, 1], [8, 3], [1, 6], [3, 8], [7, 5], [8, 6], [8, 8], [5, 7], [2, 2], [2, 6], [3, 1], [3, 2], [1, 5], [5, 8], [5, 1], [7, 1], [7, 8]], [[3, 5], [4, 6], [2, 3], [4, 3], [2, 7], [3, 7], [6, 4], [1, 2], [4, 2], [2, 4], [6, 5], [7, 6], [1, 7], [7, 2], [7, 3], [5, 3], [7, 7], [8, 4], [8, 7], [4, 7], [6, 1], [4, 8], [2, 5], [1, 4], [8, 2], [6, 2], [6, 8], [4, 1], [2, 1], [2, 8]]]","[30, 30]","[49, 15, 34]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0]",01:05,"[[2.222, 2.467, 2.215, 2.791, 2.847, 3.088, 2.848, 3.496, 2.768, 2.587, 3.133, 2.66, 3.102, 2.728, 2.977, 2.696, 2.634, 2.113, 2.435, 2.031, 1.507, 1.587, 1.709, 1.643, 1.399, 1.213, 0.0, 0.953, 0.818, 0.522], [0.0, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.0, 0.001, 0.0, 0.0, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[5, 3], [3, 5], [4, 3], [5, 2], [4, 6], [2, 3], [4, 2], [6, 6], [3, 6], [5, 1], [6, 8], [3, 2], [7, 3], [2, 7], [7, 6], [1, 6], [4, 1], [2, 4], [2, 2], [2, 1], [7, 4], [3, 8], [8, 2], [7, 1], [5, 8], [8, 4], [8, 8], [7, 2], [7, 7], [2, 8]], [[6, 3], [3, 4], [3, 3], [5, 6], [6, 1], [1, 3], [2, 6], [3, 1], [3, 7], [6, 7], [5, 7], [6, 2], [6, 5], [6, 4], [1, 8], [1, 7], [4, 7], [1, 5], [1, 1], [2, 5], [8, 3], [7, 5], [8, 1], [4, 8], [8, 7], [7, 8], [8, 5], [1, 4], [8, 6], [1, 2]]]","[30, 30]","[31, 33, 2]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:49,"[[2.012, 1.986, 2.349, 2.562, 2.064, 0.001, 2.333, 2.152, 2.417, 2.095, 0.0, 2.365, 2.6, 0.0, 2.818, 2.528, 2.303, 2.565, 2.196, 2.345, 0.0, 1.892, 1.687, 1.409, 1.513, 1.218, 0.993, 0.859, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.001, 0.001, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[3, 6], [6, 5], [3, 3], [2, 3], [3, 5], [1, 8], [6, 3], [5, 2], [5, 6], [6, 1], [1, 1], [6, 7], [6, 6], [8, 8], [8, 4], [7, 5], [7, 4], [6, 4], [3, 8], [5, 8], [8, 1], [1, 3], [2, 1], [7, 1], [7, 8], [1, 5], [8, 5], [4, 8], [1, 6], [4, 2], [4, 1]], [[4, 6], [5, 3], [7, 6], [3, 4], [2, 7], [2, 6], [2, 8], [2, 4], [6, 2], [4, 3], [2, 2], [5, 7], [7, 3], [7, 7], [8, 7], [8, 3], [3, 7], [5, 1], [3, 2], [1, 2], [7, 2], [1, 7], [2, 5], [8, 2], [1, 4], [4, 7], [8, 6], [6, 8], [3, 1]]]","[31, 29]","[55, 9, 46]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:51,"[[2.328, 2.25, 2.556, 2.194, 2.425, 2.638, 2.265, 2.981, 2.803, 2.234, 2.18, 2.057, 0.0, 2.131, 0.0, 1.903, 1.867, 2.143, 2.006, 1.884, 1.845, 1.661, 1.432, 1.321, 1.058, 1.295, 1.088, 0.0, 0.0, 0.737, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.001, 0.002, 0.001, 0.0, 0.001, 0.001, 0.0, 0.001, 0.001, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[6, 4], [3, 5], [7, 5], [5, 3], [7, 3], [7, 7], [3, 3], [7, 4], [3, 7], [8, 6], [4, 6], [6, 8], [8, 8], [2, 6], [1, 8], [1, 7], [1, 5], [5, 7], [3, 8], [4, 2], [5, 2], [7, 2], [4, 8], [5, 8], [1, 3], [6, 1], [7, 1], [8, 4], [1, 2], [2, 1], [1, 1], [3, 1]], [[6, 3], [6, 5], [7, 6], [3, 6], [3, 4], [6, 2], [8, 2], [4, 3], [7, 8], [5, 6], [2, 7], [8, 5], [8, 7], [6, 6], [1, 6], [2, 3], [2, 8], [2, 5], [4, 7], [6, 7], [1, 4], [8, 3], [8, 1], [2, 4], [4, 1], [3, 2], [5, 1], [2, 2]]]","[32, 28]","[54, 10, 44]",1
"[-1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0]",00:46,"[[1.848, 2.192, 2.106, 2.076, 1.985, 2.081, 2.311, 0.0, 2.491, 2.23, 0.0, 2.574, 2.086, 2.384, 0.0, 2.313, 1.963, 1.901, 1.864, 1.68, 1.604, 1.525, 1.381, 1.169, 1.065, 0.957, 0.863, 0.762, 0.749, 0.0], [0.001, 0.0, 0.001, 0.001, 0.0, 0.001, 0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[3, 6], [6, 5], [3, 3], [3, 7], [7, 5], [1, 6], [6, 7], [1, 1], [8, 6], [5, 6], [8, 8], [3, 8], [3, 5], [5, 7], [1, 8], [2, 7], [8, 3], [6, 4], [6, 2], [1, 4], [3, 2], [7, 7], [5, 3], [2, 4], [7, 8], [7, 2], [4, 1], [4, 2], [3, 1], [7, 1]], [[4, 6], [2, 6], [6, 3], [7, 6], [3, 4], [7, 4], [6, 6], [2, 2], [4, 7], [2, 5], [8, 7], [4, 3], [2, 3], [5, 8], [1, 7], [6, 8], [4, 8], [8, 5], [8, 4], [5, 2], [2, 1], [1, 5], [7, 3], [1, 3], [1, 2], [5, 1], [8, 1], [6, 1], [2, 8], [8, 2]]]","[30, 30]","[38, 26, 12]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:53,"[[2.242, 1.925, 2.207, 2.549, 2.214, 2.58, 2.158, 2.865, 0.0, 2.306, 2.035, 1.887, 2.181, 2.383, 2.508, 2.699, 2.246, 1.998, 1.829, 1.733, 1.661, 1.377, 1.284, 0.956, 0.972, 1.327, 1.248, 0.941, 0.0, 0.607], [0.0, 0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[6, 4], [3, 3], [3, 6], [3, 7], [5, 3], [8, 4], [4, 2], [8, 3], [8, 1], [6, 2], [7, 5], [3, 5], [1, 2], [6, 5], [5, 8], [5, 2], [3, 1], [1, 3], [1, 7], [1, 5], [2, 7], [8, 6], [5, 6], [2, 2], [4, 8], [8, 7], [2, 5], [5, 7], [8, 8], [6, 8]], [[4, 3], [2, 3], [4, 6], [7, 4], [6, 6], [6, 3], [7, 3], [7, 2], [8, 2], [3, 4], [3, 2], [8, 5], [1, 4], [4, 7], [5, 1], [7, 6], [2, 6], [1, 1], [1, 6], [1, 8], [2, 1], [2, 4], [4, 1], [3, 8], [7, 7], [6, 1], [2, 8], [7, 1], [7, 8], [6, 7]]]","[30, 30]","[23, 41, 18]",-1
"[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0]",00:52,"[[2.115, 1.914, 2.174, 2.244, 2.372, 2.352, 2.391, 0.0, 2.565, 3.096, 2.406, 2.457, 2.356, 2.371, 2.37, 2.288, 1.854, 2.035, 2.12, 1.831, 1.704, 1.691, 0.0, 0.0, 1.344, 1.346, 0.911, 0.768, 0.69, 0.0], [0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.001, 0.0, 0.001, 0.0, 0.001, 0.001, 0.0, 0.001, 0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[3, 6], [3, 4], [6, 5], [4, 3], [6, 7], [6, 3], [7, 6], [8, 8], [4, 2], [8, 4], [2, 3], [4, 1], [6, 2], [4, 7], [3, 7], [5, 2], [4, 8], [1, 4], [1, 5], [5, 1], [7, 4], [8, 3], [1, 8], [8, 1], [8, 6], [2, 2], [2, 8], [1, 6], [2, 1], [1, 2]], [[4, 6], [3, 5], [2, 6], [5, 3], [5, 6], [6, 6], [7, 5], [7, 7], [3, 2], [3, 3], [7, 3], [2, 5], [8, 5], [6, 4], [6, 8], [3, 8], [7, 8], [3, 1], [7, 1], [2, 7], [1, 3], [7, 2], [2, 4], [8, 2], [5, 7], [5, 8], [1, 1], [1, 7], [6, 1], [8, 7]]]","[30, 30]","[43, 21, 22]",1
"[-1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:48,"[[2.226, 2.182, 2.241, 2.328, 2.195, 2.346, 2.478, 2.675, 2.436, 2.297, 0.0, 1.811, 1.77, 1.806, 1.568, 0.0, 1.744, 1.767, 1.933, 1.63, 0.0, 1.656, 1.773, 1.65, 1.43, 1.159, 1.252, 0.835, 0.751, 0.0, 0.0], [0.002, 0.0, 0.0, 0.001, 0.001, 0.001, 0.0, 0.001, 0.0, 0.001, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[3, 5], [6, 4], [5, 6], [6, 6], [3, 2], [3, 4], [1, 6], [3, 7], [1, 5], [4, 7], [1, 8], [2, 7], [6, 8], [8, 4], [7, 4], [8, 8], [5, 7], [5, 2], [8, 7], [6, 3], [8, 1], [2, 1], [7, 7], [1, 3], [4, 8], [2, 4], [6, 2], [4, 1], [4, 6], [6, 1], [8, 2]], [[3, 6], [6, 5], [4, 3], [2, 5], [6, 7], [2, 3], [5, 3], [2, 6], [7, 3], [1, 7], [3, 3], [3, 1], [7, 5], [8, 6], [7, 8], [7, 6], [5, 8], [3, 8], [4, 2], [7, 2], [5, 1], [1, 1], [1, 4], [7, 1], [8, 5], [1, 2], [2, 2], [2, 8], [8, 3]]]","[31, 29]","[46, 18, 28]",1
"[-1.0, -1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0]",00:22,"[[2.263, 2.233, 2.278, 2.094, 0.0, 2.202, 2.163, 2.225, 2.103, 0.0, 2.195, 2.303, 0.004, 0.004, 0.005, 0.006, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002], [0.0, 0.001, 0.0, 0.0, 0.001, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[4, 3], [6, 3], [3, 1], [7, 3], [8, 1], [5, 1], [6, 4], [7, 1], [2, 3], [1, 1], [6, 2], [8, 2], [2, 2], [8, 4], [8, 5], [3, 3], [8, 6], [6, 5], [3, 4], [1, 2], [3, 5], [3, 7]], [[5, 3], [3, 6], [4, 2], [7, 2], [4, 1], [5, 2], [8, 3], [6, 1], [3, 2], [2, 1], [1, 4], [7, 5], [7, 4]]]","[22, 13]","[38, 1, 37]",1
