Board,Game Time,Move Time,Action List,Action List Count,Score,Winner
"[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:47,"[[2.553, 2.139, 1.989, 2.122, 2.641, 2.238, 2.095, 2.643, 2.249, 2.147, 0.0, 1.949, 1.872, 1.753, 1.29, 1.708, 1.637, 1.795, 1.804, 1.45, 1.816, 0.001, 0.0, 1.247, 1.267, 1.076, 1.173, 0.925, 0.764, 0.653], [0.001, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.001, 0.001, 0.0, 0.0, 0.001, 0.001, 0.0, 0.001, 0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[4, 6], [3, 3], [6, 6], [4, 2], [2, 3], [3, 8], [3, 6], [6, 2], [1, 6], [5, 8], [1, 1], [3, 5], [6, 7], [7, 6], [6, 3], [4, 1], [5, 3], [8, 5], [3, 1], [1, 3], [7, 4], [8, 1], [8, 8], [6, 8], [1, 5], [2, 7], [8, 2], [3, 2], [8, 7], [7, 3]], [[3, 4], [5, 6], [4, 3], [5, 2], [4, 7], [4, 8], [6, 5], [2, 5], [3, 7], [2, 2], [5, 7], [2, 4], [6, 4], [2, 6], [6, 1], [7, 8], [8, 6], [2, 1], [8, 4], [7, 2], [5, 1], [7, 7], [7, 5], [1, 2], [8, 3], [1, 8], [7, 1], [1, 4], [1, 7], [2, 8]]]","[30, 30]","[38, 26, 12]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:48,"[[2.129, 2.552, 2.397, 2.136, 2.17, 2.405, 2.917, 2.022, 2.039, 2.269, 2.194, 2.222, 0.0, 1.787, 1.895, 0.0, 2.037, 2.056, 1.632, 1.705, 0.001, 1.669, 1.671, 1.12, 1.142, 1.123, 0.831, 0.86, 0.666], [0.001, 0.0, 0.001, 0.001, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[6, 3], [5, 6], [6, 5], [3, 4], [7, 7], [3, 5], [3, 7], [4, 7], [4, 8], [3, 2], [1, 6], [1, 3], [1, 8], [5, 8], [2, 6], [1, 1], [7, 4], [6, 1], [7, 8], [8, 7], [8, 1], [1, 7], [8, 4], [3, 1], [1, 4], [4, 2], [7, 6], [5, 1], [7, 2]], [[6, 4], [4, 6], [6, 6], [6, 2], [5, 3], [6, 7], [8, 8], [2, 8], [5, 7], [3, 3], [2, 5], [2, 3], [3, 8], [3, 6], [1, 5], [1, 2], [4, 3], [2, 1], [2, 7], [7, 5], [7, 1], [7, 3], [2, 4], [8, 6], [8, 3], [2, 2], [6, 8], [5, 2], [4, 1], [8, 5], [8, 2]]]","[29, 31]","[46, 18, 28]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:45,"[[2.196, 2.475, 2.036, 2.194, 0.0, 2.095, 2.27, 2.312, 1.858, 2.025, 1.999, 1.977, 2.007, 1.735, 1.501, 1.541, 1.519, 0.0, 1.522, 1.801, 1.647, 0.001, 1.661, 1.471, 1.249, 0.0, 1.113, 1.045, 0.0, 0.782, 0.622], [0.001, 0.001, 0.0, 0.0, 0.001, 0.001, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[5, 3], [7, 6], [3, 3], [3, 4], [1, 1], [6, 6], [6, 2], [4, 6], [7, 5], [3, 1], [8, 6], [3, 5], [3, 7], [2, 5], [4, 2], [7, 3], [6, 1], [8, 1], [4, 1], [1, 5], [1, 3], [1, 4], [6, 7], [2, 7], [8, 4], [8, 8], [5, 7], [7, 7], [7, 4], [6, 8], [3, 8]], [[6, 5], [4, 3], [2, 2], [5, 2], [3, 2], [8, 7], [6, 3], [7, 1], [2, 4], [3, 6], [8, 5], [5, 6], [2, 3], [1, 2], [2, 1], [6, 4], [8, 3], [5, 1], [1, 6], [2, 8], [2, 6], [5, 8], [1, 8], [1, 7], [8, 2], [4, 7], [7, 2], [7, 8], [4, 8]]]","[31, 29]","[41, 23, 18]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:51,"[[2.159, 2.387, 2.291, 2.39, 2.445, 2.334, 3.015, 2.677, 2.519, 1.962, 2.097, 2.259, 2.125, 0.0, 2.424, 1.846, 2.003, 2.104, 1.977, 2.025, 1.94, 1.622, 0.0, 1.458, 0.0, 1.063, 0.896, 0.812, 0.613], [0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0]]","[[[6, 5], [6, 3], [8, 3], [5, 6], [3, 6], [5, 7], [3, 5], [3, 3], [2, 4], [7, 6], [6, 7], [6, 1], [7, 3], [8, 1], [3, 8], [5, 1], [1, 6], [1, 3], [2, 8], [5, 8], [2, 7], [8, 2], [8, 8], [4, 3], [1, 1], [8, 6], [1, 5], [3, 1], [8, 5]], [[6, 4], [4, 6], [7, 4], [6, 6], [8, 4], [2, 6], [4, 7], [6, 2], [2, 5], [3, 7], [2, 3], [7, 5], [5, 3], [7, 1], [4, 2], [4, 8], [7, 7], [7, 2], [3, 4], [1, 8], [6, 8], [5, 2], [1, 4], [8, 7], [2, 2], [4, 1], [1, 2], [2, 1], [7, 8], [3, 2], [1, 7]]]","[29, 31]","[40, 24, 16]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:52,"[[2.097, 2.159, 2.254, 2.703, 2.49, 2.086, 2.877, 2.696, 3.0, 2.126, 1.608, 2.071, 0.0, 2.338, 2.131, 1.982, 1.899, 1.689, 1.504, 1.551, 1.904, 1.452, 1.673, 1.428, 1.201, 1.184, 1.042, 0.785, 0.0, 0.0, 0.0], [0.001, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[4, 6], [4, 3], [4, 2], [5, 3], [3, 5], [2, 6], [2, 5], [2, 2], [5, 8], [1, 2], [6, 6], [6, 4], [1, 8], [3, 7], [1, 6], [5, 7], [7, 2], [1, 4], [6, 2], [5, 2], [7, 4], [8, 2], [1, 7], [8, 6], [3, 8], [6, 5], [7, 8], [2, 1], [8, 8], [8, 4], [6, 1]], [[3, 4], [3, 2], [3, 6], [4, 7], [2, 4], [6, 3], [3, 3], [5, 6], [1, 1], [2, 7], [4, 1], [1, 3], [7, 6], [4, 8], [2, 8], [3, 1], [8, 1], [6, 8], [7, 1], [7, 5], [1, 5], [7, 3], [6, 7], [5, 1], [8, 3], [8, 5], [2, 3], [7, 7], [8, 7]]]","[31, 29]","[42, 22, 20]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0]",00:45,"[[1.808, 2.243, 2.165, 2.039, 2.233, 2.336, 0.0, 2.209, 2.131, 2.053, 2.005, 0.001, 2.045, 2.093, 2.136, 0.0, 2.078, 2.067, 1.865, 1.775, 1.893, 1.662, 1.301, 1.183, 0.865, 0.812, 0.766, 0.799, 0.601], [0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[3, 6], [5, 6], [3, 8], [3, 4], [2, 3], [7, 6], [1, 8], [6, 3], [6, 8], [8, 6], [3, 3], [1, 1], [5, 3], [1, 6], [8, 4], [8, 1], [4, 3], [7, 8], [5, 8], [3, 1], [3, 2], [2, 7], [7, 3], [5, 1], [1, 3], [8, 3], [6, 5], [6, 1], [8, 7]], [[4, 6], [6, 4], [3, 7], [3, 5], [2, 4], [6, 6], [2, 8], [2, 2], [6, 7], [7, 7], [8, 8], [5, 7], [8, 5], [2, 5], [4, 2], [7, 2], [1, 5], [6, 2], [2, 1], [4, 8], [5, 2], [2, 6], [1, 2], [8, 2], [1, 4], [4, 1], [7, 4], [4, 7], [7, 5], [1, 7], [7, 1]]]","[29, 31]","[37, 27, 10]",1
"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0]",00:53,"[[2.196, 2.476, 2.466, 2.484, 2.648, 2.456, 2.529, 2.733, 0.001, 2.728, 2.308, 2.288, 0.0, 2.193, 2.277, 2.155, 2.152, 1.793, 1.906, 1.87, 1.653, 0.0, 1.772, 1.72, 1.488, 1.306, 0.899, 0.848, 0.822, 0.599], [0.001, 0.0, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.0, 0.0, 0.001, 0.0, 0.001, 0.001, 0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[4, 6], [6, 5], [5, 3], [3, 5], [6, 6], [3, 3], [6, 3], [2, 3], [8, 8], [8, 4], [3, 2], [2, 6], [8, 1], [4, 2], [4, 1], [7, 1], [8, 7], [6, 1], [6, 7], [4, 7], [1, 6], [1, 8], [7, 4], [2, 7], [2, 2], [2, 5], [5, 8], [1, 2], [1, 5], [3, 8]], [[5, 6], [3, 4], [6, 2], [6, 4], [3, 6], [7, 5], [3, 7], [7, 7], [4, 3], [5, 7], [7, 2], [2, 4], [1, 7], [5, 1], [1, 3], [7, 6], [5, 2], [7, 3], [3, 1], [7, 8], [8, 5], [8, 2], [6, 8], [2, 8], [4, 8], [8, 6], [1, 1], [1, 4], [8, 3], [2, 1]]]","[30, 30]","[39, 25, 14]",1
"[-1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0]",00:45,"[[2.072, 2.023, 2.236, 1.731, 2.233, 2.001, 2.642, 2.113, 1.915, 0.0, 1.928, 0.0, 0.0, 2.108, 1.926, 1.895, 1.938, 2.06, 2.183, 1.9, 1.781, 1.563, 1.525, 1.38, 1.078, 1.023, 0.0, 0.816, 0.753, 0.0], [0.002, 0.001, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[3, 6], [5, 6], [3, 3], [6, 3], [6, 7], [2, 6], [4, 8], [3, 8], [1, 6], [1, 8], [7, 6], [1, 1], [8, 8], [6, 2], [8, 3], [4, 3], [6, 5], [5, 8], [1, 4], [2, 4], [2, 5], [5, 1], [8, 7], [6, 4], [3, 2], [8, 5], [8, 1], [3, 1], [3, 4], [2, 1]], [[4, 6], [3, 5], [5, 7], [5, 3], [7, 3], [3, 7], [2, 2], [4, 7], [1, 7], [2, 8], [6, 6], [1, 5], [7, 7], [2, 7], [8, 6], [5, 2], [4, 2], [7, 4], [2, 3], [6, 8], [6, 1], [1, 3], [4, 1], [7, 5], [7, 8], [7, 1], [7, 2], [8, 2], [8, 4], [1, 2]]]","[30, 30]","[44, 20, 24]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0]",00:52,"[[2.157, 2.312, 2.317, 2.468, 2.812, 3.092, 3.088, 2.969, 2.93, 2.389, 2.575, 2.55, 2.442, 2.661, 0.0, 1.912, 0.0, 1.819, 0.003, 1.79, 1.674, 1.527, 0.0, 1.539, 1.342, 0.0, 1.327, 1.105, 0.985, 0.0, 0.0, 0.0], [0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.0, 0.0, 0.001, 0.001, 0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[6, 4], [4, 6], [5, 3], [4, 8], [6, 5], [7, 4], [7, 6], [6, 2], [8, 5], [3, 8], [6, 8], [7, 3], [6, 7], [5, 7], [8, 8], [5, 2], [8, 1], [8, 4], [8, 2], [2, 5], [4, 3], [3, 5], [1, 8], [1, 3], [2, 3], [1, 1], [3, 2], [1, 4], [1, 7], [1, 6], [3, 1], [1, 2]], [[6, 3], [3, 6], [4, 7], [5, 6], [6, 6], [3, 3], [5, 8], [7, 5], [7, 2], [8, 7], [7, 7], [6, 1], [8, 3], [7, 8], [8, 6], [5, 1], [7, 1], [3, 7], [2, 6], [3, 4], [2, 7], [2, 4], [2, 8], [2, 2], [4, 2], [4, 1], [2, 1], [1, 5]]]","[32, 28]","[51, 13, 38]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:40,"[[2.314, 1.838, 2.051, 2.311, 1.808, 1.868, 1.842, 0.0, 1.934, 1.882, 1.879, 2.003, 0.0, 1.993, 1.826, 2.102, 0.004, 1.908, 0.0, 1.554, 1.374, 1.551, 1.047, 0.0, 1.123, 1.052, 0.885, 0.857, 0.845, 0.495], [0.0, 0.001, 0.001, 0.001, 0.001, 0.002, 0.0, 0.0, 0.001, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[4, 3], [2, 3], [6, 6], [3, 6], [6, 3], [5, 3], [3, 2], [1, 1], [6, 1], [1, 4], [1, 3], [4, 1], [8, 1], [4, 2], [2, 4], [1, 5], [8, 2], [3, 8], [1, 8], [6, 7], [8, 5], [6, 5], [2, 6], [8, 8], [4, 8], [8, 6], [6, 8], [1, 6], [8, 4], [7, 3]], [[6, 4], [3, 3], [3, 5], [3, 4], [5, 6], [7, 6], [2, 2], [5, 2], [1, 2], [3, 7], [5, 1], [7, 1], [7, 2], [3, 1], [2, 1], [2, 5], [6, 2], [2, 7], [4, 7], [5, 7], [4, 6], [5, 8], [7, 7], [8, 7], [7, 5], [2, 8], [7, 8], [7, 4], [8, 3], [1, 7]]]","[30, 30]","[47, 17, 30]",1
