Board,Game Time,Move Time,Action List,Action List Count,Score,Winner
"[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:05,"[[0.21, 0.275, 0.211, 0.136, 0.201, 0.242, 0.326, 0.211, 0.178, 0.151, 0.156, 0.271, 0.269, 0.372, 0.187, 0.114, 0.0, 0.176, 0.129, 0.239, 0.244, 0.192, 0.154, 0.127, 0.067, 0.062, 0.049, 0.039, 0.029, 0.014], [0.001, 0.001, 0.001, 0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[5, 3], [3, 6], [3, 5], [4, 2], [5, 6], [6, 3], [3, 2], [6, 1], [2, 5], [4, 1], [7, 3], [1, 5], [6, 7], [2, 2], [7, 6], [2, 3], [1, 1], [6, 2], [8, 2], [8, 6], [7, 2], [5, 8], [5, 7], [2, 1], [2, 6], [2, 7], [7, 1], [3, 8], [7, 7], [1, 7]], [[4, 3], [6, 4], [3, 4], [4, 6], [3, 1], [5, 2], [3, 3], [6, 5], [6, 6], [5, 1], [1, 6], [1, 4], [8, 3], [6, 8], [8, 5], [1, 3], [4, 7], [7, 4], [8, 1], [8, 4], [7, 5], [4, 8], [2, 4], [7, 8], [3, 7], [1, 8], [8, 7], [2, 8], [8, 8], [1, 2]]]","[30, 30]","[29, 35, 6]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:04,"[[0.179, 0.228, 0.199, 0.241, 0.153, 0.326, 0.149, 0.243, 0.309, 0.175, 0.144, 0.223, 0.163, 0.087, 0.168, 0.161, 0.153, 0.137, 0.122, 0.0, 0.093, 0.109, 0.068, 0.0, 0.067, 0.0, 0.053, 0.041, 0.022, 0.0], [0.001, 0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[6, 5], [6, 3], [3, 6], [5, 2], [4, 3], [7, 4], [6, 1], [6, 7], [3, 2], [3, 1], [8, 3], [4, 7], [8, 6], [5, 8], [7, 6], [7, 3], [6, 2], [4, 2], [2, 3], [8, 8], [2, 6], [7, 8], [2, 7], [1, 1], [2, 8], [8, 1], [2, 4], [7, 2], [1, 3], [1, 5]], [[5, 3], [5, 6], [3, 5], [4, 6], [6, 4], [6, 6], [5, 1], [3, 3], [8, 4], [4, 1], [3, 4], [6, 8], [8, 5], [3, 8], [4, 8], [7, 5], [3, 7], [5, 7], [7, 7], [1, 2], [8, 7], [1, 6], [2, 5], [2, 1], [1, 8], [8, 2], [7, 1], [1, 4], [2, 2], [1, 7]]]","[30, 30]","[55, 9, 46]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0]",00:06,"[[0.258, 0.166, 0.277, 0.308, 0.194, 0.275, 0.162, 0.23, 0.36, 0.209, 0.389, 0.266, 0.313, 0.409, 0.149, 0.182, 0.136, 0.229, 0.117, 0.142, 0.202, 0.222, 0.169, 0.156, 0.116, 0.101, 0.052, 0.053, 0.03, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[4, 6], [3, 3], [3, 5], [4, 2], [6, 6], [5, 7], [6, 7], [7, 5], [4, 7], [3, 7], [7, 7], [4, 8], [5, 2], [7, 4], [8, 5], [6, 1], [2, 8], [7, 3], [7, 8], [1, 2], [1, 4], [2, 2], [2, 4], [7, 6], [3, 2], [7, 2], [2, 1], [2, 7], [8, 2], [8, 7], [1, 7]], [[3, 4], [5, 6], [4, 3], [3, 6], [6, 5], [4, 1], [5, 8], [8, 4], [6, 4], [3, 8], [8, 8], [6, 8], [6, 3], [5, 3], [8, 3], [5, 1], [1, 8], [8, 6], [2, 3], [1, 3], [2, 5], [1, 1], [1, 5], [6, 2], [3, 1], [8, 1], [2, 6], [1, 6], [7, 1]]]","[31, 29]","[30, 34, 4]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:05,"[[0.16, 0.399, 0.256, 0.36, 0.279, 0.247, 0.155, 0.161, 0.292, 0.225, 0.149, 0.266, 0.176, 0.202, 0.149, 0.252, 0.17, 0.0, 0.114, 0.133, 0.11, 0.127, 0.092, 0.08, 0.056, 0.079, 0.047, 0.031, 0.017], [0.001, 0.001, 0.0, 0.001, 0.001, 0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[6, 3], [5, 6], [7, 3], [7, 4], [8, 3], [3, 6], [8, 5], [3, 7], [5, 2], [4, 1], [3, 3], [4, 8], [2, 8], [2, 6], [2, 5], [6, 7], [6, 8], [8, 8], [4, 2], [7, 6], [5, 7], [8, 7], [1, 4], [2, 3], [1, 2], [7, 1], [2, 2], [7, 2], [1, 7]], [[5, 3], [3, 5], [6, 4], [6, 5], [8, 4], [6, 6], [4, 3], [4, 6], [3, 8], [5, 1], [3, 1], [4, 7], [3, 4], [6, 1], [1, 6], [1, 5], [5, 8], [7, 8], [7, 5], [2, 4], [8, 6], [6, 2], [7, 7], [1, 3], [3, 2], [1, 1], [8, 1], [2, 1], [8, 2], [1, 8], [2, 7]]]","[29, 31]","[23, 41, 18]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0]",00:07,"[[0.256, 0.174, 0.228, 0.2, 0.181, 0.254, 0.289, 0.171, 0.182, 0.231, 0.352, 0.316, 0.195, 0.188, 0.502, 0.529, 0.401, 0.506, 0.317, 0.346, 0.24, 0.241, 0.195, 0.182, 0.075, 0.074, 0.05, 0.052, 0.0, 0.0, 0.0], [0.0, 0.001, 0.001, 0.001, 0.001, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[4, 6], [6, 6], [6, 3], [3, 3], [2, 3], [5, 3], [2, 6], [4, 3], [2, 5], [1, 6], [7, 6], [6, 7], [3, 8], [7, 8], [8, 7], [7, 2], [3, 7], [3, 2], [7, 4], [2, 8], [7, 1], [1, 2], [8, 4], [7, 7], [4, 1], [2, 4], [8, 2], [7, 3], [1, 1], [2, 7], [1, 7]], [[5, 6], [3, 4], [6, 4], [3, 6], [6, 2], [3, 5], [6, 5], [1, 3], [1, 5], [4, 7], [1, 4], [6, 8], [8, 6], [8, 8], [5, 8], [8, 1], [8, 5], [4, 8], [8, 3], [1, 8], [3, 1], [6, 1], [4, 2], [5, 2], [5, 1], [7, 5], [5, 7], [2, 2], [2, 1]]]","[31, 29]","[36, 28, 8]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:04,"[[0.139, 0.317, 0.155, 0.45, 0.296, 0.47, 0.166, 0.138, 0.191, 0.151, 0.179, 0.149, 0.133, 0.149, 0.144, 0.144, 0.237, 0.125, 0.0, 0.0, 0.096, 0.097, 0.092, 0.0, 0.085, 0.056, 0.047, 0.03, 0.031, 0.0], [0.001, 0.0, 0.001, 0.001, 0.0, 0.001, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[6, 3], [6, 5], [3, 6], [4, 3], [7, 4], [3, 4], [8, 3], [3, 3], [1, 3], [1, 5], [8, 5], [7, 5], [6, 6], [7, 6], [8, 7], [5, 1], [2, 5], [1, 7], [1, 1], [1, 8], [2, 2], [5, 2], [6, 8], [8, 8], [5, 7], [4, 7], [7, 1], [4, 8], [2, 8], [2, 1]], [[6, 4], [3, 5], [5, 3], [4, 6], [7, 3], [8, 4], [5, 6], [2, 3], [2, 4], [2, 6], [1, 4], [1, 6], [6, 2], [8, 6], [4, 2], [6, 7], [6, 1], [4, 1], [1, 2], [2, 7], [3, 7], [3, 2], [3, 1], [7, 8], [7, 7], [5, 8], [3, 8], [8, 1], [8, 2], [7, 2]]]","[30, 30]","[45, 19, 26]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:05,"[[0.249, 0.346, 0.175, 0.147, 0.191, 0.156, 0.319, 0.153, 0.205, 0.226, 0.148, 0.243, 0.172, 0.283, 0.146, 0.144, 0.132, 0.155, 0.165, 0.133, 0.146, 0.128, 0.174, 0.129, 0.078, 0.044, 0.0, 0.041, 0.027, 0.02], [0.001, 0.0, 0.001, 0.001, 0.0, 0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[5, 3], [3, 6], [3, 3], [3, 5], [6, 3], [6, 7], [6, 4], [6, 6], [7, 4], [8, 3], [8, 5], [7, 6], [1, 4], [5, 7], [8, 7], [4, 7], [3, 8], [2, 4], [4, 2], [3, 7], [2, 7], [1, 6], [5, 1], [7, 1], [2, 2], [1, 2], [8, 8], [2, 1], [8, 2], [2, 8]], [[4, 3], [6, 5], [3, 4], [5, 6], [2, 5], [3, 2], [4, 6], [7, 5], [8, 4], [6, 8], [5, 2], [8, 6], [1, 5], [1, 3], [5, 8], [4, 8], [6, 2], [2, 3], [4, 1], [2, 6], [1, 8], [7, 7], [6, 1], [8, 1], [1, 1], [3, 1], [7, 3], [7, 8], [1, 7], [7, 2]]]","[30, 30]","[32, 32, 0]",0
"[1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:04,"[[0.131, 0.196, 0.237, 0.188, 0.232, 0.31, 0.22, 0.238, 0.148, 0.16, 0.125, 0.146, 0.133, 0.157, 0.142, 0.159, 0.316, 0.114, 0.117, 0.125, 0.122, 0.117, 0.158, 0.111, 0.055, 0.0, 0.041, 0.03, 0.019, 0.0], [0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.001, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[6, 3], [3, 6], [7, 4], [4, 2], [3, 4], [5, 7], [4, 3], [5, 2], [2, 3], [3, 2], [1, 4], [6, 5], [4, 1], [2, 5], [2, 4], [2, 1], [2, 6], [6, 1], [3, 8], [6, 8], [7, 5], [8, 3], [2, 7], [7, 6], [8, 7], [8, 8], [7, 7], [7, 2], [1, 2], [2, 8]], [[6, 4], [4, 6], [3, 5], [5, 3], [8, 4], [3, 1], [6, 2], [3, 3], [5, 1], [1, 3], [5, 6], [5, 8], [1, 5], [6, 6], [1, 6], [4, 7], [1, 1], [3, 7], [7, 1], [4, 8], [6, 7], [8, 5], [7, 3], [1, 8], [8, 6], [7, 8], [1, 7], [2, 2], [8, 1], [8, 2]]]","[30, 30]","[34, 30, 4]",1
"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0]",00:05,"[[0.161, 0.191, 0.341, 0.188, 0.233, 0.169, 0.218, 0.233, 0.167, 0.132, 0.132, 0.18, 0.335, 0.168, 0.14, 0.193, 0.183, 0.11, 0.163, 0.12, 0.271, 0.211, 0.131, 0.121, 0.102, 0.001, 0.077, 0.066, 0.047, 0.031, 0.0], [0.0, 0.0, 0.001, 0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[6, 4], [3, 3], [5, 3], [4, 6], [7, 6], [6, 6], [3, 7], [2, 5], [4, 8], [2, 8], [5, 8], [5, 7], [1, 6], [7, 2], [8, 4], [6, 2], [7, 5], [8, 5], [8, 2], [1, 7], [2, 2], [2, 3], [2, 4], [7, 1], [1, 2], [2, 7], [7, 7], [5, 1], [4, 2], [2, 1], [8, 7]], [[4, 3], [6, 5], [3, 4], [5, 6], [6, 3], [4, 7], [7, 4], [8, 6], [3, 8], [3, 6], [2, 6], [6, 8], [1, 8], [3, 5], [8, 1], [8, 3], [1, 4], [6, 1], [1, 5], [3, 2], [1, 1], [1, 3], [6, 7], [5, 2], [7, 3], [8, 8], [4, 1], [3, 1], [7, 8]]]","[31, 29]","[37, 27, 10]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0]",00:06,"[[0.143, 0.182, 0.258, 0.168, 0.238, 0.149, 0.237, 0.359, 0.415, 0.423, 0.255, 0.296, 0.272, 0.191, 0.344, 0.341, 0.206, 0.127, 0.2, 0.194, 0.116, 0.109, 0.125, 0.08, 0.086, 0.0, 0.05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[3, 6], [6, 3], [4, 3], [3, 4], [1, 6], [2, 3], [4, 7], [7, 3], [7, 6], [6, 6], [5, 7], [1, 4], [8, 7], [7, 7], [3, 7], [4, 1], [7, 5], [2, 4], [6, 2], [6, 7], [5, 2], [7, 8], [6, 1], [8, 4], [1, 2], [8, 1], [2, 7], [1, 8], [1, 1], [2, 1]], [[4, 6], [5, 3], [3, 5], [6, 4], [2, 5], [3, 3], [1, 5], [5, 6], [6, 5], [3, 8], [7, 4], [6, 8], [8, 6], [8, 8], [3, 2], [8, 3], [1, 3], [3, 1], [8, 5], [5, 1], [5, 8], [4, 8], [4, 2], [2, 6], [7, 1], [8, 2], [7, 2], [1, 7], [2, 2], [2, 8]]]","[30, 30]","[36, 28, 8]",1
