Board,Game Time,Move Time,Action List,Action List Count,Score,Winner
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",04:43,"[[0.186, 0.531, 1.384, 2.414, 6.738, 8.648, 13.436, 17.45, 14.618, 19.165, 22.961, 32.232, 23.341, 26.592, 18.899, 11.455, 12.907, 9.305, 7.548, 4.765, 2.621, 1.173, 0.705, 0.278, 0.0, 0.031, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.358, 5.377, 2.259, 1.745, 1.896, 0.915, 0.854, 0.351, 0.306, 0.104, 0.085, 0.027, 0.016, 0.002, 0.001]]","[[[5, 3], [3, 6], [4, 6], [6, 3], [3, 3], [6, 4], [2, 3], [7, 3], [2, 6], [3, 2], [7, 5], [3, 1], [7, 6], [6, 7], [6, 6], [6, 1], [8, 3], [8, 5], [1, 6], [6, 2], [3, 8], [5, 1], [4, 8], [6, 8], [8, 8], [1, 4], [1, 8], [1, 1], [8, 1], [8, 7], [2, 2]], [[6, 5], [3, 5], [5, 2], [4, 3], [5, 7], [3, 4], [7, 4], [8, 2], [2, 5], [3, 7], [4, 2], [4, 1], [5, 6], [1, 7], [2, 1], [4, 7], [8, 4], [8, 6], [1, 5], [7, 2], [5, 8], [7, 1], [1, 2], [7, 8], [2, 7], [1, 3], [2, 8], [2, 4], [7, 7]]]","[31, 29]","[48, 16, 32]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:56,"[[0.339, 0.563, 2.845, 3.204, 4.167, 4.939, 4.12, 4.354, 3.96, 2.893, 2.208, 1.835, 2.449, 3.277, 4.073, 1.967, 1.93, 1.308, 1.66, 1.315, 0.626, 0.665, 0.597, 0.253, 0.213, 0.047, 0.008, 0.004, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[4, 3], [4, 2], [2, 4], [6, 5], [2, 1], [6, 4], [5, 1], [2, 5], [1, 4], [7, 3], [3, 1], [3, 5], [7, 4], [4, 6], [8, 4], [7, 5], [7, 6], [7, 2], [7, 7], [1, 2], [6, 6], [5, 7], [3, 6], [2, 2], [7, 8], [3, 7], [2, 8], [1, 7], [6, 8], [4, 7]], [[5, 3], [3, 3], [3, 2], [2, 3], [3, 4], [5, 2], [1, 5], [6, 2], [4, 1], [1, 3], [7, 1], [1, 6], [6, 3], [2, 6], [8, 3], [8, 5], [8, 6], [8, 2], [8, 7], [8, 1], [1, 1], [8, 8], [5, 6], [6, 1], [2, 7], [6, 7], [3, 8], [1, 8], [4, 8], [5, 8]]]","[30, 30]","[15, 49, 34]",-1
"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",03:12,"[[0.248, 0.638, 1.457, 4.864, 7.412, 8.456, 12.772, 15.98, 11.726, 16.092, 22.074, 19.753, 14.143, 8.256, 8.657, 7.226, 0.0, 3.267, 1.961, 1.058, 0.626, 0.504, 0.616, 0.35, 0.0, 0.114, 0.0, 0.025, 0.001, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.51, 4.86, 2.933, 3.965, 2.791, 2.742, 1.192, 0.652, 0.755, 0.653, 0.308, 0.001, 0.185, 0.125, 0.086, 0.056, 0.006, 0.0, 0.001]]","[[[6, 4], [3, 6], [3, 5], [6, 3], [6, 6], [5, 3], [6, 7], [3, 4], [7, 6], [8, 3], [3, 2], [8, 6], [3, 7], [2, 6], [4, 8], [6, 8], [8, 8], [8, 4], [1, 5], [4, 2], [1, 4], [2, 7], [2, 1], [1, 2], [1, 8], [8, 2], [8, 1], [5, 1], [6, 2], [3, 8]], [[4, 3], [4, 6], [6, 5], [7, 4], [2, 4], [5, 6], [4, 7], [7, 8], [2, 3], [7, 5], [8, 7], [8, 5], [5, 7], [3, 3], [2, 5], [7, 7], [1, 7], [3, 1], [5, 8], [1, 3], [1, 6], [5, 2], [1, 1], [7, 3], [2, 2], [7, 2], [7, 1], [4, 1], [6, 1], [2, 8]]]","[30, 30]","[36, 28, 8]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]",00:52,"[[0.309, 0.524, 2.827, 3.066, 4.321, 4.942, 4.238, 4.224, 3.635, 2.823, 1.918, 1.692, 2.361, 3.14, 4.113, 1.803, 1.977, 1.362, 1.638, 0.754, 0.35, 0.143, 0.111, 0.03, 0.027, 0.011, 0.002], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[4, 3], [4, 2], [2, 4], [6, 5], [2, 1], [6, 4], [5, 1], [2, 5], [1, 4], [7, 3], [3, 1], [3, 5], [7, 4], [4, 6], [8, 4], [7, 5], [7, 6], [7, 2], [5, 6], [2, 7], [2, 2], [1, 2], [1, 7], [7, 7], [3, 7], [4, 7]], [[5, 3], [3, 3], [3, 2], [2, 3], [3, 4], [5, 2], [1, 5], [6, 2], [4, 1], [1, 3], [7, 1], [1, 6], [6, 3], [2, 6], [8, 3], [8, 5], [8, 6], [8, 2], [8, 7], [8, 1], [6, 1], [1, 1], [2, 8], [1, 8], [7, 8], [3, 6], [3, 8], [6, 6], [4, 8]]]","[26, 29]","[0, 59, 59]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0]",03:01,"[[0.201, 0.572, 1.521, 2.887, 7.155, 11.249, 14.217, 18.455, 17.252, 16.652, 18.482, 11.822, 7.798, 9.96, 6.954, 7.45, 9.585, 6.797, 5.579, 0.0, 1.555, 0.0, 0.763, 0.65, 0.0, 0.214, 0.033, 0.018, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.449, 0.88, 0.372, 0.525, 0.375, 0.135, 0.037, 0.002, 0.001]]","[[[4, 6], [6, 3], [5, 3], [3, 6], [6, 6], [7, 6], [5, 7], [7, 3], [3, 3], [2, 6], [8, 6], [8, 3], [3, 5], [1, 6], [2, 4], [6, 7], [3, 2], [6, 8], [4, 8], [8, 8], [8, 5], [8, 1], [5, 1], [3, 8], [1, 8], [7, 1], [1, 5], [7, 2], [1, 1], [4, 1], [1, 2]], [[3, 4], [6, 4], [4, 7], [5, 6], [6, 5], [7, 5], [4, 3], [2, 5], [7, 4], [8, 2], [5, 8], [8, 4], [3, 7], [1, 4], [5, 2], [4, 2], [6, 2], [7, 8], [7, 7], [2, 1], [2, 8], [8, 7], [6, 1], [2, 7], [1, 7], [3, 1], [1, 3], [2, 2], [2, 3]]]","[31, 29]","[48, 16, 32]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0]",00:53,"[[0.331, 0.524, 2.818, 3.05, 4.242, 5.034, 4.23, 4.273, 3.78, 2.875, 1.98, 1.829, 2.518, 3.043, 4.1, 1.904, 1.939, 1.279, 1.698, 0.796, 0.628, 0.117, 0.044, 0.056, 0.003, 0.002, 0.002, 0.003, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.001, 0.001, 0.0, 0.0, 0.0, 0.038, 0.018, 0.016, 0.013, 0.002, 0.0, 0.0]]","[[[4, 3], [4, 2], [2, 4], [6, 5], [2, 1], [6, 4], [5, 1], [2, 5], [1, 4], [7, 3], [3, 1], [3, 5], [7, 4], [4, 6], [8, 4], [7, 5], [7, 6], [7, 2], [5, 6], [7, 7], [1, 7], [1, 2], [2, 8], [5, 7], [5, 8], [8, 8]], [[5, 3], [3, 3], [3, 2], [2, 3], [3, 4], [5, 2], [1, 5], [6, 2], [4, 1], [1, 3], [7, 1], [1, 6], [6, 3], [2, 6], [8, 3], [8, 5], [8, 6], [8, 2], [8, 7], [8, 1], [6, 1], [1, 8], [1, 1], [2, 7], [2, 2], [3, 7], [7, 8], [3, 6], [3, 8], [6, 8], [6, 7], [6, 6], [4, 8]]]","[26, 33]","[6, 57, 51]",-1
"[1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",02:54,"[[0.219, 0.619, 1.706, 2.635, 5.655, 9.67, 12.518, 14.459, 13.23, 10.485, 9.266, 18.89, 0.0, 13.934, 17.735, 8.831, 6.835, 2.861, 1.764, 0.813, 0.147, 0.144, 0.144, 0.317, 0.301, 0.144, 0.06, 0.032, 0.012, 0.003, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.619, 4.49, 2.293, 1.131, 1.141, 4.192, 1.08, 0.752, 0.62, 0.366, 0.238, 0.108, 0.0, 0.02, 0.004, 0.0]]","[[[3, 5], [6, 3], [3, 6], [4, 6], [4, 3], [6, 5], [3, 3], [1, 6], [1, 4], [5, 2], [5, 7], [3, 2], [1, 1], [5, 8], [1, 3], [2, 1], [4, 1], [8, 6], [3, 8], [6, 7], [8, 5], [6, 2], [2, 7], [7, 4], [7, 7], [1, 7], [7, 1], [7, 2], [8, 2], [8, 8], [7, 3]], [[5, 6], [3, 4], [2, 5], [6, 4], [5, 3], [6, 6], [3, 7], [1, 5], [2, 4], [2, 2], [7, 5], [4, 8], [2, 3], [3, 1], [4, 7], [1, 2], [6, 8], [8, 4], [2, 8], [7, 8], [8, 7], [4, 2], [2, 6], [5, 1], [7, 6], [1, 8], [6, 1], [8, 3], [8, 1]]]","[31, 29]","[43, 21, 22]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]",00:53,"[[0.344, 0.556, 2.856, 3.191, 4.482, 5.006, 4.207, 4.176, 3.775, 2.908, 1.94, 1.658, 2.39, 2.925, 4.121, 1.899, 1.954, 1.337, 1.82, 0.74, 0.573, 0.165, 0.044, 0.009, 0.011, 0.004], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.001, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[4, 3], [4, 2], [2, 4], [6, 5], [2, 1], [6, 4], [5, 1], [2, 5], [1, 4], [7, 3], [3, 1], [3, 5], [7, 4], [4, 6], [8, 4], [7, 5], [7, 6], [7, 2], [5, 6], [7, 7], [1, 7], [2, 2], [2, 8], [5, 7], [6, 7]], [[5, 3], [3, 3], [3, 2], [2, 3], [3, 4], [5, 2], [1, 5], [6, 2], [4, 1], [1, 3], [7, 1], [1, 6], [6, 3], [2, 6], [8, 3], [8, 5], [8, 6], [8, 2], [8, 7], [8, 1], [6, 1], [1, 1], [1, 8], [2, 7], [1, 2], [3, 6], [3, 8], [3, 7], [4, 7], [7, 8], [6, 8]]]","[25, 31]","[3, 57, 54]",-1
"[1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",04:40,"[[0.257, 0.606, 1.486, 2.81, 7.496, 8.869, 12.833, 17.998, 14.611, 19.116, 22.842, 32.135, 22.896, 26.08, 18.457, 11.923, 12.713, 9.623, 7.445, 4.156, 2.756, 2.205, 1.064, 0.0, 0.267, 0.116, 0.0, 0.0, 0.001, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.967, 4.513, 2.954, 2.318, 1.87, 0.704, 0.724, 0.493, 0.342, 0.408, 0.103, 0.028, 0.018, 0.004, 0.001, 0.0]]","[[[5, 3], [3, 6], [4, 6], [6, 3], [3, 3], [6, 4], [2, 3], [7, 3], [2, 6], [3, 2], [7, 5], [3, 1], [7, 6], [6, 7], [6, 6], [6, 1], [8, 3], [8, 5], [6, 2], [5, 1], [3, 8], [1, 5], [5, 8], [1, 8], [1, 3], [2, 7], [1, 1], [8, 1], [8, 7], [8, 8]], [[6, 5], [3, 5], [5, 2], [4, 3], [5, 7], [3, 4], [7, 4], [8, 2], [2, 5], [3, 7], [4, 2], [4, 1], [5, 6], [1, 7], [2, 1], [4, 7], [8, 4], [8, 6], [7, 8], [7, 1], [2, 4], [4, 8], [1, 6], [1, 4], [2, 8], [2, 2], [1, 2], [7, 2], [7, 7], [6, 8]]]","[30, 30]","[33, 31, 2]",1
"[1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0]",00:53,"[[0.289, 0.53, 2.735, 3.071, 4.205, 4.867, 4.24, 4.328, 3.825, 3.047, 1.948, 1.704, 2.472, 3.013, 4.013, 1.756, 1.855, 1.334, 1.685, 0.798, 0.537, 0.141, 0.122, 0.048, 0.046, 0.033, 0.028, 0.024, 0.009, 0.007, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.001, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[4, 3], [4, 2], [2, 4], [6, 5], [2, 1], [6, 4], [5, 1], [2, 5], [1, 4], [7, 3], [3, 1], [3, 5], [7, 4], [4, 6], [8, 4], [7, 5], [7, 6], [7, 2], [5, 6], [7, 7], [1, 7], [2, 2], [1, 2], [2, 8], [3, 7], [6, 7], [5, 7], [8, 8]], [[5, 3], [3, 3], [3, 2], [2, 3], [3, 4], [5, 2], [1, 5], [6, 2], [4, 1], [1, 3], [7, 1], [1, 6], [6, 3], [2, 6], [8, 3], [8, 5], [8, 6], [8, 2], [8, 7], [8, 1], [6, 1], [1, 8], [1, 1], [2, 7], [7, 8], [3, 8], [3, 6], [4, 8], [4, 7], [5, 8], [6, 8], [6, 6]]]","[28, 32]","[13, 51, 38]",-1
