Board,Game Time,Move Time,Action List,Action List Count,Score,Winner
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",01:18,"[[0.236, 0.781, 0.973, 3.694, 5.621, 8.066, 11.218, 0.001, 7.567, 9.479, 2.946, 5.211, 3.76, 2.03, 2.292, 0.001, 2.681, 1.925, 1.828, 2.409, 0.998, 0.907, 0.915, 0.642, 0.405, 0.0, 0.165, 0.095, 0.0, 0.003, 0.0], [0.001, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[3, 5], [3, 3], [4, 6], [2, 3], [2, 4], [6, 3], [3, 7], [1, 8], [4, 7], [2, 6], [2, 5], [4, 3], [1, 4], [1, 7], [1, 2], [1, 1], [3, 1], [5, 1], [6, 4], [6, 2], [2, 8], [4, 8], [7, 1], [6, 8], [7, 8], [8, 1], [8, 4], [7, 4], [8, 8], [7, 6], [8, 5]], [[3, 4], [3, 6], [3, 2], [6, 6], [5, 6], [5, 3], [2, 7], [1, 3], [3, 8], [1, 6], [7, 3], [1, 5], [6, 5], [2, 2], [4, 2], [4, 1], [5, 2], [2, 1], [6, 1], [5, 8], [5, 7], [6, 7], [7, 2], [8, 2], [8, 3], [7, 7], [8, 7], [8, 6], [7, 5]]]","[31, 29]","[44, 20, 24]",1
"[1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",01:29,"[[0.391, 1.291, 1.521, 4.466, 7.096, 8.828, 13.31, 13.435, 7.179, 3.491, 3.604, 4.069, 0.001, 4.462, 4.336, 2.568, 0.0, 2.379, 1.767, 1.449, 0.833, 0.713, 0.359, 0.112, 0.036, 0.029, 0.03, 0.0], [0.0, 0.0, 0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[3, 4], [5, 6], [4, 3], [4, 6], [6, 4], [6, 6], [4, 7], [4, 8], [6, 8], [7, 8], [3, 8], [7, 5], [8, 8], [8, 4], [8, 5], [2, 8], [1, 8], [2, 6], [1, 4], [1, 7], [2, 4], [1, 2], [7, 3], [8, 2], [3, 2], [5, 2], [6, 1], [4, 1]], [[3, 5], [6, 3], [3, 3], [3, 6], [3, 7], [6, 5], [5, 3], [5, 8], [5, 7], [6, 7], [7, 7], [8, 6], [7, 6], [8, 7], [7, 4], [2, 7], [2, 5], [1, 6], [1, 5], [2, 3], [8, 3], [1, 3], [1, 1], [2, 1], [6, 2]]]","[28, 25]","[53, 4, 49]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",02:12,"[[0.259, 0.617, 3.284, 4.688, 5.847, 12.189, 10.794, 10.37, 6.89, 7.031, 0.001, 7.109, 8.092, 9.534, 11.999, 11.031, 6.071, 5.235, 3.021, 1.872, 2.277, 0.0, 1.382, 0.921, 0.0, 0.0, 0.147, 0.026, 0.002, 0.0], [0.0, 0.001, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[5, 3], [6, 4], [6, 6], [7, 5], [5, 6], [7, 3], [7, 4], [8, 3], [3, 4], [6, 2], [8, 1], [3, 6], [5, 2], [2, 6], [5, 1], [3, 1], [3, 2], [8, 4], [2, 3], [6, 7], [3, 8], [1, 1], [8, 7], [6, 8], [8, 8], [1, 8], [2, 8], [1, 4], [1, 2], [2, 1]], [[6, 3], [6, 5], [4, 2], [4, 6], [7, 6], [8, 6], [8, 5], [3, 3], [3, 5], [8, 2], [4, 3], [7, 1], [3, 7], [6, 1], [2, 4], [1, 6], [7, 2], [4, 1], [1, 3], [5, 8], [2, 2], [2, 5], [4, 8], [7, 7], [2, 7], [4, 7], [1, 7], [1, 5], [5, 7], [7, 8]]]","[30, 30]","[42, 22, 20]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:38,"[[0.383, 0.64, 2.155, 2.621, 2.594, 2.646, 7.205, 0.001, 2.805, 3.56, 2.432, 1.459, 0.926, 0.794, 0.782, 0.001, 0.636, 0.517, 0.824, 0.641, 0.586, 0.539, 0.484, 0.475, 0.341, 0.21, 0.194, 0.131, 0.0, 0.014, 0.002, 0.0, 0.0], [0.001, 0.001, 0.0, 0.001, 0.001, 0.0, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[6, 5], [7, 5], [5, 3], [5, 2], [5, 1], [6, 3], [7, 4], [8, 1], [8, 5], [6, 1], [7, 3], [7, 1], [8, 7], [3, 1], [3, 2], [1, 1], [2, 2], [5, 6], [2, 3], [3, 3], [1, 3], [2, 4], [1, 5], [3, 6], [2, 5], [7, 7], [2, 7], [1, 6], [1, 8], [3, 8], [5, 8], [4, 8], [7, 8]], [[6, 4], [6, 6], [8, 6], [4, 2], [6, 2], [4, 6], [7, 2], [8, 4], [7, 6], [8, 3], [4, 1], [8, 2], [4, 3], [8, 8], [2, 1], [1, 2], [6, 7], [3, 4], [3, 5], [1, 4], [2, 6], [6, 8], [1, 7], [5, 7], [3, 7], [2, 8], [4, 7]]]","[33, 27]","[48, 16, 32]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",03:22,"[[0.257, 0.536, 2.973, 2.14, 4.772, 8.748, 15.208, 16.967, 19.649, 26.289, 0.0, 15.431, 16.536, 21.151, 17.046, 14.051, 0.0, 5.994, 3.865, 1.751, 2.503, 2.785, 0.0, 1.185, 0.956, 0.307, 0.066, 0.016, 0.001, 0.0, 0.0], [0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[5, 3], [6, 4], [3, 3], [6, 6], [3, 4], [4, 6], [6, 2], [6, 7], [3, 7], [3, 2], [1, 1], [2, 6], [6, 5], [3, 8], [3, 1], [5, 7], [1, 8], [5, 1], [2, 7], [7, 3], [7, 8], [7, 1], [8, 8], [1, 4], [1, 7], [8, 6], [5, 2], [1, 3], [8, 4], [8, 1], [8, 3]], [[6, 3], [4, 3], [5, 6], [3, 5], [7, 6], [7, 5], [4, 7], [6, 8], [4, 2], [2, 2], [3, 6], [6, 1], [1, 6], [2, 5], [5, 8], [2, 8], [2, 1], [4, 1], [2, 3], [4, 8], [7, 4], [7, 7], [8, 2], [1, 5], [8, 7], [1, 2], [2, 4], [8, 5], [7, 2]]]","[31, 29]","[58, 6, 52]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0]",00:57,"[[0.347, 0.572, 2.054, 2.219, 7.816, 6.905, 5.823, 1.561, 3.666, 2.801, 3.455, 3.143, 2.901, 3.005, 1.894, 1.762, 0.0, 1.061, 0.0, 1.836, 1.125, 0.935, 0.32, 0.0, 0.251, 0.099, 0.058, 0.032, 0.004, 0.001, 0.0], [0.0, 0.0, 0.001, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[3, 4], [2, 4], [4, 6], [4, 3], [1, 4], [1, 2], [1, 6], [5, 6], [2, 5], [3, 8], [4, 7], [5, 8], [6, 8], [2, 8], [1, 7], [7, 8], [1, 8], [6, 4], [8, 8], [7, 5], [8, 3], [8, 4], [8, 2], [8, 1], [8, 6], [6, 2], [7, 1], [3, 1], [4, 1], [2, 1], [1, 1]], [[3, 5], [3, 3], [1, 3], [5, 3], [3, 6], [3, 7], [1, 5], [4, 2], [6, 6], [2, 3], [2, 6], [4, 8], [5, 7], [6, 7], [2, 7], [6, 5], [7, 7], [7, 4], [6, 3], [7, 6], [8, 7], [7, 3], [7, 2], [5, 2], [8, 5], [6, 1], [5, 1], [3, 2], [2, 2]]]","[31, 29]","[54, 10, 44]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",02:00,"[[0.268, 0.516, 3.027, 1.972, 4.768, 7.762, 6.381, 10.437, 18.419, 8.374, 5.914, 0.0, 2.899, 9.275, 8.91, 8.161, 6.426, 10.723, 1.303, 1.111, 0.0, 0.771, 1.016, 0.21, 0.15, 0.105, 0.036, 0.0, 0.014, 0.003, 0.0], [0.001, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[3, 5], [4, 6], [3, 3], [6, 6], [4, 3], [2, 4], [6, 3], [4, 7], [6, 7], [6, 1], [6, 4], [8, 1], [5, 2], [3, 7], [7, 3], [3, 2], [2, 6], [8, 3], [2, 5], [3, 1], [1, 1], [8, 5], [7, 4], [2, 2], [8, 7], [1, 3], [2, 7], [1, 8], [5, 8], [7, 8], [8, 8]], [[3, 6], [3, 4], [6, 5], [5, 3], [5, 6], [1, 4], [6, 2], [2, 3], [4, 8], [7, 2], [7, 5], [6, 8], [7, 1], [3, 8], [5, 1], [2, 1], [8, 4], [1, 6], [8, 2], [4, 2], [4, 1], [8, 6], [1, 5], [1, 2], [1, 7], [2, 8], [5, 7], [7, 7], [7, 6]]]","[31, 29]","[43, 21, 22]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",01:36,"[[0.399, 0.666, 1.805, 1.662, 3.65, 0.0, 6.277, 5.692, 8.133, 6.825, 4.828, 9.237, 0.0, 12.004, 11.888, 6.051, 3.471, 3.188, 2.559, 2.92, 0.0, 2.057, 1.152, 0.66, 0.047, 0.024, 0.012, 0.004, 0.0, 0.0], [0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[6, 5], [6, 3], [4, 3], [6, 2], [3, 4], [8, 1], [5, 6], [3, 5], [6, 1], [4, 1], [6, 6], [3, 7], [8, 8], [4, 8], [2, 1], [8, 6], [3, 3], [2, 4], [6, 8], [2, 8], [1, 8], [1, 3], [8, 4], [1, 6], [7, 6], [1, 4], [7, 8], [2, 2], [1, 1], [4, 2]], [[6, 4], [4, 6], [7, 4], [7, 2], [5, 2], [7, 5], [2, 5], [4, 7], [3, 6], [8, 2], [5, 3], [7, 7], [3, 8], [5, 1], [3, 1], [5, 8], [7, 3], [8, 5], [5, 7], [2, 3], [2, 7], [8, 7], [2, 6], [1, 7], [8, 3], [1, 5], [6, 7], [3, 2], [1, 2], [7, 1]]]","[30, 30]","[46, 18, 28]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",01:39,"[[0.24, 0.603, 0.963, 2.732, 0.001, 5.038, 3.932, 4.045, 7.763, 4.924, 7.955, 11.42, 0.0, 16.203, 9.373, 8.9, 3.895, 3.231, 1.742, 1.738, 0.79, 0.792, 0.782, 0.496, 0.193, 0.09, 0.066, 0.031, 0.0, 0.005, 0.0, 0.0], [0.001, 0.0, 0.0, 0.001, 0.001, 0.0, 0.0, 0.0, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[6, 4], [3, 6], [4, 6], [5, 6], [1, 8], [6, 7], [3, 3], [3, 2], [5, 3], [7, 4], [4, 2], [3, 7], [1, 1], [3, 8], [3, 4], [3, 5], [5, 8], [5, 7], [7, 3], [1, 3], [8, 4], [3, 1], [7, 8], [6, 1], [1, 7], [1, 4], [1, 5], [7, 1], [8, 1], [8, 6], [7, 7], [8, 8]], [[4, 3], [6, 6], [4, 7], [2, 7], [2, 6], [2, 8], [6, 8], [6, 3], [6, 5], [2, 1], [2, 2], [8, 5], [4, 1], [5, 2], [1, 2], [2, 3], [7, 5], [2, 5], [8, 3], [4, 8], [2, 4], [5, 1], [6, 2], [1, 6], [7, 2], [8, 2], [7, 6], [8, 7]]]","[32, 28]","[55, 9, 46]",1
"[-1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",02:08,"[[0.341, 1.28, 2.138, 3.9, 4.311, 5.736, 8.011, 11.554, 14.374, 20.289, 0.0, 13.437, 12.801, 7.761, 5.347, 3.92, 5.937, 0.0, 0.0, 1.915, 0.995, 0.674, 0.592, 0.371, 0.271, 0.175, 0.149, 0.053, 0.018, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[4, 3], [6, 4], [6, 3], [5, 6], [4, 6], [5, 2], [3, 5], [7, 4], [4, 2], [7, 5], [8, 1], [6, 7], [6, 6], [6, 1], [3, 1], [7, 7], [3, 3], [8, 8], [1, 1], [8, 7], [8, 6], [6, 8], [2, 2], [8, 3], [4, 8], [2, 8], [1, 5], [1, 6], [1, 7], [1, 8], [1, 4]], [[5, 3], [3, 2], [6, 5], [6, 2], [3, 6], [3, 4], [4, 7], [2, 4], [5, 1], [7, 3], [7, 2], [8, 2], [7, 6], [4, 1], [5, 8], [5, 7], [7, 1], [7, 8], [2, 1], [2, 3], [8, 5], [8, 4], [1, 2], [3, 8], [2, 5], [2, 6], [2, 7], [3, 7], [1, 3]]]","[31, 29]","[50, 14, 36]",1
