Board,Game Time,Move Time,Action List,Action List Count,Score,Winner
"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",02:29,"[[0.239, 0.499, 2.671, 2.665, 5.145, 5.38, 9.291, 11.298, 9.012, 8.466, 9.793, 8.646, 5.7, 3.596, 0.0, 3.996, 2.916, 3.199, 2.854, 1.413, 0.0, 1.435, 0.691, 0.5, 0.217, 0.187, 0.098, 0.022, 0.0, 0.002, 0.0, 0.0], [2.279, 2.271, 2.241, 2.472, 2.362, 2.418, 2.514, 2.195, 2.498, 1.976, 2.354, 2.426, 1.907, 1.827, 1.68, 1.566, 1.893, 1.75, 1.884, 1.761, 1.726, 1.112, 1.023, 0.0, 0.658, 0.738, 0.763, 0.865]]","[[[5, 3], [6, 4], [3, 3], [3, 2], [4, 2], [7, 5], [3, 6], [3, 4], [5, 2], [7, 4], [6, 1], [8, 6], [8, 3], [8, 5], [8, 1], [7, 1], [2, 4], [2, 6], [6, 7], [4, 7], [8, 8], [8, 7], [2, 1], [2, 2], [1, 2], [6, 8], [4, 8], [2, 7], [1, 8], [1, 5], [1, 6], [1, 4]], [[6, 3], [4, 3], [2, 3], [6, 6], [7, 3], [3, 1], [6, 2], [6, 5], [8, 4], [3, 5], [4, 1], [7, 6], [5, 1], [7, 2], [8, 2], [4, 6], [1, 3], [3, 7], [1, 7], [7, 7], [5, 7], [5, 6], [7, 8], [1, 1], [5, 8], [3, 8], [2, 8], [2, 5]]]","[32, 28]","[52, 12, 40]",1
"[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",03:38,"[[0.519, 1.274, 2.289, 3.628, 4.646, 7.421, 9.03, 14.461, 14.016, 14.712, 11.771, 11.374, 13.87, 12.318, 9.692, 7.639, 4.52, 0.001, 4.453, 2.719, 0.0, 2.719, 1.252, 0.721, 0.272, 0.168, 0.0, 0.011, 0.0, 0.0], [2.674, 3.247, 2.912, 2.929, 2.72, 2.695, 3.187, 2.911, 3.38, 2.841, 2.744, 2.7, 2.822, 2.421, 1.961, 2.169, 1.869, 2.069, 1.924, 1.768, 1.819, 0.0, 1.601, 1.493, 1.17, 1.234, 1.093, 1.091, 0.904, 0.607]]","[[[5, 6], [3, 5], [6, 5], [7, 5], [4, 7], [5, 7], [7, 4], [5, 3], [8, 5], [8, 7], [3, 6], [3, 3], [4, 8], [8, 3], [3, 4], [2, 8], [4, 1], [8, 8], [2, 1], [5, 2], [1, 8], [8, 2], [3, 2], [5, 8], [1, 6], [6, 1], [8, 1], [1, 3], [1, 5], [1, 2]], [[4, 6], [6, 3], [6, 6], [7, 6], [6, 4], [3, 7], [8, 6], [2, 6], [4, 2], [4, 3], [6, 8], [6, 7], [2, 4], [8, 4], [7, 3], [3, 8], [7, 7], [3, 1], [2, 3], [2, 7], [5, 1], [1, 1], [2, 5], [7, 8], [1, 7], [6, 2], [7, 2], [7, 1], [1, 4], [2, 2]]]","[30, 30]","[41, 23, 18]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",02:13,"[[0.227, 0.529, 2.451, 2.504, 4.222, 5.108, 4.731, 7.508, 11.654, 0.001, 4.211, 8.975, 5.799, 6.252, 8.333, 4.602, 2.909, 2.323, 1.458, 0.0, 1.122, 1.132, 0.61, 0.4, 0.293, 0.402, 0.217, 0.097, 0.03, 0.01, 0.001, 0.0], [2.026, 2.045, 2.224, 2.443, 2.294, 2.725, 2.866, 2.723, 2.186, 2.076, 2.138, 2.254, 2.125, 1.72, 1.608, 1.472, 1.455, 1.127, 0.0, 0.956, 1.027, 1.085, 1.293, 0.902, 0.774, 0.679, 0.657]]","[[[4, 6], [3, 5], [6, 6], [6, 7], [4, 7], [3, 7], [4, 3], [4, 2], [3, 8], [1, 8], [5, 3], [6, 3], [2, 5], [1, 3], [1, 5], [1, 7], [5, 8], [2, 7], [2, 3], [1, 1], [7, 7], [2, 2], [8, 7], [6, 5], [7, 4], [5, 1], [2, 1], [7, 1], [3, 1], [8, 5], [8, 3], [7, 2]], [[3, 6], [5, 6], [7, 6], [6, 8], [5, 7], [3, 4], [5, 2], [2, 8], [3, 2], [3, 3], [2, 4], [6, 4], [6, 2], [1, 6], [1, 4], [4, 8], [2, 6], [1, 2], [8, 8], [7, 8], [8, 6], [7, 3], [7, 5], [4, 1], [6, 1], [8, 4], [8, 2]]]","[32, 27]","[49, 14, 35]",1
"[-1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",03:19,"[[0.323, 1.2, 1.453, 1.889, 3.986, 7.078, 9.845, 13.284, 14.066, 13.07, 8.061, 9.713, 12.463, 13.273, 0.001, 9.91, 6.829, 3.858, 4.835, 3.887, 1.823, 0.0, 0.881, 0.355, 0.117, 0.058, 0.036, 0.003, 0.0, 0.0], [2.431, 2.502, 2.921, 2.572, 3.027, 2.939, 2.584, 3.072, 3.394, 2.612, 0.001, 2.213, 2.137, 2.048, 1.767, 2.456, 1.81, 1.542, 1.495, 1.462, 1.924, 1.58, 1.538, 1.415, 1.208, 1.175, 0.896, 0.749, 0.762, 0.566]]","[[[6, 5], [4, 3], [3, 4], [6, 6], [4, 6], [5, 3], [6, 2], [4, 7], [2, 8], [2, 7], [2, 6], [2, 4], [3, 3], [7, 4], [1, 1], [8, 4], [8, 2], [1, 5], [1, 3], [6, 8], [1, 6], [8, 1], [3, 1], [5, 1], [6, 1], [2, 1], [8, 5], [7, 7], [8, 8], [4, 8]], [[6, 4], [3, 6], [7, 5], [6, 3], [5, 6], [6, 7], [4, 2], [3, 7], [5, 7], [3, 8], [1, 8], [2, 3], [3, 2], [2, 2], [8, 3], [2, 5], [1, 2], [7, 3], [3, 5], [1, 4], [5, 8], [7, 2], [1, 7], [7, 1], [5, 2], [4, 1], [7, 6], [8, 6], [8, 7], [7, 8]]]","[30, 30]","[43, 21, 22]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",02:26,"[[0.187, 0.452, 2.725, 1.631, 2.892, 3.643, 5.096, 0.0, 2.616, 7.607, 5.365, 11.632, 15.749, 0.0, 6.5, 12.593, 3.73, 5.921, 0.0, 2.272, 2.11, 0.945, 1.305, 0.748, 0.419, 0.147, 0.026, 0.005, 0.0, 0.0], [2.166, 2.106, 2.226, 2.347, 2.451, 2.527, 2.194, 2.019, 1.848, 2.363, 2.078, 1.946, 2.068, 1.895, 2.484, 1.943, 1.416, 1.571, 1.272, 1.257, 1.143, 1.31, 1.172, 1.256, 1.249, 1.025, 0.801, 0.751, 0.638, 0.0]]","[[[3, 5], [4, 6], [3, 3], [6, 6], [5, 3], [2, 5], [7, 3], [8, 1], [2, 3], [1, 5], [4, 3], [1, 4], [1, 3], [1, 1], [7, 6], [6, 1], [2, 6], [7, 4], [1, 8], [8, 4], [8, 2], [8, 6], [5, 1], [3, 1], [3, 8], [6, 8], [2, 8], [5, 8], [8, 8], [8, 7]], [[3, 6], [3, 4], [6, 5], [3, 2], [6, 3], [1, 6], [7, 2], [6, 7], [5, 6], [1, 2], [2, 4], [6, 2], [4, 2], [2, 2], [7, 5], [8, 5], [6, 4], [1, 7], [5, 2], [8, 3], [7, 1], [2, 7], [4, 1], [3, 7], [4, 7], [4, 8], [2, 1], [7, 7], [5, 7], [7, 8]]]","[30, 30]","[45, 19, 26]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",02:31,"[[0.317, 1.182, 1.447, 3.811, 4.077, 3.746, 1.245, 11.283, 16.28, 12.291, 5.272, 5.147, 9.749, 7.885, 3.811, 6.474, 2.577, 2.277, 0.0, 0.82, 0.866, 0.813, 0.56, 0.192, 0.151, 0.05, 0.013, 0.004, 0.0], [2.37, 2.301, 2.335, 2.475, 2.402, 3.257, 2.514, 2.331, 2.42, 2.818, 2.152, 2.173, 1.962, 2.044, 1.571, 1.408, 1.538, 1.634, 1.644, 1.176, 1.21, 1.312, 0.0, 1.17, 0.957, 0.0, 1.133, 0.853, 0.0, 0.0, 0.0]]","[[[5, 6], [3, 4], [6, 5], [3, 5], [4, 3], [5, 3], [7, 5], [4, 7], [2, 5], [1, 7], [3, 3], [7, 3], [5, 7], [8, 4], [1, 4], [1, 2], [3, 2], [5, 1], [1, 1], [3, 1], [7, 1], [7, 8], [5, 8], [3, 8], [7, 2], [7, 7], [8, 2], [2, 8], [8, 7]], [[4, 6], [6, 3], [6, 6], [3, 6], [2, 3], [6, 4], [4, 2], [7, 4], [2, 6], [8, 5], [4, 8], [2, 4], [1, 5], [6, 7], [1, 6], [1, 3], [8, 3], [2, 2], [5, 2], [2, 1], [6, 2], [6, 1], [8, 1], [4, 1], [6, 8], [8, 8], [7, 6], [3, 7], [1, 8], [8, 6], [2, 7]]]","[29, 31]","[29, 35, 6]",-1
"[1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",01:46,"[[0.221, 0.478, 2.651, 2.774, 3.852, 4.649, 6.822, 1.799, 0.423, 1.904, 2.223, 0.001, 4.291, 5.228, 4.456, 2.607, 1.599, 2.17, 2.846, 1.988, 0.952, 0.924, 0.0, 0.0, 0.411, 0.195, 0.059, 0.013, 0.0, 0.0, 0.0], [2.316, 2.289, 2.556, 2.623, 2.245, 2.622, 2.802, 2.168, 2.243, 2.002, 1.859, 2.233, 1.778, 1.783, 1.569, 1.47, 1.478, 1.589, 1.667, 1.362, 1.213, 1.482, 1.306, 1.145, 1.176, 1.231, 0.946, 0.771, 0.593]]","[[[6, 4], [5, 3], [6, 6], [7, 6], [7, 4], [5, 6], [7, 3], [7, 5], [8, 3], [8, 7], [3, 5], [8, 8], [3, 7], [6, 8], [4, 8], [4, 7], [3, 4], [4, 2], [2, 6], [8, 2], [2, 8], [3, 2], [8, 1], [1, 8], [6, 1], [1, 3], [1, 5], [5, 1], [1, 1], [1, 4], [2, 1]], [[6, 3], [6, 5], [6, 7], [8, 6], [3, 3], [8, 4], [6, 2], [8, 5], [4, 6], [7, 7], [3, 6], [2, 5], [5, 7], [5, 8], [3, 8], [7, 8], [2, 3], [4, 3], [1, 6], [3, 1], [7, 2], [4, 1], [2, 7], [2, 4], [5, 2], [1, 7], [7, 1], [2, 2], [1, 2]]]","[31, 29]","[52, 12, 40]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0]",02:43,"[[0.31, 0.52, 1.848, 1.716, 3.644, 2.895, 6.517, 6.145, 7.512, 7.633, 14.44, 9.434, 8.464, 10.227, 7.041, 4.859, 4.603, 4.222, 0.0, 3.73, 1.686, 1.294, 0.0, 0.272, 0.193, 0.146, 0.012, 0.0, 0.0], [2.311, 2.441, 2.25, 2.096, 2.38, 1.986, 2.545, 2.407, 2.314, 1.866, 3.084, 2.839, 3.211, 2.262, 2.441, 2.075, 1.975, 2.088, 1.783, 0.0, 1.297, 1.579, 1.194, 1.152, 1.157, 1.2, 1.294, 0.0, 0.0, 0.0, 0.001, 0.0]]","[[[3, 4], [2, 4], [4, 6], [4, 3], [6, 4], [5, 6], [1, 4], [1, 6], [1, 2], [5, 2], [7, 4], [3, 1], [7, 5], [7, 1], [8, 3], [8, 4], [5, 8], [2, 2], [8, 1], [5, 1], [3, 7], [6, 1], [1, 8], [3, 8], [8, 7], [4, 8], [7, 7], [7, 8]], [[3, 5], [3, 3], [1, 3], [5, 3], [5, 7], [4, 2], [2, 5], [1, 5], [3, 6], [6, 3], [6, 7], [6, 2], [7, 3], [2, 3], [7, 6], [4, 1], [6, 5], [4, 7], [8, 2], [1, 1], [7, 2], [1, 7], [2, 7], [3, 2], [2, 1], [6, 6], [2, 6], [8, 8], [6, 8], [2, 8], [8, 6], [8, 5]]]","[28, 32]","[27, 37, 10]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0]",03:05,"[[0.216, 0.431, 2.728, 3.864, 4.961, 6.808, 8.992, 8.463, 6.728, 20.022, 19.913, 17.125, 14.377, 9.945, 4.915, 2.413, 2.167, 2.194, 0.0, 1.372, 0.903, 0.597, 0.401, 0.274, 0.0, 0.172, 0.079, 0.048, 0.011, 0.008, 0.002, 0.0], [2.285, 2.047, 2.233, 2.253, 2.713, 2.701, 2.569, 2.422, 2.54, 2.388, 2.397, 2.232, 2.05, 1.727, 1.855, 1.535, 1.243, 1.126, 1.271, 0.0, 1.048, 0.0, 1.132, 0.929, 0.676, 0.634, 0.578, 0.0]]","[[[3, 5], [4, 6], [6, 6], [6, 5], [6, 3], [3, 7], [2, 5], [7, 3], [2, 6], [6, 7], [7, 5], [1, 5], [7, 4], [1, 3], [1, 7], [4, 3], [8, 4], [2, 3], [1, 1], [2, 2], [8, 2], [4, 2], [2, 7], [7, 7], [8, 8], [3, 1], [2, 8], [4, 8], [7, 8], [5, 1], [7, 2], [6, 1]], [[3, 6], [5, 6], [6, 4], [7, 6], [2, 4], [3, 8], [1, 4], [5, 7], [6, 2], [6, 8], [8, 3], [3, 3], [3, 4], [1, 6], [8, 5], [3, 2], [5, 3], [1, 2], [2, 1], [8, 1], [4, 1], [1, 8], [8, 7], [8, 6], [4, 7], [5, 8], [5, 2], [7, 1]]]","[32, 28]","[40, 24, 16]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0]",02:13,"[[0.39, 1.161, 2.063, 4.307, 7.024, 7.901, 14.204, 8.055, 3.056, 10.228, 5.393, 6.436, 0.001, 3.215, 2.801, 1.837, 1.288, 1.55, 1.283, 0.726, 0.78, 0.434, 0.472, 0.0, 0.416, 0.129, 0.161, 0.039, 0.016, 0.0, 0.001, 0.0], [2.405, 2.761, 2.574, 2.214, 2.389, 2.759, 2.712, 2.896, 2.248, 2.233, 2.11, 1.787, 1.858, 1.749, 1.652, 1.777, 1.533, 1.401, 0.0, 1.045, 1.244, 1.17, 0.988, 0.842, 0.963, 0.791, 0.694, 0.681]]","[[[4, 3], [6, 4], [6, 3], [3, 4], [4, 2], [5, 6], [6, 6], [7, 5], [5, 1], [7, 1], [2, 1], [4, 1], [8, 1], [7, 3], [8, 2], [8, 7], [5, 7], [5, 8], [8, 4], [7, 7], [8, 6], [7, 8], [2, 3], [1, 1], [1, 5], [1, 6], [1, 3], [3, 6], [2, 6], [1, 8], [4, 7], [2, 8]], [[5, 3], [3, 2], [6, 5], [3, 3], [4, 6], [3, 5], [5, 2], [7, 6], [6, 2], [6, 1], [8, 5], [3, 1], [7, 2], [7, 4], [8, 3], [6, 7], [4, 8], [6, 8], [8, 8], [2, 2], [2, 4], [2, 5], [1, 4], [1, 2], [3, 7], [1, 7], [2, 7], [3, 8]]]","[32, 28]","[53, 11, 42]",1
