Board,Game Time,Move Time,Action List,Action List Count,Score,Winner
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0]",02:28,"[[0.062, 0.148, 0.313, 0.478, 0.479, 0.881, 0.764, 1.131, 1.117, 0.852, 0.275, 0.679, 0.8, 0.848, 0.441, 0.262, 0.071, 0.018, 0.019, 0.015, 0.02, 0.0, 0.032, 0.006, 0.006, 0.046, 0.012, 0.027, 0.011, 0.003, 0.0], [0.371, 1.568, 2.675, 5.15, 6.838, 6.599, 13.862, 25.657, 21.137, 7.779, 8.468, 11.998, 0.001, 9.194, 6.101, 3.264, 1.972, 0.95, 1.065, 0.822, 0.717, 0.625, 0.388, 0.0, 0.248, 0.0, 0.131, 0.057, 0.012, 0.002, 0.0, 0.0]]","[[[6, 4], [3, 6], [6, 3], [6, 2], [3, 3], [6, 6], [5, 6], [3, 2], [3, 1], [8, 3], [5, 1], [2, 2], [8, 5], [8, 6], [1, 3], [1, 4], [7, 6], [3, 5], [1, 5], [8, 1], [8, 2], [1, 7], [6, 8], [8, 7], [2, 8], [6, 7], [2, 7], [4, 8]], [[6, 5], [5, 3], [4, 3], [5, 2], [3, 4], [4, 6], [7, 3], [4, 2], [4, 1], [2, 4], [7, 4], [7, 5], [1, 1], [2, 1], [1, 2], [2, 3], [6, 1], [2, 5], [1, 6], [7, 2], [8, 4], [7, 1], [2, 6], [1, 8], [7, 7], [8, 8], [3, 7], [3, 8], [5, 7], [4, 7], [5, 8], [7, 8]]]","[28, 32]","[13, 51, 38]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",02:53,"[[0.071, 0.075, 0.171, 0.108, 0.346, 0.335, 0.859, 0.86, 0.611, 1.067, 0.793, 1.218, 1.222, 1.213, 1.016, 0.737, 0.473, 0.514, 0.392, 0.272, 0.188, 0.084, 0.023, 0.01, 0.004, 0.005, 0.002, 0.0], [0.261, 0.76, 1.07, 1.29, 2.795, 0.001, 5.079, 9.42, 12.97, 16.147, 15.296, 20.858, 14.312, 0.001, 13.759, 11.043, 7.982, 9.273, 5.89, 6.086, 3.481, 1.698, 1.061, 0.0, 0.149, 0.091, 0.029, 0.012, 0.0, 0.0, 0.0]]","[[[3, 4], [5, 6], [7, 6], [2, 2], [2, 5], [2, 3], [5, 7], [7, 4], [3, 6], [5, 8], [6, 4], [7, 2], [2, 4], [1, 4], [1, 6], [2, 8], [6, 2], [8, 3], [4, 2], [1, 3], [6, 1], [2, 1], [3, 8], [4, 1], [2, 7], [7, 5], [8, 7], [8, 5]], [[3, 5], [3, 3], [6, 6], [5, 3], [4, 3], [1, 1], [4, 6], [6, 5], [3, 7], [4, 7], [4, 8], [6, 3], [1, 5], [8, 1], [7, 3], [6, 8], [1, 2], [5, 1], [5, 2], [3, 2], [1, 7], [7, 1], [3, 1], [1, 8], [2, 6], [6, 7], [8, 2], [8, 6], [8, 8], [8, 4], [7, 7]]]","[28, 31]","[10, 53, 43]",-1
"[0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",02:59,"[[0.062, 0.149, 0.211, 0.335, 0.452, 0.749, 0.526, 0.825, 1.001, 1.106, 1.197, 1.132, 0.895, 0.612, 0.75, 0.364, 0.25, 0.077, 0.029, 0.139, 0.134, 0.145, 0.09, 0.034, 0.031, 0.017, 0.014, 0.005, 0.0, 0.0], [0.345, 1.562, 1.867, 5.033, 5.429, 6.823, 11.705, 11.081, 16.915, 18.039, 14.679, 0.001, 16.946, 15.381, 16.526, 9.604, 4.591, 2.546, 2.499, 2.125, 1.944, 1.525, 0.706, 0.0, 0.167, 0.058, 0.024, 0.001, 0.0, 0.0]]","[[[4, 6], [6, 3], [6, 6], [3, 6], [2, 3], [2, 6], [3, 2], [7, 7], [7, 5], [4, 8], [5, 3], [3, 8], [6, 8], [4, 1], [8, 5], [3, 1], [7, 8], [5, 2], [4, 7], [8, 3], [2, 5], [1, 3], [1, 6], [2, 7], [8, 4], [7, 4], [6, 1], [1, 7], [7, 2]], [[5, 6], [3, 4], [6, 5], [3, 5], [4, 3], [3, 3], [6, 7], [5, 7], [6, 4], [3, 7], [4, 2], [8, 8], [2, 1], [7, 6], [8, 7], [5, 1], [5, 8], [2, 8], [7, 3], [2, 4], [1, 4], [1, 2], [8, 6], [1, 8], [8, 2], [6, 2], [7, 1], [2, 2], [8, 1], [1, 5]]]","[29, 30]","[12, 51, 39]",-1
"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",02:55,"[[0.087, 0.103, 0.158, 0.127, 0.263, 0.366, 0.928, 0.796, 0.707, 1.117, 0.759, 1.19, 1.336, 1.213, 1.137, 0.808, 0.542, 0.542, 0.381, 0.296, 0.195, 0.089, 0.022, 0.007, 0.005, 0.005, 0.0], [0.273, 0.855, 0.953, 1.26, 2.829, 0.001, 5.19, 9.663, 12.653, 16.325, 14.756, 21.033, 14.843, 0.0, 13.894, 10.454, 8.216, 9.454, 5.936, 6.287, 3.665, 1.574, 1.143, 0.0, 0.179, 0.076, 0.034, 0.012, 0.002, 0.0]]","[[[6, 5], [4, 3], [2, 3], [7, 7], [7, 4], [7, 6], [4, 2], [2, 5], [6, 3], [4, 1], [3, 5], [2, 7], [7, 5], [8, 5], [8, 3], [7, 1], [3, 7], [1, 6], [5, 7], [8, 6], [3, 8], [7, 8], [6, 1], [5, 8], [7, 2], [1, 3], [2, 4]], [[6, 4], [6, 6], [3, 3], [4, 6], [5, 6], [8, 8], [5, 3], [3, 4], [6, 2], [5, 2], [5, 1], [3, 6], [8, 4], [1, 8], [2, 6], [3, 1], [8, 7], [4, 8], [4, 7], [6, 7], [8, 2], [2, 8], [6, 8], [8, 1], [7, 3], [1, 2], [1, 4], [3, 2], [1, 7], [1, 5]]]","[27, 30]","[9, 52, 43]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",02:37,"[[0.078, 0.174, 0.318, 0.406, 0.501, 1.106, 0.792, 1.253, 1.283, 0.812, 0.344, 0.64, 0.705, 0.68, 0.463, 0.262, 0.175, 0.105, 0.027, 0.014, 0.024, 0.014, 0.015, 0.012, 0.016, 0.016, 0.011, 0.061, 0.02, 0.01, 0.005, 0.002, 0.0, 0.0], [0.388, 1.585, 2.82, 5.365, 7.311, 6.711, 14.586, 26.17, 21.24, 7.974, 8.593, 11.909, 0.0, 9.602, 7.348, 5.082, 3.836, 1.879, 1.948, 0.0, 0.813, 0.646, 0.0, 0.475, 0.369, 0.215, 0.081, 0.021, 0.001, 0.0, 0.0]]","[[[6, 4], [3, 6], [6, 3], [6, 2], [3, 3], [6, 6], [5, 6], [3, 2], [3, 1], [8, 3], [5, 1], [2, 2], [1, 5], [1, 3], [8, 4], [2, 3], [2, 5], [2, 6], [8, 6], [7, 2], [7, 1], [1, 7], [6, 7], [3, 7], [4, 7], [5, 7], [2, 8], [7, 7], [7, 8]], [[6, 5], [5, 3], [4, 3], [5, 2], [3, 4], [4, 6], [7, 3], [4, 2], [4, 1], [2, 4], [7, 4], [7, 5], [1, 1], [1, 4], [8, 5], [3, 5], [8, 2], [2, 1], [8, 7], [8, 1], [1, 6], [1, 2], [1, 8], [6, 1], [7, 6], [6, 8], [3, 8], [4, 8], [5, 8], [2, 7], [8, 8]]]","[29, 31]","[9, 55, 46]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",02:50,"[[0.063, 0.095, 0.186, 0.134, 0.314, 0.359, 0.91, 0.831, 0.694, 1.09, 0.823, 1.147, 1.387, 1.145, 0.774, 0.631, 0.43, 0.398, 0.366, 0.329, 0.307, 0.146, 0.164, 0.088, 0.083, 0.021, 0.002, 0.0], [0.296, 0.877, 1.073, 1.321, 2.788, 0.0, 5.267, 9.695, 13.241, 16.498, 16.091, 21.254, 14.722, 0.001, 15.935, 10.375, 0.0, 8.076, 5.223, 5.006, 5.321, 0.0, 1.701, 0.992, 0.629, 0.477, 0.085, 0.01, 0.004, 0.001, 0.0, 0.0]]","[[[4, 3], [6, 5], [6, 7], [2, 2], [5, 2], [3, 2], [7, 5], [4, 7], [6, 3], [8, 5], [4, 6], [2, 7], [4, 2], [6, 1], [8, 2], [7, 2], [2, 6], [6, 2], [2, 8], [2, 3], [8, 7], [1, 2], [5, 8], [5, 7], [7, 7], [1, 4], [1, 5], [2, 1]], [[5, 3], [3, 3], [6, 6], [3, 5], [3, 4], [1, 1], [6, 4], [5, 6], [7, 3], [7, 4], [8, 4], [3, 6], [5, 1], [1, 8], [7, 1], [8, 3], [8, 1], [8, 6], [7, 6], [2, 5], [1, 3], [8, 8], [3, 8], [3, 7], [6, 8], [4, 8], [2, 4], [7, 8], [1, 7], [4, 1], [1, 6], [3, 1]]]","[28, 32]","[6, 58, 52]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0]",02:42,"[[0.053, 0.129, 0.204, 0.412, 0.558, 0.653, 0.551, 0.793, 1.047, 1.22, 1.206, 1.304, 1.1, 0.763, 0.21, 0.222, 0.056, 0.038, 0.079, 0.07, 0.099, 0.011, 0.015, 0.009, 0.005, 0.023, 0.0, 0.0, 0.0], [0.408, 1.57, 1.85, 5.077, 5.546, 6.824, 11.435, 10.81, 16.478, 17.858, 14.845, 0.0, 17.657, 16.012, 8.201, 6.583, 2.493, 0.001, 2.666, 1.992, 1.258, 0.449, 0.478, 0.313, 0.144, 0.079, 0.067, 0.035, 0.011, 0.003, 0.0, 0.001]]","[[[3, 5], [6, 3], [3, 3], [3, 6], [6, 7], [3, 7], [7, 6], [2, 2], [4, 2], [1, 5], [6, 4], [8, 6], [1, 3], [1, 6], [7, 4], [5, 2], [2, 1], [2, 7], [4, 7], [2, 8], [4, 1], [4, 8], [6, 2], [6, 8], [8, 3], [8, 8], [8, 1], [8, 5]], [[3, 4], [5, 6], [4, 3], [4, 6], [6, 5], [6, 6], [2, 3], [2, 4], [5, 3], [2, 6], [7, 5], [1, 1], [3, 2], [1, 2], [2, 5], [1, 4], [1, 7], [1, 8], [3, 8], [6, 1], [3, 1], [5, 1], [7, 1], [5, 7], [7, 3], [5, 8], [7, 8], [7, 7], [8, 2], [7, 2], [8, 7], [8, 4]]]","[28, 32]","[18, 46, 28]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",02:49,"[[0.072, 0.098, 0.171, 0.134, 0.291, 0.362, 0.884, 0.83, 0.751, 1.085, 0.759, 1.153, 1.282, 1.183, 0.736, 0.61, 0.444, 0.361, 0.38, 0.349, 0.252, 0.118, 0.19, 0.105, 0.095, 0.021, 0.004, 0.0, 0.0], [0.316, 0.916, 1.062, 1.352, 2.955, 0.001, 4.874, 9.476, 13.34, 16.584, 15.493, 21.099, 14.869, 0.0, 16.18, 10.231, 0.0, 8.057, 5.478, 4.826, 5.55, 0.0, 1.828, 1.131, 0.596, 0.406, 0.095, 0.01, 0.002, 0.0, 0.0]]","[[[4, 3], [6, 5], [6, 7], [2, 2], [5, 2], [3, 2], [7, 5], [4, 7], [6, 3], [8, 5], [4, 6], [2, 7], [4, 2], [6, 1], [8, 2], [7, 2], [2, 6], [6, 2], [2, 8], [2, 3], [8, 7], [1, 2], [5, 8], [5, 7], [7, 7], [1, 4], [1, 5], [1, 7], [2, 1]], [[5, 3], [3, 3], [6, 6], [3, 5], [3, 4], [1, 1], [6, 4], [5, 6], [7, 3], [7, 4], [8, 4], [3, 6], [5, 1], [1, 8], [7, 1], [8, 3], [8, 1], [8, 6], [7, 6], [2, 5], [1, 3], [8, 8], [3, 8], [3, 7], [6, 8], [4, 8], [2, 4], [4, 1], [1, 6], [7, 8], [3, 1]]]","[29, 31]","[13, 51, 38]",-1
"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",02:41,"[[0.08, 0.139, 0.273, 0.411, 0.453, 0.963, 0.763, 1.211, 1.291, 0.884, 0.326, 0.601, 0.805, 0.704, 0.508, 0.273, 0.18, 0.099, 0.09, 0.041, 0.034, 0.0, 0.014, 0.031, 0.009, 0.004, 0.009, 0.003, 0.0, 0.0], [0.36, 1.534, 2.65, 5.414, 7.377, 6.71, 14.662, 26.396, 21.78, 7.725, 8.502, 12.274, 0.0, 9.303, 7.552, 5.123, 3.644, 2.58, 2.365, 1.495, 1.204, 0.754, 0.542, 0.0, 0.26, 0.144, 0.069, 0.012, 0.0, 0.0]]","[[[3, 5], [6, 3], [3, 6], [3, 7], [6, 6], [3, 3], [4, 3], [6, 7], [6, 8], [1, 6], [4, 8], [7, 7], [8, 4], [8, 6], [1, 5], [7, 6], [7, 4], [2, 3], [3, 8], [7, 3], [1, 3], [1, 8], [7, 2], [7, 1], [5, 2], [4, 2], [3, 2], [2, 2], [1, 2], [4, 1]], [[3, 4], [4, 6], [5, 6], [4, 7], [6, 5], [5, 3], [2, 6], [5, 7], [5, 8], [7, 5], [2, 5], [2, 4], [8, 8], [8, 5], [1, 4], [6, 4], [1, 7], [2, 8], [7, 8], [8, 7], [8, 3], [2, 7], [8, 2], [8, 1], [6, 1], [6, 2], [3, 1], [2, 1], [1, 1], [5, 1]]]","[30, 30]","[19, 45, 26]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0]",02:50,"[[0.074, 0.104, 0.17, 0.116, 0.304, 0.365, 0.89, 0.876, 0.664, 1.087, 0.853, 1.163, 1.352, 1.19, 0.735, 0.683, 0.445, 0.432, 0.392, 0.319, 0.245, 0.126, 0.17, 0.099, 0.085, 0.029, 0.003, 0.003, 0.001, 0.002, 0.001], [0.325, 0.822, 1.093, 1.326, 2.786, 0.001, 5.247, 10.098, 13.097, 16.472, 15.435, 21.51, 14.754, 0.0, 15.926, 10.28, 0.0, 8.115, 5.432, 4.925, 5.484, 0.0, 1.753, 1.119, 0.601, 0.419, 0.1, 0.014, 0.001, 0.0, 0.0]]","[[[6, 5], [4, 3], [2, 3], [7, 7], [7, 4], [7, 6], [4, 2], [2, 5], [6, 3], [4, 1], [3, 5], [2, 7], [7, 5], [8, 3], [7, 1], [7, 2], [3, 7], [7, 3], [1, 7], [6, 7], [2, 1], [7, 8], [1, 4], [2, 4], [2, 2], [5, 8], [3, 8], [2, 8], [8, 7]], [[6, 4], [6, 6], [3, 3], [4, 6], [5, 6], [8, 8], [5, 3], [3, 4], [6, 2], [5, 2], [5, 1], [3, 6], [8, 4], [1, 8], [8, 2], [6, 1], [8, 1], [3, 1], [3, 2], [4, 7], [6, 8], [1, 1], [1, 6], [2, 6], [1, 3], [1, 5], [5, 7], [4, 8], [8, 6], [8, 5], [1, 2]]]","[29, 31]","[11, 53, 42]",-1
