Board,Game Time,Move Time,Action List,Action List Count,Score,Winner
"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",01:56,"[[0.288, 0.569, 3.06, 4.522, 5.575, 7.512, 8.567, 7.006, 6.785, 5.448, 0.007, 3.395, 0.002, 1.69, 2.704, 1.929, 2.316, 2.012, 1.401, 0.908, 0.001, 0.497, 0.001, 0.285, 0.293, 0.191, 0.001, 0.115, 0.056, 0.013, 0.0, 0.0], [2.407, 2.695, 2.927, 2.622, 2.406, 2.664, 2.495, 2.375, 1.96, 2.091, 1.917, 0.0, 1.506, 1.673, 1.424, 1.746, 1.904, 1.646, 1.449, 1.329, 1.536, 1.607, 1.578, 1.34, 1.226, 1.314, 1.123, 0.0]]","[[[4, 6], [3, 5], [3, 3], [4, 3], [2, 5], [2, 4], [1, 5], [1, 7], [1, 2], [1, 4], [1, 8], [2, 2], [3, 1], [3, 2], [4, 1], [3, 8], [5, 8], [5, 6], [4, 8], [6, 8], [8, 8], [7, 7], [8, 6], [5, 2], [7, 6], [6, 3], [8, 1], [6, 4], [8, 2], [8, 5], [8, 3], [6, 1]], [[3, 6], [3, 4], [5, 3], [2, 3], [2, 6], [1, 6], [6, 6], [3, 7], [1, 3], [2, 7], [4, 7], [1, 1], [2, 1], [5, 1], [2, 8], [5, 7], [4, 2], [6, 7], [7, 8], [8, 7], [6, 5], [6, 2], [7, 2], [7, 4], [7, 3], [7, 5], [8, 4], [7, 1]]]","[32, 28]","[49, 15, 34]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",01:53,"[[0.401, 1.921, 3.815, 2.973, 3.188, 1.486, 1.034, 1.473, 3.26, 5.952, 3.042, 4.721, 2.58, 0.008, 0.002, 2.404, 2.239, 2.612, 0.007, 1.399, 0.0, 0.891, 0.991, 1.097, 0.531, 0.0, 0.001, 0.068, 0.012, 0.001, 0.0], [3.24, 3.02, 3.631, 3.489, 2.752, 2.744, 2.458, 2.375, 2.648, 3.259, 2.938, 2.114, 2.513, 2.261, 2.112, 2.084, 1.952, 1.673, 1.69, 1.83, 2.093, 1.827, 1.617, 1.961, 1.69, 1.452, 1.273, 0.835, 0.815]]","[[[3, 4], [3, 6], [2, 6], [1, 5], [1, 7], [3, 7], [4, 8], [4, 6], [3, 3], [1, 4], [5, 3], [1, 3], [5, 6], [1, 8], [6, 8], [7, 7], [7, 6], [6, 6], [8, 8], [8, 6], [8, 4], [7, 3], [7, 4], [3, 1], [6, 1], [8, 1], [1, 1], [2, 1], [1, 2], [8, 3], [5, 1]], [[3, 5], [6, 3], [2, 5], [4, 3], [1, 6], [4, 7], [3, 8], [5, 8], [5, 7], [2, 4], [2, 3], [5, 2], [2, 7], [6, 7], [2, 8], [8, 7], [6, 5], [6, 4], [7, 8], [8, 5], [6, 2], [3, 2], [7, 5], [7, 2], [2, 2], [4, 1], [8, 2], [4, 2], [7, 1]]]","[31, 29]","[54, 10, 44]",1
"[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",02:22,"[[0.326, 0.6, 3.529, 2.417, 3.918, 1.827, 4.43, 6.643, 8.422, 8.662, 5.241, 7.443, 4.948, 4.241, 4.514, 0.005, 4.01, 0.001, 1.485, 0.001, 0.946, 1.266, 1.416, 1.526, 0.001, 0.324, 0.199, 0.026, 0.0, 0.002, 0.0], [3.154, 2.959, 3.412, 3.082, 3.662, 3.027, 3.259, 2.957, 2.613, 3.013, 2.572, 2.968, 2.514, 2.389, 2.043, 2.484, 1.796, 1.66, 1.501, 1.648, 0.0, 2.171, 1.94, 1.824, 1.327, 1.318, 1.305, 1.057, 0.0]]","[[[5, 3], [6, 4], [3, 3], [6, 6], [5, 2], [4, 2], [4, 1], [6, 5], [5, 7], [8, 6], [4, 8], [6, 8], [7, 5], [8, 4], [4, 7], [8, 8], [7, 7], [2, 8], [3, 7], [1, 7], [4, 6], [8, 3], [1, 3], [2, 6], [1, 1], [2, 1], [6, 1], [1, 5], [8, 1], [2, 5], [8, 2]], [[6, 3], [4, 3], [5, 6], [2, 3], [5, 1], [3, 2], [3, 1], [3, 4], [7, 6], [5, 8], [6, 7], [7, 4], [8, 5], [7, 3], [8, 7], [3, 8], [7, 8], [2, 7], [3, 5], [3, 6], [1, 8], [2, 2], [2, 4], [6, 2], [1, 2], [7, 2], [1, 4], [7, 1], [1, 6]]]","[31, 29]","[54, 10, 44]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",01:34,"[[0.37, 0.638, 1.307, 3.164, 1.761, 5.06, 2.499, 4.949, 5.113, 4.464, 0.004, 2.32, 2.653, 1.666, 1.437, 0.001, 0.002, 0.977, 0.001, 0.002, 0.579, 0.818, 0.614, 0.001, 0.224, 0.061, 0.001, 0.033, 0.0, 0.0, 0.0], [3.609, 3.203, 3.084, 3.042, 3.114, 2.838, 2.414, 2.756, 2.825, 2.564, 2.703, 2.68, 2.336, 2.123, 1.73, 1.818, 1.627, 1.682, 1.618, 1.258, 1.487, 1.175, 1.104, 1.029]]","[[[3, 4], [3, 6], [3, 3], [1, 3], [5, 6], [2, 5], [6, 7], [4, 1], [2, 1], [1, 6], [1, 8], [3, 7], [3, 8], [2, 4], [4, 8], [6, 8], [8, 8], [7, 7], [8, 6], [7, 6], [6, 5], [7, 5], [8, 3], [8, 4], [6, 4], [2, 2], [1, 1], [7, 2], [6, 2], [5, 2], [4, 2]], [[3, 5], [5, 3], [2, 3], [2, 6], [4, 6], [5, 7], [1, 5], [3, 2], [3, 1], [1, 4], [1, 7], [7, 8], [2, 7], [4, 7], [2, 8], [5, 8], [8, 7], [6, 6], [7, 4], [8, 5], [4, 3], [1, 2], [6, 3], [7, 3]]]","[31, 24]","[58, 1, 57]",1
"[1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",02:53,"[[0.298, 0.601, 3.552, 5.209, 6.459, 8.837, 13.103, 12.06, 9.278, 10.088, 4.486, 3.42, 5.871, 5.698, 6.703, 6.873, 2.339, 1.186, 1.194, 0.51, 0.003, 0.541, 0.603, 0.57, 0.002, 0.063, 0.032, 0.0, 0.0, 0.0], [3.159, 3.083, 3.332, 3.273, 2.786, 3.133, 2.994, 2.911, 3.005, 2.536, 2.286, 2.251, 2.235, 2.459, 2.396, 1.94, 1.871, 1.794, 1.717, 1.612, 1.861, 1.631, 1.77, 1.543, 1.459, 1.223, 1.072, 0.979, 0.891, 0.0]]","[[[5, 3], [6, 4], [3, 3], [3, 4], [5, 2], [3, 2], [4, 2], [7, 1], [7, 5], [5, 1], [8, 6], [2, 6], [1, 6], [1, 3], [3, 6], [1, 5], [2, 1], [4, 8], [2, 8], [8, 3], [1, 8], [1, 7], [8, 7], [5, 8], [8, 1], [5, 7], [8, 5], [8, 8], [1, 1], [6, 8]], [[6, 3], [4, 3], [3, 5], [2, 3], [6, 6], [6, 2], [3, 1], [7, 3], [6, 1], [8, 4], [7, 4], [2, 5], [2, 4], [7, 6], [1, 4], [4, 1], [3, 7], [3, 8], [2, 7], [8, 2], [5, 6], [6, 5], [4, 7], [7, 2], [4, 6], [6, 7], [7, 7], [2, 2], [1, 2], [7, 8]]]","[30, 30]","[43, 21, 22]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",02:13,"[[0.375, 0.638, 1.316, 4.611, 8.628, 6.709, 11.926, 9.822, 0.003, 5.482, 5.019, 4.287, 2.618, 2.704, 2.557, 1.84, 0.002, 1.462, 0.001, 1.325, 1.35, 0.001, 0.001, 0.615, 0.449, 0.001, 0.184, 0.042, 0.028, 0.002, 0.0], [3.215, 3.167, 2.847, 3.39, 3.16, 3.612, 3.301, 3.206, 2.464, 2.47, 2.069, 1.869, 2.117, 2.33, 1.779, 2.025, 1.755, 1.699, 1.676, 1.496, 1.418, 1.582, 1.469, 1.428, 1.479, 1.243, 0.0, 0.0, 0.778]]","[[[3, 4], [3, 6], [2, 4], [2, 6], [1, 6], [5, 3], [1, 4], [4, 6], [1, 8], [2, 3], [3, 8], [4, 7], [5, 7], [5, 8], [6, 7], [1, 2], [8, 8], [7, 7], [8, 6], [7, 5], [8, 5], [8, 3], [7, 4], [6, 5], [7, 3], [1, 1], [6, 1], [3, 1], [7, 1], [4, 2], [8, 2]], [[3, 5], [3, 3], [5, 6], [6, 3], [2, 5], [4, 3], [1, 5], [2, 7], [5, 2], [3, 7], [1, 3], [1, 7], [4, 8], [6, 6], [2, 8], [7, 8], [6, 8], [8, 7], [7, 6], [8, 4], [6, 4], [2, 2], [3, 2], [2, 1], [6, 2], [4, 1], [5, 1], [8, 1], [7, 2]]]","[31, 29]","[52, 12, 40]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0]",03:55,"[[0.296, 0.632, 3.515, 5.397, 7.094, 9.779, 14.68, 20.813, 16.245, 12.232, 6.362, 10.023, 11.162, 12.483, 7.447, 6.5, 8.047, 6.571, 3.987, 0.003, 1.893, 0.003, 1.207, 0.457, 0.201, 0.112, 0.046, 0.017, 0.002, 0.0, 0.0], [3.058, 3.0, 3.369, 3.543, 3.21, 3.651, 3.71, 3.996, 3.033, 3.095, 3.003, 3.156, 2.906, 2.494, 2.398, 2.176, 2.235, 2.074, 1.707, 1.85, 1.739, 0.0, 1.637, 1.221, 1.296, 1.104, 1.336, 1.325, 0.944]]","[[[6, 4], [5, 3], [6, 6], [5, 6], [5, 7], [3, 5], [6, 7], [3, 6], [2, 8], [3, 8], [7, 4], [8, 6], [8, 4], [1, 6], [7, 3], [1, 5], [1, 4], [1, 2], [8, 2], [1, 8], [4, 8], [8, 8], [2, 7], [7, 8], [7, 1], [6, 1], [3, 2], [3, 1], [5, 1], [2, 2], [1, 1]], [[6, 3], [6, 5], [4, 6], [4, 7], [7, 6], [3, 3], [3, 7], [4, 3], [6, 8], [5, 8], [7, 5], [8, 3], [2, 6], [3, 4], [2, 5], [2, 4], [1, 3], [2, 3], [1, 7], [7, 7], [8, 5], [8, 1], [7, 2], [8, 7], [6, 2], [5, 2], [2, 1], [4, 1], [4, 2]]]","[31, 29]","[40, 24, 16]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",02:49,"[[0.386, 1.5, 2.389, 3.607, 1.31, 6.425, 5.701, 7.336, 7.948, 0.01, 16.814, 18.343, 8.979, 7.474, 3.69, 2.993, 2.775, 0.001, 1.257, 0.002, 0.007, 1.335, 1.024, 0.954, 0.594, 0.209, 0.0, 0.082, 0.0, 0.0, 0.0], [3.282, 3.492, 3.008, 3.105, 3.898, 2.799, 3.626, 2.867, 3.585, 3.281, 2.846, 2.92, 2.963, 2.592, 2.116, 1.897, 2.139, 1.943, 1.768, 1.399, 1.142, 1.737, 1.66, 1.295, 1.321, 1.284, 1.161, 0.95, 0.0]]","[[[4, 3], [6, 3], [3, 5], [3, 7], [6, 2], [4, 6], [6, 6], [5, 6], [3, 4], [1, 8], [1, 3], [1, 5], [2, 5], [3, 8], [5, 8], [6, 7], [4, 8], [1, 6], [2, 3], [1, 2], [1, 1], [3, 1], [8, 6], [5, 2], [8, 4], [7, 1], [8, 1], [7, 4], [8, 8], [8, 2], [7, 7]], [[5, 3], [3, 6], [3, 3], [4, 2], [7, 3], [6, 4], [5, 1], [4, 7], [2, 7], [6, 5], [2, 4], [1, 4], [2, 6], [7, 6], [2, 8], [5, 7], [6, 8], [1, 7], [2, 2], [3, 2], [2, 1], [7, 5], [6, 1], [4, 1], [7, 2], [8, 5], [8, 7], [8, 3], [7, 8]]]","[31, 29]","[45, 19, 26]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",03:26,"[[0.295, 0.624, 3.365, 4.459, 6.263, 8.499, 7.124, 4.745, 5.021, 5.863, 8.207, 13.178, 13.492, 12.398, 13.233, 13.637, 5.76, 5.209, 3.456, 1.177, 1.193, 2.524, 1.422, 0.795, 0.0, 0.181, 0.042, 0.011, 0.0, 0.001, 0.0], [2.897, 2.871, 3.157, 3.118, 3.001, 3.064, 2.989, 2.858, 2.734, 3.104, 3.014, 3.048, 2.829, 2.519, 2.737, 2.61, 2.204, 1.893, 1.831, 0.0, 1.982, 0.0, 1.968, 1.936, 1.866, 1.241, 1.214, 0.0, 0.759]]","[[[3, 5], [4, 6], [3, 3], [2, 3], [4, 7], [4, 8], [2, 4], [6, 5], [6, 4], [6, 6], [6, 7], [5, 3], [7, 4], [8, 4], [1, 6], [1, 4], [2, 6], [1, 2], [8, 2], [4, 1], [8, 6], [7, 2], [6, 1], [6, 2], [1, 8], [2, 8], [7, 8], [8, 7], [5, 1], [3, 1], [7, 1]], [[3, 6], [3, 4], [5, 7], [5, 6], [3, 8], [5, 8], [3, 7], [7, 6], [7, 3], [7, 5], [6, 3], [6, 8], [8, 5], [2, 5], [1, 3], [5, 2], [3, 2], [4, 3], [8, 3], [8, 1], [1, 5], [1, 1], [2, 7], [7, 7], [4, 2], [1, 7], [2, 2], [8, 8], [2, 1]]]","[31, 29]","[33, 31, 2]",1
"[0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, -1.0, 0.0, 0.0, -1.0, -1.0, -1.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0]",01:02,"[[0.396, 1.505, 3.633, 3.503, 1.892, 5.259, 4.098, 3.669, 0.004, 0.004, 1.304, 1.678, 0.003, 0.002, 0.001, 0.002, 0.004, 0.003, 0.001], [3.153, 3.365, 3.436, 4.115, 3.117, 3.135, 3.005, 2.625, 2.2, 2.274, 2.445, 1.969]]","[[[5, 6], [3, 6], [3, 7], [6, 8], [3, 5], [1, 6], [4, 8], [2, 8], [1, 8], [1, 5], [6, 7], [8, 7], [8, 8], [1, 4], [2, 4], [6, 6], [3, 4], [3, 3], [7, 2]], [[4, 6], [6, 3], [4, 7], [5, 7], [2, 6], [2, 5], [3, 8], [5, 8], [1, 7], [2, 7], [7, 7], [7, 8]]]","[19, 12]","[35, 0, 35]",1
