Board,Game Time,Move Time,Action List,Action List Count,Score,Winner
"[-1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",02:29,"[[0.219, 0.872, 2.362, 3.298, 4.605, 2.063, 3.414, 8.459, 17.859, 17.177, 6.265, 13.071, 12.848, 10.836, 8.458, 5.6, 3.118, 3.358, 2.51, 2.145, 1.967, 2.635, 1.591, 0.717, 0.001, 0.136, 0.05, 0.0, 0.001, 0.001, 0.0], [0.827, 0.713, 0.882, 0.754, 0.6, 0.914, 0.712, 0.763, 0.642, 0.62, 0.58, 0.527, 0.507, 0.404, 0.338, 0.001, 0.352, 0.406, 0.313, 0.277, 0.369, 0.308, 0.38, 0.21, 0.226, 0.122, 0.124, 0.1, 0.088]]","[[[4, 6], [6, 5], [6, 4], [7, 6], [8, 5], [4, 3], [3, 4], [3, 5], [7, 4], [8, 7], [2, 5], [2, 4], [1, 2], [1, 5], [8, 2], [2, 2], [2, 1], [4, 1], [5, 1], [6, 1], [5, 7], [4, 7], [1, 4], [3, 8], [1, 8], [2, 8], [7, 2], [8, 1], [8, 8], [4, 8], [6, 8]], [[5, 6], [3, 6], [7, 5], [3, 3], [6, 3], [5, 3], [2, 3], [8, 6], [7, 3], [2, 6], [6, 6], [8, 3], [1, 6], [8, 4], [1, 3], [1, 1], [3, 2], [4, 2], [5, 2], [3, 1], [6, 7], [3, 7], [7, 1], [2, 7], [1, 7], [6, 2], [7, 7], [7, 8], [5, 8]]]","[31, 29]","[43, 21, 22]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",01:38,"[[0.339, 0.652, 1.126, 4.225, 4.072, 5.522, 0.002, 4.106, 5.933, 4.834, 6.813, 6.728, 8.187, 6.728, 7.714, 7.296, 5.349, 2.332, 0.003, 0.003, 1.112, 0.0, 0.443, 0.612, 0.315, 0.0, 0.001, 0.059, 0.0, 0.0, 0.001, 0.0], [0.611, 0.722, 0.493, 0.659, 0.564, 0.969, 0.605, 0.485, 0.51, 0.528, 0.512, 0.849, 0.736, 0.576, 0.473, 0.602, 0.331, 0.423, 0.301, 0.319, 0.34, 0.237, 0.325, 0.27, 0.149, 0.137, 0.202, 0.088]]","[[[3, 4], [3, 6], [2, 4], [2, 6], [4, 6], [3, 7], [1, 8], [1, 3], [1, 6], [6, 5], [6, 6], [5, 7], [5, 8], [7, 5], [6, 4], [4, 7], [2, 8], [7, 8], [8, 8], [1, 1], [8, 5], [8, 7], [6, 2], [8, 3], [7, 3], [8, 2], [8, 1], [4, 1], [6, 1], [3, 1], [3, 2], [2, 1]], [[3, 5], [3, 3], [5, 6], [6, 3], [2, 3], [2, 7], [1, 4], [2, 5], [1, 5], [4, 3], [7, 6], [6, 7], [6, 8], [4, 8], [1, 7], [8, 4], [3, 8], [7, 4], [7, 7], [1, 2], [5, 3], [8, 6], [4, 2], [7, 1], [7, 2], [5, 2], [5, 1], [2, 2]]]","[32, 28]","[55, 9, 46]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0]",02:13,"[[0.338, 0.811, 1.197, 3.268, 3.407, 6.662, 0.007, 18.076, 21.603, 15.612, 10.612, 5.719, 8.957, 5.379, 4.054, 3.364, 0.005, 1.657, 2.581, 1.801, 1.542, 0.828, 0.001, 0.427, 0.237, 0.002, 0.071, 0.018, 0.006, 0.001, 0.0], [0.71, 0.779, 0.678, 0.605, 0.859, 1.172, 0.969, 1.181, 1.035, 0.665, 0.757, 0.49, 0.504, 0.519, 0.502, 0.467, 0.409, 0.397, 0.417, 0.327, 0.325, 0.233, 0.182, 0.143, 0.159, 0.135, 0.079, 0.074, 0.056]]","[[[4, 6], [6, 3], [5, 6], [3, 6], [6, 4], [4, 7], [8, 1], [6, 2], [6, 1], [5, 7], [4, 1], [4, 8], [6, 8], [7, 8], [3, 8], [7, 5], [8, 8], [3, 3], [8, 6], [4, 2], [2, 1], [8, 3], [8, 2], [1, 6], [2, 7], [1, 8], [1, 5], [1, 4], [1, 3], [1, 2], [1, 1]], [[3, 4], [6, 6], [6, 7], [5, 3], [2, 6], [7, 2], [7, 3], [5, 1], [7, 4], [5, 2], [3, 7], [5, 8], [6, 5], [7, 1], [7, 7], [3, 1], [7, 6], [8, 7], [3, 2], [8, 5], [4, 3], [8, 4], [3, 5], [1, 7], [2, 8], [2, 5], [2, 4], [2, 3], [2, 2]]]","[31, 29]","[45, 19, 26]",1
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 0.0, -1.0, -1.0, -1.0, 0.0, 0.0, -1.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:36,"[[0.365, 1.418, 1.459, 0.479, 1.908, 7.892, 4.539, 3.528, 3.138, 0.004, 0.008, 0.001, 0.002, 0.002, 0.465, 1.042, 0.002, 0.001, 0.003, 0.002], [0.587, 0.675, 0.796, 0.71, 0.761, 0.981, 0.853, 0.748, 0.608, 0.859, 0.684, 0.494, 0.44, 0.605]]","[[[6, 5], [6, 3], [8, 6], [5, 3], [7, 3], [8, 4], [8, 3], [6, 1], [7, 6], [8, 1], [8, 8], [7, 7], [6, 6], [5, 7], [4, 3], [3, 1], [5, 1], [3, 2], [3, 3], [2, 7]], [[6, 4], [3, 6], [7, 5], [6, 2], [7, 4], [8, 5], [8, 2], [8, 7], [4, 2], [7, 1], [6, 7], [7, 2], [5, 2], [4, 1]]]","[20, 14]","[38, 0, 38]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",01:24,"[[0.28, 0.619, 3.81, 3.435, 3.554, 2.799, 3.331, 5.482, 6.919, 5.395, 5.44, 6.258, 7.748, 2.296, 1.568, 2.491, 2.397, 2.858, 2.074, 0.005, 1.127, 0.751, 0.002, 0.53, 0.001, 0.093, 0.0, 0.001, 0.018, 0.005, 0.0, 0.0], [0.567, 0.707, 0.762, 1.087, 0.649, 0.603, 0.579, 1.012, 0.662, 0.509, 0.483, 0.468, 0.722, 0.387, 0.543, 0.37, 0.438, 0.287, 0.396, 0.291, 0.237, 0.3, 0.241, 0.155, 0.0, 0.113, 0.113, 0.096]]","[[[4, 6], [3, 5], [3, 3], [2, 5], [1, 5], [2, 3], [6, 3], [4, 3], [2, 4], [2, 6], [5, 2], [5, 3], [6, 4], [5, 1], [7, 3], [8, 3], [3, 1], [6, 2], [8, 5], [8, 1], [8, 6], [2, 8], [1, 1], [1, 2], [1, 7], [3, 8], [2, 7], [4, 7], [6, 8], [8, 7], [8, 8], [7, 8]], [[3, 6], [3, 4], [3, 2], [1, 4], [1, 6], [1, 3], [6, 6], [5, 6], [6, 5], [3, 7], [4, 2], [6, 1], [7, 4], [4, 1], [8, 2], [8, 4], [7, 2], [2, 1], [7, 5], [2, 2], [7, 6], [4, 8], [5, 7], [7, 1], [1, 8], [5, 8], [7, 7], [6, 7]]]","[32, 28]","[39, 25, 14]",1
"[0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:52,"[[0.481, 0.589, 1.362, 3.739, 4.304, 6.054, 4.154, 0.003, 0.005, 5.995, 4.472, 3.385, 0.004, 1.248, 0.005, 1.171, 0.004, 0.002, 0.684, 0.001, 0.332, 0.001, 0.001, 0.001], [0.729, 0.996, 0.788, 1.171, 1.152, 1.503, 1.289, 0.995, 1.215, 0.913, 0.854, 0.467, 0.548, 0.359, 0.296, 0.22, 0.305]]","[[[5, 6], [3, 6], [6, 6], [6, 8], [5, 8], [3, 8], [7, 3], [8, 8], [1, 8], [6, 5], [4, 8], [7, 8], [2, 7], [8, 5], [8, 7], [8, 4], [8, 3], [8, 1], [6, 2], [7, 1], [1, 5], [1, 6], [2, 5], [5, 3]], [[4, 6], [6, 4], [6, 7], [4, 7], [5, 7], [3, 7], [7, 7], [3, 5], [2, 8], [2, 6], [8, 2], [7, 5], [7, 6], [8, 6], [7, 4], [7, 2], [1, 7]]]","[24, 17]","[45, 0, 45]",1
"[1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",02:04,"[[0.268, 0.551, 3.734, 2.327, 3.577, 11.225, 10.965, 6.845, 7.516, 22.262, 10.775, 8.734, 7.026, 5.659, 0.008, 2.936, 2.178, 0.001, 0.001, 1.803, 0.001, 0.001, 0.005, 0.93, 0.925, 0.481, 0.269, 0.0, 0.101, 0.052, 0.013, 0.0, 0.0], [0.793, 0.659, 0.705, 0.969, 0.97, 0.724, 0.729, 0.909, 0.738, 0.744, 0.7, 0.538, 0.412, 0.509, 0.53, 0.324, 0.282, 0.0, 0.253, 0.272, 0.186, 0.222, 0.201, 0.14, 0.18, 0.125, 0.075]]","[[[6, 4], [5, 3], [3, 3], [6, 6], [7, 4], [3, 2], [3, 6], [8, 4], [7, 6], [8, 5], [6, 8], [8, 2], [8, 7], [5, 7], [8, 8], [5, 8], [4, 8], [2, 8], [3, 7], [7, 2], [4, 6], [6, 1], [1, 8], [1, 6], [2, 6], [4, 2], [7, 1], [4, 1], [2, 5], [1, 4], [2, 4], [1, 1], [2, 2]], [[6, 3], [4, 3], [5, 6], [6, 5], [6, 7], [7, 3], [8, 3], [7, 5], [2, 3], [3, 1], [3, 4], [8, 6], [7, 7], [4, 7], [2, 7], [7, 8], [3, 8], [8, 1], [1, 7], [6, 2], [3, 5], [5, 2], [5, 1], [1, 5], [1, 2], [2, 1], [1, 3]]]","[33, 27]","[48, 16, 32]",1
"[-1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",01:57,"[[0.381, 1.625, 2.518, 5.441, 7.096, 8.366, 10.691, 14.061, 13.537, 10.939, 9.293, 6.37, 3.251, 0.011, 0.004, 1.327, 1.274, 0.001, 0.002, 0.846, 0.002, 0.767, 0.835, 0.49, 0.414, 0.001, 0.17, 0.04, 0.004, 0.001, 0.0], [0.666, 0.979, 0.785, 1.101, 1.346, 1.519, 1.091, 1.095, 1.082, 1.134, 0.655, 0.683, 0.602, 0.505, 0.385, 0.368, 0.303, 0.289, 0.207, 0.298, 0.279, 0.377, 0.331, 0.34, 0.302, 0.216, 0.168, 0.099, 0.112]]","[[[5, 6], [3, 6], [6, 4], [3, 3], [7, 3], [5, 7], [8, 3], [3, 7], [6, 8], [3, 8], [8, 4], [4, 8], [8, 6], [1, 8], [8, 1], [2, 7], [3, 5], [1, 6], [1, 4], [8, 7], [8, 8], [5, 3], [3, 1], [4, 2], [1, 3], [1, 1], [7, 1], [2, 4], [4, 1], [6, 2], [6, 1]], [[4, 6], [6, 3], [6, 5], [7, 4], [3, 4], [6, 7], [3, 2], [4, 7], [8, 5], [7, 6], [6, 6], [5, 8], [2, 6], [2, 8], [8, 2], [7, 5], [1, 7], [2, 5], [7, 7], [7, 8], [4, 3], [2, 3], [5, 1], [2, 1], [7, 2], [1, 5], [2, 2], [5, 2], [1, 2]]]","[31, 29]","[45, 19, 26]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",02:30,"[[0.306, 0.66, 3.415, 4.555, 4.719, 7.767, 9.173, 13.479, 7.923, 14.725, 10.055, 14.514, 10.76, 11.311, 9.618, 0.006, 3.635, 0.001, 0.008, 2.438, 2.906, 1.559, 1.783, 0.686, 0.0, 0.125, 0.0, 0.042, 0.007, 0.0, 0.0], [0.664, 0.788, 0.841, 0.644, 0.838, 0.893, 0.879, 0.768, 0.582, 0.687, 0.567, 0.589, 0.527, 0.768, 0.498, 0.385, 0.339, 0.39, 0.325, 0.286, 0.321, 0.255, 0.163, 0.18, 0.119, 0.1]]","[[[5, 3], [6, 4], [3, 3], [3, 2], [7, 4], [8, 6], [3, 4], [3, 1], [6, 5], [6, 1], [4, 6], [8, 7], [1, 4], [6, 2], [4, 1], [1, 1], [1, 2], [2, 2], [8, 8], [2, 5], [2, 4], [1, 6], [7, 1], [7, 2], [8, 2], [8, 5], [8, 4], [6, 8], [2, 7], [4, 8], [2, 8]], [[6, 3], [4, 3], [7, 5], [3, 5], [6, 6], [4, 2], [2, 3], [5, 2], [7, 3], [7, 6], [3, 6], [3, 7], [5, 6], [5, 1], [2, 1], [1, 3], [7, 7], [5, 7], [2, 6], [1, 5], [4, 7], [7, 8], [6, 7], [8, 3], [5, 8], [3, 8]]]","[31, 26]","[59, 2, 57]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0]",00:47,"[[0.333, 0.582, 1.288, 3.68, 2.177, 0.002, 1.297, 3.124, 5.656, 7.766, 6.009, 0.001, 1.494, 0.003, 0.001, 1.066, 0.002, 0.002, 0.796, 0.002, 0.577, 0.763, 0.004, 0.346, 0.0, 0.0, 0.021, 0.0, 0.019, 0.0], [0.679, 0.642, 0.582, 0.757, 0.792, 0.982, 0.616, 0.811, 0.714, 0.6, 0.621, 0.43, 0.405, 0.329, 0.3, 0.252, 0.247, 0.234, 0.204, 0.194, 0.18]]","[[[3, 4], [3, 6], [3, 3], [1, 3], [1, 4], [1, 1], [6, 3], [1, 5], [2, 4], [2, 6], [2, 2], [1, 7], [4, 1], [2, 1], [4, 2], [5, 2], [6, 4], [6, 1], [8, 2], [8, 4], [6, 2], [7, 4], [8, 1], [5, 6], [1, 8], [2, 8], [8, 6], [8, 5], [8, 7], [7, 8]], [[3, 5], [5, 3], [2, 3], [2, 5], [3, 2], [1, 2], [1, 6], [3, 7], [4, 6], [4, 3], [6, 5], [7, 3], [3, 1], [5, 1], [8, 3], [7, 2], [7, 5], [7, 1], [2, 7], [7, 6], [7, 7]]]","[30, 21]","[54, 1, 53]",1
