Board,Game Time,Move Time,Action List,Action List Count,Score,Winner
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:13,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.092, 0.194, 0.413, 0.429, 0.447, 0.423, 0.733, 1.386, 0.816, 1.807, 1.36, 1.217, 0.726, 0.9, 0.622, 0.003, 0.007, 0.258, 0.004, 0.239, 0.222, 0.002, 0.226, 0.071, 0.104, 0.048, 0.0, 0.005, 0.0, 0.0, 0.0]]","[[[6, 4], [3, 5], [6, 5], [6, 7], [8, 5], [3, 3], [4, 2], [3, 7], [6, 3], [7, 5], [7, 4], [5, 8], [1, 7], [2, 1], [5, 7], [5, 3], [7, 2], [2, 4], [6, 1], [8, 3], [8, 7], [2, 2], [2, 7], [7, 7], [2, 5], [5, 2], [2, 8], [1, 4], [4, 1]], [[4, 3], [6, 6], [2, 6], [7, 6], [3, 6], [5, 6], [3, 4], [8, 6], [6, 2], [4, 6], [6, 8], [7, 3], [3, 2], [4, 8], [3, 1], [1, 1], [8, 1], [1, 6], [1, 8], [7, 1], [8, 4], [8, 8], [8, 2], [4, 7], [1, 5], [7, 8], [3, 8], [2, 3], [1, 2], [1, 3], [5, 1]]]","[29, 31]","[9, 55, 46]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:07,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.101, 0.132, 0.263, 0.276, 0.792, 0.338, 0.765, 0.642, 0.562, 0.004, 0.787, 0.261, 0.218, 0.422, 0.242, 0.418, 0.405, 0.221, 0.167, 0.001, 0.178, 0.001, 0.153, 0.001, 0.003, 0.047, 0.001, 0.0, 0.0, 0.016, 0.004, 0.003, 0.0, 0.0]]","[[[3, 4], [5, 6], [4, 7], [6, 6], [2, 6], [6, 7], [7, 2], [6, 4], [8, 2], [5, 2], [4, 8], [6, 8], [3, 2], [4, 2], [2, 3], [8, 4], [6, 2], [7, 6], [6, 1], [2, 4], [8, 7], [1, 2], [7, 7], [3, 7], [2, 7], [1, 7]], [[4, 6], [6, 3], [3, 6], [3, 5], [5, 8], [6, 5], [5, 7], [5, 3], [7, 3], [8, 1], [8, 3], [4, 1], [4, 3], [3, 3], [5, 1], [7, 4], [7, 5], [3, 1], [8, 5], [7, 1], [2, 5], [2, 1], [8, 6], [2, 2], [8, 8], [1, 3], [1, 1], [1, 4], [1, 5], [7, 8], [3, 8], [1, 6], [1, 8], [2, 8]]]","[26, 34]","[8, 56, 48]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:06,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.111, 0.122, 0.179, 0.232, 0.002, 0.217, 0.3, 0.452, 0.005, 0.723, 0.511, 0.548, 0.519, 0.481, 0.002, 0.274, 0.352, 0.203, 0.112, 0.145, 0.001, 0.001, 0.001, 0.03, 0.0, 0.001, 0.0, 0.013, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0]]","[[[6, 4], [3, 2], [3, 4], [5, 6], [7, 7], [4, 2], [4, 6], [7, 2], [2, 4], [7, 5], [7, 6], [8, 6], [1, 2], [1, 4], [2, 1], [6, 2], [7, 8], [8, 4], [6, 1], [4, 1], [8, 2], [1, 6], [5, 8], [2, 8], [3, 6], [1, 8]], [[4, 3], [6, 6], [3, 3], [5, 3], [8, 8], [3, 1], [6, 3], [6, 5], [8, 1], [2, 3], [8, 7], [8, 5], [1, 3], [5, 1], [1, 1], [2, 2], [5, 2], [8, 3], [7, 1], [6, 8], [7, 4], [7, 3], [6, 7], [2, 5], [1, 5], [1, 7], [2, 6], [5, 7], [4, 8], [4, 7], [3, 7], [2, 7], [3, 5], [3, 8]]]","[26, 34]","[16, 48, 32]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:11,"[[0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.123, 0.166, 0.261, 0.591, 0.514, 0.646, 0.779, 1.668, 1.204, 0.936, 0.655, 1.251, 0.847, 0.412, 0.353, 0.004, 0.293, 0.005, 0.127, 0.137, 0.184, 0.002, 0.129, 0.112, 0.029, 0.001, 0.031, 0.007, 0.0, 0.0, 0.0]]","[[[6, 5], [4, 3], [7, 6], [6, 3], [4, 6], [6, 7], [8, 5], [2, 3], [3, 6], [8, 3], [2, 4], [4, 2], [3, 4], [4, 7], [7, 7], [5, 8], [2, 8], [5, 7], [7, 8], [1, 7], [7, 2], [5, 1], [7, 1], [5, 2], [2, 5], [3, 2], [2, 2], [1, 2], [1, 4]], [[6, 4], [5, 6], [6, 6], [8, 6], [7, 5], [3, 5], [7, 3], [3, 3], [8, 4], [7, 4], [5, 3], [8, 2], [8, 7], [3, 7], [3, 8], [8, 8], [6, 8], [1, 8], [4, 8], [2, 7], [4, 1], [8, 1], [2, 6], [6, 1], [1, 6], [6, 2], [3, 1], [2, 1], [1, 1], [1, 5], [1, 3]]]","[29, 31]","[12, 52, 40]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:06,"[[0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.106, 0.218, 0.112, 0.002, 0.498, 0.806, 0.779, 0.54, 0.636, 0.53, 0.208, 0.258, 0.323, 0.211, 0.177, 0.164, 0.211, 0.126, 0.002, 0.079, 0.001, 0.0, 0.044, 0.0, 0.04, 0.0, 0.025, 0.0, 0.005, 0.005, 0.0, 0.0]]","[[[5, 3], [3, 6], [3, 4], [2, 2], [3, 2], [5, 6], [1, 2], [7, 6], [1, 6], [5, 8], [2, 5], [4, 3], [3, 8], [7, 5], [3, 7], [6, 7], [1, 4], [2, 7], [8, 4], [8, 7], [2, 4], [4, 1], [6, 3], [7, 7], [7, 3], [7, 2], [6, 2], [7, 1]], [[6, 5], [3, 3], [3, 5], [1, 1], [2, 6], [6, 6], [1, 3], [4, 6], [4, 7], [4, 8], [6, 8], [6, 4], [2, 8], [5, 7], [8, 6], [1, 5], [1, 7], [8, 5], [1, 8], [2, 3], [2, 1], [3, 1], [4, 2], [5, 1], [7, 4], [5, 2], [7, 8], [8, 8], [8, 3], [8, 2], [8, 1], [6, 1]]]","[28, 32]","[10, 54, 44]",-1
"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:07,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.117, 0.057, 0.484, 0.192, 0.514, 0.459, 0.256, 0.597, 0.377, 0.668, 0.752, 0.33, 0.546, 0.009, 0.347, 0.201, 0.001, 0.265, 0.001, 0.003, 0.001, 0.104, 0.0, 0.084, 0.0, 0.051, 0.093, 0.047, 0.04, 0.0, 0.006, 0.001, 0.0, 0.0]]","[[[6, 3], [4, 3], [5, 6], [7, 5], [2, 3], [2, 6], [3, 7], [6, 7], [1, 5], [2, 4], [2, 7], [3, 2], [5, 7], [1, 7], [2, 8], [1, 3], [1, 1], [3, 1], [4, 1], [6, 2], [8, 3], [8, 7], [7, 2], [8, 2], [7, 7], [8, 6]], [[5, 3], [6, 4], [3, 4], [6, 6], [3, 5], [4, 6], [2, 5], [6, 5], [3, 3], [3, 6], [1, 4], [1, 6], [4, 7], [1, 8], [4, 8], [3, 8], [1, 2], [2, 2], [5, 8], [6, 8], [7, 8], [2, 1], [4, 2], [5, 2], [6, 1], [7, 3], [7, 1], [7, 6], [7, 4], [8, 1], [8, 4], [8, 5], [5, 1], [8, 8]]]","[26, 34]","[11, 53, 42]",-1
"[-1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:05,"[[0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.103, 0.218, 0.329, 0.393, 0.376, 0.457, 0.004, 0.379, 0.414, 0.382, 0.503, 0.003, 0.341, 0.446, 0.252, 0.072, 0.128, 0.073, 0.002, 0.001, 0.001, 0.002, 0.069, 0.032, 0.001, 0.0, 0.0, 0.004, 0.005, 0.0, 0.005, 0.0, 0.0, 0.0, 0.0]]","[[[6, 4], [3, 6], [4, 2], [2, 2], [7, 5], [7, 6], [6, 3], [8, 3], [6, 7], [1, 2], [4, 6], [7, 8], [8, 5], [8, 7], [3, 4], [7, 7], [5, 2], [2, 3], [5, 1], [7, 2], [8, 1], [2, 7], [4, 7], [1, 7], [1, 5]], [[4, 3], [6, 5], [3, 2], [7, 4], [6, 6], [3, 3], [1, 1], [8, 6], [5, 6], [6, 8], [1, 3], [8, 8], [4, 1], [2, 1], [3, 1], [8, 4], [8, 2], [7, 3], [5, 8], [1, 4], [6, 1], [5, 7], [6, 2], [7, 1], [5, 3], [2, 4], [3, 5], [2, 6], [3, 7], [1, 8], [1, 6], [4, 8], [2, 8], [3, 8], [2, 5]]]","[25, 35]","[5, 59, 54]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:06,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.086, 0.058, 0.481, 0.18, 0.606, 1.14, 0.441, 0.547, 0.001, 0.001, 0.107, 0.0, 0.001, 0.179, 0.313, 0.235, 0.238, 0.231, 0.179, 0.006, 0.34, 0.245, 0.003, 0.089, 0.177, 0.053, 0.03, 0.013, 0.0, 0.002, 0.0, 0.001, 0.0]]","[[[3, 6], [3, 4], [6, 5], [4, 7], [1, 4], [6, 6], [2, 6], [1, 2], [3, 2], [3, 1], [6, 8], [5, 7], [5, 3], [7, 3], [7, 5], [7, 7], [5, 2], [7, 8], [1, 7], [6, 3], [2, 7], [3, 8], [4, 8], [8, 5], [8, 6], [8, 1], [7, 1]], [[4, 6], [3, 5], [3, 3], [2, 4], [5, 6], [2, 3], [1, 3], [1, 5], [1, 1], [2, 2], [4, 1], [2, 1], [4, 2], [6, 7], [2, 5], [4, 3], [6, 4], [7, 4], [7, 6], [8, 8], [8, 3], [1, 6], [1, 8], [5, 8], [3, 7], [5, 1], [2, 8], [8, 7], [8, 4], [7, 2], [6, 2], [6, 1], [8, 2]]]","[27, 33]","[7, 57, 50]",-1
"[-1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:04,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.09, 0.142, 0.195, 0.391, 0.686, 0.722, 0.003, 0.328, 0.302, 0.235, 0.001, 0.001, 0.232, 0.002, 0.001, 0.123, 0.177, 0.002, 0.001, 0.001, 0.001, 0.074, 0.0, 0.003, 0.098, 0.001, 0.05, 0.031, 0.0, 0.0, 0.0, 0.0]]","[[[5, 3], [7, 6], [3, 4], [5, 2], [3, 5], [2, 3], [8, 7], [7, 7], [7, 5], [8, 4], [6, 7], [8, 2], [6, 8], [4, 8], [3, 7], [1, 2], [4, 2], [2, 4], [6, 2]], [[6, 5], [3, 3], [4, 3], [6, 4], [6, 6], [8, 6], [8, 8], [5, 6], [7, 4], [8, 5], [8, 3], [7, 8], [7, 3], [8, 1], [7, 2], [5, 7], [5, 8], [3, 8], [6, 3], [4, 7], [4, 6], [3, 6], [2, 8], [2, 7], [1, 3], [1, 1], [2, 6], [5, 1], [6, 1], [4, 1], [3, 2], [1, 4]]]","[19, 32]","[0, 55, 55]",-1
"[1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:07,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.097, 0.066, 0.548, 0.247, 0.38, 0.513, 0.364, 0.739, 0.985, 0.653, 0.684, 0.34, 0.321, 0.004, 0.003, 0.171, 0.261, 0.192, 0.005, 0.206, 0.167, 0.134, 0.001, 0.002, 0.074, 0.001, 0.041, 0.0, 0.03, 0.016, 0.0, 0.0, 0.002, 0.0]]","[[[6, 3], [4, 3], [6, 5], [4, 6], [7, 5], [2, 3], [6, 7], [2, 1], [5, 7], [3, 5], [3, 7], [7, 7], [7, 3], [1, 7], [1, 5], [6, 1], [8, 7], [6, 2], [4, 2], [8, 5], [7, 2], [4, 1], [3, 4], [1, 2], [2, 5]], [[5, 3], [6, 4], [3, 3], [6, 6], [7, 4], [8, 4], [7, 6], [3, 2], [5, 6], [4, 8], [4, 7], [6, 8], [3, 8], [5, 8], [7, 8], [2, 7], [1, 6], [5, 2], [8, 8], [5, 1], [8, 3], [7, 1], [8, 6], [2, 8], [8, 2], [8, 1], [3, 1], [1, 1], [1, 3], [2, 2], [1, 4], [1, 8], [2, 4], [3, 6]]]","[25, 34]","[7, 56, 49]",-1
