Board,Game Time,Move Time,Action List,Action List Count,Score,Winner
"[1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:50,"[[0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.348, 1.527, 1.841, 3.226, 4.149, 4.95, 0.002, 6.356, 3.531, 3.656, 4.731, 3.319, 2.488, 1.217, 0.956, 1.204, 1.555, 1.074, 0.93, 0.804, 0.779, 0.483, 0.144, 0.211, 0.145, 0.066, 0.0, 0.003, 0.0, 0.0]]","[[[6, 4], [3, 3], [4, 6], [2, 4], [4, 2], [6, 6], [4, 7], [7, 7], [8, 7], [7, 5], [2, 5], [5, 3], [6, 8], [2, 6], [3, 8], [8, 5], [1, 8], [1, 6], [3, 7], [2, 3], [1, 1], [6, 3], [1, 2], [8, 3], [5, 2], [5, 1], [7, 2], [7, 1], [2, 1]], [[4, 3], [6, 5], [3, 5], [3, 4], [5, 6], [5, 7], [6, 7], [8, 8], [7, 8], [8, 6], [3, 6], [4, 8], [1, 5], [7, 6], [2, 8], [2, 7], [5, 8], [1, 4], [1, 7], [2, 2], [8, 4], [3, 2], [7, 4], [1, 3], [8, 2], [6, 1], [7, 3], [8, 1], [6, 2], [4, 1], [3, 1]]]","[29, 31]","[14, 50, 36]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:46,"[[0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 2.429, 3.66, 3.053, 1.961, 4.009, 4.727, 3.65, 3.933, 2.985, 3.218, 1.962, 1.17, 2.796, 0.004, 2.96, 0.002, 1.45, 0.978, 0.289, 0.254, 0.0, 0.483, 0.0, 0.066, 0.003, 0.0, 0.0]]","[[[6, 5], [3, 3], [6, 3], [5, 6], [5, 1], [3, 2], [5, 2], [7, 5], [5, 7], [3, 7], [8, 7], [4, 6], [2, 5], [8, 5], [7, 4], [2, 7], [2, 6], [2, 8], [3, 4], [1, 7], [1, 2], [1, 4], [8, 2], [6, 7], [7, 2], [7, 7], [2, 4], [4, 8], [2, 2], [7, 1]], [[5, 3], [3, 6], [4, 3], [6, 6], [4, 2], [4, 1], [6, 1], [6, 4], [7, 6], [4, 7], [6, 2], [3, 1], [3, 8], [8, 6], [3, 5], [7, 3], [1, 8], [8, 4], [8, 8], [1, 6], [2, 3], [1, 3], [1, 5], [1, 1], [6, 8], [8, 1], [7, 8], [5, 8], [8, 3], [2, 1]]]","[30, 30]","[17, 47, 30]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0]",00:38,"[[0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.403, 6.898, 4.507, 3.926, 4.769, 1.606, 1.635, 1.981, 2.798, 0.975, 0.385, 0.688, 0.556, 1.759, 0.001, 1.379, 0.629, 0.447, 0.315, 0.072, 0.086, 0.071, 0.001, 0.0]]","[[[4, 6], [6, 3], [6, 5], [4, 3], [2, 5], [8, 3], [4, 1], [7, 4], [7, 1], [5, 1], [6, 7], [1, 5], [2, 3], [5, 2], [4, 7], [8, 5], [8, 1], [2, 6], [2, 2], [1, 3], [3, 2], [8, 6], [2, 7], [3, 7], [1, 8], [6, 8], [8, 8], [3, 8], [1, 7], [2, 1]], [[3, 4], [6, 4], [6, 6], [7, 3], [2, 4], [4, 2], [6, 2], [5, 3], [6, 1], [1, 6], [3, 5], [1, 4], [5, 6], [8, 4], [7, 5], [7, 2], [3, 6], [8, 2], [3, 3], [7, 6], [1, 1], [1, 2], [7, 8], [5, 8], [2, 8], [3, 1], [7, 7], [8, 7], [4, 8], [5, 7]]]","[30, 30]","[32, 32, 0]",0
"[1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:38,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.787, 1.279, 1.264, 0.001, 1.983, 4.487, 3.925, 3.324, 3.397, 0.001, 2.002, 1.732, 1.404, 3.445, 1.878, 1.822, 0.955, 0.002, 1.669, 1.474, 0.652, 0.547, 0.117, 0.133, 0.059, 0.005, 0.0, 0.0]]","[[[6, 5], [3, 5], [4, 3], [4, 2], [2, 2], [2, 3], [6, 4], [5, 6], [4, 6], [7, 6], [7, 2], [7, 3], [6, 1], [4, 1], [2, 5], [2, 1], [1, 5], [1, 7], [8, 2], [3, 7], [5, 8], [1, 2], [7, 5], [2, 7], [7, 4], [5, 7], [4, 8], [8, 7], [8, 5], [7, 7]], [[5, 3], [3, 6], [6, 6], [3, 3], [6, 3], [1, 1], [3, 2], [1, 3], [6, 2], [3, 1], [3, 4], [8, 1], [5, 2], [7, 1], [5, 1], [1, 4], [2, 6], [2, 4], [1, 6], [1, 8], [6, 7], [8, 3], [3, 8], [8, 6], [4, 7], [2, 8], [7, 8], [6, 8], [8, 8], [8, 4]]]","[30, 30]","[16, 48, 32]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:45,"[[0.0, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.737, 1.59, 1.681, 1.094, 1.484, 2.485, 2.832, 2.487, 2.469, 4.174, 5.065, 4.048, 0.003, 2.981, 0.001, 2.978, 2.762, 0.001, 2.329, 1.43, 0.617, 0.817, 0.421, 0.115, 0.058, 0.029, 0.01, 0.0, 0.001, 0.0, 0.0, 0.0]]","[[[6, 4], [3, 4], [4, 2], [7, 6], [5, 6], [4, 6], [7, 3], [8, 3], [8, 2], [6, 1], [8, 5], [2, 8], [7, 8], [3, 5], [6, 3], [1, 5], [8, 6], [6, 2], [5, 8], [2, 3], [6, 7], [3, 3], [3, 1], [2, 7], [4, 7], [2, 4], [2, 2]], [[4, 3], [2, 5], [6, 5], [5, 2], [4, 1], [7, 4], [7, 2], [7, 5], [3, 6], [5, 3], [3, 7], [7, 7], [8, 4], [8, 1], [6, 6], [8, 8], [5, 7], [3, 8], [1, 8], [8, 7], [7, 1], [6, 8], [5, 1], [2, 1], [1, 7], [4, 8], [2, 6], [3, 2], [1, 1], [1, 2], [1, 3], [1, 6], [1, 4]]]","[27, 33]","[1, 63, 62]",-1
"[-1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:38,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.626, 2.214, 0.002, 2.057, 2.093, 2.833, 3.379, 4.024, 5.741, 0.005, 1.323, 2.756, 2.6, 2.335, 1.319, 0.002, 1.236, 1.234, 0.371, 0.282, 0.342, 0.132, 0.047, 0.026, 0.014, 0.014, 0.004, 0.001, 0.0]]","[[[6, 3], [6, 5], [3, 3], [7, 7], [7, 4], [7, 5], [3, 5], [5, 2], [6, 2], [8, 6], [5, 7], [8, 2], [7, 1], [2, 5], [6, 8], [4, 2], [4, 7], [2, 7], [5, 6], [3, 7], [1, 7], [4, 8], [1, 5], [2, 4], [3, 2], [1, 1]], [[5, 3], [6, 4], [7, 3], [6, 6], [6, 7], [8, 8], [3, 6], [8, 5], [8, 4], [7, 2], [4, 3], [8, 7], [8, 1], [3, 4], [2, 6], [8, 3], [6, 1], [5, 1], [1, 8], [4, 6], [7, 6], [7, 8], [5, 8], [2, 8], [1, 6], [3, 8], [1, 4], [2, 2], [4, 1], [3, 1], [2, 3], [1, 3]]]","[26, 32]","[1, 61, 60]",-1
"[1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0]",01:09,"[[0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.484, 1.545, 4.098, 8.314, 4.748, 3.524, 3.319, 3.474, 7.497, 16.078, 4.104, 1.811, 1.392, 1.727, 1.525, 0.002, 2.614, 0.649, 0.534, 0.599, 0.002, 0.298, 0.124, 0.123, 0.064, 0.08, 0.012, 0.002, 0.0]]","[[[4, 6], [3, 3], [2, 4], [5, 3], [6, 5], [2, 3], [1, 1], [2, 6], [1, 4], [1, 6], [7, 5], [8, 3], [6, 6], [4, 1], [6, 1], [2, 8], [3, 2], [1, 2], [3, 7], [8, 8], [7, 3], [7, 1], [6, 3], [8, 2], [7, 6], [5, 7], [4, 8], [6, 7], [7, 8], [8, 5]], [[3, 4], [5, 6], [4, 3], [2, 2], [3, 5], [7, 4], [1, 3], [2, 5], [1, 5], [3, 1], [1, 7], [4, 2], [5, 2], [2, 7], [5, 1], [3, 6], [1, 8], [2, 1], [7, 7], [6, 4], [6, 2], [8, 1], [7, 2], [8, 6], [3, 8], [4, 7], [6, 8], [5, 8], [8, 7], [8, 4]]]","[30, 30]","[25, 39, 14]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:33,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.116, 1.114, 1.123, 3.287, 3.221, 3.208, 3.979, 3.43, 1.78, 1.442, 0.887, 1.588, 0.003, 2.521, 1.192, 0.908, 0.002, 0.681, 0.003, 0.457, 0.367, 0.152, 0.051, 0.046, 0.024, 0.018, 0.003, 0.001]]","[[[6, 5], [4, 3], [5, 2], [3, 5], [3, 7], [7, 6], [6, 1], [7, 4], [6, 7], [3, 1], [8, 3], [4, 1], [7, 2], [6, 8], [3, 3], [5, 6], [7, 5], [8, 7], [7, 3], [2, 2], [2, 3], [3, 4], [4, 7], [1, 2], [4, 6], [1, 8], [2, 6], [4, 8], [2, 8], [1, 6]], [[5, 3], [3, 6], [6, 3], [6, 6], [6, 4], [4, 2], [5, 1], [6, 2], [8, 6], [7, 1], [8, 5], [5, 8], [2, 1], [3, 2], [8, 1], [8, 4], [8, 2], [7, 8], [8, 8], [7, 7], [1, 1], [5, 7], [2, 7], [3, 8], [1, 4], [1, 3], [2, 5], [1, 5], [2, 4], [1, 7]]]","[30, 30]","[15, 49, 34]",-1
"[-1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:20,"[[0.0, 0.001, 0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.968, 1.613, 0.975, 1.223, 1.301, 1.711, 1.77, 1.285, 2.021, 0.002, 1.469, 0.877, 0.892, 0.001, 0.002, 1.355, 0.475, 0.37, 0.262, 0.436, 0.272, 0.292, 0.233, 0.126, 0.068, 0.0, 0.041, 0.023, 0.01, 0.01, 0.001, 0.0, 0.0]]","[[[6, 4], [3, 2], [3, 3], [3, 5], [4, 1], [5, 2], [1, 5], [2, 2], [4, 7], [2, 5], [3, 1], [6, 3], [1, 7], [2, 7], [7, 1], [2, 3], [1, 2], [1, 3], [4, 8], [6, 8], [7, 2], [6, 5], [7, 7], [8, 7], [7, 4], [8, 5]], [[4, 3], [4, 2], [2, 1], [2, 4], [5, 3], [6, 1], [3, 4], [4, 6], [1, 4], [5, 1], [1, 1], [2, 6], [3, 6], [1, 6], [1, 8], [8, 1], [2, 8], [3, 7], [5, 8], [3, 8], [5, 7], [7, 8], [6, 7], [6, 2], [6, 6], [5, 6], [8, 8], [7, 6], [8, 2], [7, 5], [8, 4], [8, 3], [7, 3], [8, 6]]]","[26, 34]","[5, 59, 54]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:32,"[[0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 4.992, 5.152, 2.974, 0.977, 0.001, 0.915, 1.687, 1.471, 0.002, 3.416, 1.75, 1.974, 1.34, 1.265, 1.119, 0.002, 0.643, 0.003, 0.514, 0.626, 0.399, 0.226, 0.207, 0.207, 0.135, 0.065, 0.019, 0.006, 0.001, 0.0]]","[[[6, 3], [4, 3], [7, 3], [6, 6], [4, 1], [7, 1], [7, 4], [4, 6], [7, 2], [7, 5], [2, 7], [2, 6], [8, 2], [3, 4], [3, 5], [2, 3], [2, 8], [8, 7], [7, 6], [2, 1], [6, 7], [7, 8], [1, 3], [2, 5], [2, 4], [4, 7], [1, 6]], [[5, 3], [6, 4], [6, 2], [3, 6], [5, 2], [5, 1], [6, 1], [8, 1], [6, 5], [4, 2], [3, 1], [1, 8], [8, 3], [3, 3], [3, 2], [8, 6], [8, 5], [8, 4], [8, 8], [7, 7], [1, 1], [5, 6], [2, 2], [5, 8], [3, 8], [6, 8], [5, 7], [1, 2], [1, 4], [1, 7], [3, 7], [4, 8], [1, 5]]]","[27, 33]","[2, 62, 60]",-1
