Board,Game Time,Move Time,Action List,Action List Count,Score,Winner
"[-1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0]",00:45,"[[0.001, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.773, 2.165, 2.158, 2.006, 2.089, 2.072, 2.642, 2.399, 2.293, 0.0, 2.195, 2.042, 1.926, 1.799, 1.742, 0.0, 1.46, 1.405, 1.76, 1.333, 1.299, 1.616, 1.449, 1.355, 0.0, 1.173, 0.96, 0.847, 0.759, 0.0]]","[[[5, 3], [7, 3], [3, 3], [4, 2], [5, 6], [6, 1], [7, 4], [2, 1], [3, 4], [7, 1], [2, 2], [8, 4], [4, 6], [7, 5], [2, 3], [6, 4], [8, 2], [8, 7], [4, 7], [7, 8], [2, 4], [3, 8], [1, 5], [1, 7], [7, 7], [1, 2], [1, 8], [6, 8], [1, 6], [8, 6]], [[6, 3], [4, 3], [3, 2], [6, 5], [5, 2], [6, 2], [3, 5], [8, 3], [3, 1], [1, 1], [3, 6], [6, 7], [7, 6], [5, 7], [5, 1], [8, 1], [1, 3], [2, 5], [3, 7], [4, 1], [6, 6], [8, 5], [2, 6], [5, 8], [8, 8], [2, 7], [7, 2], [1, 4], [2, 8], [4, 8]]]","[30, 30]","[21, 43, 22]",-1
"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0]",00:51,"[[0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [2.15, 2.287, 1.987, 2.5, 2.088, 2.806, 2.254, 2.646, 2.482, 2.211, 0.0, 2.344, 2.2, 2.043, 1.82, 2.043, 1.633, 1.891, 1.971, 1.696, 1.861, 1.567, 1.431, 1.378, 0.936, 0.0, 1.079, 1.105, 0.0, 0.778, 0.0]]","[[[5, 6], [3, 6], [7, 6], [3, 4], [3, 2], [2, 7], [5, 7], [2, 8], [4, 1], [6, 7], [8, 5], [5, 2], [5, 8], [8, 8], [2, 6], [7, 7], [2, 3], [1, 3], [6, 3], [2, 5], [3, 3], [1, 1], [7, 3], [3, 1], [7, 2], [1, 7], [8, 2], [7, 4], [6, 1]], [[3, 5], [6, 6], [4, 6], [3, 7], [4, 3], [8, 6], [4, 2], [6, 8], [2, 4], [5, 3], [1, 8], [8, 4], [4, 7], [7, 8], [4, 8], [3, 8], [1, 5], [6, 2], [7, 5], [1, 4], [1, 2], [2, 2], [6, 4], [8, 3], [6, 5], [8, 1], [2, 1], [1, 6], [8, 7], [5, 1], [7, 1]]]","[29, 31]","[23, 41, 18]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0]",00:45,"[[0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [2.006, 2.117, 2.309, 0.0, 2.391, 2.411, 2.019, 2.086, 2.38, 2.234, 2.21, 2.124, 2.012, 1.963, 0.0, 1.864, 1.699, 1.927, 1.598, 1.518, 1.674, 1.521, 1.378, 0.0, 1.23, 1.01, 0.0, 0.844, 0.53, 0.0]]","[[[5, 3], [4, 6], [6, 2], [7, 1], [7, 2], [6, 4], [5, 1], [8, 2], [2, 6], [5, 7], [7, 7], [3, 5], [8, 5], [4, 8], [1, 7], [2, 7], [2, 8], [1, 4], [8, 4], [3, 2], [3, 3], [3, 7], [6, 6], [6, 8], [4, 3], [1, 2], [1, 5], [2, 2], [8, 7], [3, 1]], [[6, 3], [5, 2], [6, 1], [8, 1], [7, 4], [8, 3], [3, 6], [7, 3], [5, 6], [6, 7], [4, 7], [1, 6], [2, 4], [3, 8], [1, 8], [4, 1], [3, 4], [7, 5], [2, 3], [7, 8], [8, 6], [6, 5], [5, 8], [8, 8], [1, 3], [2, 5], [1, 1], [4, 2], [7, 6], [2, 1]]]","[30, 30]","[12, 52, 40]",-1
"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0]",00:50,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [2.484, 2.277, 2.3, 1.973, 2.091, 0.0, 2.322, 2.114, 2.231, 3.029, 2.65, 2.599, 1.915, 1.765, 1.509, 0.0, 1.44, 1.51, 1.609, 1.676, 1.841, 1.662, 1.447, 1.475, 1.462, 1.461, 1.095, 1.089, 0.7, 0.0, 0.0]]","[[[6, 5], [7, 5], [3, 5], [3, 3], [2, 7], [2, 5], [2, 3], [1, 7], [6, 3], [1, 3], [4, 6], [1, 5], [5, 6], [2, 8], [7, 2], [8, 6], [1, 1], [4, 1], [5, 8], [8, 3], [7, 3], [2, 4], [6, 8], [7, 1], [8, 8], [2, 1], [4, 2], [6, 2], [7, 7]], [[5, 3], [7, 6], [3, 6], [2, 6], [3, 4], [1, 8], [1, 4], [4, 3], [6, 6], [3, 2], [5, 2], [7, 4], [4, 7], [2, 2], [3, 8], [8, 1], [3, 7], [6, 4], [1, 2], [6, 7], [5, 7], [1, 6], [8, 2], [4, 8], [8, 7], [3, 1], [6, 1], [5, 1], [8, 4], [8, 5], [7, 8]]]","[29, 31]","[22, 42, 20]",-1
"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0]",00:45,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [2.086, 2.42, 2.435, 2.204, 1.868, 2.934, 2.303, 0.0, 2.061, 1.978, 1.945, 1.97, 2.044, 0.0, 1.968, 0.0, 1.961, 1.532, 1.647, 1.591, 1.563, 1.767, 1.69, 1.483, 1.261, 0.884, 0.923, 0.703, 0.0, 0.0, 0.0]]","[[[5, 3], [7, 3], [3, 3], [3, 5], [8, 1], [2, 1], [7, 7], [5, 7], [7, 4], [5, 6], [3, 6], [4, 7], [2, 8], [2, 4], [7, 5], [8, 7], [2, 7], [6, 5], [2, 3], [2, 2], [1, 7], [5, 2], [8, 2], [5, 8], [1, 5], [1, 2], [8, 4], [7, 8], [6, 2]], [[6, 3], [4, 3], [7, 2], [3, 2], [4, 6], [6, 6], [6, 4], [8, 8], [3, 7], [6, 7], [2, 6], [3, 4], [3, 1], [1, 1], [3, 8], [1, 8], [1, 6], [4, 8], [1, 4], [1, 3], [8, 3], [6, 8], [8, 6], [4, 1], [4, 2], [6, 1], [8, 5], [2, 5], [7, 6], [5, 1], [7, 1]]]","[29, 31]","[26, 38, 12]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0]",00:52,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [2.254, 2.303, 2.097, 2.158, 2.579, 2.19, 2.095, 1.895, 2.083, 2.526, 0.0, 2.221, 2.137, 2.491, 1.866, 1.926, 2.346, 2.426, 2.367, 2.122, 0.0, 1.455, 1.398, 1.521, 1.365, 1.17, 1.102, 0.0, 0.845, 0.615]]","[[[6, 5], [4, 3], [3, 4], [7, 6], [8, 5], [4, 7], [1, 2], [6, 4], [6, 7], [2, 2], [3, 2], [8, 4], [6, 6], [8, 8], [5, 2], [2, 5], [8, 2], [1, 3], [6, 1], [1, 5], [4, 1], [6, 2], [3, 7], [2, 7], [3, 6], [8, 7], [1, 7], [7, 8], [7, 2], [4, 8]], [[5, 3], [5, 6], [3, 3], [7, 5], [7, 7], [2, 3], [6, 3], [5, 7], [7, 3], [7, 4], [1, 1], [2, 4], [4, 2], [3, 1], [3, 5], [8, 6], [1, 4], [1, 6], [5, 1], [8, 3], [8, 1], [4, 6], [2, 1], [2, 8], [7, 1], [6, 8], [5, 8], [1, 8], [2, 6], [3, 8]]]","[30, 30]","[18, 46, 28]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0]",00:44,"[[0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [2.118, 2.251, 2.003, 2.21, 2.435, 2.116, 2.319, 2.227, 1.81, 2.09, 2.064, 1.942, 1.857, 1.921, 1.848, 0.0, 1.529, 0.0, 1.501, 1.576, 1.492, 1.195, 1.102, 1.242, 1.129, 0.941, 0.668, 0.0, 0.685, 0.0]]","[[[3, 5], [6, 4], [2, 5], [5, 7], [7, 7], [3, 7], [3, 3], [2, 4], [2, 7], [1, 5], [4, 2], [1, 3], [2, 6], [2, 2], [5, 3], [1, 7], [3, 8], [6, 8], [8, 8], [2, 1], [5, 1], [4, 1], [8, 6], [7, 4], [4, 8], [6, 5], [8, 5], [7, 2], [7, 1], [8, 2]], [[3, 6], [3, 4], [5, 6], [6, 7], [1, 4], [4, 7], [2, 3], [5, 8], [4, 3], [1, 6], [7, 8], [7, 6], [3, 2], [5, 2], [4, 6], [1, 8], [3, 1], [1, 1], [6, 6], [6, 2], [1, 2], [2, 8], [6, 3], [6, 1], [7, 3], [7, 5], [8, 7], [8, 1], [8, 4], [8, 3]]]","[30, 30]","[17, 47, 30]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:53,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [2.422, 2.56, 2.535, 2.238, 2.266, 2.255, 0.001, 2.427, 2.739, 0.0, 2.339, 2.604, 2.098, 1.835, 2.193, 2.302, 0.0, 1.89, 1.951, 2.118, 2.32, 2.115, 1.829, 2.12, 1.547, 1.248, 1.083, 1.254, 0.919, 0.0, 0.0]]","[[[6, 3], [4, 3], [4, 6], [7, 2], [6, 5], [7, 4], [4, 7], [3, 4], [2, 7], [7, 1], [2, 5], [6, 7], [8, 5], [2, 6], [2, 8], [7, 7], [2, 4], [6, 2], [4, 2], [3, 2], [1, 2], [8, 7], [3, 1], [1, 1], [5, 2], [1, 6], [1, 3], [1, 4], [5, 6]], [[5, 3], [7, 3], [3, 5], [5, 7], [3, 3], [6, 4], [8, 1], [3, 6], [8, 3], [1, 8], [7, 6], [1, 5], [2, 3], [6, 8], [6, 6], [8, 2], [8, 8], [8, 6], [3, 8], [4, 1], [5, 1], [3, 7], [8, 4], [2, 2], [2, 1], [6, 1], [7, 5], [7, 8], [5, 8], [4, 8], [1, 7]]]","[29, 31]","[17, 47, 30]",-1
"[-1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:41,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.991, 1.875, 2.017, 1.757, 0.0, 1.878, 2.165, 2.128, 2.054, 0.0, 2.252, 2.212, 2.116, 2.221, 1.675, 1.507, 1.619, 0.0, 1.533, 1.41, 1.38, 1.418, 0.0, 1.28, 1.117, 0.971, 0.828, 0.547, 0.666, 0.0]]","[[[3, 5], [4, 6], [3, 3], [2, 2], [2, 4], [4, 2], [6, 4], [7, 3], [1, 7], [5, 6], [7, 4], [3, 7], [7, 5], [6, 2], [4, 3], [8, 4], [2, 1], [8, 2], [8, 7], [2, 3], [1, 4], [7, 8], [7, 7], [5, 8], [2, 8], [6, 8], [1, 5], [3, 8], [6, 1], [1, 2]], [[3, 6], [3, 4], [3, 2], [6, 5], [1, 1], [2, 6], [6, 3], [8, 3], [1, 6], [1, 8], [8, 5], [7, 6], [5, 3], [4, 8], [5, 1], [5, 7], [1, 3], [8, 1], [6, 7], [4, 7], [6, 6], [5, 2], [8, 8], [2, 5], [2, 7], [8, 6], [3, 1], [7, 2], [7, 1], [4, 1]]]","[30, 30]","[26, 38, 12]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:58,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [2.183, 2.472, 2.382, 2.684, 2.48, 2.83, 2.767, 2.946, 2.473, 2.665, 2.347, 3.143, 2.62, 2.583, 2.356, 2.373, 2.295, 1.808, 1.89, 1.853, 1.849, 0.0, 1.569, 1.13, 1.163, 1.125, 1.143, 0.0, 0.852, 0.0, 0.0]]","[[[4, 3], [6, 4], [6, 6], [2, 1], [4, 7], [3, 4], [2, 6], [1, 1], [6, 3], [1, 8], [8, 4], [4, 1], [5, 7], [2, 3], [7, 6], [6, 7], [8, 5], [8, 7], [7, 3], [1, 5], [8, 3], [1, 4], [5, 8], [4, 2], [5, 2], [1, 7], [7, 2], [7, 1], [7, 8]], [[5, 3], [3, 2], [6, 5], [3, 6], [5, 6], [3, 3], [4, 6], [2, 2], [3, 5], [2, 7], [7, 5], [3, 1], [3, 8], [1, 6], [6, 8], [8, 6], [2, 5], [2, 4], [7, 4], [1, 2], [8, 2], [8, 8], [1, 3], [3, 7], [5, 1], [6, 1], [6, 2], [8, 1], [7, 7], [4, 8], [2, 8]]]","[29, 31]","[29, 35, 6]",-1
