Board,Game Time,Move Time,Action List,Action List Count,Score,Winner
"[-1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0]",01:35,"[[0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.249, 0.841, 1.788, 3.748, 4.234, 9.978, 7.382, 7.64, 6.084, 12.904, 8.377, 8.269, 5.233, 4.886, 1.636, 2.577, 2.331, 0.0, 2.683, 2.119, 1.415, 0.386, 0.0, 0.202, 0.0, 0.09, 0.043, 0.0, 0.002, 0.0]]","[[[5, 3], [3, 4], [5, 6], [3, 6], [4, 2], [6, 4], [5, 8], [2, 5], [7, 4], [6, 7], [3, 7], [8, 5], [6, 1], [8, 3], [7, 3], [3, 3], [7, 7], [4, 1], [2, 3], [7, 6], [7, 8], [3, 8], [2, 7], [1, 7], [7, 2], [8, 2], [2, 2], [1, 2], [1, 5], [1, 4]], [[4, 3], [6, 5], [4, 6], [3, 5], [4, 7], [5, 7], [6, 3], [6, 8], [5, 2], [4, 8], [7, 5], [8, 4], [5, 1], [3, 1], [3, 2], [6, 6], [2, 4], [8, 8], [7, 1], [8, 6], [8, 7], [2, 8], [1, 8], [6, 2], [8, 1], [2, 6], [2, 1], [1, 1], [1, 3], [1, 6]]]","[30, 30]","[20, 44, 24]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",01:19,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.222, 0.551, 1.508, 2.431, 4.742, 5.713, 3.907, 0.0, 2.005, 5.235, 4.323, 4.0, 0.0, 6.314, 6.077, 7.098, 9.256, 0.0, 6.01, 3.904, 2.241, 0.0, 2.298, 0.657, 0.285, 0.055, 0.046, 0.015, 0.009, 0.0, 0.0]]","[[[6, 5], [4, 3], [5, 2], [3, 3], [6, 2], [3, 2], [2, 1], [2, 4], [5, 6], [5, 1], [2, 7], [7, 5], [1, 2], [3, 5], [8, 4], [1, 5], [7, 7], [3, 7], [1, 4], [1, 7], [7, 2], [7, 4], [7, 8], [8, 2], [5, 7], [4, 6], [4, 7], [6, 7], [4, 8]], [[5, 3], [3, 6], [6, 3], [6, 4], [3, 4], [4, 2], [3, 1], [1, 1], [4, 1], [6, 1], [2, 2], [7, 6], [1, 8], [7, 3], [2, 5], [6, 6], [8, 6], [8, 8], [1, 6], [2, 6], [1, 3], [8, 1], [2, 3], [7, 1], [8, 3], [8, 5], [2, 8], [8, 7], [6, 8], [3, 8], [5, 8]]]","[29, 31]","[10, 54, 44]",-1
"[-1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",02:25,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.236, 0.815, 2.756, 2.607, 5.213, 8.931, 10.964, 17.438, 11.793, 12.637, 6.629, 16.638, 13.641, 12.583, 8.123, 6.457, 3.138, 2.098, 0.001, 0.0, 1.024, 0.892, 0.194, 0.0, 0.166, 0.073, 0.0, 0.022, 0.003, 0.0]]","[[[3, 5], [4, 3], [6, 4], [6, 2], [2, 3], [3, 6], [6, 6], [6, 3], [6, 1], [1, 5], [2, 4], [6, 7], [3, 7], [4, 1], [8, 4], [4, 2], [7, 4], [8, 6], [7, 2], [7, 7], [7, 8], [7, 3], [5, 8], [2, 1], [3, 8], [2, 7], [1, 7], [1, 6], [2, 2], [1, 2]], [[3, 4], [5, 6], [5, 3], [3, 3], [2, 5], [5, 2], [7, 5], [4, 6], [4, 7], [5, 7], [5, 1], [6, 5], [7, 1], [3, 1], [7, 6], [8, 5], [8, 3], [8, 7], [8, 1], [8, 8], [6, 8], [8, 2], [3, 2], [1, 1], [4, 8], [2, 8], [1, 8], [2, 6], [1, 4], [1, 3]]]","[30, 30]","[13, 51, 38]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]",02:13,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.192, 0.565, 0.816, 3.572, 7.332, 4.88, 5.086, 5.685, 11.483, 11.409, 12.898, 14.13, 10.916, 13.388, 13.907, 0.0, 6.515, 4.802, 2.132, 1.733, 0.0, 0.593, 0.574, 0.0, 0.258, 0.222, 0.072, 0.028, 0.009, 0.0, 0.0]]","[[[5, 6], [3, 6], [5, 7], [3, 4], [3, 7], [5, 8], [6, 4], [5, 3], [7, 4], [3, 2], [5, 2], [1, 2], [7, 1], [7, 6], [7, 2], [4, 2], [8, 5], [7, 7], [8, 2], [8, 6], [8, 7], [2, 1], [2, 4], [2, 6], [4, 1], [1, 4], [1, 5], [2, 7], [1, 7]], [[4, 6], [6, 6], [3, 5], [6, 7], [6, 8], [6, 5], [6, 3], [3, 3], [4, 8], [2, 3], [7, 3], [6, 2], [4, 3], [4, 7], [8, 3], [8, 1], [7, 5], [6, 1], [3, 8], [8, 4], [8, 8], [7, 8], [2, 2], [1, 1], [1, 3], [3, 1], [5, 1], [2, 5], [1, 6], [1, 8], [2, 8]]]","[29, 31]","[10, 54, 44]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",01:54,"[[0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.339, 0.493, 1.243, 2.263, 0.0, 2.645, 5.911, 7.758, 10.835, 21.776, 16.466, 11.579, 9.156, 0.0, 6.556, 4.239, 3.079, 4.292, 2.569, 1.13, 0.586, 0.583, 0.363, 0.0, 0.169, 0.161, 0.084, 0.056, 0.016, 0.002, 0.0]]","[[[5, 3], [3, 5], [3, 2], [7, 2], [5, 2], [7, 4], [4, 2], [5, 6], [3, 7], [2, 4], [5, 7], [7, 1], [7, 5], [1, 2], [6, 2], [3, 6], [2, 5], [2, 3], [8, 4], [2, 1], [7, 6], [1, 5], [2, 7], [2, 8], [8, 6], [5, 8], [6, 7], [7, 7], [7, 8]], [[4, 3], [6, 3], [3, 3], [7, 3], [8, 1], [6, 5], [3, 4], [4, 6], [4, 7], [6, 4], [2, 2], [8, 2], [6, 1], [1, 1], [8, 3], [1, 3], [3, 1], [4, 1], [5, 1], [6, 6], [1, 6], [1, 4], [2, 6], [1, 8], [1, 7], [8, 7], [8, 5], [3, 8], [4, 8], [6, 8], [8, 8]]]","[29, 31]","[13, 51, 38]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",02:02,"[[0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.233, 0.663, 0.745, 1.627, 2.196, 6.956, 11.455, 11.879, 11.026, 10.894, 14.778, 9.264, 6.411, 11.171, 6.494, 4.396, 0.0, 4.01, 2.8, 0.001, 1.992, 1.787, 0.779, 0.0, 0.315, 0.136, 0.028, 0.005, 0.0, 0.0, 0.0]]","[[[5, 6], [3, 4], [6, 7], [5, 2], [6, 5], [3, 7], [3, 2], [1, 4], [2, 6], [8, 3], [4, 8], [5, 7], [4, 3], [6, 1], [1, 6], [7, 2], [2, 4], [8, 2], [2, 7], [2, 8], [7, 7], [7, 6], [8, 5], [4, 2], [7, 8], [5, 1], [3, 1], [1, 2], [2, 2]], [[4, 6], [6, 6], [3, 3], [5, 3], [6, 4], [3, 6], [4, 7], [2, 3], [7, 4], [2, 5], [3, 8], [5, 8], [6, 2], [6, 3], [3, 5], [7, 3], [8, 1], [4, 1], [7, 1], [1, 8], [7, 5], [8, 4], [1, 7], [8, 8], [8, 6], [6, 8], [1, 5], [1, 3], [1, 1], [8, 7], [2, 1]]]","[29, 31]","[11, 53, 42]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",02:06,"[[0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.26, 0.87, 1.878, 4.023, 5.236, 11.221, 13.454, 9.44, 15.348, 13.369, 11.1, 13.777, 10.401, 4.453, 2.667, 2.092, 0.001, 1.493, 1.219, 0.832, 0.863, 0.938, 0.813, 0.0, 0.25, 0.174, 0.0, 0.043, 0.043, 0.02, 0.0, 0.001, 0.0, 0.0]]","[[[6, 4], [5, 6], [3, 3], [3, 4], [7, 5], [6, 3], [6, 7], [4, 6], [3, 8], [7, 3], [2, 5], [7, 1], [4, 8], [6, 1], [7, 7], [8, 7], [8, 5], [4, 2], [2, 6], [1, 7], [8, 2], [8, 3], [3, 2], [2, 2], [2, 4], [1, 2]], [[6, 5], [4, 3], [7, 4], [4, 7], [6, 6], [5, 3], [5, 2], [3, 5], [3, 6], [6, 2], [5, 7], [7, 8], [5, 8], [7, 6], [2, 8], [6, 8], [8, 8], [8, 6], [3, 7], [8, 4], [4, 1], [2, 7], [1, 6], [1, 8], [1, 5], [7, 2], [8, 1], [5, 1], [3, 1], [2, 1], [1, 1], [1, 4], [1, 3], [2, 3]]]","[26, 34]","[8, 56, 48]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",01:47,"[[0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.221, 0.634, 1.533, 2.436, 3.975, 6.416, 0.0, 5.515, 4.201, 15.266, 0.0, 9.877, 9.851, 8.915, 11.865, 6.733, 5.755, 3.959, 1.849, 1.969, 1.763, 1.304, 1.558, 0.798, 0.438, 0.247, 0.0, 0.0, 0.013, 0.003, 0.0, 0.0]]","[[[4, 3], [4, 2], [6, 2], [5, 6], [2, 2], [7, 5], [2, 3], [4, 7], [2, 4], [7, 7], [5, 7], [2, 1], [6, 3], [2, 5], [1, 7], [8, 5], [7, 8], [7, 3], [4, 8], [1, 2], [5, 2], [3, 7], [7, 2], [1, 4], [8, 2], [2, 7], [7, 1], [5, 1]], [[5, 3], [3, 3], [3, 2], [3, 4], [6, 5], [4, 6], [1, 1], [3, 6], [6, 6], [3, 5], [8, 8], [6, 4], [2, 6], [7, 4], [8, 6], [7, 6], [8, 4], [8, 7], [6, 8], [6, 7], [5, 8], [1, 3], [3, 1], [3, 8], [8, 3], [1, 6], [1, 8], [8, 1], [1, 5], [2, 8], [6, 1], [4, 1]]]","[28, 32]","[8, 56, 48]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:45,"[[0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.315, 0.474, 2.271, 1.326, 2.87, 3.166, 3.882, 4.47, 7.494, 6.993, 0.0, 1.446, 1.941, 1.468, 0.0, 1.23, 1.13, 0.728, 0.644, 0.8, 0.835, 0.721, 0.44, 0.411, 0.198, 0.132, 0.0, 0.074, 0.036, 0.02, 0.005, 0.0]]","[[[5, 3], [3, 3], [3, 6], [4, 1], [6, 3], [7, 5], [5, 1], [3, 5], [2, 3], [2, 4], [2, 1], [4, 7], [1, 3], [2, 2], [7, 1], [8, 2], [6, 6], [2, 6], [5, 8], [7, 7], [8, 6]], [[4, 3], [4, 2], [6, 5], [3, 4], [6, 4], [5, 2], [3, 2], [4, 6], [3, 1], [6, 1], [1, 1], [1, 4], [1, 2], [6, 2], [8, 1], [7, 2], [7, 3], [1, 5], [5, 6], [8, 4], [8, 3], [7, 4], [2, 5], [8, 5], [3, 8], [7, 6], [8, 8], [8, 7], [6, 7], [5, 7], [2, 7], [3, 7]]]","[21, 32]","[1, 56, 55]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",01:51,"[[0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.195, 0.446, 2.582, 1.743, 4.318, 0.0, 5.103, 0.0, 7.374, 7.365, 7.742, 15.495, 13.338, 10.7, 7.109, 0.0, 7.839, 7.811, 0.0, 4.081, 2.582, 1.967, 1.12, 1.13, 0.501, 0.193, 0.11, 0.022, 0.003, 0.0]]","[[[6, 3], [6, 5], [3, 4], [5, 6], [7, 7], [4, 6], [2, 2], [5, 2], [7, 3], [7, 6], [2, 4], [2, 3], [2, 1], [4, 2], [8, 2], [6, 2], [2, 7], [8, 6], [4, 1], [3, 7], [1, 2], [1, 4], [5, 8], [7, 2], [1, 6], [7, 1], [2, 5], [2, 8], [4, 8], [7, 8]], [[6, 4], [5, 3], [6, 6], [3, 3], [3, 5], [8, 8], [7, 4], [1, 1], [7, 5], [4, 3], [8, 4], [2, 6], [3, 2], [8, 3], [3, 6], [8, 1], [3, 1], [8, 5], [1, 8], [8, 7], [1, 3], [5, 7], [1, 5], [5, 1], [6, 1], [1, 7], [3, 8], [6, 8], [6, 7], [4, 7]]]","[30, 30]","[25, 39, 14]",-1
