Board,Game Time,Move Time,Action List,Action List Count,Score,Winner
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0]",00:06,"[[0.0, 0.0, 0.001, 0.001, 0.001, 0.001, 0.001, 0.0, 0.001, 0.001, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.134, 0.175, 0.271, 0.394, 0.537, 0.798, 0.361, 0.64, 0.418, 0.391, 0.008, 0.007, 0.232, 0.664, 0.354, 0.173, 0.357, 0.172, 0.047, 0.001, 0.113, 0.099, 0.0, 0.001, 0.088, 0.036, 0.011, 0.002, 0.002, 0.0, 0.0, 0.0]]","[[[6, 4], [3, 6], [3, 4], [4, 6], [4, 2], [2, 4], [7, 7], [6, 1], [2, 2], [6, 5], [8, 7], [2, 1], [6, 7], [4, 1], [7, 4], [8, 2], [6, 3], [1, 5], [2, 5], [8, 3], [6, 2], [1, 3], [5, 7], [8, 5], [5, 8], [4, 7], [1, 7], [3, 7]], [[4, 3], [6, 6], [5, 3], [3, 3], [5, 2], [3, 1], [3, 2], [2, 3], [5, 6], [7, 6], [1, 1], [8, 8], [7, 5], [8, 6], [7, 3], [3, 5], [1, 4], [1, 6], [8, 4], [8, 1], [5, 1], [7, 1], [1, 2], [7, 2], [7, 8], [2, 6], [4, 8], [6, 8], [3, 8], [1, 8], [2, 8], [2, 7]]]","[28, 32]","[6, 58, 52]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:07,"[[0.002, 0.001, 0.002, 0.0, 0.001, 0.0, 0.0, 0.004, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0], [0.113, 0.174, 0.509, 0.354, 0.11, 0.395, 0.47, 1.128, 0.014, 0.212, 0.885, 0.361, 0.371, 0.543, 0.174, 0.193, 0.231, 0.301, 0.139, 0.001, 0.205, 0.005, 0.079, 0.079, 0.054, 0.001, 0.022, 0.001, 0.0, 0.002, 0.0, 0.0]]","[[[3, 6], [3, 4], [5, 6], [5, 3], [5, 2], [3, 2], [7, 2], [1, 5], [6, 1], [3, 7], [2, 4], [6, 2], [8, 4], [3, 1], [6, 4], [8, 2], [6, 6], [8, 5], [8, 6], [2, 7], [2, 8], [4, 7], [6, 7], [2, 3], [7, 8], [7, 7], [1, 2]], [[4, 6], [3, 5], [6, 3], [3, 3], [4, 3], [4, 1], [2, 5], [7, 3], [8, 1], [2, 6], [5, 1], [4, 2], [2, 1], [8, 3], [7, 1], [7, 4], [6, 5], [7, 6], [7, 5], [8, 7], [1, 7], [1, 8], [3, 8], [1, 6], [1, 4], [4, 8], [6, 8], [8, 8], [5, 7], [2, 2], [1, 3], [1, 1]]]","[27, 32]","[2, 61, 59]",-1
"[0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0]",00:05,"[[0.0, 0.001, 0.0, 0.001, 0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.124, 0.174, 0.254, 0.497, 1.042, 0.303, 0.008, 0.57, 0.405, 0.005, 0.434, 0.243, 0.267, 0.328, 0.312, 0.309, 0.001, 0.001, 0.001, 0.0, 0.001, 0.082, 0.001, 0.015, 0.001, 0.0]]","[[[4, 6], [4, 3], [2, 5], [6, 5], [2, 7], [4, 7], [3, 2], [2, 8], [7, 7], [7, 5], [5, 7], [5, 8], [3, 7], [7, 8], [1, 3], [1, 7], [1, 4], [6, 3], [2, 3]], [[3, 4], [5, 6], [3, 3], [3, 6], [2, 6], [6, 6], [1, 8], [1, 6], [7, 6], [8, 8], [4, 8], [3, 8], [3, 5], [2, 4], [6, 8], [1, 5], [1, 2], [6, 7], [8, 7], [8, 6], [8, 5], [6, 4], [7, 2], [2, 2], [5, 3], [4, 1]]]","[19, 26]","[0, 49, 49]",-1
"[1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:12,"[[0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.001, 0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.132, 0.183, 0.335, 0.488, 0.909, 1.172, 1.102, 1.13, 2.564, 1.406, 0.758, 0.006, 0.404, 0.002, 0.298, 0.187, 0.003, 0.003, 0.25, 0.003, 0.143, 0.0, 0.001, 0.089, 0.092, 0.0, 0.001, 0.06, 0.001, 0.017, 0.0, 0.0, 0.0, 0.0]]","[[[4, 3], [6, 5], [6, 3], [6, 7], [7, 5], [4, 6], [2, 6], [4, 8], [2, 3], [8, 6], [7, 8], [5, 8], [8, 4], [7, 2], [7, 7], [6, 2], [5, 1], [7, 1], [3, 7], [2, 8], [2, 2], [2, 5], [3, 1]], [[5, 3], [3, 4], [6, 6], [5, 6], [6, 4], [7, 6], [3, 5], [4, 7], [3, 3], [6, 8], [5, 7], [8, 8], [7, 4], [8, 5], [7, 3], [8, 7], [8, 3], [8, 2], [5, 2], [8, 1], [4, 1], [6, 1], [4, 2], [3, 8], [2, 7], [1, 8], [3, 6], [2, 4], [1, 1], [3, 2], [2, 1], [1, 6], [1, 5], [1, 3]]]","[23, 34]","[2, 59, 57]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0]",00:09,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.001, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.117, 0.228, 0.196, 0.272, 0.002, 0.239, 0.101, 0.709, 0.592, 0.361, 0.676, 0.547, 0.643, 0.997, 0.53, 0.359, 0.257, 0.258, 0.003, 0.268, 0.377, 0.367, 0.262, 0.137, 0.094, 0.01, 0.008, 0.0, 0.0]]","[[[4, 6], [6, 3], [4, 3], [2, 7], [3, 7], [6, 7], [2, 3], [4, 7], [7, 3], [3, 2], [8, 5], [4, 8], [1, 5], [7, 7], [7, 5], [8, 6], [5, 3], [2, 8], [1, 7], [2, 5], [3, 5], [8, 4], [1, 3], [6, 2], [8, 1], [8, 2], [4, 1], [2, 1], [2, 2], [6, 1], [7, 8]], [[3, 4], [5, 6], [3, 6], [2, 6], [1, 8], [3, 8], [6, 4], [3, 3], [5, 8], [7, 4], [6, 6], [6, 8], [5, 7], [6, 5], [7, 6], [8, 3], [1, 6], [2, 4], [8, 8], [1, 4], [8, 7], [7, 2], [3, 1], [1, 2], [7, 1], [5, 2], [4, 2], [1, 1], [5, 1]]]","[31, 29]","[32, 32, 0]",0
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:08,"[[0.0, 0.001, 0.0, 0.001, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.11, 0.104, 0.157, 0.316, 0.358, 0.479, 0.002, 0.337, 0.509, 0.579, 0.738, 1.004, 0.505, 0.833, 0.606, 0.418, 0.207, 0.068, 0.048, 0.001, 0.001, 0.001, 0.001, 0.098, 0.0, 0.001, 0.068, 0.002, 0.002, 0.024, 0.012, 0.001, 0.0]]","[[[3, 4], [6, 6], [4, 7], [2, 5], [7, 2], [7, 3], [6, 2], [8, 4], [4, 2], [2, 3], [3, 3], [8, 2], [5, 7], [1, 4], [7, 5], [8, 6], [4, 8], [5, 1], [1, 8], [4, 3], [7, 7], [2, 1], [6, 7], [7, 8], [2, 2], [1, 3], [1, 7]], [[4, 6], [6, 3], [6, 4], [3, 6], [2, 4], [5, 3], [8, 1], [8, 3], [1, 6], [8, 5], [6, 5], [7, 4], [5, 6], [3, 5], [5, 8], [7, 6], [6, 1], [3, 8], [2, 7], [4, 1], [8, 7], [3, 7], [7, 1], [5, 2], [3, 1], [2, 6], [3, 2], [8, 8], [1, 1], [6, 8], [2, 8], [1, 2], [1, 5]]]","[27, 33]","[20, 44, 24]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:10,"[[0.001, 0.0, 0.001, 0.001, 0.0, 0.001, 0.001, 0.001, 0.001, 0.0, 0.002, 0.0, 0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.145, 0.148, 0.078, 0.481, 0.587, 0.545, 0.006, 0.431, 0.241, 0.002, 1.061, 1.0, 0.653, 1.332, 1.239, 0.433, 0.628, 0.388, 0.547, 0.004, 0.148, 0.159, 0.034, 0.001, 0.0, 0.03, 0.025, 0.008, 0.0, 0.001, 0.0]]","[[[6, 4], [3, 2], [4, 6], [2, 3], [6, 3], [7, 7], [4, 2], [5, 7], [7, 5], [2, 2], [6, 1], [5, 2], [3, 4], [2, 4], [1, 2], [4, 1], [6, 7], [8, 7], [7, 2], [8, 4], [8, 2], [8, 6], [2, 5], [1, 6], [3, 6], [5, 8], [4, 7], [2, 7], [2, 8]], [[4, 3], [6, 6], [3, 3], [5, 3], [6, 2], [5, 6], [8, 8], [6, 5], [1, 3], [1, 1], [2, 1], [3, 5], [5, 1], [7, 1], [7, 3], [3, 1], [1, 5], [1, 4], [7, 4], [8, 1], [7, 6], [8, 5], [7, 8], [8, 3], [1, 7], [2, 6], [6, 8], [4, 8], [3, 8], [3, 7], [1, 8]]]","[29, 31]","[8, 56, 48]",-1
"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0]",00:09,"[[0.0, 0.0, 0.001, 0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.114, 0.172, 0.301, 0.264, 0.424, 1.027, 0.004, 0.006, 0.892, 0.963, 0.593, 0.965, 0.893, 0.338, 0.445, 0.372, 0.23, 0.27, 0.125, 0.001, 0.252, 0.002, 0.148, 0.107, 0.001, 0.045, 0.054, 0.029, 0.009, 0.0, 0.002, 0.0, 0.0]]","[[[3, 4], [4, 7], [6, 6], [2, 6], [6, 4], [7, 2], [2, 7], [1, 7], [4, 2], [2, 5], [5, 6], [5, 1], [7, 4], [8, 6], [7, 1], [8, 5], [6, 2], [3, 2], [8, 3], [8, 8], [6, 7], [4, 8], [1, 4], [2, 3], [7, 8], [3, 3], [1, 1]], [[4, 6], [6, 3], [3, 6], [6, 5], [3, 7], [3, 5], [8, 1], [1, 8], [5, 3], [5, 2], [7, 6], [3, 1], [4, 3], [7, 3], [6, 1], [7, 5], [4, 1], [8, 2], [8, 4], [8, 7], [7, 7], [6, 8], [5, 7], [3, 8], [2, 8], [1, 6], [1, 5], [5, 8], [1, 3], [2, 1], [2, 2], [1, 2], [2, 4]]]","[27, 33]","[11, 53, 42]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:08,"[[0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.171, 0.306, 0.441, 0.274, 0.608, 1.307, 0.378, 0.671, 0.753, 0.004, 0.308, 0.006, 0.546, 0.612, 0.204, 0.001, 0.294, 0.001, 0.002, 0.002, 0.178, 0.003, 0.277, 0.144, 0.0, 0.001, 0.0, 0.028, 0.021, 0.0, 0.009, 0.0, 0.0]]","[[[6, 4], [3, 4], [6, 6], [3, 5], [4, 2], [4, 7], [1, 4], [2, 4], [7, 2], [2, 2], [8, 2], [7, 1], [6, 2], [2, 1], [3, 2], [2, 6], [5, 1], [2, 7], [7, 4], [8, 4], [1, 7], [3, 8], [7, 7], [6, 7], [5, 8], [7, 8], [8, 6]], [[4, 3], [6, 5], [5, 6], [3, 6], [2, 5], [2, 3], [5, 3], [6, 3], [7, 3], [8, 1], [3, 3], [1, 1], [1, 6], [1, 5], [1, 3], [6, 1], [5, 2], [1, 2], [3, 1], [4, 1], [3, 7], [1, 8], [8, 3], [4, 6], [2, 8], [8, 5], [7, 5], [4, 8], [7, 6], [8, 8], [6, 8], [5, 7], [8, 7]]]","[27, 33]","[7, 57, 50]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0]",00:07,"[[0.0, 0.001, 0.0, 0.0, 0.001, 0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.143, 0.143, 0.558, 0.451, 0.645, 0.55, 0.005, 0.375, 1.457, 1.138, 0.626, 0.459, 0.255, 0.002, 0.002, 0.003, 0.192, 0.003, 0.114, 0.0, 0.147, 0.001, 0.002, 0.001, 0.037, 0.001, 0.013, 0.015, 0.0, 0.002]]","[[[3, 6], [3, 4], [6, 2], [6, 3], [2, 6], [2, 2], [3, 2], [6, 6], [5, 6], [2, 1], [1, 3], [1, 6], [8, 8], [8, 1], [1, 8], [5, 1], [6, 4], [7, 5], [8, 6], [6, 8]], [[4, 6], [3, 5], [5, 3], [3, 3], [2, 5], [2, 4], [1, 1], [4, 3], [2, 3], [4, 1], [1, 5], [1, 2], [7, 7], [1, 4], [3, 1], [1, 7], [7, 2], [4, 2], [2, 7], [3, 8], [5, 2], [6, 1], [7, 1], [7, 3], [6, 5], [3, 7], [7, 6], [8, 7], [7, 4], [7, 8]]]","[20, 30]","[8, 46, 38]",-1
