Board,Game Time,Move Time,Action List,Action List Count,Score,Winner
"[-1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:39,"[[0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.0, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.194, 0.606, 0.001, 1.412, 3.594, 1.931, 1.317, 1.116, 3.871, 4.062, 3.332, 3.469, 2.598, 2.926, 1.943, 1.094, 1.603, 1.319, 0.565, 0.567, 0.001, 0.202, 0.083, 0.001, 0.039, 0.005, 0.002, 0.0, 0.0]]","[[[5, 3], [4, 6], [6, 3], [5, 1], [7, 2], [7, 6], [7, 3], [2, 5], [4, 3], [2, 8], [4, 7], [6, 4], [8, 5], [5, 7], [6, 2], [7, 1], [3, 1], [3, 3], [1, 2], [2, 2], [1, 8], [1, 6], [2, 4], [1, 4], [7, 7], [6, 7], [6, 8], [4, 8]], [[6, 5], [5, 2], [7, 4], [3, 7], [3, 5], [8, 1], [3, 4], [4, 1], [6, 1], [8, 3], [3, 6], [7, 5], [5, 6], [6, 6], [8, 6], [8, 4], [8, 2], [4, 2], [2, 3], [3, 2], [2, 7], [2, 1], [1, 5], [1, 1], [1, 7], [8, 7], [8, 8], [7, 8], [5, 8], [1, 3], [2, 6], [3, 8]]]","[28, 32]","[16, 48, 32]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:50,"[[0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 3.562, 5.543, 7.456, 3.697, 5.385, 5.393, 0.001, 0.001, 1.095, 4.634, 4.842, 1.219, 2.593, 1.838, 1.272, 0.001, 0.458, 0.172, 0.289, 0.142, 0.112, 0.06, 0.0, 0.005, 0.0]]","[[[4, 3], [6, 3], [2, 3], [5, 6], [3, 1], [7, 4], [5, 2], [3, 5], [6, 6], [1, 3], [8, 2], [2, 1], [7, 5], [7, 2], [5, 1], [3, 6], [6, 2], [8, 5], [2, 4], [8, 7], [1, 7], [1, 5], [7, 7], [6, 8], [7, 6], [4, 7], [1, 6], [2, 8], [4, 8], [3, 7]], [[5, 3], [3, 3], [6, 4], [3, 2], [1, 4], [7, 3], [6, 5], [8, 3], [6, 1], [4, 1], [1, 2], [8, 1], [1, 1], [4, 6], [8, 4], [7, 1], [4, 2], [8, 6], [2, 6], [2, 2], [8, 8], [2, 5], [6, 7], [3, 4], [7, 8], [5, 7], [2, 7], [1, 8], [3, 8], [5, 8]]]","[30, 30]","[15, 49, 34]",-1
"[-1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0]",00:31,"[[0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.586, 2.284, 2.445, 2.644, 1.881, 1.361, 2.36, 2.317, 1.923, 0.002, 1.853, 3.767, 0.001, 2.085, 0.001, 1.649, 1.653, 0.855, 0.525, 0.307, 0.156, 0.065, 0.057, 0.059, 0.018, 0.012, 0.0, 0.001, 0.001, 0.0]]","[[[4, 6], [5, 3], [2, 4], [3, 7], [3, 5], [4, 8], [6, 8], [2, 5], [2, 8], [3, 3], [6, 2], [7, 7], [7, 3], [5, 1], [1, 2], [1, 7], [1, 5], [2, 2], [3, 2], [7, 6], [8, 7], [2, 1], [3, 6], [3, 1], [6, 3], [8, 2], [8, 5]], [[3, 4], [4, 7], [2, 3], [1, 4], [5, 7], [2, 7], [6, 7], [1, 6], [6, 4], [5, 2], [5, 6], [3, 8], [1, 8], [4, 3], [1, 3], [1, 1], [6, 6], [8, 8], [6, 5], [5, 8], [7, 8], [2, 6], [4, 2], [8, 6], [4, 1], [6, 1], [7, 1], [7, 2], [8, 3], [8, 1], [8, 4], [7, 5], [7, 4]]]","[27, 33]","[14, 50, 36]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:28,"[[0.001, 0.001, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 1.671, 1.285, 1.41, 0.002, 2.567, 2.399, 1.649, 1.573, 2.716, 3.178, 2.772, 2.003, 1.126, 0.836, 0.914, 0.004, 0.002, 0.548, 0.471, 0.285, 0.14, 0.039, 0.055, 0.0, 0.006, 0.0, 0.0, 0.0]]","[[[4, 3], [4, 2], [6, 6], [6, 4], [2, 2], [2, 3], [5, 1], [1, 2], [4, 6], [6, 2], [2, 6], [2, 4], [7, 3], [8, 5], [2, 5], [7, 2], [1, 4], [2, 7], [6, 5], [4, 7], [2, 8], [3, 7], [6, 8], [4, 8], [7, 5], [8, 6], [6, 7], [7, 8]], [[5, 3], [3, 3], [3, 2], [3, 4], [3, 6], [3, 1], [4, 1], [1, 1], [2, 1], [6, 3], [6, 1], [1, 3], [7, 4], [3, 5], [8, 3], [5, 2], [7, 1], [1, 7], [5, 6], [8, 1], [1, 8], [5, 7], [1, 6], [1, 5], [3, 8], [7, 6], [7, 7], [8, 8], [8, 2], [8, 4], [5, 8], [8, 7]]]","[28, 32]","[3, 61, 58]",-1
"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:32,"[[0.0, 0.001, 0.001, 0.001, 0.001, 0.0, 0.001, 0.001, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.014, 5.193, 2.808, 2.519, 2.978, 2.332, 4.53, 1.48, 2.736, 1.862, 0.002, 0.744, 0.405, 0.001, 0.486, 0.198, 0.29, 0.109, 0.04, 0.018, 0.0, 0.003, 0.0]]","[[[5, 3], [3, 6], [5, 6], [7, 4], [2, 5], [1, 8], [2, 6], [3, 3], [6, 3], [1, 4], [4, 7], [1, 7], [2, 3], [4, 8], [5, 8], [7, 6], [7, 8], [1, 2], [8, 7], [2, 2], [2, 1], [4, 2], [7, 5], [7, 3], [4, 1], [6, 4], [7, 2], [5, 2], [6, 2], [7, 1]], [[6, 5], [3, 5], [4, 3], [2, 7], [3, 4], [3, 7], [1, 6], [2, 4], [4, 6], [1, 3], [1, 5], [5, 7], [3, 8], [2, 8], [6, 6], [6, 7], [6, 8], [8, 8], [7, 7], [3, 2], [1, 1], [8, 3], [3, 1], [8, 4], [8, 6], [8, 5], [8, 2], [8, 1], [5, 1], [6, 1]]]","[30, 30]","[27, 37, 10]",-1
"[1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:34,"[[0.002, 0.001, 0.001, 0.001, 0.002, 0.001, 0.0, 0.0, 0.001, 0.0, 0.001, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 2.212, 1.7, 0.003, 0.002, 0.001, 5.237, 2.383, 4.666, 5.669, 4.018, 1.872, 2.233, 1.539, 1.017, 0.739, 0.253, 0.12, 0.087, 0.059, 0.107, 0.021, 0.008, 0.0]]","[[[6, 5], [5, 2], [7, 4], [5, 6], [3, 5], [7, 7], [8, 4], [7, 6], [7, 2], [4, 3], [2, 7], [7, 3], [7, 8], [3, 7], [5, 8], [3, 4], [1, 6], [4, 8], [1, 7], [7, 1], [8, 6], [1, 4], [3, 3], [6, 1], [4, 2], [2, 2]], [[5, 3], [3, 6], [6, 3], [7, 5], [6, 6], [6, 4], [8, 3], [6, 7], [6, 2], [8, 1], [8, 8], [1, 8], [4, 6], [6, 8], [2, 6], [3, 8], [8, 2], [5, 7], [4, 7], [1, 5], [2, 8], [8, 7], [2, 5], [2, 4], [1, 3], [8, 5], [4, 1], [5, 1], [3, 2], [1, 1]]]","[26, 30]","[3, 57, 54]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:36,"[[0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.001, 0.001, 0.0, 0.0, 0.0, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 1.386, 0.866, 2.248, 5.175, 1.906, 1.602, 4.374, 3.237, 3.29, 7.164, 0.934, 1.415, 0.001, 0.385, 0.512, 0.692, 0.541, 0.224, 0.251, 0.001, 0.139, 0.046, 0.016, 0.007, 0.0, 0.0, 0.0]]","[[[4, 6], [5, 3], [2, 4], [3, 7], [3, 6], [4, 8], [7, 6], [4, 2], [6, 6], [2, 6], [2, 5], [8, 5], [6, 8], [6, 7], [2, 2], [2, 1], [3, 1], [8, 7], [5, 2], [8, 8], [1, 3], [5, 8], [6, 2], [7, 1], [8, 2], [6, 4], [8, 3], [2, 7], [1, 7]], [[3, 4], [4, 7], [2, 3], [1, 4], [5, 6], [6, 5], [4, 3], [2, 8], [3, 5], [5, 7], [7, 5], [8, 6], [3, 3], [5, 1], [3, 2], [4, 1], [1, 1], [1, 5], [7, 7], [7, 8], [1, 2], [6, 1], [7, 2], [8, 1], [7, 3], [8, 4], [6, 3], [1, 6], [1, 8], [7, 4], [3, 8]]]","[29, 31]","[18, 46, 28]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0]",00:43,"[[0.001, 0.0, 0.001, 0.0, 0.0, 0.001, 0.0, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 2.824, 5.149, 4.255, 5.422, 4.962, 0.003, 4.058, 0.002, 1.622, 3.225, 0.001, 1.914, 3.314, 1.842, 1.182, 0.94, 0.479, 0.829, 0.004, 0.293, 0.194, 0.092, 0.039, 0.006, 0.001, 0.0]]","[[[4, 3], [6, 3], [2, 3], [5, 6], [2, 1], [3, 5], [1, 3], [7, 4], [2, 4], [7, 7], [7, 6], [6, 5], [5, 2], [2, 7], [2, 5], [4, 7], [1, 6], [2, 2], [7, 8], [3, 8], [2, 8], [6, 2], [7, 2], [7, 1], [8, 4], [7, 5], [8, 3], [5, 7], [6, 8]], [[5, 3], [3, 3], [6, 4], [3, 2], [1, 4], [6, 6], [4, 2], [1, 2], [3, 4], [1, 5], [8, 8], [3, 1], [1, 1], [3, 6], [3, 7], [1, 8], [5, 8], [1, 7], [5, 1], [4, 1], [2, 6], [7, 3], [6, 1], [8, 1], [4, 6], [8, 5], [8, 7], [8, 2], [6, 7], [8, 6], [4, 8]]]","[29, 31]","[18, 46, 28]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:40,"[[0.0, 0.0, 0.0, 0.002, 0.0, 0.001, 0.001, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 3.258, 1.897, 4.68, 5.073, 2.297, 3.184, 2.302, 2.455, 2.006, 2.76, 2.863, 0.008, 1.046, 2.191, 0.003, 0.002, 1.053, 0.716, 0.734, 0.4, 0.256, 0.233, 0.076, 0.049, 0.013, 0.002, 0.0, 0.0]]","[[[4, 6], [4, 3], [2, 3], [6, 6], [3, 3], [4, 2], [6, 3], [1, 5], [7, 4], [4, 1], [2, 5], [6, 2], [2, 2], [7, 3], [3, 2], [2, 1], [2, 7], [7, 1], [3, 6], [4, 7], [2, 8], [8, 2], [7, 5], [8, 4], [4, 8], [7, 6], [6, 7], [6, 8], [7, 7]], [[3, 4], [5, 2], [5, 6], [2, 4], [1, 2], [5, 3], [6, 5], [1, 4], [5, 1], [3, 5], [3, 1], [6, 4], [1, 6], [2, 6], [1, 1], [6, 1], [1, 7], [8, 1], [1, 8], [1, 3], [7, 2], [8, 5], [8, 6], [8, 3], [5, 8], [3, 8], [3, 7], [5, 7], [8, 7], [7, 8], [8, 8]]]","[29, 31]","[10, 54, 44]",-1
"[-1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:34,"[[0.001, 0.001, 0.002, 0.001, 0.001, 0.0, 0.002, 0.001, 0.001, 0.001, 0.0, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.001, 0.0, 0.0, 0.0, 0.002, 2.165, 0.992, 1.687, 2.508, 0.002, 5.197, 4.556, 2.64, 3.842, 3.541, 1.607, 1.126, 0.77, 0.002, 0.629, 0.705, 0.78, 0.305, 0.249, 0.147, 0.192, 0.193, 0.042, 0.006, 0.002, 0.0]]","[[[6, 3], [4, 3], [7, 5], [7, 2], [6, 5], [8, 2], [4, 2], [2, 3], [4, 6], [2, 7], [6, 1], [2, 6], [4, 1], [2, 8], [2, 4], [8, 5], [3, 5], [7, 1], [8, 7], [6, 6], [7, 7], [4, 7], [1, 1], [2, 5], [5, 6], [5, 8], [1, 3]], [[5, 3], [6, 4], [6, 2], [7, 3], [3, 3], [8, 1], [8, 4], [8, 3], [3, 6], [7, 4], [1, 8], [3, 2], [5, 1], [3, 4], [5, 2], [8, 6], [3, 8], [1, 6], [3, 1], [8, 8], [7, 6], [6, 7], [5, 7], [2, 2], [1, 5], [1, 7], [7, 8], [6, 8], [3, 7], [4, 8], [1, 2], [1, 4]]]","[27, 32]","[4, 59, 55]",-1
