Board,Game Time,Move Time,Action List,Action List Count,Score,Winner
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:46,"[[0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.0, 0.0, 0.001, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.001, 0.0, 0.0], [1.874, 1.809, 2.334, 2.459, 2.489, 2.339, 2.677, 2.429, 2.111, 2.176, 1.904, 2.127, 0.0, 2.04, 0.0, 1.823, 1.719, 1.938, 0.0, 1.944, 1.522, 0.0, 1.448, 1.495, 1.447, 1.546, 1.034, 0.868, 0.861, 0.0]]","[[[3, 5], [4, 6], [5, 3], [2, 5], [2, 4], [3, 8], [1, 6], [6, 5], [7, 1], [5, 6], [7, 6], [4, 7], [2, 2], [5, 7], [8, 7], [1, 4], [1, 2], [4, 3], [2, 7], [7, 3], [2, 3], [7, 7], [3, 1], [7, 4], [4, 1], [7, 2], [4, 2], [6, 4], [8, 3], [6, 7]], [[3, 6], [3, 4], [6, 6], [2, 6], [3, 7], [4, 8], [1, 3], [6, 2], [1, 5], [2, 8], [3, 3], [8, 6], [1, 1], [6, 8], [8, 8], [5, 8], [6, 3], [6, 1], [8, 1], [8, 4], [3, 2], [1, 8], [1, 7], [7, 5], [2, 1], [7, 8], [5, 2], [5, 1], [8, 2], [8, 5]]]","[30, 30]","[7, 57, 50]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]",01:01,"[[0.001, 0.0, 0.001, 0.001, 0.0, 0.0, 0.001, 0.0, 0.001, 0.001, 0.001, 0.001, 0.0, 0.0, 0.001, 0.001, 0.001, 0.0, 0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [2.709, 2.47, 2.679, 2.982, 2.142, 2.373, 0.0, 2.659, 3.294, 2.773, 2.683, 3.179, 3.124, 3.112, 2.059, 2.711, 2.239, 2.384, 2.193, 2.362, 0.0, 2.024, 1.88, 1.731, 1.688, 1.49, 1.071, 0.0, 0.715, 0.766]]","[[[3, 4], [4, 6], [3, 6], [5, 6], [1, 8], [7, 2], [6, 7], [5, 3], [2, 8], [4, 2], [7, 3], [6, 5], [2, 6], [4, 8], [8, 3], [6, 8], [5, 2], [7, 1], [3, 2], [7, 8], [3, 8], [4, 1], [1, 4], [8, 7], [8, 6], [2, 1], [1, 3], [8, 5], [2, 4], [2, 3]], [[3, 5], [6, 3], [3, 7], [2, 7], [5, 7], [1, 7], [8, 1], [4, 3], [2, 5], [4, 7], [6, 6], [6, 2], [7, 5], [7, 4], [3, 3], [3, 1], [8, 4], [7, 6], [5, 8], [1, 6], [8, 8], [6, 4], [6, 1], [8, 2], [1, 5], [7, 7], [2, 2], [1, 1], [1, 2], [5, 1]]]","[30, 30]","[25, 39, 14]",-1
"[-1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:54,"[[0.0, 0.001, 0.0, 0.002, 0.001, 0.0, 0.001, 0.001, 0.0, 0.001, 0.001, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [2.263, 2.039, 2.382, 2.606, 2.526, 2.303, 2.466, 2.708, 2.918, 0.0, 2.363, 1.894, 2.144, 2.093, 2.228, 1.969, 1.896, 2.01, 1.764, 1.522, 1.737, 1.583, 1.679, 1.424, 1.466, 1.214, 1.154, 0.786, 0.736, 0.0]]","[[[3, 5], [4, 6], [4, 7], [6, 4], [6, 7], [2, 4], [1, 6], [6, 5], [2, 2], [5, 3], [5, 7], [4, 8], [7, 6], [7, 5], [8, 8], [7, 8], [3, 2], [2, 8], [1, 8], [7, 3], [4, 1], [1, 7], [5, 1], [8, 4], [6, 3], [1, 4], [2, 1], [2, 3], [7, 2], [8, 1]], [[3, 6], [5, 6], [3, 3], [3, 8], [2, 6], [7, 4], [3, 7], [1, 3], [6, 6], [1, 1], [6, 2], [4, 3], [7, 7], [6, 8], [5, 8], [1, 5], [3, 1], [2, 7], [4, 2], [2, 5], [8, 6], [3, 4], [8, 2], [8, 7], [6, 1], [5, 2], [8, 5], [1, 2], [8, 3], [7, 1]]]","[30, 30]","[31, 33, 2]",-1
"[-1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",01:04,"[[0.0, 0.001, 0.001, 0.001, 0.001, 0.001, 0.0, 0.0, 0.001, 0.001, 0.001, 0.0, 0.001, 0.001, 0.0, 0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [2.617, 3.054, 3.388, 2.909, 2.996, 4.006, 3.201, 2.82, 2.808, 2.508, 2.894, 2.419, 2.96, 2.939, 0.0, 2.623, 2.568, 0.0, 2.945, 2.669, 2.225, 2.07, 2.354, 1.461, 1.142, 0.0, 1.405, 1.149, 0.0, 0.0, 0.0, 0.0]]","[[[6, 3], [3, 4], [7, 4], [3, 2], [3, 5], [1, 3], [1, 1], [8, 3], [3, 7], [2, 1], [5, 6], [5, 8], [7, 6], [6, 1], [5, 2], [2, 2], [7, 7], [4, 7], [7, 8], [7, 5], [3, 6], [1, 5], [8, 5], [4, 8], [2, 7], [2, 6], [2, 5], [1, 7]], [[6, 4], [4, 6], [3, 3], [7, 3], [2, 3], [2, 4], [1, 2], [4, 1], [4, 3], [5, 7], [6, 6], [6, 5], [7, 2], [5, 3], [8, 1], [6, 7], [5, 1], [8, 8], [6, 2], [8, 6], [8, 4], [3, 8], [3, 1], [8, 7], [7, 1], [1, 8], [8, 2], [6, 8], [4, 2], [2, 8], [1, 4], [1, 6]]]","[28, 32]","[9, 55, 46]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0]",00:53,"[[0.001, 0.0, 0.001, 0.001, 0.0, 0.0, 0.001, 0.001, 0.001, 0.001, 0.0, 0.0, 0.0, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [2.4, 2.522, 2.305, 2.06, 2.004, 2.751, 2.738, 4.249, 2.804, 2.361, 2.143, 2.081, 0.0, 2.502, 0.0, 2.21, 2.191, 1.877, 1.605, 1.677, 1.415, 1.615, 1.23, 1.424, 1.408, 1.098, 1.017, 0.831, 0.821, 0.0]]","[[[5, 3], [7, 3], [3, 3], [3, 6], [1, 3], [3, 1], [7, 5], [6, 2], [4, 2], [8, 7], [1, 8], [7, 2], [5, 2], [6, 7], [8, 6], [8, 2], [8, 4], [7, 8], [5, 6], [1, 5], [5, 1], [1, 1], [3, 5], [4, 8], [1, 2], [5, 7], [1, 6], [2, 4], [4, 7], [2, 8]], [[6, 3], [4, 3], [3, 2], [2, 3], [6, 5], [8, 3], [7, 6], [2, 7], [8, 5], [6, 1], [7, 7], [6, 4], [8, 1], [5, 8], [8, 8], [7, 4], [6, 8], [4, 1], [1, 4], [2, 1], [6, 6], [3, 4], [2, 2], [7, 1], [2, 5], [3, 8], [4, 6], [3, 7], [2, 6], [1, 7]]]","[30, 30]","[38, 26, 12]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0]",01:08,"[[0.002, 0.0, 0.0, 0.001, 0.0, 0.0, 0.002, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [2.873, 2.346, 3.165, 2.857, 2.699, 0.0, 2.529, 2.846, 3.553, 3.568, 3.978, 4.18, 3.467, 2.967, 2.64, 3.004, 3.063, 2.599, 2.262, 1.954, 2.016, 1.957, 0.001, 1.874, 0.0, 1.717, 1.461, 0.0, 1.085, 0.865, 0.0]]","[[[3, 6], [3, 4], [4, 7], [5, 6], [2, 7], [6, 4], [3, 3], [1, 5], [6, 6], [5, 2], [1, 6], [2, 5], [4, 8], [8, 8], [7, 5], [4, 2], [8, 2], [8, 5], [5, 7], [2, 3], [4, 1], [6, 3], [7, 2], [7, 4], [3, 1], [2, 2], [2, 1], [6, 1], [8, 3]], [[3, 5], [4, 6], [5, 3], [3, 7], [2, 4], [1, 8], [6, 7], [6, 5], [7, 3], [2, 6], [4, 3], [1, 7], [2, 8], [7, 7], [7, 6], [8, 6], [8, 7], [3, 8], [5, 8], [3, 2], [6, 8], [1, 4], [7, 8], [6, 2], [8, 1], [5, 1], [1, 2], [1, 1], [7, 1], [1, 3], [8, 4]]]","[29, 31]","[23, 41, 18]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",01:03,"[[0.0, 0.0, 0.001, 0.001, 0.001, 0.001, 0.0, 0.001, 0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [2.271, 2.255, 2.668, 2.616, 3.11, 2.849, 2.787, 2.691, 2.242, 2.358, 2.927, 2.538, 3.257, 2.399, 2.502, 2.43, 2.427, 2.313, 2.332, 2.047, 2.076, 2.043, 2.058, 2.015, 0.0, 1.242, 1.269, 0.0, 0.888, 0.622]]","[[[3, 5], [4, 6], [2, 6], [2, 5], [2, 3], [6, 5], [5, 6], [7, 6], [7, 4], [8, 6], [8, 8], [1, 5], [5, 8], [1, 1], [4, 3], [6, 7], [3, 1], [7, 1], [3, 7], [7, 7], [7, 2], [1, 4], [7, 3], [1, 2], [3, 2], [5, 1], [8, 4], [1, 7], [2, 8], [1, 8]], [[3, 6], [3, 4], [6, 6], [1, 6], [2, 4], [4, 7], [6, 4], [8, 7], [8, 3], [5, 3], [7, 5], [3, 3], [2, 2], [4, 2], [5, 7], [3, 8], [6, 2], [6, 3], [6, 8], [8, 5], [4, 8], [1, 3], [2, 1], [5, 2], [8, 1], [4, 1], [8, 2], [6, 1], [7, 8], [2, 7]]]","[30, 30]","[27, 37, 10]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:56,"[[0.0, 0.001, 0.0, 0.002, 0.002, 0.0, 0.001, 0.001, 0.0, 0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [2.732, 2.746, 3.134, 3.423, 2.721, 2.567, 0.0, 2.364, 3.058, 3.29, 2.922, 2.407, 2.433, 0.0, 2.615, 0.003, 2.333, 2.241, 0.002, 2.24, 2.207, 0.0, 2.489, 2.089, 0.002, 1.862, 0.0, 1.392, 1.39, 0.976, 0.803, 0.0]]","[[[5, 6], [7, 6], [5, 7], [7, 7], [3, 4], [8, 7], [5, 8], [2, 6], [7, 4], [2, 8], [1, 2], [4, 7], [2, 5], [2, 7], [1, 7], [5, 3], [6, 2], [2, 2], [6, 6], [2, 1], [4, 3], [8, 5], [7, 2], [7, 3], [7, 1], [3, 2], [8, 2], [5, 1]], [[4, 6], [6, 5], [6, 7], [6, 4], [6, 8], [8, 6], [8, 8], [3, 6], [4, 8], [3, 7], [2, 3], [3, 5], [3, 8], [1, 8], [1, 5], [1, 6], [6, 3], [1, 4], [2, 4], [3, 3], [7, 5], [1, 1], [7, 8], [1, 3], [3, 1], [6, 1], [8, 1], [8, 4], [8, 3], [5, 2], [4, 1], [4, 2]]]","[28, 32]","[13, 51, 38]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0]",00:47,"[[0.0, 0.0, 0.0, 0.001, 0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [2.119, 2.379, 2.44, 0.001, 2.003, 2.407, 2.378, 2.68, 2.365, 2.352, 2.325, 2.513, 2.504, 0.0, 2.137, 1.964, 1.828, 1.76, 1.42, 0.0, 1.653, 1.443, 1.473, 1.179, 1.233, 1.299, 0.0, 0.942, 0.0, 0.0]]","[[[4, 6], [3, 5], [4, 7], [2, 7], [2, 5], [6, 3], [6, 5], [6, 7], [5, 7], [5, 3], [3, 8], [7, 5], [2, 2], [2, 4], [7, 4], [5, 8], [4, 2], [3, 1], [7, 8], [2, 6], [8, 5], [8, 3], [7, 1], [1, 6], [1, 2], [4, 1], [7, 2], [2, 3], [1, 4]], [[3, 6], [5, 6], [3, 3], [1, 8], [3, 7], [6, 4], [6, 6], [4, 8], [7, 3], [6, 2], [3, 4], [7, 6], [3, 2], [1, 1], [5, 2], [8, 6], [6, 8], [8, 4], [2, 8], [8, 8], [7, 7], [1, 5], [5, 1], [8, 2], [4, 3], [2, 1], [8, 1], [1, 3], [1, 7], [6, 1]]]","[29, 30]","[6, 57, 51]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",01:04,"[[0.0, 0.002, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.0, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [2.477, 2.626, 2.731, 3.325, 2.733, 3.588, 3.442, 3.336, 3.238, 3.193, 3.17, 0.001, 2.841, 2.773, 2.934, 2.723, 2.57, 2.129, 0.0, 2.021, 2.015, 0.0, 1.923, 2.076, 1.54, 1.397, 1.124, 0.0, 1.113, 0.726]]","[[[6, 5], [6, 3], [5, 2], [3, 5], [8, 5], [3, 4], [8, 7], [7, 4], [7, 7], [6, 1], [7, 2], [5, 7], [4, 2], [3, 7], [4, 6], [3, 8], [7, 8], [5, 8], [1, 7], [2, 1], [2, 5], [7, 1], [2, 6], [6, 2], [2, 4], [1, 6], [1, 2], [1, 4], [8, 2], [2, 2]], [[5, 3], [6, 6], [7, 3], [7, 5], [4, 3], [6, 4], [8, 6], [5, 6], [8, 3], [4, 1], [7, 6], [8, 8], [6, 7], [4, 7], [4, 8], [2, 7], [6, 8], [3, 2], [8, 1], [8, 4], [3, 6], [1, 8], [2, 8], [1, 5], [3, 3], [2, 3], [3, 1], [1, 1], [5, 1], [1, 3]]]","[30, 30]","[24, 40, 16]",-1
