Board,Game Time,Move Time,Action List,Action List Count,Score,Winner
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, 0.0, -1.0, 0.0, -1.0, 0.0]",00:42,"[[0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.332, 0.425, 1.586, 1.462, 0.0, 1.312, 1.844, 5.79, 2.794, 1.679, 2.343, 6.089, 4.89, 3.254, 2.089, 1.592, 1.975, 0.505, 0.0, 0.584, 0.424, 0.361, 0.262, 0.609, 0.069, 0.0, 0.001, 0.0]]","[[[3, 5], [5, 3], [2, 5], [2, 7], [4, 3], [3, 8], [5, 8], [1, 6], [2, 3], [6, 5], [2, 6], [2, 4], [7, 3], [2, 8], [6, 7], [7, 7], [7, 1], [7, 5], [6, 6], [1, 3], [3, 1]], [[3, 4], [3, 6], [5, 6], [3, 7], [1, 8], [4, 7], [3, 3], [5, 7], [1, 7], [1, 5], [6, 3], [1, 4], [4, 6], [4, 8], [6, 8], [7, 8], [8, 7], [7, 2], [8, 1], [7, 6], [6, 1], [8, 3], [8, 5], [2, 2], [3, 2], [1, 1], [6, 2], [1, 2]]]","[21, 28]","[1, 52, 51]",-1
"[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",03:35,"[[0.0, 0.001, 0.001, 0.0, 0.001, 0.0, 0.001, 0.001, 0.0, 0.001, 0.001, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.266, 0.697, 0.786, 1.724, 3.982, 7.51, 0.0, 12.324, 30.997, 22.362, 23.344, 18.871, 19.238, 14.891, 16.604, 10.295, 8.788, 6.89, 6.186, 3.708, 2.472, 1.391, 1.378, 0.0, 0.511, 0.0, 0.076, 0.021, 0.0, 0.0, 0.0]]","[[[6, 5], [4, 3], [6, 3], [2, 3], [4, 6], [2, 7], [5, 6], [7, 5], [5, 7], [3, 4], [2, 4], [6, 2], [3, 1], [2, 6], [4, 1], [4, 7], [3, 7], [8, 4], [1, 7], [8, 3], [6, 8], [1, 4], [2, 2], [5, 2], [7, 1], [7, 2], [1, 2], [7, 8], [7, 7]], [[6, 4], [6, 6], [3, 3], [5, 3], [3, 6], [3, 2], [1, 8], [4, 2], [3, 5], [8, 6], [7, 3], [6, 7], [6, 1], [1, 3], [5, 1], [1, 6], [3, 8], [1, 5], [7, 6], [8, 5], [2, 1], [4, 8], [8, 2], [1, 1], [7, 4], [8, 1], [2, 8], [5, 8], [8, 8], [8, 7], [2, 5]]]","[29, 31]","[20, 44, 24]",-1
"[-1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0]",00:38,"[[0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.001, 0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.001, 0.0, 0.0], [0.334, 0.554, 2.096, 2.095, 2.147, 2.679, 3.263, 1.255, 0.734, 0.668, 0.523, 0.833, 0.0, 5.385, 2.841, 0.001, 0.0, 4.225, 2.38, 2.151, 1.324, 0.722, 0.505, 0.392, 0.278, 0.158, 0.066, 0.027, 0.007, 0.0]]","[[[5, 3], [3, 3], [5, 1], [7, 3], [7, 5], [4, 6], [3, 5], [5, 7], [7, 2], [7, 1], [7, 6], [7, 7], [4, 7], [6, 7], [2, 7], [8, 5], [8, 7], [5, 2], [8, 3], [4, 8], [6, 8], [3, 7], [1, 7], [3, 2], [3, 1], [2, 5], [1, 5], [1, 3], [2, 2], [1, 2]], [[4, 3], [4, 2], [6, 4], [7, 4], [8, 4], [3, 4], [5, 6], [8, 2], [6, 2], [8, 6], [6, 6], [3, 6], [8, 8], [6, 3], [6, 1], [8, 1], [1, 8], [6, 5], [3, 8], [7, 8], [5, 8], [2, 8], [1, 6], [4, 1], [2, 6], [2, 1], [1, 4], [2, 4], [2, 3], [1, 1]]]","[30, 30]","[20, 44, 24]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",01:50,"[[0.001, 0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.246, 0.694, 0.972, 2.784, 4.284, 5.244, 7.336, 5.489, 5.96, 8.849, 11.151, 8.915, 8.417, 0.001, 4.803, 11.784, 6.913, 6.049, 2.588, 2.784, 1.654, 1.286, 0.894, 0.674, 0.0, 0.318, 0.0, 0.089, 0.024, 0.014, 0.007, 0.0, 0.0]]","[[[3, 4], [3, 6], [3, 2], [1, 3], [6, 6], [1, 5], [4, 2], [2, 4], [4, 7], [1, 6], [7, 6], [7, 2], [6, 7], [6, 2], [8, 3], [6, 1], [8, 6], [7, 4], [5, 2], [4, 1], [7, 8], [2, 7], [3, 8], [3, 7], [2, 8], [2, 2], [2, 1]], [[3, 5], [3, 3], [4, 6], [2, 3], [2, 5], [4, 3], [2, 6], [5, 6], [1, 4], [6, 5], [6, 3], [5, 3], [7, 3], [8, 1], [6, 4], [8, 2], [7, 5], [8, 4], [8, 5], [7, 1], [8, 7], [5, 1], [7, 7], [6, 8], [8, 8], [5, 8], [1, 8], [1, 7], [4, 8], [5, 7], [3, 1], [1, 1], [1, 2]]]","[27, 33]","[7, 57, 50]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",01:13,"[[0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.308, 1.079, 1.983, 5.872, 7.553, 11.755, 0.0, 10.11, 5.478, 5.068, 5.477, 3.314, 3.969, 0.0, 2.497, 1.957, 1.522, 1.128, 1.214, 0.9, 0.641, 0.286, 0.182, 0.137, 0.093, 0.064, 0.039, 0.0, 0.012, 0.007, 0.004, 0.001]]","[[[3, 5], [4, 3], [2, 4], [5, 3], [2, 3], [6, 4], [2, 1], [1, 2], [5, 7], [5, 1], [7, 3], [5, 2], [7, 4], [7, 1], [3, 6], [6, 6], [1, 4], [8, 3], [7, 7], [8, 7], [4, 7]], [[3, 4], [5, 6], [3, 3], [4, 2], [3, 2], [2, 2], [1, 1], [3, 1], [6, 3], [4, 1], [6, 1], [6, 5], [6, 2], [8, 1], [1, 3], [7, 2], [2, 5], [1, 5], [1, 6], [2, 6], [2, 7], [8, 4], [8, 2], [8, 5], [4, 6], [7, 5], [6, 7], [8, 8], [4, 8], [6, 8], [8, 6], [5, 8]]]","[21, 32]","[0, 57, 57]",-1
"[1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",01:09,"[[0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.221, 0.636, 0.907, 1.421, 3.41, 4.522, 6.85, 0.0, 7.394, 5.041, 6.453, 0.001, 5.407, 3.058, 3.447, 3.098, 2.249, 4.565, 0.0, 4.343, 2.392, 1.949, 0.755, 0.788, 0.27, 0.189, 0.0, 0.031, 0.006, 0.0]]","[[[4, 3], [6, 6], [7, 4], [3, 7], [6, 2], [4, 7], [2, 7], [1, 7], [8, 2], [2, 6], [8, 6], [5, 3], [3, 4], [5, 2], [7, 6], [8, 4], [2, 2], [7, 1], [5, 8], [5, 1], [4, 2], [5, 7], [2, 3], [3, 1], [1, 5], [7, 8], [1, 2], [7, 7], [2, 4], [2, 8]], [[6, 4], [3, 6], [4, 6], [6, 3], [6, 5], [5, 6], [3, 8], [1, 8], [7, 3], [7, 5], [8, 3], [8, 1], [8, 5], [3, 2], [7, 2], [6, 1], [3, 3], [4, 8], [1, 1], [6, 8], [8, 7], [1, 6], [4, 1], [1, 3], [2, 1], [6, 7], [8, 8], [1, 4], [2, 5], [3, 5]]]","[30, 30]","[23, 41, 18]",-1
"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:41,"[[0.0, 0.002, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.345, 0.616, 1.074, 2.617, 2.217, 2.691, 5.193, 0.001, 2.692, 3.557, 3.022, 3.543, 2.799, 1.9, 1.259, 1.052, 0.982, 1.146, 1.635, 0.792, 0.476, 0.404, 0.621, 0.0, 0.473, 0.157, 0.083, 0.085, 0.054, 0.027, 0.017, 0.002, 0.0]]","[[[4, 6], [6, 4], [6, 7], [7, 7], [5, 7], [4, 8], [4, 7], [2, 5], [7, 6], [3, 8], [1, 4], [8, 7], [2, 3], [1, 7], [1, 8], [1, 3], [7, 5], [8, 4], [6, 3], [8, 2], [7, 2], [6, 1], [4, 3], [3, 2]], [[5, 6], [3, 6], [6, 6], [7, 8], [6, 8], [3, 4], [6, 5], [8, 8], [3, 7], [1, 6], [3, 5], [1, 5], [2, 6], [2, 7], [2, 4], [2, 8], [5, 8], [7, 4], [8, 6], [8, 5], [8, 3], [7, 3], [6, 2], [8, 1], [7, 1], [5, 2], [5, 1], [4, 1], [5, 3], [4, 2], [3, 3], [3, 1], [2, 2]]]","[24, 33]","[8, 53, 45]",-1
"[1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0]",01:07,"[[0.001, 0.001, 0.0, 0.001, 0.001, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.282, 0.513, 2.71, 2.967, 3.84, 3.703, 5.382, 8.215, 5.87, 0.0, 7.93, 4.61, 4.672, 3.999, 0.0, 1.985, 1.601, 1.412, 1.555, 1.912, 0.0, 1.397, 0.998, 0.0, 0.866, 0.325, 0.18, 0.07, 0.018, 0.002, 0.0]]","[[[3, 6], [5, 6], [7, 6], [5, 8], [3, 4], [6, 5], [6, 8], [2, 7], [5, 2], [2, 5], [1, 2], [3, 3], [1, 4], [2, 8], [6, 3], [1, 5], [3, 2], [8, 3], [7, 2], [8, 2], [4, 8], [7, 7], [7, 5], [7, 3], [8, 5], [4, 2], [6, 1], [4, 1], [2, 1]], [[3, 5], [4, 6], [6, 6], [6, 7], [4, 7], [5, 7], [6, 4], [3, 7], [4, 3], [1, 8], [2, 3], [2, 4], [2, 6], [1, 3], [1, 1], [1, 6], [1, 7], [5, 3], [7, 4], [6, 2], [8, 1], [3, 8], [7, 8], [8, 8], [8, 4], [8, 6], [8, 7], [2, 2], [7, 1], [5, 1], [3, 1]]]","[29, 31]","[17, 47, 30]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0]",02:13,"[[0.0, 0.001, 0.001, 0.0, 0.001, 0.001, 0.001, 0.0, 0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.391, 1.017, 2.405, 4.823, 8.356, 10.204, 7.507, 11.114, 13.758, 10.225, 0.0, 10.858, 0.0, 15.397, 10.238, 12.043, 6.523, 3.023, 1.864, 1.022, 0.679, 0.359, 0.296, 0.182, 0.137, 0.146, 0.124, 0.085, 0.0, 0.012, 0.005, 0.0, 0.0]]","[[[5, 3], [3, 4], [6, 4], [4, 2], [4, 6], [7, 6], [6, 6], [3, 2], [1, 6], [2, 2], [7, 2], [6, 2], [8, 3], [2, 6], [2, 3], [8, 2], [1, 3], [1, 2], [2, 1], [7, 5], [7, 1], [8, 8], [2, 8], [3, 7], [6, 7], [7, 8], [4, 8]], [[4, 3], [6, 5], [5, 2], [3, 3], [5, 6], [2, 5], [6, 3], [3, 5], [4, 1], [2, 4], [1, 1], [7, 4], [8, 1], [5, 1], [1, 5], [1, 7], [7, 3], [3, 1], [8, 5], [8, 4], [6, 1], [8, 6], [8, 7], [7, 7], [1, 4], [2, 7], [6, 8], [3, 6], [1, 8], [3, 8], [5, 8], [4, 7], [5, 7]]]","[27, 33]","[15, 49, 34]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0]",03:06,"[[0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.001, 0.001, 0.001, 0.0, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.237, 0.667, 1.058, 1.458, 1.171, 0.0, 2.168, 7.519, 11.467, 14.379, 20.233, 13.157, 22.603, 25.721, 21.886, 12.726, 0.0, 9.885, 9.359, 4.598, 1.689, 1.932, 1.071, 0.5, 0.267, 0.0, 0.024, 0.006, 0.001, 0.0]]","[[[5, 6], [2, 5], [3, 7], [7, 2], [7, 6], [6, 5], [3, 3], [5, 2], [5, 7], [7, 4], [6, 7], [6, 2], [3, 2], [5, 1], [2, 4], [1, 7], [6, 4], [8, 3], [8, 2], [3, 1], [2, 8], [4, 2], [7, 5], [1, 4], [8, 7], [8, 5], [4, 8], [7, 8], [1, 2], [2, 2]], [[3, 5], [6, 3], [3, 6], [6, 6], [5, 3], [8, 1], [4, 6], [3, 4], [4, 3], [4, 7], [6, 8], [7, 3], [2, 6], [4, 1], [1, 6], [1, 3], [1, 8], [3, 8], [5, 8], [2, 7], [6, 1], [8, 4], [2, 1], [8, 6], [1, 5], [8, 8], [7, 1], [2, 3], [7, 7], [1, 1]]]","[30, 30]","[25, 39, 14]",-1
