Board,Game Time,Move Time,Action List,Action List Count,Score,Winner
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:06,"[[0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.091, 0.167, 0.323, 0.301, 0.455, 0.471, 0.44, 0.156, 0.477, 0.264, 0.004, 0.106, 0.384, 0.376, 0.293, 0.003, 0.312, 0.005, 0.33, 0.452, 0.315, 0.344, 0.21, 0.149, 0.081, 0.017, 0.001, 0.006, 0.001, 0.0, 0.0]]","[[[5, 3], [3, 6], [4, 2], [7, 6], [2, 4], [7, 5], [3, 4], [2, 1], [7, 7], [7, 4], [4, 7], [5, 2], [7, 8], [6, 7], [8, 4], [7, 2], [2, 6], [7, 1], [5, 7], [1, 5], [2, 5], [6, 1], [6, 2], [1, 2], [4, 8], [2, 7], [2, 8], [1, 7], [2, 2]], [[6, 5], [4, 3], [3, 3], [6, 4], [6, 6], [3, 2], [8, 6], [6, 3], [8, 7], [5, 6], [8, 8], [4, 6], [7, 3], [8, 5], [8, 3], [8, 2], [3, 5], [8, 1], [2, 3], [1, 4], [1, 6], [4, 1], [5, 1], [6, 8], [5, 8], [3, 8], [1, 8], [3, 7], [1, 3], [1, 1], [3, 1]]]","[29, 31]","[16, 48, 32]",-1
"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:04,"[[0.001, 0.001, 0.0, 0.0, 0.001, 0.0, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.095, 0.137, 0.235, 0.36, 0.496, 0.467, 1.026, 0.396, 0.002, 0.279, 0.003, 0.001, 0.001, 0.159, 0.002, 0.16, 0.001, 0.001, 0.198, 0.106, 0.001, 0.001, 0.063, 0.0, 0.063, 0.0, 0.0, 0.001, 0.0, 0.014, 0.001, 0.005, 0.0, 0.0, 0.0]]","[[[5, 6], [5, 3], [7, 3], [3, 4], [5, 8], [2, 5], [1, 7], [3, 2], [7, 8], [1, 5], [7, 6], [3, 6], [8, 6], [2, 8], [2, 7], [1, 3], [6, 5], [8, 3], [7, 2], [7, 1]], [[3, 5], [6, 3], [6, 6], [5, 7], [3, 3], [6, 7], [2, 6], [1, 6], [1, 8], [6, 8], [8, 8], [4, 8], [1, 4], [4, 6], [7, 7], [8, 5], [8, 7], [7, 5], [3, 7], [4, 7], [3, 8], [2, 4], [2, 3], [1, 2], [6, 4], [4, 3], [7, 4], [3, 1], [4, 2], [8, 2], [8, 4], [5, 2], [8, 1], [6, 1], [6, 2]]]","[20, 35]","[1, 58, 57]",-1
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",00:02,"[[0.001, 0.001, 0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.001], [0.131, 0.181, 0.256, 0.4, 0.581, 0.873, 0.328, 0.113]]","[[[4, 6], [6, 3], [5, 7], [3, 6], [3, 3], [5, 3], [6, 7], [4, 8], [2, 8]], [[3, 4], [5, 6], [6, 6], [3, 5], [6, 4], [6, 5], [4, 7], [3, 7]]]","[9, 8]","[21, 0, 21]",1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0]",00:06,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.165, 0.168, 0.5, 0.404, 0.49, 0.688, 1.075, 0.672, 0.285, 0.36, 0.478, 0.002, 0.001, 0.001, 0.164, 0.102, 0.001, 0.001, 0.124, 0.105, 0.137, 0.164, 0.0, 0.131, 0.001, 0.07, 0.0, 0.042, 0.034, 0.023, 0.005, 0.0, 0.0, 0.0]]","[[[4, 3], [2, 5], [2, 3], [6, 5], [4, 2], [6, 7], [5, 6], [5, 2], [3, 1], [2, 2], [1, 2], [4, 6], [1, 6], [2, 7], [7, 3], [6, 3], [1, 8], [3, 8], [5, 8], [8, 3], [7, 6], [7, 4], [8, 6], [7, 2], [7, 1], [8, 8]], [[5, 3], [3, 4], [2, 4], [1, 4], [3, 3], [6, 6], [4, 1], [1, 3], [3, 5], [2, 1], [3, 2], [1, 1], [1, 5], [5, 1], [2, 6], [1, 7], [2, 8], [6, 1], [6, 4], [3, 6], [6, 2], [4, 7], [3, 7], [4, 8], [5, 7], [8, 2], [8, 4], [7, 8], [8, 7], [7, 5], [8, 5], [8, 1], [7, 7], [6, 8]]]","[26, 34]","[20, 44, 24]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:07,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.104, 0.158, 0.201, 0.205, 0.331, 0.349, 0.708, 0.562, 0.393, 0.003, 0.003, 0.554, 0.43, 0.565, 0.485, 0.313, 0.526, 0.259, 0.37, 0.26, 0.222, 0.0, 0.001, 0.138, 0.0, 0.059, 0.044, 0.0, 0.009, 0.0, 0.001, 0.0]]","[[[3, 5], [6, 7], [6, 3], [6, 2], [6, 6], [2, 6], [3, 2], [8, 4], [6, 4], [1, 7], [7, 2], [4, 2], [8, 2], [7, 5], [3, 7], [4, 6], [7, 6], [5, 2], [2, 7], [5, 7], [1, 3], [1, 4], [6, 1], [2, 2], [4, 1], [6, 8], [4, 8], [7, 7]], [[5, 6], [3, 3], [5, 3], [3, 6], [3, 4], [4, 3], [7, 3], [1, 6], [8, 3], [1, 8], [8, 1], [2, 5], [7, 4], [6, 5], [8, 6], [4, 7], [3, 8], [2, 3], [1, 5], [8, 5], [2, 8], [2, 4], [1, 2], [7, 1], [8, 7], [5, 1], [5, 8], [1, 1], [2, 1], [3, 1], [7, 8], [8, 8]]]","[28, 32]","[10, 54, 44]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, -1.0]",00:05,"[[0.0, 0.0, 0.0, 0.001, 0.0, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.135, 0.223, 0.448, 0.421, 0.627, 0.413, 0.409, 0.353, 0.006, 0.43, 0.367, 0.23, 0.177, 0.369, 0.001, 0.002, 0.365, 0.002, 0.001, 0.001, 0.002, 0.001, 0.052, 0.001, 0.039, 0.068, 0.034, 0.001, 0.0]]","[[[3, 4], [5, 6], [7, 6], [5, 2], [3, 6], [6, 2], [7, 2], [4, 1], [7, 3], [7, 4], [6, 1], [6, 4], [3, 2], [8, 3], [2, 1], [1, 2], [1, 4], [6, 7], [5, 8], [8, 8]], [[3, 5], [4, 3], [6, 6], [4, 6], [4, 2], [5, 3], [6, 3], [6, 5], [8, 1], [5, 1], [7, 1], [3, 1], [8, 4], [8, 5], [8, 2], [7, 5], [2, 2], [1, 1], [2, 3], [1, 3], [3, 3], [2, 4], [2, 5], [1, 5], [5, 7], [6, 8], [7, 8], [8, 6], [3, 7]]]","[20, 29]","[4, 49, 45]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:07,"[[0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.117, 0.183, 0.387, 0.367, 0.485, 1.107, 0.702, 0.887, 0.509, 0.239, 0.325, 0.247, 0.003, 0.138, 0.218, 0.284, 0.004, 0.298, 0.001, 0.001, 0.18, 0.001, 0.116, 0.146, 0.06, 0.0, 0.014, 0.0, 0.0, 0.011, 0.0, 0.003, 0.0]]","[[[4, 6], [4, 3], [6, 4], [5, 7], [7, 6], [3, 5], [2, 4], [4, 8], [2, 8], [6, 6], [7, 4], [3, 6], [8, 7], [7, 7], [7, 8], [1, 4], [5, 8], [6, 2], [8, 2], [1, 7], [7, 2], [5, 2], [6, 1], [1, 2], [4, 1], [3, 3], [2, 1]], [[3, 4], [5, 6], [6, 5], [4, 7], [7, 5], [3, 7], [6, 8], [3, 8], [7, 3], [6, 7], [1, 3], [8, 6], [8, 8], [6, 3], [8, 3], [1, 5], [1, 8], [8, 4], [8, 5], [8, 1], [2, 7], [1, 6], [5, 3], [7, 1], [2, 5], [2, 6], [2, 3], [1, 1], [2, 2], [5, 1], [3, 1], [4, 2], [3, 2]]]","[27, 33]","[9, 55, 46]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:05,"[[0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.132, 0.142, 0.351, 0.436, 0.428, 0.206, 0.601, 0.467, 0.608, 0.277, 0.004, 0.146, 0.0, 0.159, 0.001, 0.215, 0.001, 0.172, 0.001, 0.084, 0.002, 0.068, 0.078, 0.124, 0.093, 0.05, 0.046, 0.015, 0.011, 0.006, 0.0, 0.001, 0.0]]","[[[6, 3], [4, 3], [2, 3], [4, 1], [7, 4], [4, 6], [4, 2], [6, 1], [2, 2], [1, 4], [2, 1], [8, 1], [3, 6], [1, 6], [1, 8], [3, 8], [5, 6], [7, 3], [7, 5], [7, 2], [6, 5], [7, 6], [5, 8], [6, 6], [7, 7], [7, 8], [6, 7]], [[6, 4], [5, 3], [3, 4], [5, 2], [5, 1], [3, 3], [3, 1], [3, 2], [7, 1], [2, 4], [1, 1], [1, 2], [1, 3], [2, 5], [1, 5], [2, 6], [1, 7], [2, 7], [3, 5], [2, 8], [3, 7], [4, 7], [6, 2], [8, 5], [8, 6], [8, 4], [8, 3], [4, 8], [5, 7], [8, 7], [8, 8], [6, 8], [8, 2]]]","[27, 33]","[18, 46, 28]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:08,"[[0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.116, 0.215, 0.244, 0.401, 0.5, 0.328, 0.278, 0.479, 0.004, 1.452, 0.609, 0.66, 0.323, 0.444, 0.34, 0.208, 0.315, 0.14, 0.001, 0.225, 0.089, 0.133, 0.062, 0.001, 0.06, 0.002, 0.014, 0.007, 0.0, 0.0]]","[[[3, 5], [6, 3], [3, 6], [5, 7], [2, 4], [2, 6], [3, 2], [7, 7], [7, 5], [1, 5], [5, 3], [5, 8], [8, 7], [1, 3], [4, 6], [7, 6], [6, 5], [7, 4], [2, 2], [2, 3], [6, 2], [8, 2], [5, 2], [7, 2], [2, 1], [2, 7], [4, 1], [2, 8], [3, 7], [6, 1]], [[5, 6], [3, 4], [2, 5], [6, 7], [3, 3], [1, 6], [4, 3], [6, 6], [8, 8], [1, 4], [4, 8], [7, 8], [8, 4], [6, 8], [1, 2], [6, 4], [8, 5], [3, 1], [1, 1], [7, 3], [8, 6], [4, 7], [8, 3], [8, 1], [1, 7], [1, 8], [4, 2], [5, 1], [3, 8], [7, 1]]]","[30, 30]","[11, 53, 42]",-1
"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0]",00:08,"[[0.0, 0.001, 0.001, 0.0, 0.0, 0.001, 0.001, 0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.082, 0.107, 0.216, 0.139, 0.35, 0.004, 0.976, 0.765, 1.111, 1.245, 0.006, 0.467, 0.462, 0.662, 0.228, 0.221, 0.181, 0.001, 0.002, 0.001, 0.259, 0.001, 0.002, 0.001, 0.084, 0.139, 0.108, 0.035, 0.022, 0.015, 0.005, 0.0, 0.0]]","[[[5, 6], [3, 4], [6, 4], [3, 3], [7, 2], [2, 5], [2, 3], [3, 7], [5, 2], [2, 7], [6, 5], [5, 7], [7, 8], [7, 4], [1, 4], [2, 8], [4, 8], [8, 7], [8, 5], [7, 3], [7, 1], [8, 3], [4, 2], [5, 1], [3, 1], [2, 2]], [[3, 5], [6, 3], [3, 6], [5, 3], [4, 3], [8, 1], [1, 6], [2, 6], [4, 7], [2, 4], [1, 8], [6, 7], [3, 8], [1, 7], [1, 5], [4, 6], [1, 3], [5, 8], [6, 8], [8, 8], [7, 7], [7, 6], [8, 6], [6, 6], [8, 4], [7, 5], [6, 1], [8, 2], [6, 2], [4, 1], [3, 2], [2, 1], [1, 2]]]","[26, 33]","[9, 54, 45]",-1
