Board,Game Time,Move Time,Action List,Action List Count,Score,Winner
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0]",00:27,"[[0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 2.863, 1.819, 2.21, 1.571, 2.105, 1.956, 2.21, 3.409, 1.541, 1.448, 1.43, 0.002, 1.339, 1.367, 0.369, 0.31, 0.449, 0.208, 0.116, 0.054, 0.051, 0.016, 0.033, 0.011, 0.002, 0.002, 0.0]]","[[[3, 5], [6, 6], [5, 7], [6, 4], [8, 4], [4, 6], [6, 7], [8, 8], [3, 3], [8, 6], [5, 3], [2, 6], [4, 8], [7, 8], [7, 4], [7, 2], [6, 2], [7, 1], [2, 8], [1, 8], [1, 3], [1, 6], [1, 4], [2, 5], [1, 1], [4, 2], [4, 1], [2, 1], [1, 2]], [[5, 6], [3, 4], [6, 5], [7, 5], [4, 7], [7, 7], [7, 6], [8, 5], [4, 3], [6, 8], [3, 6], [6, 3], [8, 7], [5, 8], [3, 8], [8, 1], [7, 3], [3, 7], [2, 7], [2, 4], [1, 7], [6, 1], [1, 5], [8, 2], [2, 2], [8, 3], [5, 2], [3, 1], [5, 1], [3, 2], [2, 3]]]","[29, 31]","[33, 31, 2]",1
"[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:46,"[[0.0, 0.001, 0.001, 0.001, 0.0, 0.0, 0.001, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.343, 0.002, 5.897, 5.321, 4.462, 6.842, 0.003, 3.663, 4.786, 2.049, 2.371, 1.188, 1.201, 0.785, 0.54, 0.384, 0.414, 0.397, 0.138, 0.079, 0.075, 0.035, 0.016, 0.005, 0.001]]","[[[4, 3], [6, 5], [3, 2], [4, 6], [7, 3], [2, 3], [2, 1], [2, 5], [1, 4], [3, 5], [6, 7], [2, 7], [5, 6], [6, 4], [3, 7], [1, 2], [1, 7], [6, 2], [8, 8], [3, 8], [6, 1], [4, 7], [6, 8], [8, 1], [8, 6], [7, 4], [7, 5], [8, 3], [8, 5]], [[5, 3], [3, 3], [3, 6], [6, 6], [6, 3], [3, 1], [3, 4], [1, 1], [1, 3], [2, 4], [2, 6], [1, 5], [1, 8], [1, 6], [2, 2], [4, 1], [4, 2], [5, 2], [7, 7], [2, 8], [7, 1], [5, 1], [4, 8], [5, 7], [7, 2], [7, 8], [8, 7], [7, 6], [8, 2], [5, 8], [8, 4]]]","[29, 31]","[27, 37, 10]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0]",00:18,"[[0.0, 0.0, 0.0, 0.001, 0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.606, 0.912, 0.767, 0.785, 1.301, 1.763, 2.151, 1.694, 0.599, 0.728, 0.592, 0.749, 0.002, 1.579, 1.17, 0.001, 1.023, 0.652, 0.219, 0.113, 0.024, 0.019, 0.0, 0.001, 0.0]]","[[[6, 4], [3, 6], [5, 6], [3, 2], [7, 6], [3, 4], [8, 8], [2, 4], [7, 5], [4, 1], [8, 4], [2, 6], [2, 2], [5, 8], [6, 2], [8, 2], [6, 7], [6, 5], [8, 7], [7, 8], [8, 3], [5, 3], [1, 2], [2, 3], [3, 8], [5, 1], [5, 2], [2, 7], [1, 6], [3, 7]], [[4, 3], [4, 6], [6, 6], [4, 2], [7, 7], [8, 6], [2, 5], [2, 1], [6, 8], [7, 4], [4, 7], [7, 3], [5, 7], [4, 8], [7, 2], [7, 1], [3, 3], [1, 1], [8, 5], [3, 5], [8, 1], [6, 3], [1, 3], [3, 1], [6, 1], [1, 4], [1, 7], [1, 8], [1, 5], [2, 8]]]","[30, 30]","[20, 44, 24]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0]",00:30,"[[0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.222, 0.004, 3.947, 3.634, 2.235, 2.324, 0.003, 0.003, 4.52, 2.341, 1.022, 0.949, 1.528, 1.042, 1.132, 0.992, 0.002, 0.485, 0.155, 0.163, 0.131, 0.056, 0.02, 0.003, 0.001, 0.0]]","[[[6, 5], [3, 3], [5, 2], [6, 7], [5, 6], [3, 4], [7, 2], [3, 2], [5, 1], [6, 2], [2, 1], [2, 7], [4, 7], [2, 6], [8, 2], [3, 5], [2, 8], [4, 8], [6, 8], [7, 7], [8, 7], [7, 6], [2, 5], [2, 4], [3, 7], [8, 4], [1, 4], [2, 3]], [[5, 3], [3, 6], [4, 3], [6, 6], [6, 4], [6, 3], [4, 2], [8, 1], [3, 1], [4, 6], [4, 1], [6, 1], [1, 1], [1, 8], [2, 2], [7, 1], [8, 3], [3, 8], [1, 6], [5, 7], [5, 8], [7, 8], [8, 8], [8, 6], [1, 7], [8, 5], [1, 5], [7, 4], [7, 5], [7, 3], [1, 3], [1, 2]]]","[28, 32]","[8, 56, 48]",-1
"[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0]",00:42,"[[0.001, 0.001, 0.0, 0.0, 0.0, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 3.795, 4.564, 5.187, 4.337, 5.242, 3.609, 2.793, 2.283, 0.001, 0.002, 1.719, 1.789, 1.341, 1.249, 1.559, 0.729, 0.514, 0.266, 0.431, 0.411, 0.195, 0.153, 0.053, 0.033, 0.03, 0.012, 0.004, 0.0]]","[[[4, 6], [3, 3], [3, 5], [5, 2], [3, 2], [6, 4], [1, 5], [2, 5], [6, 6], [5, 3], [5, 1], [6, 2], [7, 1], [1, 7], [1, 3], [7, 3], [2, 7], [8, 3], [2, 1], [1, 1], [4, 7], [7, 5], [3, 8], [6, 8], [8, 8], [8, 5], [8, 7], [6, 7]], [[3, 4], [5, 6], [4, 3], [4, 2], [2, 4], [6, 5], [1, 4], [1, 6], [2, 6], [4, 1], [6, 1], [6, 3], [8, 1], [1, 8], [7, 2], [3, 6], [8, 4], [8, 2], [1, 2], [2, 3], [2, 2], [3, 1], [2, 8], [3, 7], [7, 4], [4, 8], [5, 8], [7, 7], [7, 8], [8, 6], [5, 7], [7, 6]]]","[28, 32]","[12, 52, 40]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:35,"[[0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.001, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.001, 2.528, 0.002, 4.252, 4.181, 3.22, 4.129, 3.754, 1.452, 1.986, 1.813, 0.002, 1.901, 2.591, 0.918, 0.808, 0.932, 0.349, 0.169, 0.075, 0.046, 0.014, 0.0, 0.0]]","[[[6, 3], [4, 3], [6, 5], [2, 5], [7, 2], [7, 5], [7, 7], [5, 2], [4, 1], [3, 2], [6, 7], [7, 3], [8, 2], [8, 7], [4, 7], [7, 4], [2, 7], [3, 5], [8, 5], [1, 4], [8, 3], [3, 7], [5, 7], [1, 7], [7, 1], [5, 8], [2, 3], [2, 2], [2, 8], [2, 1]], [[5, 3], [6, 4], [6, 2], [3, 4], [4, 2], [7, 6], [8, 1], [6, 6], [8, 8], [3, 3], [3, 1], [5, 1], [3, 6], [8, 6], [5, 6], [4, 6], [2, 6], [1, 8], [6, 1], [1, 6], [8, 4], [1, 5], [1, 3], [7, 8], [3, 8], [6, 8], [4, 8], [2, 4], [1, 1], [1, 2]]]","[30, 30]","[29, 35, 6]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0]",00:31,"[[0.001, 0.0, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 1.639, 2.681, 2.492, 2.985, 3.923, 7.198, 1.55, 0.922, 0.674, 0.001, 0.787, 0.88, 0.793, 0.577, 0.484, 0.54, 0.634, 0.738, 0.396, 0.391, 0.174, 0.104, 0.001, 0.05, 0.049, 0.023, 0.017, 0.001, 0.002, 0.0]]","[[[5, 3], [4, 6], [6, 3], [7, 5], [7, 3], [4, 7], [4, 1], [2, 4], [6, 4], [2, 6], [4, 3], [8, 1], [2, 2], [3, 2], [2, 8], [2, 1], [2, 3], [5, 1], [2, 7], [8, 3], [8, 5], [6, 7], [5, 7], [5, 8], [8, 7], [7, 8]], [[6, 5], [5, 2], [7, 4], [5, 6], [3, 7], [3, 3], [3, 5], [7, 2], [2, 5], [1, 7], [1, 3], [1, 5], [4, 2], [1, 1], [3, 1], [4, 8], [6, 2], [6, 1], [3, 4], [1, 2], [1, 6], [1, 4], [7, 1], [8, 2], [8, 4], [3, 6], [1, 8], [6, 6], [3, 8], [7, 7], [6, 8], [7, 6], [8, 6], [8, 8]]]","[26, 34]","[12, 52, 40]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",01:17,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 4.926, 6.202, 7.192, 8.013, 8.785, 10.504, 0.006, 9.142, 5.479, 5.266, 2.957, 1.536, 2.496, 0.001, 2.485, 1.354, 0.423, 0.343, 0.136, 0.0, 0.047, 0.006, 0.0, 0.0]]","[[[6, 5], [5, 2], [3, 3], [7, 4], [2, 7], [5, 6], [2, 3], [6, 1], [2, 6], [6, 7], [6, 4], [2, 8], [8, 7], [3, 1], [7, 3], [8, 6], [7, 8], [4, 3], [5, 7], [2, 2], [7, 6], [1, 4], [8, 4], [1, 2], [2, 5], [8, 2], [5, 8], [4, 7], [3, 7]], [[5, 3], [3, 6], [6, 3], [3, 4], [3, 2], [4, 6], [1, 8], [6, 2], [2, 4], [6, 6], [3, 5], [7, 5], [7, 7], [8, 8], [6, 8], [4, 2], [1, 3], [1, 7], [3, 8], [8, 5], [1, 1], [2, 1], [4, 1], [8, 3], [1, 5], [1, 6], [8, 1], [7, 1], [7, 2], [4, 8], [5, 1]]]","[29, 31]","[10, 54, 44]",-1
"[-1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, -1.0, 0.0, 0.0, -1.0, 0.0, 0.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:14,"[[0.001, 0.0, 0.001, 0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.387, 0.74, 0.418, 0.458, 0.16, 0.263, 0.617, 0.001, 1.251, 0.899, 1.342, 0.851, 0.004, 1.424, 0.848, 0.601, 0.846, 0.459, 0.733, 0.461, 0.51, 0.277, 0.001, 0.206, 0.079, 0.038, 0.0]]","[[[3, 5], [6, 3], [5, 7], [2, 4], [5, 2], [7, 5], [7, 8], [8, 3], [6, 2], [7, 1], [8, 4], [7, 6], [7, 2], [8, 7], [8, 6], [5, 8], [4, 7], [2, 1], [1, 3], [4, 6], [3, 7], [1, 6]], [[5, 6], [3, 4], [4, 3], [6, 7], [6, 5], [7, 4], [8, 5], [7, 3], [5, 3], [6, 1], [8, 1], [8, 2], [6, 4], [7, 7], [6, 6], [8, 8], [6, 8], [5, 1], [4, 8], [4, 1], [4, 2], [3, 2], [3, 3], [1, 5], [3, 1], [1, 1], [3, 8], [3, 6], [2, 7], [1, 4]]]","[22, 30]","[4, 52, 48]",-1
"[1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:26,"[[0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.0, 0.001, 0.0, 0.0, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 3.511, 3.589, 3.229, 2.035, 1.622, 2.064, 1.212, 1.233, 1.491, 1.076, 0.002, 1.51, 1.723, 1.177, 0.002, 0.355, 0.229, 0.136, 0.11, 0.053, 0.008, 0.0, 0.001]]","[[[6, 5], [3, 3], [6, 3], [4, 6], [7, 7], [6, 4], [5, 7], [5, 8], [4, 7], [3, 1], [8, 7], [6, 7], [8, 5], [2, 6], [3, 7], [8, 3], [8, 2], [7, 8], [2, 4], [1, 7], [2, 8], [2, 7], [2, 3], [7, 1], [1, 4], [5, 2], [2, 5], [2, 2], [5, 1], [1, 2]], [[5, 3], [3, 6], [4, 3], [6, 6], [3, 2], [5, 6], [8, 8], [6, 8], [4, 8], [7, 6], [3, 8], [8, 6], [7, 5], [3, 5], [7, 4], [8, 4], [7, 3], [8, 1], [3, 4], [1, 5], [1, 3], [1, 8], [1, 6], [7, 2], [6, 1], [6, 2], [4, 1], [4, 2], [1, 1], [2, 1]]]","[30, 30]","[22, 42, 20]",-1
