Board,Game Time,Move Time,Action List,Action List Count,Score,Winner
"[-1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:44,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.0, 0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.776, 2.359, 2.256, 2.215, 2.236, 1.837, 2.171, 2.287, 0.0, 2.001, 0.0, 2.444, 2.253, 2.093, 2.148, 2.052, 0.0, 0.0, 1.716, 1.785, 1.61, 1.628, 1.476, 1.143, 0.95, 0.909, 0.844, 0.871, 0.647]]","[[[4, 6], [2, 6], [6, 4], [3, 3], [5, 7], [7, 2], [3, 4], [1, 2], [6, 5], [4, 8], [4, 2], [7, 6], [2, 2], [2, 4], [6, 2], [4, 7], [2, 8], [7, 8], [3, 5], [1, 7], [8, 2], [8, 7], [4, 1], [2, 5], [1, 4], [8, 4], [7, 3], [2, 1], [5, 1], [2, 7], [7, 1]], [[3, 6], [5, 6], [4, 3], [6, 3], [2, 3], [6, 6], [3, 7], [1, 3], [1, 1], [1, 6], [8, 1], [6, 8], [3, 8], [5, 8], [6, 7], [8, 5], [1, 8], [8, 8], [7, 5], [7, 7], [3, 2], [7, 4], [5, 2], [1, 5], [8, 6], [5, 3], [8, 3], [3, 1], [6, 1]]]","[31, 29]","[26, 38, 12]",-1
"[1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0]",00:57,"[[0.0, 0.0, 0.001, 0.0, 0.001, 0.001, 0.002, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [2.208, 2.377, 2.337, 2.457, 2.658, 2.388, 2.172, 2.772, 2.261, 2.604, 3.263, 0.0, 2.939, 3.141, 3.019, 2.139, 0.0, 0.0, 1.931, 1.933, 1.907, 2.025, 1.798, 1.66, 1.658, 1.449, 1.245, 1.104, 0.836, 0.519]]","[[[5, 6], [3, 4], [6, 4], [5, 2], [5, 3], [3, 5], [3, 7], [2, 1], [8, 2], [1, 3], [2, 7], [7, 6], [2, 2], [6, 7], [4, 8], [2, 5], [4, 2], [7, 2], [8, 8], [1, 7], [5, 7], [7, 4], [3, 8], [1, 5], [8, 5], [1, 2], [6, 8], [2, 8], [7, 8], [7, 1]], [[4, 6], [6, 5], [4, 3], [7, 3], [3, 2], [2, 3], [6, 3], [4, 7], [3, 3], [3, 6], [3, 1], [1, 1], [6, 2], [7, 5], [7, 7], [8, 3], [8, 1], [1, 8], [6, 6], [1, 4], [1, 6], [4, 1], [5, 8], [8, 4], [2, 6], [2, 4], [5, 1], [8, 7], [8, 6], [6, 1]]]","[30, 30]","[34, 30, 4]",1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:44,"[[0.001, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.945, 2.171, 1.914, 2.383, 2.094, 1.9, 2.132, 0.0, 1.969, 1.769, 1.922, 0.0, 1.584, 1.853, 2.099, 2.065, 1.84, 1.703, 1.808, 1.934, 0.0, 1.815, 1.746, 1.414, 1.411, 1.261, 0.0, 0.807, 0.743, 0.0]]","[[[4, 6], [6, 4], [4, 8], [2, 7], [6, 7], [3, 4], [6, 5], [7, 7], [8, 6], [6, 8], [6, 3], [1, 4], [3, 2], [8, 2], [2, 8], [1, 7], [4, 1], [2, 5], [5, 2], [6, 2], [2, 2], [2, 1], [5, 7], [7, 5], [8, 7], [8, 4], [7, 2], [7, 8], [4, 2], [7, 1]], [[3, 6], [4, 7], [5, 6], [7, 3], [3, 3], [6, 6], [7, 6], [8, 8], [2, 4], [3, 7], [2, 6], [1, 8], [3, 5], [2, 3], [1, 3], [3, 1], [1, 5], [4, 3], [5, 3], [5, 1], [1, 1], [1, 6], [5, 8], [7, 4], [3, 8], [8, 5], [8, 1], [8, 3], [1, 2], [6, 1]]]","[30, 30]","[22, 42, 20]",-1
"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:59,"[[0.001, 0.001, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [2.053, 2.087, 2.272, 2.453, 2.622, 3.045, 3.018, 3.052, 2.695, 2.426, 2.164, 2.384, 2.447, 2.364, 2.19, 2.047, 1.948, 2.228, 2.265, 2.158, 1.894, 1.666, 1.299, 1.477, 1.345, 0.94, 0.942, 0.0, 0.618, 0.499]]","[[[5, 6], [3, 3], [7, 3], [5, 3], [8, 3], [7, 6], [7, 7], [8, 6], [8, 8], [6, 3], [3, 8], [1, 1], [2, 5], [4, 1], [2, 1], [8, 5], [8, 1], [5, 7], [1, 3], [7, 2], [6, 2], [2, 6], [3, 2], [1, 6], [6, 8], [4, 8], [1, 7], [2, 3], [5, 1], [2, 8]], [[3, 5], [6, 4], [4, 3], [7, 4], [6, 5], [7, 5], [6, 6], [8, 7], [4, 7], [4, 2], [8, 4], [2, 2], [2, 4], [8, 2], [3, 1], [5, 2], [6, 7], [3, 4], [6, 1], [4, 6], [5, 8], [1, 5], [3, 6], [7, 8], [3, 7], [1, 4], [7, 1], [1, 8], [1, 2], [2, 7]]]","[30, 30]","[53, 11, 42]",1
"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:44,"[[0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [2.18, 2.315, 1.859, 2.225, 2.381, 2.152, 2.37, 2.411, 2.436, 0.0, 2.12, 0.0, 2.021, 1.91, 0.0, 1.897, 1.917, 1.777, 1.791, 1.684, 1.34, 1.454, 1.392, 1.075, 0.844, 0.875, 0.582, 0.0, 0.558, 0.0]]","[[[6, 4], [3, 5], [8, 4], [4, 6], [2, 6], [7, 3], [6, 7], [7, 5], [5, 2], [7, 2], [4, 3], [2, 7], [3, 4], [2, 2], [4, 2], [1, 4], [2, 5], [7, 1], [4, 7], [2, 3], [3, 8], [4, 1], [5, 3], [1, 2], [8, 2], [5, 7], [1, 7], [7, 8], [5, 8], [8, 6]], [[6, 3], [7, 4], [3, 6], [6, 5], [8, 5], [5, 6], [3, 7], [8, 3], [1, 6], [8, 1], [2, 4], [1, 8], [3, 3], [3, 2], [1, 1], [1, 5], [1, 3], [7, 6], [5, 1], [2, 1], [6, 6], [6, 1], [6, 2], [3, 1], [4, 8], [6, 8], [2, 8], [8, 8], [7, 7], [8, 7]]]","[30, 30]","[28, 36, 8]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",00:50,"[[0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.001, 0.0, 0.001, 0.0, 0.001, 0.0, 0.001, 0.001, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0], [2.245, 2.52, 2.586, 2.245, 2.497, 2.488, 2.528, 3.149, 0.0, 2.709, 0.0, 1.814, 1.819, 2.279, 2.143, 2.216, 0.0, 2.022, 2.15, 1.955, 1.825, 1.554, 1.557, 1.48, 1.382, 1.267, 1.111, 0.0, 0.839, 0.0, 0.0]]","[[[6, 5], [3, 3], [4, 3], [6, 3], [3, 4], [4, 1], [7, 7], [8, 4], [4, 6], [2, 2], [1, 2], [6, 4], [4, 7], [2, 3], [2, 5], [2, 7], [5, 8], [6, 8], [8, 5], [3, 7], [1, 5], [2, 6], [2, 1], [6, 2], [2, 8], [8, 6], [7, 2], [7, 1], [8, 3]], [[5, 3], [3, 6], [3, 5], [6, 6], [7, 5], [5, 2], [4, 2], [3, 2], [8, 8], [5, 7], [1, 1], [5, 6], [1, 3], [3, 8], [7, 4], [7, 6], [1, 8], [6, 7], [7, 8], [4, 8], [1, 4], [3, 1], [2, 4], [7, 3], [6, 1], [5, 1], [1, 7], [8, 1], [1, 6], [8, 7], [8, 2]]]","[29, 31]","[12, 52, 40]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0]",00:52,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [2.064, 2.322, 2.057, 2.214, 2.503, 2.14, 1.828, 1.785, 1.806, 2.157, 2.065, 2.576, 1.996, 2.534, 2.432, 2.236, 2.218, 2.17, 1.976, 0.0, 1.654, 1.486, 1.44, 1.535, 1.048, 1.012, 0.957, 0.769, 0.587]]","[[[5, 3], [7, 3], [3, 6], [3, 5], [3, 3], [6, 5], [4, 1], [4, 7], [3, 7], [6, 7], [1, 8], [1, 7], [5, 7], [1, 5], [6, 1], [2, 3], [6, 8], [8, 3], [8, 1], [7, 7], [8, 6], [2, 4], [8, 7], [3, 4], [4, 8], [1, 2], [1, 6], [5, 2], [2, 1], [1, 1], [8, 4]], [[6, 3], [4, 3], [6, 6], [4, 6], [6, 4], [4, 2], [2, 6], [5, 8], [2, 5], [2, 7], [8, 2], [7, 6], [6, 2], [5, 6], [3, 2], [7, 4], [3, 8], [7, 2], [7, 8], [8, 8], [1, 4], [1, 3], [7, 5], [3, 1], [2, 8], [5, 1], [7, 1], [8, 5], [2, 2]]]","[31, 29]","[44, 20, 24]",1
"[-1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0]",00:54,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0], [2.272, 2.179, 2.608, 2.241, 2.186, 2.538, 2.614, 2.424, 2.944, 0.0, 2.942, 2.921, 2.153, 1.787, 2.145, 1.851, 2.095, 1.911, 2.426, 0.0, 2.241, 1.921, 1.835, 1.72, 1.185, 0.933, 0.812, 0.711, 0.748, 0.0, 0.0]]","[[[5, 6], [7, 6], [3, 4], [8, 8], [2, 5], [5, 7], [6, 2], [2, 6], [2, 8], [4, 2], [3, 7], [5, 1], [1, 7], [1, 5], [3, 3], [7, 4], [3, 2], [1, 2], [7, 2], [4, 7], [3, 1], [1, 1], [6, 8], [7, 1], [4, 8], [7, 5], [2, 2], [8, 5], [8, 2]], [[3, 5], [6, 6], [7, 7], [4, 6], [4, 3], [5, 3], [3, 6], [5, 2], [2, 7], [1, 8], [2, 3], [6, 1], [1, 6], [6, 4], [6, 3], [6, 5], [4, 1], [6, 7], [8, 7], [8, 1], [2, 1], [2, 4], [3, 8], [1, 4], [8, 4], [7, 8], [5, 8], [7, 3], [8, 3], [8, 6], [1, 3]]]","[29, 31]","[22, 42, 20]",-1
"[-1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",00:41,"[[0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.001, 0.0, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [2.059, 2.172, 1.963, 0.001, 1.805, 1.956, 1.912, 2.111, 2.097, 1.841, 2.078, 0.0, 1.881, 0.0, 1.744, 1.789, 1.795, 1.739, 0.0, 1.742, 1.669, 1.796, 1.549, 1.263, 1.06, 1.022, 0.836, 0.749, 0.0, 0.587]]","[[[4, 6], [6, 4], [2, 7], [4, 7], [6, 5], [5, 7], [1, 6], [7, 6], [7, 4], [2, 2], [7, 2], [5, 8], [5, 2], [3, 7], [4, 3], [2, 3], [7, 1], [2, 8], [7, 7], [1, 4], [2, 1], [8, 7], [5, 3], [6, 2], [3, 2], [7, 5], [8, 2], [1, 5], [1, 2], [5, 1]], [[3, 6], [5, 6], [2, 6], [1, 8], [6, 6], [6, 8], [3, 3], [7, 3], [2, 5], [3, 5], [6, 3], [8, 1], [3, 4], [1, 1], [4, 8], [6, 7], [8, 5], [3, 8], [8, 8], [4, 2], [2, 4], [8, 3], [1, 3], [6, 1], [3, 1], [8, 6], [8, 4], [1, 7], [7, 8], [4, 1]]]","[30, 30]","[15, 49, 34]",-1
"[-1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0]",00:52,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.0, 0.0, 0.001, 0.0, 0.0, 0.001, 0.001, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [2.286, 2.53, 2.152, 2.627, 2.376, 2.271, 0.0, 2.259, 2.481, 2.618, 2.217, 2.374, 2.089, 1.949, 2.175, 2.205, 1.939, 1.773, 1.591, 1.583, 1.517, 1.467, 1.267, 1.29, 1.361, 1.161, 1.061, 0.863, 0.0, 0.0, 0.629]]","[[[4, 3], [4, 2], [6, 3], [6, 6], [4, 6], [2, 7], [4, 1], [6, 1], [2, 6], [3, 1], [8, 8], [5, 8], [1, 1], [7, 4], [8, 2], [8, 4], [6, 2], [2, 4], [3, 8], [5, 7], [5, 6], [1, 3], [1, 7], [8, 1], [7, 5], [8, 6], [1, 4], [6, 8], [7, 6]], [[5, 3], [3, 3], [3, 6], [7, 3], [5, 1], [3, 5], [1, 8], [3, 2], [3, 4], [7, 7], [4, 7], [6, 4], [2, 2], [4, 8], [2, 3], [8, 3], [3, 7], [1, 5], [1, 2], [2, 1], [6, 5], [5, 2], [7, 2], [6, 7], [8, 7], [7, 1], [2, 5], [1, 6], [2, 8], [7, 8], [8, 5]]]","[29, 31]","[27, 37, 10]",-1
