Board,Game Time,Move Time,Action List,Action List Count,Score,Winner
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0]",01:34,"[[0.001, 0.0, 0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.255, 0.875, 1.556, 1.467, 6.63, 4.421, 3.329, 4.166, 9.817, 16.926, 13.336, 11.525, 5.985, 0.0, 4.662, 0.0, 3.77, 1.214, 0.715, 0.0, 0.791, 0.488, 0.529, 0.41, 0.273, 0.214, 0.099, 0.05, 0.023, 0.015, 0.002, 0.0]]","[[[3, 5], [2, 3], [5, 3], [3, 6], [5, 7], [7, 4], [2, 6], [7, 5], [5, 6], [3, 3], [7, 6], [3, 8], [1, 5], [2, 8], [7, 2], [6, 3], [7, 1], [5, 2], [1, 3], [2, 2], [4, 2], [2, 1], [4, 1], [6, 8], [8, 5], [8, 3], [7, 7], [8, 7]], [[3, 4], [4, 6], [2, 4], [4, 3], [6, 4], [2, 5], [6, 5], [4, 7], [6, 6], [3, 7], [2, 7], [1, 6], [7, 3], [1, 8], [1, 7], [8, 1], [6, 2], [1, 4], [1, 2], [1, 1], [4, 8], [3, 1], [3, 2], [5, 1], [6, 1], [5, 8], [6, 7], [8, 2], [7, 8], [8, 6], [8, 4], [8, 8]]]","[28, 32]","[15, 49, 34]",-1
"[1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0]",01:56,"[[0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.199, 0.517, 1.533, 1.916, 2.511, 2.657, 5.394, 7.293, 8.696, 13.332, 12.789, 14.808, 15.432, 0.0, 7.298, 5.685, 3.731, 4.287, 4.459, 1.474, 0.687, 0.562, 0.18, 0.217, 0.165, 0.0, 0.0, 0.064, 0.008, 0.0, 0.001, 0.0]]","[[[4, 3], [6, 5], [6, 2], [8, 3], [4, 6], [6, 7], [2, 3], [8, 5], [4, 7], [5, 7], [7, 4], [3, 5], [2, 7], [4, 1], [2, 6], [2, 8], [2, 2], [5, 1], [2, 1], [8, 7], [2, 5], [7, 7], [1, 2], [7, 8], [2, 4], [7, 2], [8, 2], [1, 4]], [[6, 4], [3, 6], [6, 3], [7, 3], [3, 3], [6, 6], [5, 3], [7, 6], [3, 7], [5, 6], [3, 2], [6, 8], [5, 8], [1, 8], [3, 4], [5, 2], [3, 1], [7, 5], [8, 4], [8, 6], [3, 8], [4, 8], [1, 7], [1, 6], [4, 2], [1, 1], [8, 8], [1, 5], [6, 1], [8, 1], [7, 1], [1, 3]]]","[28, 32]","[17, 47, 30]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",02:06,"[[0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.305, 0.972, 1.895, 2.336, 4.539, 9.017, 9.974, 13.267, 13.562, 0.0, 0.0, 16.991, 20.742, 11.744, 7.89, 5.264, 1.774, 1.147, 0.0, 1.714, 1.331, 0.602, 0.271, 0.231, 0.107, 0.14, 0.092, 0.043, 0.011, 0.005, 0.0, 0.0]]","[[[5, 3], [3, 6], [3, 5], [4, 2], [2, 5], [6, 3], [5, 7], [6, 6], [2, 2], [7, 4], [7, 2], [1, 4], [7, 1], [4, 7], [4, 1], [1, 5], [2, 1], [6, 2], [2, 7], [8, 2], [6, 1], [1, 7], [8, 4], [8, 6], [6, 7], [4, 8], [7, 7], [7, 6]], [[4, 3], [6, 5], [3, 4], [5, 6], [3, 3], [6, 4], [4, 6], [2, 4], [7, 3], [1, 1], [8, 1], [5, 2], [3, 1], [1, 3], [3, 2], [2, 3], [1, 6], [3, 7], [1, 8], [5, 1], [1, 2], [2, 6], [8, 5], [2, 8], [8, 3], [8, 7], [6, 8], [5, 8], [3, 8], [7, 8], [8, 8], [7, 5]]]","[28, 32]","[12, 52, 40]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",01:34,"[[0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.204, 0.555, 1.409, 1.95, 2.73, 5.585, 5.261, 11.897, 0.0, 5.504, 15.275, 12.453, 9.221, 0.0, 3.77, 2.444, 2.287, 2.296, 1.732, 2.102, 3.499, 1.95, 0.661, 0.402, 0.274, 0.137, 0.078, 0.029, 0.012, 0.007, 0.001, 0.0, 0.0, 0.0]]","[[[4, 3], [4, 6], [2, 4], [2, 6], [6, 3], [6, 5], [5, 6], [7, 7], [4, 2], [6, 7], [8, 7], [6, 1], [2, 1], [6, 2], [2, 3], [1, 2], [8, 5], [5, 7], [7, 4], [5, 8], [3, 8], [6, 8], [1, 6], [1, 8], [2, 7], [8, 1]], [[6, 4], [3, 6], [3, 5], [2, 5], [3, 4], [5, 3], [6, 6], [3, 3], [8, 8], [5, 2], [3, 1], [3, 2], [5, 1], [1, 1], [7, 1], [8, 6], [2, 2], [4, 1], [7, 6], [4, 7], [8, 4], [1, 3], [1, 4], [4, 8], [7, 8], [7, 5], [1, 7], [2, 8], [1, 5], [3, 7], [8, 3], [7, 2], [8, 2], [7, 3]]]","[26, 34]","[10, 54, 44]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",01:48,"[[0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0], [0.28, 0.515, 1.237, 1.222, 1.559, 5.83, 5.587, 6.156, 8.365, 9.543, 12.349, 0.0, 10.174, 10.185, 9.382, 7.099, 4.201, 5.083, 3.796, 2.572, 0.0, 1.751, 0.805, 0.261, 0.0, 0.094, 0.0, 0.005, 0.0, 0.0, 0.0]]","[[[4, 6], [6, 4], [5, 7], [3, 7], [3, 4], [5, 8], [3, 3], [2, 5], [2, 3], [7, 3], [7, 2], [8, 4], [4, 7], [4, 2], [7, 6], [8, 2], [6, 7], [1, 4], [7, 1], [5, 1], [2, 2], [6, 2], [8, 7], [2, 1], [7, 8], [2, 6], [2, 8], [7, 7], [1, 3]], [[5, 6], [3, 6], [6, 8], [3, 5], [4, 3], [4, 8], [2, 4], [6, 5], [7, 4], [6, 3], [5, 2], [8, 1], [6, 6], [5, 3], [8, 3], [3, 1], [1, 6], [3, 2], [6, 1], [8, 5], [1, 1], [4, 1], [7, 5], [3, 8], [8, 8], [1, 7], [1, 8], [2, 7], [1, 5], [8, 6], [1, 2]]]","[29, 31]","[8, 56, 48]",-1
"[1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",02:10,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.001, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.188, 0.429, 2.473, 3.588, 4.72, 5.899, 9.3, 10.624, 18.253, 20.109, 12.182, 12.676, 8.783, 6.89, 2.42, 3.306, 0.0, 0.0, 3.195, 1.489, 0.706, 0.48, 0.598, 0.545, 0.266, 0.174, 0.096, 0.119, 0.0, 0.0, 0.0, 0.0, 0.0]]","[[[6, 3], [6, 5], [4, 6], [4, 7], [4, 2], [4, 3], [2, 5], [2, 3], [7, 4], [3, 1], [2, 8], [1, 7], [8, 6], [1, 5], [2, 7], [5, 2], [7, 2], [8, 2], [7, 3], [8, 4], [6, 1], [2, 2], [7, 7], [4, 1], [5, 8], [1, 2], [6, 7]], [[6, 4], [5, 3], [6, 6], [5, 6], [7, 6], [3, 5], [3, 2], [3, 3], [3, 4], [3, 7], [3, 6], [2, 6], [2, 4], [1, 6], [6, 2], [3, 8], [1, 8], [8, 1], [4, 8], [1, 4], [7, 5], [8, 5], [8, 3], [7, 1], [8, 7], [5, 1], [5, 7], [1, 3], [1, 1], [8, 8], [6, 8], [2, 1], [7, 8]]]","[27, 33]","[8, 56, 48]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0]",01:26,"[[0.0, 0.0, 0.001, 0.001, 0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.286, 0.501, 1.356, 3.519, 1.894, 5.163, 4.36, 0.0, 7.171, 7.005, 8.148, 14.182, 9.253, 5.917, 4.25, 2.848, 2.249, 1.582, 1.683, 1.919, 1.242, 0.569, 0.344, 0.075, 0.114, 0.051, 0.017, 0.001, 0.0]]","[[[6, 4], [4, 6], [7, 4], [5, 6], [7, 2], [7, 6], [5, 2], [3, 3], [7, 5], [6, 2], [3, 2], [8, 6], [8, 3], [7, 3], [3, 1], [2, 3], [7, 1], [4, 1], [6, 8], [1, 5], [1, 3], [1, 1], [1, 4], [6, 7], [3, 7], [2, 6], [3, 8], [1, 8], [8, 8], [1, 6], [4, 8]], [[6, 5], [6, 3], [4, 3], [3, 4], [6, 6], [5, 3], [8, 7], [8, 1], [6, 1], [8, 4], [4, 2], [8, 5], [8, 2], [2, 4], [5, 1], [2, 5], [1, 2], [5, 7], [3, 5], [2, 1], [2, 2], [5, 8], [7, 8], [3, 6], [2, 8], [2, 7], [4, 7], [7, 7], [1, 7]]]","[31, 29]","[30, 34, 4]",-1
"[1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0]",01:35,"[[0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.001, 0.001, 0.0, 0.001, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0], [0.2, 0.416, 2.323, 1.624, 3.833, 5.519, 11.451, 11.751, 5.782, 0.0, 6.85, 0.0, 10.427, 5.323, 7.578, 5.843, 3.204, 2.22, 0.0, 2.163, 3.416, 0.0, 2.608, 1.283, 0.519, 0.491, 0.187, 0.064, 0.023, 0.004, 0.001, 0.0]]","[[[6, 3], [4, 3], [5, 6], [7, 5], [3, 5], [3, 1], [2, 3], [3, 7], [7, 7], [7, 6], [2, 2], [2, 1], [5, 7], [2, 5], [7, 8], [7, 1], [6, 1], [8, 2], [2, 7], [1, 7], [7, 3], [2, 4], [8, 5], [8, 7], [1, 5], [1, 4], [4, 8], [5, 8]], [[6, 4], [5, 3], [3, 3], [6, 6], [4, 2], [6, 5], [3, 6], [4, 6], [3, 4], [8, 8], [3, 2], [1, 1], [4, 7], [6, 2], [4, 1], [6, 8], [5, 2], [5, 1], [8, 1], [7, 2], [2, 6], [1, 8], [8, 3], [8, 4], [7, 4], [8, 6], [6, 7], [1, 3], [1, 6], [1, 2], [2, 8], [3, 8]]]","[28, 32]","[13, 51, 38]",-1
"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0]",00:40,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.276, 0.431, 1.203, 0.001, 0.51, 3.09, 6.149, 3.597, 4.173, 2.151, 3.593, 1.519, 1.749, 1.71, 1.84, 1.849, 1.06, 2.312, 0.0, 0.996, 0.403, 0.0, 0.305, 0.294, 0.325, 0.205, 0.135, 0.0, 0.04, 0.02, 0.023, 0.004, 0.001, 0.0, 0.0]]","[[[6, 4], [4, 6], [7, 2], [7, 4], [6, 6], [2, 6], [5, 2], [8, 4], [5, 1], [7, 1], [4, 7], [3, 4], [4, 2], [7, 6], [7, 7], [5, 8], [8, 7], [7, 8], [2, 1], [3, 7], [2, 8], [1, 4], [2, 7], [1, 6], [1, 3]], [[6, 5], [6, 3], [6, 2], [8, 1], [3, 6], [5, 6], [8, 3], [7, 3], [8, 2], [8, 5], [4, 3], [5, 3], [6, 1], [4, 1], [7, 5], [3, 1], [5, 7], [8, 6], [8, 8], [6, 7], [3, 2], [1, 1], [2, 2], [3, 8], [3, 3], [4, 8], [6, 8], [1, 8], [2, 4], [2, 3], [2, 5], [3, 5], [1, 7], [1, 5], [1, 2]]]","[25, 35]","[9, 55, 46]",-1
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0]",01:36,"[[0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.212, 0.531, 0.757, 1.446, 2.269, 3.438, 7.428, 9.327, 5.699, 0.0, 7.476, 7.324, 9.169, 5.154, 10.97, 6.894, 5.796, 6.035, 2.999, 0.0, 1.023, 0.933, 0.675, 0.51, 0.0, 0.322, 0.0, 0.083, 0.012, 0.001, 0.0, 0.0]]","[[[6, 5], [5, 2], [3, 3], [7, 3], [6, 1], [4, 6], [2, 6], [2, 5], [7, 7], [1, 5], [7, 6], [7, 8], [2, 3], [6, 4], [3, 7], [7, 5], [3, 8], [3, 1], [1, 7], [5, 7], [2, 8], [2, 2], [4, 2], [7, 2], [8, 7], [8, 2], [8, 4], [5, 1]], [[5, 3], [3, 6], [6, 3], [4, 3], [6, 2], [6, 6], [3, 4], [3, 5], [2, 4], [8, 8], [5, 6], [3, 2], [6, 8], [4, 7], [6, 7], [7, 4], [1, 6], [5, 8], [1, 4], [1, 8], [4, 8], [2, 7], [1, 3], [1, 2], [1, 1], [8, 3], [8, 1], [2, 1], [8, 5], [8, 6], [7, 1], [4, 1]]]","[28, 32]","[12, 52, 40]",-1
